科目,2007-12-31,2008-12-31,2009-12-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31
货币资金,"22,782,103.93","44,869,988.29","101,900,559.45","65,049,743.43","43,685,136.08","976,613,476.47","871,594,213.52","767,155,718.37","714,133,974.61","821,931,292.88","713,892,927.10","631,806,373.12","646,117,172.64","710,799,490.82","643,436,378.28","182,325,712.23","190,651,812.96","245,383,266.22","143,612,072.59","131,254,909.98","204,491,887.99","178,944,369.58","177,857,920.12","176,400,600.43","165,214,985.13","210,197,856.19","356,158,720.65","152,290,248.90","267,147,882.64","433,039,962.33","507,852,110.38","497,835,997.18","739,284,483.10","583,601,154.12","615,371,958.87"
短期借款,"20,000,000.00","13,556,958.22","21,297,358.00","40,000,000.00","40,000,000.00","20,000,000.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
交易性金融资产,,,,,,"6,500,000.00",,,,"116,788.04",,,,"58,600.00",,"57,900.00","670,800.00","1,170,200.00",,,,,,,,,,,,,,,,,"2,725,825.02"
交易性金融负债,,,,,,,,,,,,"897,100.00","325,800.00",,,,,,"2,869,100.00","1,999,200.00","269,900.00","576,700.00",,,,,,,,,,,,,
应收票据,"70,000.00","660,000.00","1,515,139.50","550,000.00","100,000.00","900,000.00","1,200,000.00","200,000.00","1,338,601.65","2,566,000.00","415,600.00","15,750,000.00","1,159,000.00","3,393,500.50","4,280,000.00",,"2,195,531.00","20,837,190.00","3,280,000.00","2,455,144.00","1,350,280.00","34,837,591.00","21,725,478.00","3,576,605.00","1,264,726.50","12,136,226.06","9,475,098.35","27,442,000.42","20,766,905.86","33,608,570.62","39,269,926.08","23,325,390.90","19,127,315.54","118,581,027.58","59,102,745.47"
应付票据,"13,410,000.00","33,895,787.30","58,205,982.43","30,052,821.44","46,794,851.84","54,166,605.01","53,130,692.35","51,167,298.92","40,549,429.22","50,247,369.31","31,940,328.76","19,266,354.73","18,786,248.44","42,140,490.95","56,594,888.63","66,229,933.78","87,034,868.65","116,941,971.33","109,996,908.98","110,421,763.66","141,542,659.47","148,219,073.99","173,668,696.84","115,011,677.02","118,458,822.02","184,602,601.15","197,539,743.92","137,799,966.66","136,737,304.44","140,206,063.63","161,618,477.26","158,018,554.36","319,846,302.34","299,386,121.24","488,347,203.53"
应收账款,"87,498,470.58","111,544,199.91","125,894,730.01","129,677,276.60","144,032,871.88","173,631,700.56","206,263,088.33","234,402,991.14","240,683,368.59","230,223,483.18","279,152,026.12","246,462,116.46","249,818,098.61","327,785,742.84","302,564,677.64","322,139,362.98","353,513,395.02","475,008,798.00","492,051,534.68","534,994,291.78","529,977,667.54","522,828,018.91","496,665,099.30","540,318,660.25","587,241,390.00","678,422,082.70","706,262,924.86","765,301,846.17","794,734,947.47","778,337,151.79","761,800,539.08","915,286,787.53","1,052,901,232.12","1,183,360,261.91","1,121,115,722.01"
应付账款,"119,910,627.12","109,252,147.75","137,867,744.70","117,354,523.79","120,853,079.04","157,768,208.14","143,381,236.13","164,809,443.84","155,494,255.39","149,794,550.50","112,270,005.96","120,023,037.64","154,369,837.16","194,739,395.46","141,808,762.43","185,622,963.89","266,323,533.97","302,103,803.70","193,390,815.72","198,827,794.52","253,189,180.61","298,404,625.55","207,490,858.75","192,487,617.31","288,926,243.56","352,485,620.66","259,222,101.42","271,498,806.89","277,602,547.90","370,772,897.26","357,518,441.93","405,091,097.27","524,882,832.57","714,468,593.81","373,093,900.95"
预付款项,"903,543.95","2,644,918.97","2,910,426.73","2,566,806.63","11,954,571.29","17,577,870.64","3,459,942.92","14,526,601.17","22,649,231.29","17,854,286.60","17,671,642.19","31,436,245.70","25,267,941.16","15,297,784.11","24,591,374.55","25,017,995.41","102,424,537.17","99,764,997.96","92,968,064.91","90,798,848.13","88,537,055.27","83,351,907.77","86,295,959.73","88,525,824.31","95,985,052.13","11,702,365.14","11,357,518.17","7,028,981.11","8,568,350.38","9,337,693.88","10,044,811.37","56,233,895.38","49,091,282.05","22,121,118.66","15,627,634.98"
预收款项,"6,003,228.13","11,605,890.77","20,674,704.40","5,421,027.90","7,974,481.92","21,059,852.00","14,337,613.42","8,358,128.29","10,858,524.64","17,905,763.59","20,667,058.94","16,222,902.74","12,704,202.16","35,436,523.10","30,836,567.58","22,418,334.87","30,994,277.32","55,291,032.41","59,436,648.84","40,098,363.17","50,301,510.46","44,610,094.54","47,471,709.56","41,592,982.83","45,979,022.45","72,465,664.87","66,990,143.88","57,033,514.75","76,261,376.47","61,574,474.58","68,789,931.42","70,271,077.61","69,165,020.76","86,442,221.87","73,329,774.18"
