科目,2011年度,2012年度,2013年度,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月
销售商品、提供劳务收到的现金,"1,428,825,669.08","1,524,691,061.51","1,734,164,193.61","1,445,167,373.13","1,934,462,004.03","487,650,750.73","1,039,609,154.78","1,573,560,939.30","2,165,481,590.71","578,419,038.00","1,243,708,065.45","1,927,505,974.46","2,611,417,650.39","607,941,063.65","1,262,701,863.11","1,939,395,899.89"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,,,"21,292,781.15",,,
收到的税费返还,,,,,,,,,,,,,,"292,001.92","664,458.34","664,458.34"
支付其他与投资活动有关的现金,,,,,,,,,,,,,,,,
收到其他与经营活动有关的现金,"19,422,362.99","14,655,725.13","17,026,650.08","18,710,686.81","23,467,906.25","7,086,144.23","21,491,394.87","30,984,915.64","38,143,226.41","16,622,004.83","24,199,614.91","39,155,468.04","50,696,132.81","7,328,770.64","16,308,233.86","31,995,403.03"
投资活动现金流出小计,"46,922,649.22","22,728,740.53","118,338,347.93","41,121,259.48","105,383,776.51","63,615,753.01","822,548,958.31","975,126,522.56","1,103,804,325.66","9,946,968.96","25,270,577.61","73,635,705.41","390,649,933.53","172,566,016.75","379,470,450.14","400,788,133.32"
经营活动现金流入小计,"1,448,248,032.07","1,539,346,786.64","1,751,190,843.69","1,463,878,059.94","1,957,929,910.28","494,736,894.96","1,061,100,549.65","1,604,545,854.94","2,203,624,817.12","595,041,042.83","1,267,907,680.36","1,966,661,442.50","2,662,113,783.20","615,561,836.21","1,279,674,555.31","1,972,055,761.26"
投资活动产生的现金流量净额,"-46,300,157.19","-22,055,506.97","-117,595,423.51","50,698,301.69","-12,994,067.83","-63,615,753.01","-719,390,318.37","-833,082,785.40","-868,539,648.97","445,911,803.55","515,508,297.86","471,104,777.20","161,515,752.51","-21,716,649.51","47,190,185.59","65,877,502.41"
购买商品、接受劳务支付的现金,"1,069,452,502.07","1,104,465,136.40","1,289,094,946.00","1,139,188,066.26","1,528,838,673.64","410,367,548.88","817,508,189.13","1,191,942,176.17","1,651,003,659.00","525,754,791.11","1,027,203,049.60","1,547,008,293.50","2,099,672,713.49","605,581,308.39","1,188,966,235.45","1,655,235,765.24"
吸收投资收到的现金,"735,000.00",,,,,"774,950,000.00","774,950,000.00","774,950,000.00","774,950,000.00",,,"5,308,847.74","15,006,621.76",,,
支付给职工以及为职工支付的现金,"115,705,498.21","122,919,179.61","132,459,620.13","109,951,158.06","138,818,679.70","45,396,256.51","77,111,748.35","110,401,088.57","145,705,942.22","51,106,253.89","89,065,169.07","127,041,210.37","165,964,780.62","63,120,944.48","104,468,187.08","145,321,381.73"
取得借款收到的现金,"150,315,045.00","109,000,000.00",,"205,342.50","205,342.50",,,,,,,,,,"17,156,326.07","17,156,326.07"
支付的各项税费,"89,427,185.13","92,043,202.41","92,983,976.15","75,008,616.37","90,554,384.05","30,761,146.63","61,413,760.95","91,839,366.13","119,385,122.21","32,738,744.21","64,694,875.16","90,056,154.08","119,085,627.92","45,562,894.18","78,376,226.03","102,326,752.04"
收到其他与筹资活动有关的现金,,,,,,,,,,,,,,,,
支付其他与经营活动有关的现金,"90,539,164.03","91,003,711.14","91,453,309.69","67,229,465.89","82,351,045.24","28,130,649.69","55,199,436.08","85,512,046.59","99,450,689.33","32,152,743.87","67,723,429.04","115,415,621.58","119,878,104.94","31,497,527.22","59,851,413.70","95,904,075.96"
