科目,2007年1-3月,2007年1-6月,2007年1-9月,2007年度,2008年1-3月,2008年1-6月,2008年1-9月,2008年度,2009年1-3月,2009年1-6月,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度
一、营业收入,"708,102,469.67","1,616,306,774.63","2,603,568,047.46","3,827,970,162.85","1,544,604,856.20","4,057,398,292.94","6,043,352,662.24","7,219,224,992.83","1,001,702,197.38","2,017,761,369.76","2,925,936,273.23","3,849,827,604.65","1,137,365,073.76","2,238,623,983.67","3,203,780,800.50","4,346,276,152.79","1,210,850,938.91","2,431,257,975.70","3,613,470,826.26","4,852,993,724.27","1,396,251,885.66","2,968,863,991.93","4,535,054,211.31","6,111,006,735.08","1,731,316,112.97","3,645,828,157.48","5,182,315,048.77","6,765,325,335.79","1,860,604,164.32","4,024,455,906.60","5,898,193,741.96","7,715,831,723.98","2,027,780,663.10","4,002,215,690.21","5,721,475,587.95","7,346,915,175.17","1,752,427,405.34","3,485,629,392.96","4,992,922,547.80","6,802,491,160.62","1,853,839,459.22","3,665,393,304.49","5,476,002,350.73","7,276,473,810.10"
二、营业利润,"119,087,476.97","285,359,679.33","487,720,062.73","690,425,831.24","444,776,416.00","1,444,269,344.82","2,132,812,739.74","2,216,374,720.73","74,623,563.56","202,158,891.56","280,815,053.27","280,962,211.35","65,170,732.21","117,059,200.94","111,341,739.09","100,247,814.34","-13,275,125.97","-13,479,068.10","-56,611,636.14","-63,242,547.49","-49,160,229.94","-41,494,866.29","-20,903,996.32","96,679,718.46","137,104,908.87","287,023,251.08","455,346,088.43","543,593,466.29","73,628,192.06","136,090,594.94","140,197,925.06","115,585,111.61","7,296,081.73","-7,057,662.56","-102,612,241.23","-187,517,171.32","-40,300,193.26","27,802,819.17","35,506,865.35","62,691,914.99","66,773,438.90","188,594,676.59","227,359,627.27","537,181,549.69"
减:营业成本,"519,262,694.61","1,171,369,962.09","1,855,983,980.06","2,707,165,484.07","980,560,524.61","2,353,680,467.52","3,497,410,702.26","4,387,059,107.43","821,130,348.36","1,626,242,282.21","2,372,816,749.08","3,099,539,064.71","937,952,235.63","1,890,616,455.11","2,736,160,828.71","3,694,403,663.09","1,097,971,854.25","2,200,914,733.04","3,295,815,335.56","4,372,175,367.19","1,289,173,136.91","2,656,533,738.64","4,018,311,457.42","5,290,331,953.69","1,398,453,711.71","2,877,724,728.46","4,054,631,311.33","5,317,139,202.05","1,590,733,308.10","3,419,039,991.92","5,064,518,948.11","6,694,677,637.28","1,819,027,590.89","3,597,208,188.12","5,218,078,262.63","6,645,612,815.73","1,572,565,338.50","3,099,557,935.24","4,383,123,442.01","5,901,333,450.60","1,543,371,343.41","3,041,884,281.89","4,573,156,127.88","5,970,304,682.77"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"2,705,446.05","7,284,172.97","12,191,105.93","16,361,060.59","8,512,108.14","29,329,229.57","51,218,572.12","68,253,155.39","3,940,165.38","7,498,600.11","12,771,617.57","16,846,334.04","3,573,993.05","10,476,600.53","20,640,539.25","26,166,622.17","3,760,239.21","7,633,667.29","16,829,145.16","24,378,545.95","9,585,448.64","19,625,292.51","25,099,035.13","29,546,256.41","3,920,651.53","9,375,557.70","12,856,307.61","15,359,812.69","2,236,485.43","6,543,069.33","11,207,746.01","15,842,141.62","3,833,468.41","9,615,932.49","15,400,291.40","20,542,844.98","5,269,891.05","8,832,263.58","10,789,452.45","27,024,712.01","13,656,271.73","21,673,574.52","29,971,476.34","40,156,295.74"
营业外收入,"2,252,136.79","4,416,620.64","8,459,137.42","40,222,212.96","3,062,426.74","3,313,870.29","4,979,499.42","64,035,674.89","2,247,568.88","3,676,913.50","31,959,764.17","89,038,184.93","1,300,088.82","13,154,849.95","50,300,733.83","122,839,358.70","51,051,938.55","91,721,679.25","105,931,249.63","125,391,788.61","9,588,434.63","20,041,447.67","44,540,860.80","72,625,685.20","1,433,307.98","4,760,968.82","8,075,025.84","49,768,921.53","1,715,336.44","4,936,636.28","8,294,240.28","35,872,617.74","3,765,454.55","8,886,672.24","16,293,262.69","33,501,891.76","12,029,370.92","21,859,327.42","35,004,204.27","131,054,988.24","9,488,515.89","131,394,743.15","133,147,399.39","144,890,031.27"
销售费用,"19,638,898.93","46,535,171.31","74,298,301.63","104,092,956.73","27,173,957.90","59,416,898.22","94,913,926.37","140,784,470.97","29,207,082.82","59,486,413.87","90,932,594.49","134,087,315.08","38,285,887.90","68,349,675.92","106,926,894.91","162,349,658.15","32,526,115.44","84,605,038.40","136,844,554.99","194,391,730.04","32,119,441.53","104,359,085.02","158,725,861.06","221,359,377.89","49,058,814.98","121,755,798.76","189,612,947.91","225,358,952.33","51,033,197.82","136,621,421.75","205,117,519.21","264,841,948.95","64,055,316.51","132,283,660.77","197,064,927.34","276,813,004.77","56,619,931.11","124,041,697.36","176,987,578.66","254,129,587.20","60,806,590.14","120,509,017.46","197,813,490.96","293,693,339.95"
减:营业外支出,"1,104,144.98","3,705,815.02","6,457,088.70","16,863,332.10","3,943,688.42","40,343,990.42","48,326,603.92","95,826,312.31","2,908,945.63","3,456,110.28","5,789,344.16","24,179,261.32","3,103,332.19","3,668,526.72","7,252,954.80","21,893,850.05","2,012,241.53","5,017,618.60","8,695,414.35","14,003,977.32","2,680,178.25","7,967,107.59","10,713,551.37","25,452,509.76","2,865,635.86","5,454,646.23","7,728,204.34","53,505,266.09","6,566,988.71","12,715,366.97","13,242,604.60","81,188,723.74","3,524,779.05","18,931,589.47","22,110,496.41","43,931,786.29","5,361,724.05","8,461,892.16","11,118,021.26","45,692,793.19","5,954,050.71","79,358,652.26","83,068,828.58","93,639,705.38"
管理费用,"36,711,195.01","83,902,928.11","142,208,923.28","261,541,643.12","69,331,982.99","119,480,894.61","217,672,613.73","332,830,889.76","77,475,895.21","132,175,766.36","202,994,170.62","325,410,374.70","76,977,958.44","147,686,825.76","228,661,461.31","360,707,195.10","83,166,999.54","164,052,623.66","246,355,900.53","358,042,792.82","108,776,689.99","204,438,322.19","319,796,289.66","421,446,458.22","123,826,222.11","252,917,859.99","378,440,924.57","517,067,290.19","125,629,068.30","269,206,559.75","418,686,618.91","511,125,571.19","112,863,595.28","236,973,052.74","386,064,387.69","544,877,447.71","132,700,405.69","251,376,602.47","393,926,322.49","518,970,806.16","151,100,406.30","278,507,887.72","427,849,164.27","601,972,860.66"
其中:非流动资产处置净损失,,"301,053.23","402,702.91","4,537,961.87","212,619.36","1,184,470.17","2,731,845.92","32,814,692.05","32,382.70","854,356.96","1,051,777.23","8,776,595.17",,,,"10,119,684.53",,,,"3,004,374.10",,"2,271,552.99","2,563,228.40",,"435,383.76","618,514.55","1,337,748.12","11,166,408.97","2,044,874.64","2,299,103.59","3,207,403.84","6,407,774.36","66,163.38","425,431.76","773,968.70","15,132,094.08","1,529,956.20","3,043,835.50","2,275,627.48","24,421,122.01","567,336.41","65,293,273.60","65,874,593.49",
