科目,2008年度,2009年度,2010年度,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月
一、营业收入,"66,151,439.33","87,407,325.52","140,010,410.16","64,277,358.23","124,113,937.07","184,266,436.98","37,957,111.20","77,579,248.78","142,892,901.40","209,436,781.07","46,881,014.62","81,216,583.66","146,215,267.49","221,169,469.97","54,119,762.98","111,942,211.04","200,872,503.76","315,360,861.85","80,865,154.70","154,481,046.59","292,344,768.12","510,443,267.47","104,657,171.78","225,048,277.46","387,348,313.39","683,488,129.76","107,355,265.33","271,009,323.53","426,638,867.08","769,619,720.03","132,158,072.07","275,572,710.81"
二、营业利润,"11,208,259.79","17,543,070.64","31,554,441.26","3,528,393.13","19,930,698.78","37,266,910.03","292,616.91","5,151,886.85","25,520,472.53","45,468,271.75","-1,033,335.28","-7,662,353.83","533,729.96","6,932,003.12","-3,393,879.53","477,347.45","12,566,779.35","31,733,595.95","-3,293,134.89","-3,992,502.78","21,999,743.91","66,315,104.43","-10,473,156.50","-8,025,805.69","14,210,902.73","73,790,048.02","-23,314,296.86","-1,533,814.67","45,529,632.74","130,516,413.87","-14,644,708.52","-11,997,464.69"
减:营业成本,"34,592,785.37","42,439,329.80","67,124,740.28","31,137,903.60","57,429,892.32","88,294,522.64","18,716,366.78","38,579,808.23","64,690,092.95","96,536,894.23","22,390,869.86","44,995,624.24","73,413,132.67","109,286,406.39","25,106,167.51","53,771,371.60","100,737,660.40","149,135,520.14","39,309,159.64","75,636,875.12","144,101,142.73","237,359,027.65","50,309,038.26","107,888,465.98","179,507,712.30","307,658,227.93","51,242,243.43","120,855,564.17","192,646,038.69","342,317,934.59","60,848,350.39","123,991,451.28"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"597,534.13","778,526.39","1,181,303.07","541,640.92","1,292,292.61","1,921,729.74","454,522.02","844,033.20","1,482,577.85","2,496,974.83","603,355.82","1,144,104.08","1,881,660.71","2,863,204.81","404,294.62","948,442.46","1,760,529.78","3,005,733.82","761,408.63","1,395,539.63","2,674,160.75","5,811,453.05","732,925.05","1,742,925.64","3,488,076.57","9,755,671.38","1,352,934.52","3,063,677.71","4,820,242.57","9,971,166.64","1,362,344.01","3,029,356.65"
营业外收入,"2,830,932.63","5,057,939.63","7,616,598.14","1,894,899.27","3,400,174.79","11,043,777.27","2,144,805.00","2,386,412.00","2,928,017.00","3,296,623.56","2,202,320.09","8,392,312.78","8,661,687.08","19,058,432.95","254,362.41","539,875.87","6,579,024.51","11,466,582.05","385,955.00","3,551,657.31","3,734,763.64","5,165,042.73","14,552,739.69","17,509,527.22","18,876,858.56","25,539,111.91","24,029,937.04","25,046,334.52","2,357,527.64","2,824,972.43","704,348.59","1,884,597.17"
销售费用,"8,438,735.84","11,272,815.52","19,806,527.25","17,978,309.27","26,644,344.68","32,624,829.63","13,525,879.52","23,257,549.28","36,550,449.92","42,797,378.17","18,930,054.74","31,195,903.54","50,669,301.62","69,634,627.60","21,316,819.95","39,568,889.14","56,486,434.27","83,117,790.64","30,477,632.01","54,291,905.23","81,801,122.06","124,357,399.12","37,589,784.57","70,462,789.85","106,165,749.90","158,297,377.65","43,136,683.97","80,969,714.67","124,450,077.80","179,838,096.56","50,290,078.47","99,285,958.97"
减:营业外支出,"28,101.76","4,490.24","14,096.73",57.30,57.30,"120,057.30",,"33,145.03","34,320.98","34,320.98","7,551.29","8,074.65","8,167.15","17,018.76","34,066.30","27,974.76",,"36,606.97","10,473.53","17,127.86","40,620.17","1,844,849.77","24,540.66","982,844.87","1,152,787.68","1,173,644.96","3,592.19","27,542.74","68,127.19","45,686.35","812,986.07","948,639.22"
管理费用,"9,620,482.18","13,419,021.65","17,418,214.87","10,457,659.01","17,510,447.65","22,474,675.40","6,915,362.21","13,579,599.60","19,844,232.26","25,877,839.04","8,957,363.08","15,395,590.79","24,289,600.85","33,687,693.49","11,693,800.61","19,051,765.09","31,363,647.79","40,993,554.37","14,069,546.82","26,827,091.85","40,990,474.02","67,529,711.60","24,206,844.49","48,404,944.71","75,024,312.79","112,595,667.66","32,664,850.50","62,084,802.19","92,630,534.94","144,123,072.97","36,969,075.89","72,702,067.25"
其中:非流动资产处置净损失,36.48,,857.12,,,57.30,,"33,145.03","34,320.98","34,320.98",,492.59,585.09,,,,,"8,513.01",,"16,827.86","38,090.82","39,662.57",,"27,680.57",,"67,928.84",,"25,556.39","64,940.84",,,
