科目,2007年度,2008年度,2009年度,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月,2018年1-9月,2018年度,2019年1-3月
销售商品、提供劳务收到的现金,"402,333,836.76","393,208,331.16","448,385,849.35","178,801,879.88","339,315,015.56","490,717,093.48","106,293,983.66","254,319,589.32","417,535,143.48","597,910,887.91","130,494,939.61","289,803,665.02","493,847,097.51","677,370,240.42","147,484,973.96","330,771,763.92","558,387,260.13","817,400,056.60","180,084,060.03","392,450,285.34","667,119,678.43","1,011,463,222.44","218,376,815.04","557,945,814.25","871,945,878.78","1,275,076,087.19","347,733,949.10","757,985,194.44","1,338,274,185.45","2,259,983,752.46","483,271,959.57","1,119,591,081.13","1,868,582,866.73","2,621,795,557.30","604,836,618.40","1,245,700,518.38","1,999,176,372.82","2,955,974,532.74","593,859,734.68"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,,,,"40,625,260.54",,,,,,,"117,505,282.47","117,019,282.47",,"52,733,374.26","52,733,374.26","52,733,374.26",,"390,777,160.79","390,777,160.79","388,798,364.35",,"54,597,999.22","179,597,999.22","182,597,999.22",,,,,
收到的税费返还,,,,,,,,"153,936.20","125,580.03","83,687.74","866,356.67","12,636,800.13","15,565,141.81","24,698,930.62","5,936,052.12","23,487,433.04","31,755,451.24","29,707,440.95","4,600,025.38","14,701,997.11","24,214,858.89","33,558,825.22","11,741,210.93","19,340,196.83","29,859,605.23","56,086,004.48","15,440,619.32","31,402,344.63","41,141,555.35","49,375,945.83","15,478,044.45","32,246,220.19","59,918,902.67","60,863,800.66","11,547,443.34","27,941,431.82","53,946,369.07","50,990,485.25","15,204,310.09"
支付其他与投资活动有关的现金,,,,,,,,,,"10,000,000.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
收到其他与经营活动有关的现金,"18,105,152.57","17,544,955.20","16,916,635.51","7,982,454.39","8,120,181.43","10,716,734.22","1,298,694.89","6,737,436.88","8,336,683.58","15,264,973.91","1,627,187.87","17,988,645.14","15,662,827.98","50,336,799.86","1,582,005.60","4,735,747.98","13,873,235.56","30,611,999.91","12,755,129.61","23,250,688.56","29,825,912.08","39,416,635.38","9,495,531.33","22,863,264.23","51,260,857.55","62,737,243.57","15,500,870.99","62,394,802.14","99,715,457.68","49,982,048.32","13,366,626.46","55,406,809.01","88,302,962.01","147,612,168.65","30,273,007.87","35,755,206.82","70,365,940.79","94,916,632.76","32,052,285.44"
投资活动现金流出小计,"99,216,315.64","47,171,480.02","18,334,726.81","21,771,040.00","31,009,000.55","34,335,603.65","12,393,488.21","34,214,322.89","85,924,941.71","107,545,310.39","52,368,936.43","59,441,830.08","97,041,136.90","215,568,863.61","14,850,480.42","38,780,969.06","62,687,779.33","88,614,111.92","85,844,895.36","93,508,100.90","228,623,178.95","242,980,038.65","28,457,030.37","83,337,219.06","87,807,880.05","98,494,508.21","36,718,733.97","431,393,930.03","530,415,039.77","560,179,912.56","11,533,725.65","73,628,129.26","224,436,414.02","275,860,886.34","65,600,409.65","842,510,446.97","1,914,989,734.39","3,280,086,119.15","520,592,915.70"
经营活动现金流入小计,"420,438,989.33","410,753,286.36","465,302,484.86","186,784,334.27","347,435,196.99","501,433,827.70","107,592,678.55","261,210,962.40","425,997,407.09","613,259,549.56","132,988,484.15","320,429,110.29","525,075,067.30","752,405,970.90","155,003,031.68","358,994,944.94","604,015,946.93","877,719,497.46","197,439,215.02","430,402,971.01","721,160,449.40","1,084,438,683.04","239,613,557.30","600,149,275.31","953,066,341.56","1,393,899,335.24","378,675,439.41","851,782,341.21","1,479,131,198.48","2,359,341,746.61","512,116,630.48","1,207,244,110.33","2,016,804,731.41","2,830,271,526.61","646,657,069.61","1,309,397,157.02","2,123,488,682.68","3,101,881,650.75","641,116,330.21"
投资活动产生的现金流量净额,"-99,204,315.64","-39,523,682.69","-15,123,758.55","-21,223,131.68","-30,461,026.85","-33,934,929.28","-12,383,488.21","-34,186,322.89","-85,846,941.71","-107,387,393.65","-42,368,436.43","-49,441,330.08","-87,016,636.90","-205,544,363.61","-14,850,480.42","-38,750,036.06","-62,630,846.33","-88,561,673.46","-85,844,895.36","-93,480,100.90","-225,347,778.95","-210,383,814.96","-28,442,030.37","-82,833,827.94","-86,614,488.93","-97,080,118.95","-36,683,733.97","-431,317,930.03","-530,298,050.19","-557,845,097.41","-9,753,725.65","-71,848,129.26","-222,532,721.54","-262,160,685.67","-58,600,409.65","-835,392,846.97","-999,240,539.32","-997,159,632.37","-75,068,148.40"
购买商品、接受劳务支付的现金,"262,724,849.23","234,832,373.74","259,428,340.02","99,323,499.64","208,270,015.24","298,335,700.47","74,270,370.08","161,941,976.14","298,442,343.36","378,008,264.27","66,583,789.94","144,539,132.11","241,491,193.06","330,924,757.21","71,081,467.89","150,379,088.67","268,502,123.89","363,852,123.95","104,235,030.73","202,654,403.99","378,024,201.83","501,929,339.31","106,829,370.86","315,187,835.63","518,715,757.02","685,340,024.25","214,115,930.09","511,430,642.18","845,778,896.37","1,395,382,277.58","389,285,897.35","991,667,215.94","1,463,738,767.64","1,872,351,485.38","611,895,919.31","1,096,880,343.62","1,853,712,026.51","2,168,433,724.47","377,660,114.55"
吸收投资收到的现金,"50,000,000.00",,,,,"774,000,000.00",,,,,,"46,886,450.00","46,886,450.00","46,886,450.00","4,305,000.00","4,305,000.00","4,305,000.00","4,305,000.00",,,,,,,,,,"204,630.00","544,630.00","879,411.60","9,800,000.00","10,140,000.00","11,240,000.00","13,770,000.00","600,000,000.00","615,000,000.00","615,000,000.00","609,000,000.00",
支付给职工以及为职工支付的现金,"42,094,266.60","45,525,929.19","58,166,002.98","35,553,546.46","53,155,485.16","73,316,073.09","28,198,045.98","50,391,642.32","75,855,995.34","104,397,764.86","38,308,983.47","69,438,964.64","105,154,089.13","136,667,000.94","49,587,087.77","88,057,813.54","136,084,219.46","170,208,910.41","60,587,610.57","111,124,865.83","170,537,022.17","240,271,321.59","81,552,366.53","158,776,475.08","238,329,340.43","326,104,049.43","73,863,730.67","154,873,432.27","234,143,661.18","342,753,226.36","103,318,965.59","202,571,051.03","300,286,077.12","422,657,321.16","142,100,338.17","265,043,167.96","372,784,224.56","500,574,447.04","152,484,066.00"
取得借款收到的现金,"58,000,000.00","50,000,000.00","92,000,000.00","10,000,000.00","10,000,000.00","10,000,000.00",,,,,,,,,,,,,,,,,,"130,000,000.00","250,000,000.00","480,000,000.00","480,000,000.00","880,000,000.00","1,420,000,000.00","1,420,000,000.00","420,000,000.00","740,000,000.00","1,480,000,000.00","1,638,000,000.00","510,000,000.00","790,000,000.00","1,280,000,000.00","1,810,000,000.00","210,000,000.00"
支付的各项税费,"34,272,530.62","49,140,111.55","34,128,737.32","15,982,339.50","27,817,088.23","40,941,431.17","7,321,804.94","25,738,298.60","45,333,536.83","66,334,883.90","7,243,298.73","24,482,892.02","48,307,461.89","74,353,932.22","15,827,911.53","36,165,202.91","64,773,695.64","96,697,199.10","12,830,836.03","31,343,054.97","63,450,836.77","113,055,026.26","20,756,066.21","52,248,364.28","89,075,833.70","126,709,548.55","26,030,039.66","71,878,592.57","190,387,720.56","161,027,492.74","62,286,892.82","129,313,463.18","195,582,931.29","212,940,508.46","77,078,198.43","119,469,844.31","167,162,064.98","188,929,201.09","74,271,871.07"
收到其他与筹资活动有关的现金,,,,,,,,,"20,000.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"9,000,000.00",
支付其他与经营活动有关的现金,"22,995,018.84","34,711,861.98","31,522,920.68","21,884,203.79","32,442,323.72","53,257,643.57","13,303,238.90","28,117,209.94","51,584,190.76","75,751,471.31","17,402,224.15","39,175,257.68","65,304,027.69","83,289,533.49","19,766,646.42","39,000,159.64","65,883,304.12","98,635,715.33","25,980,815.63","53,716,778.40","88,880,720.36","141,710,092.94","38,751,177.70","73,887,009.59","113,676,694.44","147,640,183.89","56,100,931.05","140,434,303.46","164,904,206.06","222,976,102.40","64,989,454.62","115,334,420.24","220,841,319.62","269,124,429.64","48,881,471.80","126,978,761.24","173,378,079.02","205,718,023.06","57,063,098.08"
筹资活动现金流入小计,"108,000,000.00","50,000,000.00","92,000,000.00","10,000,000.00","10,000,000.00","784,000,000.00",,,"20,000.00",,,"46,886,450.00","46,886,450.00","46,886,450.00","4,305,000.00","4,305,000.00","4,305,000.00","4,305,000.00",,,,,,"130,000,000.00","250,000,000.00","480,000,000.00","480,000,000.00","880,204,630.00","1,420,544,630.00","1,420,879,411.60","429,800,000.00","750,140,000.00","1,491,240,000.00","2,516,275,700.00","1,110,000,000.00","1,405,000,000.00","1,895,000,000.00","2,428,000,000.00","210,000,000.00"
经营活动现金流出小计,"362,086,665.29","364,210,276.46","383,246,001.00","172,743,589.39","321,684,912.35","465,850,848.30","123,093,459.90","266,189,127.00","471,216,066.29","624,492,384.34","129,538,296.29","277,636,246.45","460,256,771.77","625,235,223.86","156,263,113.61","313,602,264.76","535,243,343.11","729,393,948.79","203,634,292.96","398,839,103.19","700,892,781.13","996,965,780.10","247,888,981.30","600,099,684.58","959,797,625.59","1,285,793,806.12","370,110,631.47","878,616,970.48","1,435,214,484.17","2,122,139,099.08","619,881,210.38","1,438,886,150.39","2,180,449,095.67","2,777,073,744.64","879,955,927.71","1,608,372,117.13","2,567,036,395.07","3,063,655,395.66","661,479,149.70"
偿还债务支付的现金,"11,000,000.00","58,000,000.00","91,000,000.00","11,000,000.00","11,000,000.00","11,000,000.00","50,000,000.00","50,000,000.00","50,000,000.00","50,000,000.00",,,,,,,,,,,,,,"16,000,000.00","126,000,000.00","146,000,000.00","30,000,000.00","477,700,000.00","1,017,700,000.00","1,017,700,000.00","340,000,000.00","340,000,000.00","970,000,000.00","1,235,540,000.00","431,620,000.00","713,240,000.00","1,254,870,000.00","1,837,470,000.00","449,990,000.00"
