科目,2008年度,2009年度,2010年度,2011年1-6月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月
一、营业收入,"550,283,030.74","845,673,233.95","1,196,210,524.34","678,249,154.22","1,514,822,686.14","362,450,289.60","715,162,195.67","1,082,968,113.91","1,763,603,529.56","426,391,325.07","830,902,671.61","1,293,128,634.94","1,921,271,411.99","520,385,378.03","1,020,247,145.60","1,509,069,531.03","2,049,804,116.47","518,108,235.38","1,040,668,809.81","1,512,451,348.44","2,175,808,939.92","503,974,826.24","1,043,188,825.89","1,496,903,274.47","2,214,702,428.70","474,081,711.58","974,330,852.17","1,457,544,536.96"
二、营业利润,"29,172,168.70","133,455,853.93","263,223,939.05","123,707,312.58","361,653,714.82","41,832,235.19","86,285,772.21","114,723,541.23","387,871,799.15","55,676,271.24","101,004,722.67","160,624,282.48","365,097,012.18","141,725,921.06","252,424,684.54","354,290,062.33","371,691,281.80","133,968,409.46","201,600,103.40","282,323,264.05","389,723,289.38","101,634,077.38","162,857,138.00","225,492,295.56","344,720,060.81","61,517,262.82","142,461,229.09","189,037,313.70"
减:营业成本,"338,277,865.05","486,702,969.97","653,719,545.97","380,767,506.43","788,379,098.53","197,571,409.42","395,466,720.95","621,638,237.89","882,567,243.18","237,742,976.77","475,071,900.33","737,636,670.03","1,039,901,089.63","249,550,523.85","510,612,706.92","779,565,793.64","1,117,733,548.76","253,779,541.65","555,161,510.89","817,194,466.49","1,169,354,642.46","267,776,623.54","596,018,693.64","863,108,152.10","1,251,630,970.88","279,961,585.12","593,304,626.39","879,218,737.30"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"13,950,032.58","8,277,102.60","13,589,094.55","7,717,368.98","20,068,342.14","10,993,708.14","22,426,737.66","34,817,522.49","62,361,027.20","12,814,819.00","25,042,024.58","34,857,549.70","44,770,396.80","3,132,104.02","6,958,686.57","10,594,934.57","17,555,508.22","1,938,877.80","3,526,197.10","5,777,450.99","10,713,242.54","1,542,237.99","2,636,985.03","2,914,604.83","10,670,319.96","2,961,888.77","5,938,622.65","10,355,725.40"
营业外收入,"5,583,130.01","24,291,257.58","18,863,862.62","1,738,933.23","25,214,878.72","2,886,197.93","6,308,657.12","7,752,326.81","16,310,435.33","1,094,658.87","6,952,153.03","7,473,197.04","42,069,899.55","5,411,843.32","17,638,155.47","18,898,495.61","41,824,033.34","938,260.13","3,553,690.95","5,796,011.84","22,658,671.73","1,343,499.21","3,010,392.99","5,997,125.94","25,128,465.12","1,802,833.56","12,810,987.37","16,615,517.83"
销售费用,"34,095,785.13","39,862,607.91","52,586,048.46","33,836,040.98","92,516,227.62","21,330,861.09","42,274,858.32","66,347,755.35","98,816,420.75","25,258,886.68","51,233,098.72","80,270,410.29","116,946,164.35","42,099,964.72","86,714,836.76","135,528,743.51","173,735,197.06","46,782,582.48","74,543,091.20","121,575,117.07","220,972,097.05","51,278,493.05","97,661,374.54","143,028,624.98","223,555,839.66","69,934,719.64","103,319,771.42","164,971,546.48"
减:营业外支出,"2,889,986.85","2,412,589.82","9,646,685.16","648,106.62","1,572,423.50","249,593.67","490,324.71","1,985,669.00","2,681,340.04","39,096.90","484,143.59","852,129.87","3,061,149.91","223,536.45","405,068.47","716,950.17","3,895,045.01","243,068.00","2,268,066.28","2,637,275.54","3,987,013.67","74,877.90","759,819.21","1,055,682.97","3,425,821.81","582,975.88","1,161,774.82","3,248,830.22"
管理费用,"98,639,932.68","131,786,049.23","189,701,204.04","113,700,875.61","227,470,891.34","82,734,485.44","151,710,317.58","229,168,694.62","314,438,373.63","88,237,997.58","168,781,727.31","262,832,036.61","348,400,129.97","79,461,688.16","146,601,880.01","223,907,747.35","334,198,881.39","75,869,132.83","176,766,031.28","246,115,344.15","348,128,357.59","80,496,213.17","164,858,136.45","238,980,231.97","332,638,130.36","75,708,353.35","167,967,638.74","241,977,558.97"
其中:非流动资产处置净损失,"776,625.41","197,162.17","1,362,758.91","154,503.73","270,556.43",,"9,907.95","121,487.35","216,280.03",,,,"158,212.73",,"7,889.22",,"1,632,608.80","23,477.15","16,962.60","54,008.10","153,541.03","3,119.92","200,273.57","242,355.55","244,479.03","253,890.78","291,722.64","291,722.64"
堪探费用,,,,,,,,,,,,,,,,,,,,,,,,,,,,
加:影响利润总额的其他科目,,,,,,,,,,,,,,,,,,,,,,,,,,,,
财务费用,"19,005,975.39","38,190,847.15","26,018,221.80","18,934,452.15","31,241,429.99","7,988,184.52","10,223,193.18","10,040,528.95","10,175,925.69","4,019,858.27","-274,644.25","14,994,960.65","3,868,405.30","5,257,648.61","8,472,051.96","2,141,223.93","23,317,384.30","18,269,691.16","35,966,159.53","46,592,490.58","47,668,704.84","19,466,359.19","34,814,503.55","47,834,867.39","54,316,603.03","14,280,419.62","29,132,146.08","47,444,096.23"
三、利润总额,"31,865,311.86","155,334,521.69","272,441,116.51","124,798,139.19","385,296,170.04","44,468,839.45","92,104,104.62","120,490,199.04","401,500,894.44","56,731,833.21","107,472,732.11","167,245,349.65","404,105,761.82","146,914,227.93","269,657,771.54","372,471,607.77","409,620,270.13","134,663,601.59","202,885,728.07","285,482,000.35","408,394,947.44","102,902,698.69","165,107,711.78","230,433,738.53","366,422,704.12","62,737,120.50","154,110,441.64","202,404,001.31"
资产减值损失,"17,520,887.57","5,553,893.49","-2,627,529.53","-414,402.51","-6,507,018.30",-594.20,"6,774,595.77","6,231,833.38","7,372,739.96","2,640,515.53","10,043,842.25","1,912,725.18","9,460,938.79","1,067,834.46","10,372,605.69","4,951,332.55","13,482,621.79",,"5,605,716.41","5,018,140.12","13,425,854.98",,"4,934,671.83","4,945,399.79","27,121,586.98","-231,784.52","-2,862,794.74","-2,862,794.74"
减:所得税,"3,130,069.39","70,529.16","212,075.25","81,609.58","321,486.55",,,,,,"62,816.67","62,816.67","2,001,669.44","2,000.00","2,000.00","2,514.88","794,348.22",,"5,797.57","25,549.63","597,502.90",,,"254,777.22","-1,046,759.11","-578,830.36","-1,232,574.45","-538,755.77"
加:公允价值变动净收益,,,,,,,,,,,,,,,,,,,,,,,,,,"1,035,428.30","1,035,428.30","1,035,428.30"
加:影响净利润的其他科目,,,,,,,,,,,,,,,,,,,,,,,,,,,,
投资收益,"379,616.36","-1,843,909.67",,,,,,,,,,,"7,172,725.03","1,910,306.85","1,910,306.85","1,910,306.85","1,910,306.85","12,500,000.00","12,500,000.00","12,144,925.01","24,177,248.92","18,219,178.08","20,592,677.15","29,400,902.15","29,951,082.98","29,015,304.92","58,207,020.44","64,931,726.06"
四、净利润,"28,735,242.47","155,263,992.53","272,229,041.26","124,716,529.61","384,974,683.49","44,468,839.45","92,104,104.62","120,490,199.04","401,500,894.44","56,731,833.21","107,409,915.44","167,182,532.98","402,104,092.38","146,912,227.93","269,655,771.54","372,469,092.89","408,825,921.91","134,663,601.59","202,879,930.50","285,456,450.72","407,797,444.54","102,902,698.69","165,107,711.78","230,178,961.31","367,469,463.23","63,315,950.86","155,343,016.09","202,942,757.08"
其中:对联营企业和合营企业的投资权益,,,,,,,,,,,,,,,,,,,,,"-822,751.08",,,,"-497,772.10","-246,290.41",,"-776,544.80"
归属于母公司所有者的净利润,"28,604,144.79","135,427,566.09","271,550,108.40","118,447,179.72","363,893,351.78","40,730,706.13","83,683,719.71","115,288,376.87","383,499,751.05","45,712,142.57","93,408,848.29","153,181,465.83","402,104,092.38","146,912,227.93","269,665,153.99","372,834,073.81","409,789,183.36","135,311,275.91","204,255,229.03","287,735,410.21","411,345,068.60","104,580,764.91","168,303,000.07","234,689,972.65","366,014,700.74","65,795,375.23","159,534,276.21","215,196,228.17"
影响营业利润的其他科目,,,,,,,,,,,,,,,,,,,,,,,,,,,,
少数股东损益,"131,097.68","19,836,426.44","678,932.86","6,269,349.89","21,081,331.71","3,738,133.32","8,420,384.91","5,201,822.17","18,001,143.39","11,019,690.64","14,001,067.15","14,001,067.15",,,"-9,382.45","-364,980.92","-963,261.45","-647,674.32","-1,375,298.53","-2,278,959.49","-3,547,624.06","-1,678,066.22","-3,195,288.29","-4,511,011.34","1,454,762.49","-2,479,424.37","-4,191,260.12","-12,253,471.09"
