科目,2007-12-31,2008-12-31,2009-12-31,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31
货币资金,"28,606,228.07","10,020,489.18","35,845,440.32","30,143,423.04","19,987,481.63","406,266,152.52","314,271,080.84","306,947,982.44","302,155,188.09","281,868,403.47","223,951,235.08","208,394,422.24","129,161,574.92","83,120,908.07","39,220,315.84","63,233,908.89","85,044,949.00","70,167,333.27","88,906,569.28","109,232,176.30","79,177,151.21","58,530,601.13","78,818,333.65","88,610,520.23","93,848,986.01","96,938,411.95","5,733,611,961.48","5,868,411,788.76","6,345,718,958.19","7,318,171,140.49","7,333,730,254.66","7,216,697,083.47","7,535,793,551.07","7,077,174,925.88","5,993,216,087.51","5,322,074,315.35","4,941,827,812.91","5,034,165,986.41"
短期借款,"41,000,000.00","53,000,000.00","16,000,000.00","47,210,054.50","39,710,054.50","39,710,054.50",,,,,,,,,,"50,000,000.00","50,000,000.00","50,000,000.00","50,000,000.00","50,000,000.00",,,,,,,,,,,,,,,,,,
交易性金融资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"13,371,345.11",,,,,"405,562,500.00"
交易性金融负债,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应收票据,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应付票据,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应收账款,"4,384,424.98","10,016,124.73","4,805,313.82","4,638,707.15","5,459,097.89","5,468,235.00","8,929,516.81","9,121,809.42","13,880,993.54","6,678,381.41","14,722,406.95","17,848,009.55","17,213,142.51","16,618,756.82","23,499,153.23","22,880,885.49","25,771,894.60","12,430,262.45","20,385,230.43","23,782,494.76","10,042,648.68",,"19,193,132.39","20,970,395.49","10,237,017.23","5,674,350.71","242,998,426.19","344,469,351.09","325,021,630.75","197,958,969.25","172,017,499.83","220,770,265.04","1,165,629,842.78","1,289,396,588.83","2,030,851,651.74","1,781,893,570.51","786,136,896.20","518,099,796.74"
应付账款,"5,568,511.28","6,580,449.29","4,707,097.52","14,008,357.83","7,268,773.76","1,767,275.37","7,841,967.65","5,264,308.89","5,828,791.71","7,802,728.79","3,768,134.71","3,854,901.87","5,078,663.76","5,790,383.98","6,960,219.96","18,415,000.82","31,393,148.72","18,602,409.33","20,504,317.89","23,756,551.94","26,163,939.27","15,900,495.92","28,091,727.99","36,542,888.66","21,312,986.14","25,076,437.68","45,899,402.04","45,103,150.42","58,081,498.62","98,793,239.02","67,230,624.49","75,955,133.66","370,483,208.74","303,467,569.74","299,011,600.70",,"21,631,589.86",
预付款项,"720,762.88","688,877.51","2,491,136.09","2,366,274.91","3,274,930.74","4,888,644.03","4,566,791.33","3,028,173.33","3,319,805.78","7,213,890.87","6,105,807.33","5,715,843.77","6,526,196.81","11,677,917.11","19,395,126.05","12,650,664.67","6,240,496.35","9,088,411.39","11,985,978.05","14,105,569.74","8,884,394.37","6,639,129.56","10,134,144.10","8,248,512.13","6,924,488.11","6,589,939.89","30,827,114.20","59,526,131.02","37,702,010.41","32,867,157.02","41,290,763.68","43,241,653.90","83,830,258.50","105,743,383.78","127,323,722.90","103,146,279.84","76,862,170.43","73,588,126.16"
预收款项,"19,910,758.55","14,116,981.31","13,629,169.00","14,463,749.40","5,528,614.59","6,953,817.27","5,373,831.19","148,049.34","602,839.34","6,475,587.17","2,643,325.39","1,322,414.57","890,785.43","3,101,349.44","1,281,035.80","319,246.37","3,985,684.98","8,531,121.82","7,301,671.65","8,458,320.11","3,925,613.23","10,329,380.60","1,792,267.84","4,075,952.84","2,216,899.39","3,860,597.44","23,025,319.76","32,408,536.54","30,860,525.62","28,870,251.20","15,406,596.26","18,644,315.79","18,292,207.58","7,107,216.75","8,773,173.89","21,355,132.33","20,769,801.74","22,779,033.35"
其他应收款,"2,402,371.10","1,802,430.26","2,361,736.68","5,264,379.01","4,498,049.33","1,887,217.95","1,387,103.28","2,622,625.62","984,968.74","948,311.88","1,324,123.44","1,372,486.40","43,351,060.40","43,555,902.87","1,670,672.43","1,949,646.83","5,725,706.02","8,254,777.46","9,138,413.99","4,453,368.28","7,725,299.10",,"9,608,879.61","13,393,839.39","13,781,331.30","13,486,817.84","730,436,082.42","781,305,433.44","827,018,680.15","262,228,175.04","173,172,761.49","119,216,499.07","1,383,228,145.64","1,866,971,051.28","1,307,910,959.91","1,335,644,094.38","445,081,239.43","440,372,485.07"
应付职工薪酬,"937,658.00",,,"32,971.45","43,225.64","30,228.74","9,714.13","11,837.25","85,242.67","78,222.40","109,137.83","137,660.34","101,129.18","44,105.94","128,479.34","-322,351.76","223,277.98","239,805.55","262,571.45","471,247.69","384,941.32","515,636.47","672,647.75","873,692.34","2,985,829.76","3,579,515.40","86,479,899.17","123,236,031.51","116,130,203.66","99,288,151.97","152,681,478.24","129,640,279.12","204,419,963.81","138,970,091.07","176,187,014.24","188,035,613.20","206,172,103.35","112,975,652.65"
应收关联公司款,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应交税费,"5,291,477.92","3,981,634.74","3,630,654.59","8,420,838.38","7,979,470.11","7,303,616.03","2,496,235.74","5,031,882.36","4,815,596.88","-2,061,764.32","-707,396.56","2,708,296.48","4,742,853.59","2,114,182.28","-515,810.14","1,211,100.65","7,209,910.39","2,835,135.41","1,549,245.80","957,332.74","9,223,267.55","7,732,018.83","4,118,451.27","1,662,268.52","230,277.21","1,632,833.07","211,490,345.65","236,911,107.27","233,607,607.48","235,898,766.92","200,607,350.96","179,932,969.27","376,705,290.84","373,317,867.13","396,178,183.62","372,719,825.42","119,881,908.30","129,982,421.90"
应收利息,,,,,,,,,,,,,,,,,,,,,,,,,,,"786,831.98","17,428,860.30","2,662,140.95","4,206,002.44","6,326,204.69","5,702,643.25","6,759,124.01","9,366,808.81","6,939,230.87",,"1,724,142.22","2,909,890.09"
应付利息,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,662,060.70","1,802,955.56","1,813,670.87","3,338,760.39","5,278,253.10","6,666,923.64","9,401,160.06","14,574,418.40","20,326,195.20",,"30,625,123.54","34,620,742.94"
应收股利,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应付股利,,,,,,,,,,,,,,,,,,,"5,950,000.00",,,,,,,,,,"20,000.00",,,,,,"404,875,986.40",,,
存货,"1,212,936.48","1,597,736.59","3,271,965.69","3,482,384.72","3,585,898.71","1,815,160.67","5,097,653.71","5,859,375.31","10,276,436.93","9,943,970.38","10,340,782.09","10,732,803.39","11,134,646.25","13,994,732.64","57,057,110.46","103,428,862.06","105,690,777.40","107,224,652.99","109,378,534.52","104,214,354.53","105,066,465.67",,"107,323,760.19","108,165,855.62","104,928,033.53","105,976,348.96",,,,,,,,,,,,
其他应付款,"4,992,883.83","2,872,833.08","4,981,086.58","5,316,359.08","5,946,803.89","15,125,614.44","9,538,849.02","9,448,646.87","5,967,268.36","3,713,202.47","3,486,665.73","3,736,062.87","4,653,626.48","7,485,086.68","16,626,700.79","9,495,268.37","11,865,361.42","11,270,673.19","11,248,197.85","10,265,684.72","9,497,329.68","10,347,010.28","9,448,793.39","10,446,872.51","9,725,108.06","5,672,629.85","94,007,655.22","83,980,697.89","121,833,473.24","100,874,389.46","124,553,764.58","90,225,164.10","1,265,187,296.87","1,013,397,406.51","1,044,405,584.14","933,460,608.59","129,212,521.81","128,759,695.89"
其中:消耗性生物资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应付关联公司款,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
一年内到期的非流动资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"162,783,597.28",,,,,
一年内到期的非流动负债,,,,,"10,000,000.00",,,,,,,,,,,,,,,,,,,,,,,,,,"407,285,049.60",,,,"39,699,600.00","41,275,200.00","561,395,028.72","455,992,620.00"
其他流动资产,,,,,,,,,,,,,,,,,,,,,,"125,422,833.70","1,247,882.55","778,356.32","829,349.40","802,224.70","15,779,552.33","23,901,002.82","24,740,440.81","16,296,232.73","49,523,365.61","13,725,517.08","17,360,885.53","15,905,271.66","24,686,073.81","443,661,783.87","477,177,998.27","81,440,734.59"
其他流动负债,,,,,,,,,,,,,,,,,,,,,,,,,,,"263,369,336.75","305,933,124.84","486,302,809.24","498,304,847.67","55,772,516.10","407,808,567.50","89,999,981.24","85,365,649.48","331,791,303.03","597,284,262.39","232,960,413.63","198,022,544.97"
流动资产合计,"37,326,723.51","24,125,658.27","48,775,592.60","45,895,168.83","36,805,458.30","420,325,410.17","334,252,145.97","327,579,966.12","330,617,393.08","306,652,958.01","256,444,354.89","244,063,565.35","207,386,620.89","168,968,217.51","140,842,378.01","204,143,967.94","228,473,823.37","207,165,437.56","239,794,726.27","255,787,963.61","210,895,959.03","190,592,564.39","226,326,132.49","240,167,479.18","230,549,205.58","229,468,094.05","6,754,439,968.60","7,095,042,567.43","7,562,863,861.26","7,831,727,676.97","7,776,060,849.96","7,619,353,661.81","10,368,756,749.92","10,364,558,030.24","9,490,927,726.74","8,986,420,043.95","6,727,086,117.24","6,553,229,628.97"
流动负债合计,"77,701,289.58","80,551,898.42","42,948,007.69","89,452,330.64","76,476,942.49","70,890,606.35","25,260,597.73","19,904,724.71","17,299,738.96","16,007,976.51","9,299,867.10","11,759,336.13","15,467,058.44","18,535,108.32","24,480,625.75","79,118,264.45","104,677,383.49","91,479,145.30","96,816,004.64","93,909,137.20","49,195,091.05","44,824,542.10","44,123,888.24","53,601,674.87","36,471,100.56","39,822,013.44","725,934,019.29","829,375,604.03","1,048,649,788.73","1,065,368,406.63","1,028,815,633.33","908,873,353.08","3,105,880,035.05","2,700,114,408.35","3,315,571,547.73","2,531,687,689.35","1,292,023,367.41","1,073,211,837.29"
可供出售金融资产,,,,,,,,,,,,,,,,,,,,,,,,,,,"66,902,285.69","81,446,721.50","86,767,107.54","225,374,703.21","274,613,882.13","580,988,298.68","461,774,212.99","463,652,075.45","665,707,925.98","645,933,008.28","987,534,550.02",
长期借款,,,"37,000,000.00","49,000,000.00","39,000,000.00","49,000,000.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
持有至到期投资,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应付债券,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
长期应收款,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
长期应付款,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"206,979,000.00","203,232,000.00","199,107,000.00","601,146,400.00","578,505,200.00","410,229,200.00","426,510,400.00",,
