科目,2011年度,2012年度,2013年度,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月
销售商品、提供劳务收到的现金,"153,995,274.48","164,116,161.61","177,629,233.27","99,174,207.45","163,250,946.94","232,877,205.03","35,639,036.11","93,248,365.70","168,234,288.55","244,221,664.20","52,977,861.06","104,724,342.76","199,077,067.14","262,151,236.90","79,743,815.03","171,964,114.51","317,453,937.72","373,751,360.86","101,050,509.96"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,"26,534,887.59",,,"11,869,926.16","23,517,713.50",,"19,252,747.50","45,652,747.50","45,923,774.35",
收到的税费返还,"1,005,183.77",,"619,289.63","958,838.63","958,838.63","893,967.61","840,693.82","840,693.82","840,693.82","2,207,979.62",,"705,944.11","1,642,107.90","7,151,690.32","1,966,501.92","2,147,539.80","5,873,969.84","7,759,125.83","1,175,110.44"
支付其他与投资活动有关的现金,,,,"10,000,000.00","8,000,000.00",,,"50,000,000.00","50,000,000.00","20,000,000.00",,,"3,301,540.00","100,000,000.00","90,000,000.00","190,000,000.00","190,000,000.00","292,000,000.00","100,000,000.00"
收到其他与经营活动有关的现金,"2,748,184.17","3,583,381.66","3,539,517.47","2,524,910.79","3,654,604.46","5,246,133.43","1,417,030.88","1,658,617.61","3,530,084.81","7,341,389.76","2,996,634.90","3,826,697.65","7,803,203.81","5,100,437.97","841,272.74","2,765,384.22","8,287,057.43","13,313,705.85","3,651,880.89"
投资活动现金流出小计,"15,958,478.49","34,799,298.78","22,583,596.37","20,955,211.34","29,821,484.71","9,243,416.71","50,713,741.77","53,743,596.04","61,061,689.83","80,534,582.70","10,133,298.51","23,490,622.77","45,508,572.76","142,611,640.53","103,429,682.53","222,318,596.57","260,064,151.50","418,966,963.74","108,952,569.66"
经营活动现金流入小计,"157,748,642.42","167,699,543.27","181,788,040.37","102,657,956.87","167,864,390.03","239,017,306.07","37,896,760.81","95,747,677.13","172,605,067.18","253,771,033.58","55,974,495.96","109,256,984.52","208,522,378.85","274,403,365.19","82,551,589.69","176,877,038.53","331,614,964.99","394,824,192.54","105,877,501.29"
投资活动产生的现金流量净额,"-15,859,860.53","-34,683,211.79","-22,424,999.62","-20,790,896.77","-29,337,761.11","-8,492,958.36","-50,375,484.34","-52,697,252.99","-59,916,832.34","-76,761,568.38","11,285,021.23","-1,208,765.89","-22,926,334.38","-115,047,872.34","-2,240,087.78","-29,964,649.52","-59,260,551.12","-99,203,898.33","-106,450,686.59"
购买商品、接受劳务支付的现金,"90,201,547.11","67,270,847.65","93,237,396.49","51,204,224.01","79,850,657.40","121,151,706.04","22,484,164.19","45,272,294.46","75,137,023.54","101,506,294.50","18,211,225.20","58,003,091.18","98,359,566.49","105,782,079.26","51,787,643.91","135,273,046.61","226,247,975.27","209,134,792.84","72,694,999.52"
吸收投资收到的现金,,,,,,"164,240,000.00",,,,,,,"340,641,000.00","384,408,925.00",,,"8,000,000.00","14,684,700.00",
