科目,2010年度,2011年度,2012年度,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月
销售商品、提供劳务收到的现金,"75,645,601.09","99,202,292.90","127,650,002.36","45,814,202.76","79,375,181.81","149,807,925.20","16,619,680.50","50,631,704.10","95,145,669.34","182,136,462.24","19,849,784.22","66,184,987.22","115,162,916.47","248,304,646.44","30,618,813.50","96,897,491.11","169,213,687.03","324,146,035.18","48,604,459.86","132,358,015.96","234,084,005.94"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,,,,,,,"2,307,170.04","19,113,758.30",,,
收到的税费返还,"26,923.07",,"496,341.92","567,348.87","699,028.49","1,412,021.44",,"595,690.18","595,690.18","816,107.82","517,419.99","517,419.99","1,585,205.80","593,006.96",,"265,181.91","834,251.00","1,811,767.15",,"439,701.97","3,539,799.79"
支付其他与投资活动有关的现金,,,,,,,,,,,,,,,,"10,050,000.00","10,050,000.00","10,000,000.00",,,"10,000,000.00"
收到其他与经营活动有关的现金,"1,586,203.21","1,646,822.69","3,197,469.37","1,516,658.44","1,881,266.62","2,400,167.01","266,261.72","2,081,906.01","2,628,529.54","6,603,789.82","1,193,923.35","1,664,486.17","7,727,570.31","9,025,482.54","479,240.37","7,303,880.31","16,706,537.06","34,678,449.67","92,994,142.83","243,867,878.62","452,155,937.70"
投资活动现金流出小计,"4,984,774.02","47,648,891.82","5,645,972.25","2,905,101.26","4,295,227.68","5,586,097.06","54,034,497.92","57,748,182.72","60,556,180.92","66,080,316.59","20,703,657.40","47,605,675.37","70,589,433.17","70,051,018.08","2,715,057.30","661,714,072.13","1,111,634,028.71","1,341,820,226.41","111,408,051.87","315,633,443.70","314,470,103.57"
经营活动现金流入小计,"77,258,727.37","100,849,115.59","131,343,813.65","47,898,210.07","81,955,476.92","153,620,113.65","16,885,942.22","53,309,300.29","98,369,889.06","189,556,359.88","21,561,127.56","68,366,893.38","124,475,692.58","257,923,135.94","31,098,053.87","104,466,553.33","186,754,475.09","360,636,252.00","141,598,602.69","376,665,596.55","689,779,743.43"
投资活动产生的现金流量净额,"-4,980,714.02","-47,641,491.82","-5,619,745.00","-2,897,551.26","-4,285,927.68","-5,576,797.06","-54,030,811.42","-57,504,822.72","-60,304,000.92","-65,825,499.09","-20,574,307.40","-47,396,325.37","-70,380,083.17","-69,841,668.08","-2,714,857.30","-661,689,232.13","-1,110,371,190.08","-1,229,377,913.27","-98,943,967.20","-80,170,532.35","-78,463,509.03"
购买商品、接受劳务支付的现金,"915,263.20","733,462.71","3,322,170.08","1,194,203.86","1,648,332.48","2,621,446.82","713,413.45","1,596,787.35","1,395,798.12","1,772,796.54","178,345.99","850,992.50","1,651,972.50","3,468,421.39","219,480.39","679,042.74","28,262,997.94","10,522,430.49","331,583.44","1,249,128.25","2,975,077.49"
吸收投资收到的现金,"180,000.00",,,,,,"200,368,000.00","200,368,000.00","200,368,000.00","200,368,000.00",,"3,000,000.00","3,000,000.00","3,000,000.00","2,033,459,963.03","2,033,459,963.03","2,108,567,563.03","2,117,567,562.93",,"17,000,000.00","17,000,000.00"
支付给职工以及为职工支付的现金,"34,227,179.71","58,342,272.24","69,454,530.72","42,964,102.87","78,183,941.27","95,606,498.73","31,380,639.91","53,233,772.00","83,342,008.13","108,890,900.51","34,002,905.73","66,731,491.95","100,576,090.92","139,872,501.86","39,787,826.44","81,370,647.86","135,559,787.97","186,556,186.93","55,702,800.32","117,196,818.49","185,762,251.56"
取得借款收到的现金,,"18,000,000.00","5,000,000.00",,,,,,,,,,,,,,,,,,
支付的各项税费,"5,048,343.15","9,553,309.98","10,344,388.48","7,458,845.08","11,588,662.74","10,648,362.99","4,934,554.54","5,351,597.49","6,440,786.85","7,371,976.13","1,581,106.41","3,491,950.22","4,438,528.61","4,747,399.37","2,231,515.94","7,255,036.90","11,502,567.53","19,652,389.52","6,907,869.53","16,847,029.89","22,539,260.18"
收到其他与筹资活动有关的现金,,,,,,,,,,,,,,,,,,,,,
支付其他与经营活动有关的现金,"18,235,263.59","20,676,193.61","21,987,731.33","12,028,942.86","17,827,161.66","22,682,791.96","7,500,619.28","14,025,870.81","23,932,318.36","33,885,550.85","8,071,110.10","28,105,919.73","41,096,944.00","45,568,221.22","14,758,594.01","19,247,380.15","47,250,869.75","90,935,701.23","171,024,302.56","465,809,955.95","741,994,433.76"
筹资活动现金流入小计,"180,000.00","18,000,000.00","5,000,000.00",,,,"200,368,000.00","200,368,000.00","200,368,000.00","200,368,000.00",,"3,000,000.00","3,000,000.00","3,000,000.00","2,033,459,963.03","2,033,459,963.03","2,108,567,563.03","2,117,567,562.93",,"17,000,000.00","17,000,000.00"
经营活动现金流出小计,"58,426,049.65","89,305,238.54","105,108,820.61","63,646,094.67","109,248,098.15","131,559,100.50","44,529,227.18","74,208,027.65","115,110,911.46","151,921,224.03","43,833,468.23","99,180,354.40","147,763,536.03","193,656,543.84","56,997,416.78","108,552,107.65","222,576,223.19","307,666,708.17","233,966,555.85","601,102,932.58","953,271,022.99"
