科目,2007年度,2008年度,2009年1-6月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度
一、营业收入,"10,153,533,947.61","13,015,734,498.51","5,871,235,027.14","14,031,367,558.36","2,433,873,095.61","6,646,883,684.22","8,989,394,713.60","12,882,529,376.02","2,076,232,202.14","5,012,605,056.38","7,718,376,694.76","11,129,014,386.35","1,982,133,087.23","5,310,480,743.05","8,028,568,497.22","12,480,825,465.95","2,394,994,861.84","5,823,400,045.93","9,083,460,821.54","13,051,734,282.19","2,539,183,674.52","6,408,272,155.28","10,030,510,161.55","13,869,680,058.39","2,705,336,890.53","5,693,245,903.39","8,255,177,129.31","13,104,431,839.78","2,431,609,727.47","5,511,684,698.79","8,753,217,820.40","13,979,887,525.73","2,478,629,500.03","6,146,865,938.17","8,809,937,010.67","14,146,121,886.24"
二、营业利润,"861,952,574.40","1,209,646,717.28","510,256,552.96","1,404,093,371.46","154,194,132.43","632,308,090.27","785,675,526.92","850,382,427.67","53,616,101.78","79,832,035.10","-46,640,163.13","-549,819,342.40","-179,934,504.86","-168,614,263.79","-151,157,304.76","122,493,529.09","39,194,800.96","177,524,377.75","234,639,405.98","297,243,958.60","119,011,822.17","376,453,881.74","722,528,006.62","786,550,481.70","183,624,163.06","467,827,549.58","609,946,857.87","994,631,026.76","257,494,826.73","507,444,985.94","820,665,283.09","1,226,494,129.52","334,307,913.33","709,857,324.33","797,809,476.94","1,048,535,851.69"
减:营业成本,"7,337,436,903.51","9,658,799,385.03","4,507,820,638.30","10,502,912,131.25","1,843,593,622.37","4,960,713,066.11","6,747,569,211.01","9,820,701,158.48","1,596,912,755.16","3,965,592,889.24","6,289,486,277.60","9,378,658,139.83","1,715,574,096.34","4,488,994,537.97","6,726,813,084.88","9,987,292,312.11","1,899,534,215.73","4,557,800,595.22","7,159,860,244.79","10,209,044,738.77","1,987,889,019.06","4,942,182,600.29","7,602,265,375.80","10,522,334,947.98","2,024,811,138.48","4,218,412,927.34","6,041,477,798.34","9,629,747,019.70","1,653,798,213.25","3,871,018,488.28","6,189,656,096.96","9,873,482,494.25","1,603,218,129.67","4,213,982,942.92","6,219,567,735.83","10,145,289,728.88"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"84,371,549.72","134,342,536.95","51,949,086.12","115,090,211.43","24,803,862.99","65,707,443.54","92,539,852.20","139,063,130.74","28,241,923.36","67,683,040.40","94,002,527.58","127,680,721.63","12,274,588.57","33,425,419.65","51,518,832.71","99,202,255.75","11,979,357.98","42,815,220.36","63,888,151.83","99,663,553.76","15,154,321.78","42,615,636.59","68,238,008.91","107,404,828.83","19,612,410.61","40,167,508.97","55,879,661.58","111,936,164.88","14,582,121.97","35,346,420.90","51,130,487.07","142,527,031.26","33,795,496.99","81,162,510.21","113,686,999.28","172,423,692.61"
营业外收入,"29,218,343.04","22,707,631.74","7,895,406.38","40,368,891.70","7,988,615.41","19,727,614.19","47,242,865.97","91,057,467.71","14,732,402.11","23,630,478.45","36,116,677.55","85,381,575.00","19,946,310.61","29,869,055.32","40,438,526.98","83,591,963.49","7,820,381.18","19,132,115.50","37,795,668.75","95,996,311.18","4,815,113.30","25,582,562.68","38,728,684.83","87,137,026.99","8,653,555.42","22,830,783.79","64,635,685.69","112,357,305.73","10,306,268.76","31,129,683.59","59,545,875.19","113,535,951.55","18,523,892.28","13,357,579.21","27,039,176.16","44,951,349.52"
销售费用,"676,145,304.83","891,261,139.87","355,250,799.67","928,743,027.73","158,933,781.32","404,321,389.86","620,546,408.92","897,714,838.85","177,740,509.70","415,487,533.78","634,188,385.77","967,365,675.67","199,583,559.37","443,195,391.23","677,303,355.22","1,094,945,612.62","197,938,912.81","460,605,918.00","744,870,835.50","1,034,011,206.47","197,751,072.32","475,890,996.18","724,790,550.87","1,039,971,053.95","210,132,508.58","416,834,503.27","643,938,937.97","971,406,252.91","182,037,715.49","443,752,485.24","701,887,887.56","1,075,739,503.99","196,040,781.22","443,840,537.79","665,257,822.01","1,077,671,294.85"
减:营业外支出,"44,785,012.23","24,783,067.51","2,569,263.44","19,407,077.56","445,068.21","4,670,827.05","67,165,547.01","147,199,742.88","24,869,501.58","33,501,845.11","38,312,681.56","31,018,060.46","244,899.86","-9,786,569.48","-9,362,292.99","6,707,448.06","829,866.30","7,951,738.59","9,475,080.63","11,631,565.06","955,899.78","8,323,983.85","13,077,274.62","50,772,489.31","574,015.98","1,180,201.27","7,254,162.44","25,430,684.95","1,595,883.55","4,996,752.18","12,101,442.71","41,419,550.78","8,245,881.14","13,170,429.35","23,774,174.96","33,982,912.48"
管理费用,"1,108,380,181.50","883,390,524.40","391,021,243.69","883,336,877.56","211,298,959.99","455,424,325.18","691,271,558.45","1,048,647,838.73","234,001,261.38","508,548,758.69","781,158,087.02","1,138,047,347.54","256,660,002.63","517,904,493.99","768,751,242.53","1,189,624,377.62","283,200,974.49","584,937,014.73","898,696,269.36","1,415,249,445.77","304,928,275.43","682,872,111.28","1,090,568,976.86","1,668,799,677.60","339,565,103.59","662,228,842.09","1,079,292,751.90","1,563,392,920.61","391,238,155.19","700,289,089.96","1,076,452,757.88","1,784,713,828.47","362,985,007.50","775,760,735.73","1,183,109,108.22","1,936,394,061.60"
其中:非流动资产处置净损失,"34,313,266.41","3,856,813.44","362,149.13","13,088,925.50",,"195,497.95","359,462.22","7,139,162.31","574,251.73","677,041.06","4,630,384.67","15,671,552.64","5,827.77","55,170.31","214,403.68","489,740.24","39,748.21","88,392.27","988,985.90","299,530.18","2,809.17","4,061,997.57","4,107,718.22","26,307,808.51","14,426.04","83,611.92","2,566,229.34","4,774,529.36","614,285.33","768,523.66","788,642.77","2,120,839.33","689,349.76","1,230,115.81","1,081,816.54",
