科目,2007年度,2008年度,2009年度,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月
一、营业收入,"336,510,698.85","471,776,487.18","638,733,034.79","372,115,265.89","538,955,612.30","763,097,888.72","171,093,723.89","540,178,107.44","813,765,925.71","1,105,596,009.01","207,321,558.21","539,059,511.88","816,710,901.76","1,099,412,692.54","243,962,684.64","585,580,633.59","881,059,128.72","1,284,318,719.13","288,752,496.57","707,113,303.48","1,054,536,566.76","1,454,867,567.30","276,884,218.63","648,723,541.54","962,313,297.52","1,343,349,636.52","268,102,695.72","716,579,561.40","1,109,557,062.19","1,579,432,856.85","365,688,873.39","1,027,978,876.78","1,687,250,144.23"
二、营业利润,"48,591,981.55","67,806,231.51","152,946,187.11","98,975,109.75","139,314,659.20","177,719,847.71","40,454,999.60","143,344,746.07","196,920,164.55","234,614,459.62","35,221,458.03","135,060,256.99","204,197,708.89","245,507,485.57","45,774,102.53","140,199,532.72","208,324,278.56","297,836,544.17","49,722,411.58","156,571,877.65","225,324,448.25","303,855,065.18","25,902,625.89","96,498,444.20","121,022,175.94","162,841,581.09","30,718,350.29","104,776,231.78","141,749,637.20","190,244,185.39","37,680,558.57","172,997,399.46","239,552,498.14"
减:营业成本,"187,239,248.67","276,081,447.71","306,532,055.47","181,737,979.25","267,955,395.56","390,668,455.65","95,041,852.29","296,925,459.16","456,749,233.33","639,168,945.25","128,568,800.13","303,203,189.73","453,494,305.53","610,837,998.57","136,139,504.44","300,450,562.44","448,487,090.65","664,592,379.57","156,660,511.81","368,785,365.67","554,093,241.92","768,022,982.56","168,700,479.82","388,758,750.57","572,819,930.53","796,893,307.23","165,349,392.61","453,733,437.14","669,289,835.64","919,091,305.47","249,223,599.62","663,518,053.91","1,104,120,718.18"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"2,913,941.48","3,790,647.14","6,649,244.44","4,110,595.32","5,844,291.40","8,302,743.10","1,954,609.91","6,287,094.21","9,697,316.86","12,221,784.47","2,100,274.73","6,649,348.02","10,137,587.14","13,794,984.52","3,218,381.40","7,932,607.63","11,914,959.82","16,499,190.89","3,251,151.29","7,933,194.45","12,296,628.81","17,013,965.97","2,858,104.76","6,791,380.61","10,569,779.39","14,166,944.48","2,880,592.21","5,682,797.33","8,008,442.49","16,467,492.84","3,355,379.26","10,202,273.95","16,537,646.91"
营业外收入,"2,931,060.97","9,740,736.49","4,382,834.59","1,299,008.03","2,680,420.53","8,434,918.67","1,326,224.81","3,683,115.49","6,240,650.93","12,286,925.31","2,573,055.84","3,205,958.32","10,062,367.71","23,231,694.18","2,230,471.33","2,700,930.62","9,776,896.61","9,567,389.64","555,124.77","2,107,618.39","6,933,254.40","11,783,784.11","2,889,394.36","4,157,448.23","6,666,893.12","7,288,862.66","1,541,203.65","5,133,242.56","6,113,452.78","9,932,994.45","11,018,893.65","15,520,514.04","20,118,676.67"
销售费用,"25,446,673.16","33,676,396.97","40,504,229.70","23,596,026.59","33,273,601.22","51,475,831.73","9,536,613.19","31,401,827.45","50,227,125.70","77,896,075.18","11,965,591.33","26,832,017.19","41,072,548.35","70,528,991.72","15,410,046.29","33,163,793.41","54,410,036.17","75,303,408.94","21,526,117.50","39,287,175.58","64,063,719.74","96,357,534.47","16,798,330.14","31,622,925.89","55,321,222.59","83,913,635.87","11,035,420.02","32,034,745.71","41,130,217.05","72,672,795.02","9,778,761.39","32,464,493.62","33,481,541.62"
减:营业外支出,"562,654.39","4,571,476.95","2,044,850.24","1,255,881.13","1,274,685.32","2,076,446.01","19,747.43","69,647.14","1,119,897.33","5,961,248.99","75,006.82","1,929,699.67","2,083,766.86","5,737,951.99","18,400.64","1,773,419.33","2,287,080.37","12,862,957.67","85,688.22","577,495.56","1,238,275.24","10,866,257.37","131,169.78","274,694.22","332,618.10","5,394,033.49","563,467.18","1,229,682.49","1,725,221.12","6,349,323.86","141,962.62","848,258.37","3,302,259.22"
管理费用,"75,537,237.21","87,063,142.67","128,966,102.11","61,380,130.41","91,763,042.32","138,017,166.47","28,132,751.74","70,342,083.49","116,881,876.35","170,731,076.03","37,877,321.49","83,050,082.63","133,112,198.17","188,803,530.44","47,498,163.38","108,494,161.47","170,795,118.97","244,835,148.33","53,241,490.39","130,504,933.51","202,401,118.25","286,172,772.95","61,888,503.47","123,331,107.59","198,540,473.20","291,778,149.62","59,841,928.87","128,171,146.44","199,426,466.19","284,970,832.67","67,315,574.00","153,750,297.56","265,445,056.66"
其中:非流动资产处置净损失,"146,455.43","3,400,632.77","517,137.88","914,373.39",,"1,466,001.87",,"10,638.02","-4,476.90","4,084,187.14",,"381,966.34",,"3,347,109.09",,,,"9,321,112.79",,,,"8,484,563.54",,"90,170.38",,"4,427,026.67","43,199.10","26,038.46",,"3,866,897.05",,"282,408.63","437,638.55"
