科目,2012-12-31,2013-12-31,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30
货币资金,"123,084,553.86","148,459,213.72","172,230,594.91","181,927,636.30","843,160,708.36","371,817,592.18","370,960,384.94","373,258,429.00","314,548,733.34","302,193,964.71","425,855,488.48","561,422,441.03","624,763,283.30","725,738,141.42","606,998,910.92","636,988,977.54","600,464,420.71"
短期借款,"730,000,000.00","600,000,000.00","550,000,000.00","560,000,000.00","460,000,000.00",,,,,,,,,,,,
交易性金融资产,,,,,,,,,,,,,,,,,
交易性金融负债,,,,,,,,,,,,,,,,,
应收票据,"1,220,000.00","4,560,000.00","500,000.00",,,,,,,,,,,,,,
应付票据,,,,,,,,,,,,,,,,,
应收账款,"181,342,467.38","165,814,864.25","183,671,742.86","261,063,285.13","196,045,853.55","184,318,401.51","184,392,600.14","261,478,929.07","208,570,964.77","182,316,111.08","167,651,592.57","198,653,668.08","181,501,848.53","171,718,464.00","172,516,901.49","247,719,324.19","210,499,473.06"
应付账款,"71,726,114.03","93,055,716.37","87,664,920.55","39,842,678.89","79,069,258.41","91,923,411.08","103,667,234.56","93,825,762.79","132,184,207.39","106,516,149.51","74,061,737.60","37,283,204.07","80,537,622.88","115,443,924.43","120,916,250.77","89,890,740.45","100,191,260.74"
预付款项,"9,468,270.46","13,235,181.16","15,653,116.79","10,603,677.37","18,035,523.05","18,493,343.98","16,909,104.61","16,583,238.74","20,331,371.02","15,140,527.26","13,752,155.55","12,655,025.88","16,759,175.87","22,233,376.02","18,141,039.80","17,566,958.72","23,490,864.34"
预收款项,"6,044,480.60","14,333,086.11","18,016,993.40","11,823,098.69","9,326,008.51","9,912,744.66","15,546,743.26","7,789,663.52","14,482,894.95","7,627,511.39","9,659,145.82","7,122,467.79","9,027,886.82","7,039,213.21","7,488,882.52","7,730,586.67","8,087,203.85"
其他应收款,"18,336,263.05","17,051,098.91","19,600,221.88","19,474,318.71","18,875,801.01","22,976,533.94","23,269,431.98","22,326,423.44","22,238,443.49","20,283,766.89","19,065,041.23","18,512,901.51","16,786,570.15","15,609,101.43","18,699,154.51","15,137,001.80","17,667,058.54"
应付职工薪酬,"55,623,268.31","58,804,531.26","94,237,020.12","47,303,910.83","46,784,574.16","57,702,615.70","97,550,232.17","59,533,635.89","53,698,060.54","48,203,056.32","87,775,962.13","70,127,661.71","43,812,261.67","64,788,085.29","104,026,286.43","90,302,369.46","57,987,541.02"
应收关联公司款,,,,,,,,,,,,,,,,,
