科目,2013年度,2014年度,2015年度,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月
销售商品、提供劳务收到的现金,"726,753,718.89","923,848,380.37","855,558,447.38","489,904,196.81","704,082,361.88","963,145,445.41","247,220,750.46","527,364,955.26","836,797,345.35","643,861,976.23","198,959,058.07","421,464,880.54"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,,
收到的税费返还,,,,,,"22,299.46",,,,,,
支付其他与投资活动有关的现金,,,,,,,,,,,,
收到其他与经营活动有关的现金,"8,188,686.19","3,502,991.52","4,315,752.63","2,557,763.86","5,590,677.74","5,927,641.46","2,063,845.23","2,556,667.93","3,635,556.47","4,568,206.33","761,118.54","3,941,007.49"
投资活动现金流出小计,"115,393,580.51","80,094,296.50","57,946,715.55","43,283,127.51","67,817,959.26","214,410,474.10","28,079,445.40","41,895,410.96","61,582,605.07","65,971,521.66","12,024,159.37","15,861,331.08"
经营活动现金流入小计,"734,942,405.08","927,351,371.89","859,874,200.01","492,461,960.67","709,673,039.62","969,095,386.33","249,284,595.69","529,921,623.19","840,432,901.82","648,430,182.56","199,720,176.61","425,405,888.03"
投资活动产生的现金流量净额,"-113,054,471.51","-77,902,833.62","-57,946,715.55","-43,138,191.51","-67,673,023.26","-213,265,538.10","47,674,365.48","64,277,249.24","44,590,055.13","92,713,087.54","18,319,369.31","50,185,560.61"
购买商品、接受劳务支付的现金,"459,881,070.45","571,814,865.01","556,712,313.66","233,290,752.96","383,361,414.19","565,511,350.18","256,654,165.62","450,281,220.30","627,769,674.99","397,574,132.81","180,790,562.73","286,267,632.62"
吸收投资收到的现金,,,,,"309,875,200.00","310,275,200.00",,"400,000.00","400,000.00","400,000.00",,
支付给职工以及为职工支付的现金,"64,603,463.12","89,269,972.74","97,890,283.43","52,221,385.74","77,913,873.30","111,470,024.26","35,500,430.55","65,401,927.95","94,072,667.30","126,046,002.82","43,710,510.74","75,280,440.70"
取得借款收到的现金,"161,050,000.00","178,000,000.00","245,284,849.13","128,554,063.67","164,763,170.25","177,707,848.62","14,220,196.38","24,501,126.68","24,292,454.64","24,292,454.64",,
支付的各项税费,"47,518,136.52","56,114,265.75","65,602,531.47","41,433,271.45","67,172,556.15","76,336,454.62","5,971,549.53","21,269,859.09","44,618,566.59","74,990,535.35","20,495,918.10","60,812,485.45"
收到其他与筹资活动有关的现金,,,,,,,,,,,,
支付其他与经营活动有关的现金,"65,094,539.36","85,544,412.37","76,462,486.27","45,008,396.54","61,311,140.17","107,837,384.13","25,202,037.83","47,129,239.10","74,288,364.69","66,680,101.97","6,950,741.88","24,785,909.75"
筹资活动现金流入小计,"161,050,000.00","178,000,000.00","245,284,849.13","128,554,063.67","474,638,370.25","487,983,048.62","14,220,196.38","24,901,126.68","24,692,454.64","24,692,454.64",,
经营活动现金流出小计,"637,097,209.45","802,743,515.87","796,667,614.83","371,953,806.69","589,758,983.81","861,155,213.19","323,328,183.53","584,082,246.44","840,749,273.57","665,290,772.95","251,947,733.45","447,146,468.52"
