科目,2007年度,2008年度,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月
销售商品、提供劳务收到的现金,"291,435,404.00","378,611,268.51","416,704,727.79","192,548,877.68","325,708,866.55","518,462,015.54","730,985,983.17","246,268,310.92","605,049,124.02","932,884,030.04","1,029,384,727.67","474,239,158.45","613,465,231.43","1,086,815,608.21","1,670,662,717.38","300,637,038.16","691,820,249.29","1,080,906,749.24","1,587,213,752.56","444,341,456.46","1,085,502,348.04","1,659,079,609.45","2,480,449,143.65","842,762,793.24","1,788,585,922.78","3,258,274,921.31","2,938,944,352.63","720,452,740.13","1,660,705,691.94","2,445,663,731.90","2,949,305,977.52","714,081,535.12","1,555,775,809.21","2,262,791,372.76","3,453,418,172.31","955,060,017.19","1,941,457,998.29"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,,,,,,,,,,,,,"4,815,180.44",,,,,,,,,,,,,,
收到的税费返还,"12,112,453.55","13,221,867.68","2,311,439.44","161,404.66","180,356.68","180,356.68",,"160,990.92","1,085,553.57","1,216,819.23","1,503,702.54","20,363.70","3,551,528.37","7,989,663.07","9,685,229.88","4,048,212.72","8,439,360.70","17,149,197.92","21,022,199.16","342,928.81","5,070,334.32","15,187,324.70","18,083,858.75","69,430,713.46","106,070,719.02","152,453,505.92","169,014,697.62","37,610,972.61","74,485,684.29","115,820,422.33","126,604,306.30","30,719,960.18","52,308,195.01","64,265,739.58","92,450,492.83","16,114,364.50","21,517,096.12"
支付其他与投资活动有关的现金,,,,,,310.50,,,,,,,,,"49,500,000.00",,,,"35,549,480.00",,,,,,"124,300,000.00","124,300,000.00","151,720,000.00",,,,,,,"564,669,271.56","336,689,560.00",,
收到其他与经营活动有关的现金,"22,482,606.89","13,559,085.40","12,514,338.29","268,910.90","5,940,821.91","8,622,713.01","11,689,883.05","6,422,162.92","19,169,670.11","22,296,867.95","18,614,385.02","21,270,064.42","8,330,980.49","14,254,453.69","36,537,689.00","25,601,344.82","34,543,743.07","30,736,557.08","86,431,220.05","19,485,612.58","28,666,035.17","44,876,876.25","30,089,348.82","13,331,677.02","34,840,928.92","143,201,670.27","119,526,807.03","10,497,790.68","82,900,113.99","133,986,833.47","105,506,292.65","14,110,721.87","19,874,285.36","30,262,236.79","419,777,507.08","-298,405.19","19,542,053.11"
投资活动现金流出小计,"113,916,091.53","7,695,878.37","35,307,063.24","17,291,135.20","36,880,815.30","107,894,926.82","209,074,475.84","17,286,543.54","75,140,214.39","136,996,524.21","225,736,561.91","32,042,697.04","202,156,203.26","236,963,790.42","446,864,673.87","88,681,742.03","175,749,991.46","198,073,490.79","448,463,649.14","23,021,715.45","62,504,081.13","143,589,954.08","220,528,448.11","60,237,181.63","212,094,939.68","254,454,759.11","347,932,807.23","6,416,243.11","15,385,666.29","23,429,011.29","49,442,760.07","194,512,491.17","261,390,325.60","926,802,613.42","875,959,454.33","176,097,806.00","284,530,553.14"
经营活动现金流入小计,"326,030,464.44","405,392,221.59","431,530,505.52","192,979,193.24","331,830,045.14","527,265,085.23","742,675,866.22","252,851,464.76","625,304,347.70","956,397,717.22","1,049,502,815.23","495,529,586.57","625,347,740.29","1,109,059,724.97","1,716,885,636.26","330,286,595.70","734,803,353.06","1,128,792,504.24","1,694,667,171.77","464,169,997.85","1,119,238,717.53","1,719,143,810.40","2,528,622,351.22","925,525,183.72","1,929,497,570.72","3,553,930,097.50","3,227,485,857.28","768,561,503.42","1,818,091,490.22","2,695,470,987.70","3,181,416,576.47","758,912,217.17","1,627,958,289.58","2,357,319,349.13","3,965,646,172.22","970,875,976.50","1,982,517,147.52"
投资活动产生的现金流量净额,"-51,126,248.55","-7,695,878.37","-35,307,063.24","-17,291,135.20","-31,500,815.30","-102,458,739.92","-203,797,937.38","-15,114,543.54","-72,476,714.39","-124,821,524.21","-223,561,561.91","-32,042,697.04","-202,156,203.26","-236,963,790.42","-446,864,673.87","-88,681,742.03","-175,499,191.46","-197,822,690.79","-389,157,969.98","-23,021,715.45","-62,504,081.13","-126,806,557.08","-181,672,316.08","-60,237,181.63","-212,094,939.68","-254,454,759.11","-344,727,377.01","-6,072,473.11","-12,737,896.29","-20,561,241.29","114,414,275.76","-194,214,256.12","-259,289,871.67","-508,006,416.76","-762,930,241.70","200,484,684.11","198,860,436.97"
购买商品、接受劳务支付的现金,"251,974,102.62","303,786,291.55","305,861,751.20","191,741,117.39","307,283,033.73","472,551,907.08","599,484,218.22","154,657,746.17","483,838,371.18","776,984,637.03","783,552,475.05","456,319,023.81","484,317,989.67","918,709,378.29","1,398,229,665.18","289,629,487.30","550,949,799.00","867,164,269.05","1,349,565,580.03","341,667,912.39","805,497,417.79","1,309,987,081.43","2,074,185,455.99","615,661,611.79","1,381,471,869.45","2,805,670,410.11","2,245,447,790.25","512,438,545.94","1,076,751,630.83","1,575,342,997.06","2,137,678,760.98","435,077,015.63","1,171,140,303.98","1,795,699,104.69","2,754,594,482.58","750,748,011.03","1,475,909,749.03"
吸收投资收到的现金,"5,625,000.00",,,"541,565,000.00","541,565,000.00","541,565,000.00","541,565,000.00",,,,,,,"518,000,000.00","501,500,000.00",,,,,,"46,126,880.00","46,126,880.00","46,126,850.00",,,,,,"3,600,000.00","10,867,951.06","7,578,581.06","750,212,483.24","753,852,483.24","757,062,483.24","777,488,017.20",,"2,000,000.00"
