科目,2013年度,2014年度,2015年度,2016年1-6月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月
销售商品、提供劳务收到的现金,"280,850,729.95","321,538,509.77","366,824,000.01","242,567,718.77","461,100,172.09","116,716,447.25","243,007,235.47","330,847,641.68","445,317,830.08","172,851,654.09"
取得子公司及其他营业单位支付的现金净额,"2,330,014.10",,,,,,,,,
收到的税费返还,,,,,,,,,,
支付其他与投资活动有关的现金,,"17,300,000.00",,,,,,,,
收到其他与经营活动有关的现金,"10,138,473.18","10,452,980.00","34,238,045.66","18,981,684.80","33,015,812.46","2,619,071.21","6,032,561.96","13,787,634.77","34,832,825.85","27,264,058.59"
投资活动现金流出小计,"14,347,047.80","566,439,523.30","186,440,744.95","3,622,077.60","7,086,762.88","3,616,074.00","21,366,074.00","21,366,074.00","21,816,074.00",
经营活动现金流入小计,"290,989,203.13","331,991,489.77","401,062,045.67","261,549,403.57","494,115,984.55","119,335,518.46","249,039,797.43","344,635,276.45","480,150,655.93","200,115,712.68"
投资活动产生的现金流量净额,"-13,977,383.95","-69,788,422.71","57,707,829.24","-3,467,077.60","-6,831,769.50","-3,616,074.00","-21,226,074.00","-21,226,074.00","-21,676,074.00",
购买商品、接受劳务支付的现金,"130,607,357.17","141,516,643.98","215,227,089.89","97,395,353.96","203,536,866.36","85,218,881.15","141,987,455.80","206,336,359.74","293,049,503.59","73,754,475.05"
吸收投资收到的现金,"490,000.00","17,537,600.00","1,715,000.00","245,000.00","245,000.00","264,686,366.48","264,686,366.48","264,686,366.48","264,686,366.48",
支付给职工以及为职工支付的现金,"82,714,087.47","74,022,955.41","81,228,590.50","56,015,145.29","87,058,196.96","31,648,370.26","54,741,665.64","75,964,182.06","97,532,791.22","30,069,006.18"
取得借款收到的现金,"6,000,000.00",,"10,000,000.00",,"10,000,000.00",,,,,"30,000,000.00"
支付的各项税费,"18,564,015.38","15,483,864.78","28,528,589.34","18,970,430.53","42,218,878.16","11,875,326.76","21,603,759.09","27,846,226.55","35,388,785.88","15,507,442.19"
收到其他与筹资活动有关的现金,,,,,,,,,,
支付其他与经营活动有关的现金,"33,954,856.63","38,996,952.62","74,821,756.84","38,839,859.64","110,324,333.37","14,555,241.52","34,785,151.81","53,399,250.12","83,941,085.86","27,715,108.77"
筹资活动现金流入小计,"6,490,000.00","17,537,600.00","11,715,000.00","245,000.00","10,245,000.00","264,686,366.48","264,686,366.48","264,686,366.48","264,686,366.48","30,000,000.00"
经营活动现金流出小计,"265,840,316.65","270,020,416.79","399,806,026.57","211,220,789.42","443,138,274.85","143,297,819.69","253,118,032.34","363,546,018.47","509,912,166.55","147,046,032.19"
偿还债务支付的现金,"14,191,855.25","6,000,000.00",,"10,000,000.00","10,000,000.00",,,"10,000,000.00","10,000,000.00",
经营活动产生的现金流量净额,"25,148,886.48","61,971,072.98","1,256,019.10","50,328,614.15","50,977,709.70","-23,962,301.23","-4,078,234.91","-18,910,742.02","-29,761,510.62","53,069,680.49"
分配股利、利润或偿还利息支付的现金,"281,853.48","39,029,640.76","12,633,720.58","12,429,956.78","12,592,356.78","1,889,612.40","37,817,346.70","37,920,296.70","37,920,296.70","52,200.00"
收回投资收到的现金,,"478,000,000.00","242,000,000.00",,,,,,,
支付其他与筹资活动有关的现金,,,"3,680,000.00","200,000.00","200,000.00","8,533,349.20","12,366,696.80","12,367,075.98","12,367,075.98",
取得投资收益收到的现金,,"1,350,386.44","1,093,615.47",,,,,,,
筹资活动现金流出小计,"14,473,708.73","45,029,640.76","16,313,720.58","22,629,956.78","22,792,356.78","10,422,961.60","50,184,043.50","60,287,372.68","60,287,372.68","52,200.00"
处置固定资产、无形资产和其他长期资产收回的现金净额,"369,663.85",714.15,"230,000.00","155,000.00","155,000.00",,"140,000.00","140,000.00","140,000.00",
筹资活动产生的现金流量净额,"-7,983,708.73","-27,492,040.76","-4,598,720.58","-22,384,956.78","-12,547,356.78","254,263,404.88","214,502,322.98","204,398,993.80","204,398,993.80","29,947,800.00"
处置子公司及其他营业单位收到的现金净额,,,,,"99,993.38",,,,,
四、汇率变动对现金的影响,,,"16,700.00","137,403.23","445,088.84","-23,393.32","-47,431.46","-93,331.83","-258,416.65","-947,464.79"
收到其他与投资活动有关的现金,,"17,300,000.00","824,958.72",,,,,,,
四(2)、其他原因对现金的影响,,,,,,,,,,
投资活动现金流入小计,"369,663.85","496,651,100.59","244,148,574.19","155,000.00","254,993.38",,"140,000.00","140,000.00","140,000.00",
五、现金及现金等价物净增加额,"3,187,793.80","-35,309,390.49","54,381,827.76","24,613,983.00","32,043,672.26","226,661,636.33","189,150,582.61","164,168,845.95","152,702,992.53","82,070,015.70"
购建固定资产、无形资产和其他长期资产支付的现金,"2,274,930.06","4,639,523.30","3,950,744.95","3,622,077.60","5,072,171.31","3,616,074.00","3,866,074.00","3,866,074.00","4,316,074.00",
期初现金及现金等价物余额,"52,033,585.02","55,221,378.82","19,911,988.33","74,293,816.09","74,293,816.09","106,337,488.35","106,337,488.35","106,337,488.35","106,337,488.35","259,040,480.88"
投资支付的现金,"9,742,103.64","544,500,000.00","182,490,000.00",,"2,014,591.57",,"17,500,000.00","17,500,000.00","17,500,000.00",
期末现金及现金等价物余额,"55,221,378.82","19,911,988.33","74,293,816.09","98,907,799.09","106,337,488.35","332,999,124.68","295,488,070.96","270,506,334.30","259,040,480.88","341,110,496.58"
