科目,2007年度,2008年度,2009年度,2010年1-6月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月
销售商品、提供劳务收到的现金,"76,902,288.26","139,668,838.94","192,146,488.57","107,465,061.96","361,111,151.59","44,592,175.52","130,507,850.23","228,545,908.45","527,026,855.63","159,110,424.77","292,229,745.45","440,263,442.73","658,103,808.65","135,077,655.91","187,578,570.55","300,575,399.23","757,449,467.97","163,555,700.25","409,739,247.96","578,664,271.30","1,131,199,886.34","308,418,532.94","743,752,487.28","1,250,701,972.26","2,117,063,892.86","206,341,602.13","894,851,199.84","1,647,265,589.12","3,406,556,072.98","388,267,185.19","1,501,915,842.64","2,130,280,145.93"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,"82,903,329.67","88,003,329.67","55,345,287.76",,,"6,995,635.11","39,881,747.95",,,,,,,"250,642,865.63","250,642,865.63","1,117,397,135.79","1,411,944,063.51","1,411,944,063.51","1,574,444,063.51",,,
收到的税费返还,"239,316.25","3,574,147.92","5,487,135.58","3,285,975.29","5,556,130.87","4,399,816.89","5,399,816.89","6,399,816.89","14,426,940.00","1,610.25","2,366,467.30","4,006,222.62","2,851,123.52","5,910,879.71","9,712,676.14","18,599,006.70","21,304,307.45","6,321,093.97","15,989,799.36","18,199,908.62","23,150,397.22","9,891,942.86","13,170,039.20","32,432,405.62","40,240,627.92","31,180,825.36","31,763,421.27","42,244,536.24","41,912,537.77","3,896,153.23","1,920,986.83","6,793,423.79"
支付其他与投资活动有关的现金,,,,,,,,,"110,000,000.00",,,,,,,,"130,000,000.00",,,,,"2,000,000.00",,,"5,782,707.08","1,000,000.00","1,000,000.00","1,000,000.00",,,,
收到其他与经营活动有关的现金,"7,569,918.94","9,309,643.93","18,312,554.87","7,712,230.22","19,855,929.54","6,342,380.81","12,700,027.90","15,334,786.05","32,919,286.85","8,898,883.54","12,756,354.17","43,961,334.87","40,336,586.17","28,175,203.78","5,703,513.80","48,050,659.90","32,074,242.77","53,077,115.08","52,451,443.45","54,099,513.65","52,150,549.93","15,779,448.22","16,964,572.91","47,177,447.00","256,070,986.15","28,471,279.35","42,738,944.76","63,834,067.55","314,624,575.05","49,147,435.86","34,143,832.43","102,105,724.84"
投资活动现金流出小计,"1,480,582.67","11,182,934.00","5,954,688.12","3,636,045.00","15,975,664.00","94,553.00","45,392,546.41","80,959,041.20","222,027,599.57","63,676,271.10","110,104,485.63","145,199,873.02","151,175,575.03","521,978.14","110,128,840.84","128,242,566.22","197,954,268.49","72,073,162.84","72,607,355.39","227,391,549.46","228,953,549.63","31,119,138.85","63,730,567.25","651,117,527.69","680,313,371.13","1,722,758,665.12","2,405,326,737.91","2,777,269,366.31","3,925,225,197.35","331,481,950.68","916,116,391.80","1,195,014,790.30"
经营活动现金流入小计,"84,711,523.45","152,552,630.79","215,946,179.02","118,463,267.47","386,523,212.00","55,334,373.22","148,607,695.02","250,280,511.39","574,373,082.48","168,010,918.56","307,352,566.92","488,231,000.22","701,291,518.34","169,163,739.40","202,994,760.49","367,225,065.83","810,828,018.19","222,953,909.30","478,180,490.77","650,963,693.57","1,206,500,833.49","334,089,924.02","773,887,099.39","1,330,311,824.88","2,413,375,506.93","265,993,706.84","969,353,565.87","1,753,344,192.91","3,763,093,185.80","441,310,774.28","1,537,980,661.90","2,239,179,294.56"
投资活动产生的现金流量净额,"-1,480,582.67","-11,182,934.00","-5,954,688.12","-3,636,045.00","-15,975,664.00","-94,553.00","-45,392,546.41","-80,959,041.20","-222,027,599.57","-63,676,271.10","-110,104,485.63","-145,199,873.02","-41,175,575.03","-521,978.14","-89,756,463.45","-22,240,579.92","-66,915,250.63","-71,973,162.84","-72,486,855.39","-227,364,408.59","-228,673,268.57","-31,119,138.85","-63,354,786.34","-635,067,152.63","-608,419,897.73","-1,722,758,665.12","-2,351,663,171.42","-2,691,605,799.82","-3,824,848,641.18","-245,941,950.68","-830,534,476.87","-1,105,869,495.75"
购买商品、接受劳务支付的现金,"68,377,009.28","84,395,401.71","105,435,516.93","62,504,044.63","239,739,666.43","95,777,541.93","122,052,767.14","164,970,586.40","324,188,492.83","149,597,029.61","238,593,936.82","380,748,758.41","446,661,477.33","105,780,985.09","144,215,801.17","257,177,046.02","486,064,204.24","255,421,842.79","565,990,891.73","728,611,834.13","1,010,104,219.45","247,734,479.56","546,819,197.36","1,144,461,695.76","1,758,106,861.21","546,060,496.89","914,016,713.81","1,381,926,528.75","2,326,177,333.53","428,603,469.81","807,221,873.50","1,464,491,235.46"
吸收投资收到的现金,"6,001,825.40",,"35,356,800.00",,,"724,768,693.93","724,768,693.93","724,768,693.93","724,768,693.93",,"2,300,000.00","35,206,560.00","33,906,560.00",,,"1,500,000.00","12,402,841.80",,"2,896,577.47","43,552,985.47","60,644,496.00","1,070,745.00","10,547,623.20","330,257,120.12","327,226,454.25","2,614,077,374.63","2,616,941,388.63","2,618,371,563.42","2,613,940,948.21","1,200,000.00","1,345,000.00","1,345,000.00"
支付给职工以及为职工支付的现金,"3,138,181.73","10,589,780.88","17,635,267.75","14,616,639.83","31,292,521.84","8,891,765.68","19,650,684.31","32,634,312.76","49,156,026.45","13,044,595.58","33,362,817.78","61,178,560.43","91,984,620.02","29,487,924.19","56,480,331.91","94,614,347.55","117,621,417.99","45,393,028.85","87,646,781.68","135,028,282.48","148,662,324.04","46,259,593.11","66,713,072.31","101,133,550.55","128,951,254.00","35,004,578.62","68,106,316.51","105,019,473.09","156,226,038.96","46,109,696.96","84,253,617.13","140,747,906.94"
取得借款收到的现金,,,"5,000,000.00","5,000,000.00","30,000,000.00",,,,,,,,,,,,"117,236,198.63","25,295,058.11","135,844,997.56","150,844,997.56","591,844,997.56","130,000,000.00","319,500,000.00","658,926,590.80","923,000,000.00","74,757,979.00","398,163,453.00","1,084,935,124.00","1,476,817,979.00","130,000,000.00","1,058,349,500.00","1,577,830,530.00"
支付的各项税费,"1,467,319.55","7,309,597.35","9,913,087.15","9,381,982.06","17,117,343.22","11,264,078.47","22,340,495.43","27,411,062.04","40,252,922.47","18,121,440.17","34,586,166.74","46,441,314.01","40,434,175.36","15,512,275.54","32,291,390.46","48,377,074.39","53,375,386.89","37,796,058.75","51,671,156.46","62,001,300.79","82,104,590.57","28,363,198.15","48,135,830.92","79,506,348.94","150,178,547.73","76,413,503.51","174,627,728.56","258,449,973.61","341,987,158.03","65,820,195.83","102,062,807.44","199,141,974.82"
