科目,2011年度,2012年度,2013年度,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月
销售商品、提供劳务收到的现金,"450,197,650.44","532,222,967.17","810,602,239.29","699,465,405.87","1,059,132,448.88","145,389,309.94","481,114,159.45","861,064,429.81","1,273,039,361.16","202,146,741.71","648,877,035.71","1,081,036,753.12","1,704,926,065.91","255,963,115.78","835,191,759.03","1,428,636,378.04","2,148,288,009.70","355,314,798.22"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,,,,,,,,
收到的税费返还,"28,982.19","29,298.12",,,,,,"159,899.34",,"100,554.20","100,554.20","114,960.83",,,,,,
支付其他与投资活动有关的现金,,,,,,,,,,,,,,,,,"1,881,274.32","289,493.41"
收到其他与经营活动有关的现金,"1,051,609.43","3,359,169.10","5,900,278.50","3,795,017.78","10,137,869.77","917,535.59","7,012,439.57","16,931,983.68","13,824,518.90","2,497,952.89","5,892,272.87","18,836,596.08","28,285,125.54","6,387,999.77","12,283,599.90","24,523,837.67","13,210,101.81","14,264,538.40"
投资活动现金流出小计,"39,372,655.26","20,060,804.80","40,313,700.30","41,626,022.46","59,652,890.44","172,692,841.71","492,030,700.94","812,431,980.21","1,176,584,363.90","503,174,133.62","968,633,906.21","1,460,755,668.28","1,842,165,351.79","455,270,290.24","1,010,450,027.12","2,100,327,305.43","3,157,719,407.60","1,045,993,080.50"
经营活动现金流入小计,"451,278,242.06","535,611,434.39","816,502,517.79","703,260,423.65","1,069,270,318.65","146,306,845.53","488,126,599.02","878,156,312.83","1,286,863,880.06","204,745,248.80","654,869,862.78","1,099,988,310.03","1,733,211,191.45","262,351,115.55","847,475,358.93","1,453,160,215.71","2,161,498,111.51","369,579,336.62"
投资活动产生的现金流量净额,"-39,333,424.49","-10,050,761.77","-38,571,008.26","-39,664,828.66","-57,197,650.59","-172,692,841.71","-491,738,971.90","-573,481,594.13","-368,237,684.82","-162,250,078.83","-358,631,443.37","-575,382,064.15","-672,877,073.79","11,943,064.03","-62,755,794.73","-638,290,606.34","-715,544,241.50","-55,226,615.00"
购买商品、接受劳务支付的现金,"236,738,872.54","295,798,560.66","394,259,612.11","394,368,751.31","559,754,086.09","111,160,200.50","260,496,121.16","443,273,828.61","630,854,326.88","119,084,894.22","287,221,151.99","500,612,408.60","793,618,106.47","190,799,915.00","422,012,411.92","703,634,671.28","1,064,315,868.03","237,635,612.75"
吸收投资收到的现金,"13,250,000.00",,,,,"441,607,800.00","441,607,800.00","441,607,800.00","441,607,800.00",,"82,600,000.00","82,600,000.00","82,600,000.00",,"9,528,750.00","591,838,749.66","591,838,749.66","31,871,100.00"
