科目,2007-12-31,2008-12-31,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30
货币资金,"61,844,756.54","95,352,067.19","188,843,155.13","99,200,452.41","644,920,428.72","511,221,965.65","495,784,220.85","385,976,561.64","283,753,747.41","212,743,645.86","181,063,563.12","105,536,838.79","117,595,879.26","85,789,777.90","81,096,607.69","67,505,632.40","58,776,968.96","80,821,916.52","93,721,575.10","81,681,211.80","54,299,138.65","43,301,976.68","94,496,960.39","65,482,773.93","136,578,019.77","120,548,367.49","717,437,631.23","101,763,676.30","92,533,571.98","173,701,251.52","286,517,998.57","200,516,761.69","198,997,387.85","88,324,648.02","797,756,106.83","260,305,328.01","370,254,798.18"
短期借款,"67,147,588.67","79,643,898.61","18,137,003.40","38,730,766.30","23,370,606.74","8,775,517.44",,,"6,628,859.88","16,987,918.68","13,511,019.87","4,407,268.86",,,,,"100,000,000.00","180,000,000.00","200,000,000.00","220,000,000.00","200,000,000.00","125,000,000.00","30,000,000.00","10,000,000.00","33,000,000.00","33,000,000.00","40,500,000.00","33,310,000.00","56,400,000.00","1,100,000.00","1,100,000.00","1,100,000.00","20,100,000.00","53,717,591.25","98,617,591.25","117,717,591.25","144,900,000.00"
交易性金融资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
交易性金融负债,,,,,,,,,,,,,,,,,,,,,"1,605,503.35","1,605,503.35","708,966.96",,,,,,,,,,,,,,
应收票据,"27,016,006.02","33,117,413.88","47,147,645.28","18,830,856.62","113,104,292.47","193,085,440.26","191,880,273.95","111,456,154.04","178,553,421.22","114,686,909.52","189,118,324.06","149,644,801.30","119,021,832.04","103,195,084.43","139,390,237.75","56,473,910.63","74,030,334.61","164,010,617.66","237,990,100.36","164,641,690.28","174,290,618.77","183,335,397.26","206,506,969.76","186,186,637.54","132,680,565.10","144,270,778.52","30,467,399.28","22,830,247.98","1,826,800.00","15,542,468.00","38,351,229.30","29,800,659.90","27,430,243.84","50,071,819.84","144,768,613.52","114,424,162.52","74,692,199.52"
应付票据,"256,408,749.86","195,020,060.48","339,741,563.07","353,869,746.49","360,221,394.87","330,685,080.82","331,184,320.70","323,267,952.45","265,813,362.44","289,728,013.13","236,147,022.94","120,675,045.03","105,674,076.88","120,409,569.05","113,254,965.70","134,369,694.20","181,737,673.75","176,164,395.74","206,168,570.42","154,691,077.62","66,472,948.88","110,461,598.81","144,976,772.77","166,891,322.10","198,630,000.00","172,193,912.10","21,745,449.59","21,804,522.89","8,223,644.50","2,161,494.53","7,439,753.42","8,960,472.91","14,342,483.74","25,594,109.35","40,394,564.08","38,768,680.84","36,457,282.47"
应收账款,"168,400,509.68","117,434,407.00","180,556,381.67","250,120,411.05","307,202,890.79","296,698,213.47","245,763,834.71","349,300,514.39","426,058,217.55","390,462,485.27","256,128,256.05","284,652,124.80","307,868,442.21","303,865,211.40","258,874,912.97","338,472,501.27","462,470,640.34","415,891,005.92","392,733,416.06","387,617,423.34","558,400,699.86","488,055,660.50","436,052,955.68","391,021,960.31","723,231,328.89","648,227,349.90","182,540,180.06","241,742,640.25","267,851,625.08","415,183,426.23","446,675,381.99","507,499,072.56","641,446,071.64","710,801,484.21","611,065,010.04","657,328,189.84","834,182,329.36"
应付账款,"131,890,199.81","70,640,972.88","163,006,633.97","200,453,679.48","178,024,116.46","242,200,468.13","211,838,341.73","273,967,982.09","293,478,846.91","199,704,394.71","179,840,207.31","230,399,272.92","221,744,352.23","160,892,770.60","140,066,352.56","166,783,407.44","189,765,786.92","165,224,590.70","141,917,919.67","127,320,926.87","139,871,873.02","139,517,720.46","162,250,114.94","145,178,349.55","204,019,339.94","198,496,661.77","51,382,875.29","60,251,779.45","67,133,950.76","108,241,739.90","102,210,795.94","93,502,162.24","130,589,219.65","209,009,934.65","117,532,999.42","120,879,890.58","113,962,527.68"
预付款项,"7,116,118.42","47,593,737.49","8,983,910.30","24,050,966.80","17,846,757.85","74,123,907.31","90,930,085.61","95,630,503.06","84,217,288.82","66,699,532.34","33,408,964.82","56,135,129.73","53,244,420.72","58,483,278.87","13,529,423.73","13,342,599.95","11,606,759.71","25,718,642.29","6,804,246.91","7,988,061.53","4,103,449.01","16,744,004.07","11,465,539.90","9,038,806.19","12,053,598.04","21,707,361.56","63,583,274.06","51,332,055.69","202,768,619.45","42,532,588.97","31,928,983.59","46,879,126.38","63,060,161.52","93,565,280.37","32,618,553.54","46,427,674.31","75,304,378.79"
预收款项,"1,571,519.07","1,057,174.21","3,495,851.55","964,288.34","1,059,452.15","1,863,273.90","4,555,734.80","2,515,050.39","2,625,807.34","452,602.94","817,806.95","3,242,250.06","871,420.82","2,832,691.06","1,472,033.48","1,197,528.70","1,470,739.86","1,365,612.25","999,383.80","1,986,422.88","1,189,502.30","2,160,506.27","958,721.08","3,749,941.08","27,055,817.94","34,509,825.60","17,204,017.58","28,714,218.68","21,311,977.06","24,322,791.42","12,593,336.74","20,358,195.04","41,376,936.68","48,014,015.08","23,092,600.45","55,204,771.83","76,300,664.76"
其他应收款,"11,560,077.22","7,725,945.94","7,668,055.57","12,611,463.92","13,492,067.83","10,827,843.85","10,435,878.35","13,472,905.46","11,665,260.89","24,333,840.57","15,560,043.91","17,650,450.70","17,096,966.76","22,208,594.99","18,958,853.62","15,230,592.81","15,841,998.29","15,726,720.53","14,685,586.16","16,730,740.21","14,036,202.48","16,320,949.63","7,978,745.86","13,207,425.71","15,199,571.84","49,446,794.44","620,346,916.77","626,582,021.52","571,633,449.46","609,804,619.71","610,562,244.31","616,464,193.25","616,646,466.75","621,108,733.16","9,939,500.67","125,305,666.82","9,070,953.52"
应付职工薪酬,"12,818,698.08","7,959,991.41","5,922,386.13","4,499,466.77","7,831,849.45","8,751,349.16","12,778,107.78","8,971,933.37","13,712,736.45","12,371,520.15","17,357,715.17","13,459,772.92","15,246,990.08","14,810,505.71","17,903,197.35","12,925,324.41","10,438,596.12","9,797,361.37","22,955,201.23","13,073,560.60","16,855,345.78","19,523,931.38","25,440,754.09","21,681,713.41","24,899,601.59","26,041,588.68","9,127,252.84","7,821,356.14","11,164,541.98","10,064,888.02","16,777,922.54","12,416,020.19","14,375,015.55","15,797,279.92","19,952,742.53","14,455,330.30","16,821,092.64"
应收关联公司款,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应交税费,"3,642,749.20","1,989,059.34","3,718,969.36","1,990,402.36","15,830,683.20","4,064,284.22","11,926,084.10","7,406,680.51","20,629,384.95","1,821,572.05","-1,278,676.59","4,897,554.77","2,841,354.22","1,509,415.14","-1,446,313.88","3,496,431.28","10,199,286.69","9,577,442.25","4,608,173.01","851,826.32","19,171,065.56","10,795,643.22","15,123,578.00","6,946,555.18","47,141,381.68","62,597,787.95","55,925,463.32","28,168,746.70","13,558,643.84","6,134,882.43","38,438,349.82","19,301,956.26","12,173,590.41","8,376,870.75","49,427,341.20","23,599,881.76","25,681,806.48"
应收利息,,,,,,,,,,,,,,,,,,"3,423,424.65","876,232.87","3,385,136.99",,,,,,,,,,"506,274.45","1,170,111.78","1,854,640.50","2,241,145.73",,,,"4,283,070.12"
应付利息,,,,,,,,,,,,,,,,,,,,,,,,,"59,377.08","66,000.00",,"463,340.70","717,935.91","749,447.90",,"240,855.19",,"514,678.74",,,"310,329.55"
应收股利,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应付股利,,,,,,,,,,"14,700,000.00",,,,,,,"22,050,000.00",,,,,,,,,,,,,,,,,,,,
存货,"214,475,183.83","85,361,328.24","115,830,602.20","229,180,259.28","192,584,457.39","216,409,456.20","236,678,975.09","302,238,469.87","251,703,976.60","305,305,490.04","286,826,976.84","304,545,938.18","273,717,393.01","278,074,768.83","291,957,594.36","380,419,112.87","330,014,780.00","308,657,786.99","317,498,102.42","362,639,749.05","259,453,603.28","304,448,335.19","265,562,515.76","356,374,854.67","354,604,253.14","383,786,931.18","84,781,669.14","111,028,734.11","132,393,915.77","190,733,771.53","217,218,083.03","243,663,455.93","262,496,184.03","397,758,337.93","361,888,505.94","424,085,003.78","415,491,252.36"
其他应付款,"4,190,921.39","1,493,202.16","1,773,494.23","3,044,929.93","4,494,147.97","3,092,952.39","3,059,777.45","3,762,612.90","3,456,186.20","4,145,647.54","2,823,217.45","2,582,922.36","2,452,218.65","1,014,582.12","2,264,194.20","871,784.73","1,645,442.95","1,794,123.19","653,789.72","704,937.68","878,995.76","879,033.48","1,169,045.34","1,546,975.81","2,069,303.19","1,408,563.17","1,195,120.84","6,106,535.19","13,415,884.43","13,340,498.31","14,709,520.04","14,197,894.86","56,839,899.94","10,958,946.08","14,043,387.01","40,156,519.38","2,201,890.86"
其中:消耗性生物资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应付关联公司款,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
一年内到期的非流动资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
一年内到期的非流动负债,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
其他流动资产,"6,100.00","486,265.06","104,192.00","292,339.66","581,885.74","469,098.70","588,768.33","357,451.29","217,983.24","628,134.26","350,821.88","401,878.58","626,431.93","906,333.25","1,413,011.61","1,250,463.55","116,090,562.78","40,790,633.05","41,196,719.39","41,331,042.45","1,056,458.99","346,169.36","844,516.05","1,379,656.38","1,124,950.13","911,798.11","1,422,438.00","251,185,242.41","949,902.36","394,656,155.62","207,285,588.74","196,012,690.49","109,581,601.62","6,450,358.17","22,688,374.06","426,274,487.23","612,029,104.48"
