科目,2007年1-3月,2007年1-6月,2007年度,2008年1-3月,2008年1-6月,2008年1-9月,2008年度,2009年1-3月,2009年1-6月,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月
一、营业收入,"223,316,901.11","463,084,397.88","986,979,486.56","225,794,953.24","496,836,561.42","823,590,206.34","1,084,937,931.66","239,742,383.54","559,944,671.60","949,328,624.17","1,340,593,059.43","429,231,149.35","930,040,591.73","1,347,340,390.95","1,973,449,090.81","568,043,398.02","1,233,420,147.28","1,847,388,095.42","2,568,045,031.33","659,411,796.96","1,481,932,508.51","2,176,567,974.31","2,955,361,791.29","600,282,002.32","1,453,762,580.16","2,418,520,854.81","3,368,351,413.26","847,616,864.51","1,779,721,282.94","2,902,390,183.32","3,990,266,098.86","897,447,306.81","1,922,323,425.24","2,977,032,259.15","4,007,786,872.33","918,827,569.15","1,772,235,828.31","2,288,559,356.82","3,099,309,742.81","840,305,274.63","1,937,333,564.43","2,906,090,189.05"
二、营业利润,"16,859,577.92","37,077,818.85","80,784,344.73","14,493,949.76","33,423,305.46","61,093,421.74","86,867,323.07","32,789,263.54","61,844,396.35","108,840,597.25","168,697,931.69","59,436,027.62","112,589,750.29","174,873,475.46","248,384,432.28","79,122,118.54","149,834,942.61","231,105,769.22","342,404,393.06","100,967,881.81","194,755,134.35","297,287,846.58","435,977,142.43","105,285,089.26","217,676,757.74","345,611,591.05","526,275,807.96","142,253,316.81","290,441,039.71","441,506,995.92","663,418,236.22","171,324,829.96","358,912,059.51","509,283,475.16","736,120,902.72","125,032,849.26","228,531,241.73","224,863,720.87","251,888,079.27","99,773,984.59","217,634,921.87","232,970,054.04"
减:营业成本,"168,035,786.05","365,850,699.05","777,021,758.44","174,834,394.10","386,330,580.24","644,838,486.67","808,605,401.34","160,197,075.69","392,388,710.54","670,864,704.52","939,983,344.62","309,941,861.22","686,161,524.45","981,712,985.45","1,458,333,842.31","418,324,953.55","926,958,912.00","1,369,472,663.93","1,872,266,778.27","450,118,435.92","1,063,872,198.17","1,532,207,915.15","2,023,222,287.55","382,195,908.43","984,196,626.28","1,661,872,299.88","2,261,572,129.88","580,097,814.07","1,185,910,817.13","1,955,743,126.13","2,648,136,845.39","573,594,357.36","1,197,252,157.76","1,903,383,847.03","2,515,157,585.00","650,109,661.83","1,187,552,828.44","1,530,889,960.20","2,064,576,598.86","566,769,625.62","1,310,445,612.44","2,000,312,920.79"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"273,553.31","565,226.04","2,084,097.78","823,534.07","1,264,159.49","2,214,598.84","2,957,743.53","833,761.24","1,007,048.75","2,182,577.54","3,389,634.58","1,469,296.73","3,042,328.84","3,615,156.53","4,865,505.64","2,180,457.65","3,608,107.24","5,360,401.16","7,281,507.18","1,606,925.96","2,208,337.71","3,662,447.94","5,794,769.55","2,926,191.36","3,975,359.14","7,346,250.60","12,147,776.96","5,561,188.26","8,090,496.78","11,896,894.47","15,937,977.15","4,415,111.31","9,808,174.37","13,466,528.82","18,802,336.49","5,324,187.11","8,319,326.36","12,630,677.08","28,722,811.27","7,519,255.73","13,854,615.85","18,933,883.73"
营业外收入,"5,129.49","2,403,264.99","2,823,782.91","4,666,593.00","9,730,055.81","10,200,840.31","12,345,066.58","1,499,412.00","1,950,304.29","2,603,378.60","6,426,653.18","95,177.00","1,545,684.63","2,534,924.13","7,395,674.01","1,200,483.26","4,292,668.18","5,702,845.23","12,109,536.03","2,690,250.07","3,354,151.75","7,203,408.95","9,830,544.55","852,228.86","1,849,452.77","3,952,247.04","7,203,791.63","577,727.02","4,159,907.98","6,377,239.50","11,316,810.20","2,691,526.45","5,486,746.61","7,287,483.80","14,617,661.58","898,509.28","78,641,327.10","86,590,246.13","89,905,992.85","1,259,472.35","683,993.33","4,195,647.58"
销售费用,"5,703,174.09","10,468,310.56","23,886,333.78","6,041,487.06","11,999,908.67","18,159,202.40","31,339,360.85","10,449,337.14","23,101,772.40","41,284,551.95","42,601,835.09","10,982,454.85","17,203,993.91","30,176,279.33","28,494,416.70","10,384,188.33","16,195,291.21","26,041,235.67","42,429,364.71","8,699,075.81","18,579,344.74","29,597,207.54","39,321,952.29","9,748,478.44","20,488,290.16","26,919,009.86","42,590,152.59","10,017,442.58","22,316,684.04","34,236,299.30","42,261,408.43","10,786,121.86","19,398,078.39","27,727,056.72","38,319,304.56","5,875,218.37","15,048,894.28","18,932,911.65","27,990,532.57","6,309,696.93","16,040,705.51","28,711,089.71"
减:营业外支出,"250,934.35","263,954.35","2,363,485.43","564,827.85","930,826.01","1,135,976.01","1,270,387.40","113,693.76","223,886.07","536,767.27","8,172,345.94","271,631.05","443,242.30","664,691.20","7,675,911.95","511,449.50","2,248,653.77","2,666,508.27","8,475,898.27","2,119,555.96","4,042,322.58","6,561,544.47","5,008,440.73","751,937.44","3,214,585.54","4,676,090.84","5,598,876.55","436,535.16","3,744,866.75","5,318,473.87","18,264,087.31","1,268,464.58","6,679,099.62","7,278,841.43","14,635,508.57","1,506,306.86","12,780,780.66","21,234,375.45","31,522,933.81","1,733,444.25","5,460,665.87","10,424,287.98"
管理费用,"30,027,056.18","42,713,686.16","88,975,318.80","25,869,598.17","52,352,722.56","81,528,327.43","135,326,115.49","33,058,737.79","71,300,420.31","115,467,315.85","172,771,227.07","46,133,944.09","102,710,884.50","150,015,224.71","217,960,712.76","53,805,564.69","125,468,722.69","193,279,129.25","291,746,121.64","87,220,765.20","185,485,672.47","279,380,384.06","417,954,651.58","91,321,902.52","209,333,573.91","349,995,395.82","488,899,158.05","100,395,169.65","261,612,027.06","436,336,099.85","584,055,686.44","130,648,180.16","322,510,999.32","513,554,527.01","686,531,376.82","127,107,711.37","313,920,491.94","483,973,148.15","673,698,221.12","148,361,142.89","377,887,246.20","629,899,708.24"
其中:非流动资产处置净损失,,,"75,901.36",,"56,283.13","56,005.28","232,417.37","7,893.76","7,893.76","7,893.76","7,431,409.63","190,231.05","32,072.67","170,610.02","6,711,830.77","6,449.50","34,086.45","152,291.81","5,603,292.14","1,769,555.96","2,427,558.90","4,873,544.47","3,154,338.92","659,615.08","1,753,580.01","3,110,785.31","3,946,771.96","386,535.16","1,816,538.78","3,228,295.90","15,163,426.76","1,063,464.58","6,225,579.84","6,601,869.03","13,181,934.49","1,298,716.86","9,995,823.76","17,678,612.78","23,503,769.62","889,214.25","4,474,490.85","9,312,829.16"
