科目,2011年度,2012年度,2013年度,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月,2018年1-9月,2018年度,2019年1-3月
销售商品、提供劳务收到的现金,"836,100,926.44","760,114,272.86","839,049,464.64","743,972,113.00","1,087,777,827.22","1,419,987,257.27","268,587,568.61","620,898,982.14","993,403,853.99","1,404,688,783.32","365,247,474.37","882,015,128.41","1,159,865,338.88","1,595,771,069.37","426,757,889.79","807,756,566.31","1,290,102,151.93","1,766,414,180.75","422,307,459.87","855,521,901.66","1,207,835,900.16","1,729,067,022.03","290,944,303.68"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,"264,063,953.87","355,735,507.15","56,109,730.00","56,109,730.00","56,109,730.00","56,109,730.00","16,109,685.00","16,109,685.00","53,573,932.37","53,573,920.10","430,905,913.40",,,"68,665,612.23",
收到的税费返还,"4,986,354.13","6,773,392.88","5,765,149.85","2,993,583.78","5,925,933.62","6,807,049.30","1,060,019.96","3,986,875.95","7,890,324.57","20,944,511.31","2,596,871.96","5,796,279.17","20,059,903.71","23,640,672.13","4,611,899.37","9,432,330.28","18,690,148.65","19,533,565.90","6,763,070.83","17,614,453.24","27,674,646.92","33,937,330.63","3,941,213.61"
支付其他与投资活动有关的现金,,,,"4,495,405.96","9,955,585.89","6,859,227.78","231,567.77","347,890.77","382,315.03","4,808,130.35","269,640.00","240,890.01","240,890.01","11,640,841.58","377,368.00","30,684,506.00","31,135,601.47","15,593,135.34","50,583.00","144,833.00","278,733.09",,"17,000.00"
收到其他与经营活动有关的现金,"7,409,960.24","5,882,416.44","10,426,796.78","3,596,526.45","6,849,943.90","6,440,462.31","5,751,076.26","9,709,153.68","17,512,716.47","26,352,193.94","9,339,770.87","9,004,970.86","17,563,598.20","10,576,459.91","2,693,188.84","2,744,266.62","6,974,019.91","15,820,064.54","70,239,623.43","72,067,641.81","78,427,969.68","106,163,724.98","1,827,671.05"
投资活动现金流出小计,"87,955,181.92","60,975,354.77","61,677,943.71","90,706,906.08","108,023,155.98","898,754,171.11","359,844,810.96","878,594,608.41","1,343,748,160.45","1,637,389,862.52","249,754,393.43","429,709,428.21","646,943,875.87","707,502,153.09","76,682,012.39","252,327,311.33","331,231,934.58","342,490,909.97","454,879,700.10","34,739,300.01","49,001,554.88","157,928,215.91","89,740,266.72"
经营活动现金流入小计,"848,497,240.81","772,770,082.18","855,241,411.27","750,562,223.23","1,100,553,704.74","1,433,234,768.88","275,398,664.83","634,595,011.77","1,018,806,895.03","1,451,985,488.57","377,184,117.20","896,816,378.44","1,197,488,840.79","1,629,988,201.41","434,062,978.00","819,933,163.21","1,315,766,320.49","1,801,767,811.19","499,310,154.13","945,203,996.71","1,313,938,516.76","1,869,168,077.64","296,713,188.34"
投资活动产生的现金流量净额,"-86,447,497.40","-53,434,767.92","14,370,760.51","-68,284,027.73","-65,580,121.63","-705,131,677.48","-51,510,001.24","100,202,274.48","-91,870,548.02","-68,581,100.39","815,688.79","124,123,647.47","-37,632,170.05","17,931,028.23","-36,209,828.83","-210,185,719.27","-289,037,302.52","-300,029,935.81","-419,184,700.10","53,452,873.19","43,401,582.72","-34,993,872.32","294,622,722.75"
购买商品、接受劳务支付的现金,"298,437,525.12","265,539,407.37","217,661,880.42","82,434,746.88","110,750,825.77","214,023,220.04","51,840,548.84","123,051,003.95","159,242,019.81","184,685,979.81","51,820,916.07","143,616,237.86","214,659,546.80","281,887,056.58","72,015,814.45","155,622,108.14","279,489,302.49","407,965,730.76","96,691,116.35","206,633,337.43","235,545,636.08","350,488,932.15","129,809,100.27"
吸收投资收到的现金,,,,,"1,354,445,000.00","1,370,752,000.00",,"53,410,000.00","53,410,000.00","53,410,000.00",,,,,,,,"5,400,000.00",,,,,
支付给职工以及为职工支付的现金,"174,709,843.97","201,155,566.23","233,268,980.26","151,174,312.97","234,130,025.27","305,343,005.40","104,537,852.87","181,501,348.91","261,921,098.32","318,416,510.04","113,312,612.96","185,625,980.47","257,235,972.11","327,379,125.55","122,590,785.80","196,230,549.72","275,641,468.18","373,366,693.27","139,045,346.25","231,567,702.92","308,242,945.80","383,305,359.45","117,813,763.02"
