科目,2007年度,2008年度,2009年度,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月
销售商品、提供劳务收到的现金,"176,374,277.11","200,759,212.83","228,927,182.40","85,681,070.20","225,308,980.48","44,159,108.10","104,416,393.71","126,946,053.14","258,602,576.28","59,157,098.00","103,692,692.43","156,306,924.72","335,064,483.01","89,825,292.06","138,647,672.71","198,816,642.85","271,391,913.88","108,618,829.30","167,343,794.28","210,461,164.31","309,285,115.25","261,917,940.51","421,633,626.66","583,515,417.32","628,478,613.43","107,623,780.63","222,423,358.71","300,664,724.45","390,672,975.38","102,075,036.39","199,725,158.90","362,637,619.05","772,471,833.62","310,300,089.98","633,064,422.54"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-54,339,073.40",,
收到的税费返还,"632,467.26","518,260.07","366,764.03","854,553.11","1,000,099.11","62,883.00","86,290.27","86,290.27","200,497.96","84,001.62","84,001.62","84,001.62","228,681.28","84,210.30","84,210.30","142,992.40","86,783.01","1,095,049.35","1,219,726.99","1,272,774.54","2,772,049.65","3,706,151.70","2,668,938.22","3,136,782.16","4,413,869.76","347,521.13","347,521.13","369,089.51","452,782.49",,"91,116.56","91,116.56","92,589.62",,"29,345.80"
支付其他与投资活动有关的现金,,"78,000.00",,,,,,,,,,,,,,,,,,,"1,229,052.00",,,,,,,"504,866.03","184,820,612.81","6,886,100.00","6,869,700.00","6,798,300.00",,"10,000,000.00",
收到其他与经营活动有关的现金,"7,883,909.26","3,364,750.22","9,160,027.46","4,309,625.52","6,729,831.41","246,908.52","6,410,444.33","10,771,754.02","12,965,448.68","2,209,551.29","10,862,250.36","14,756,913.08","22,944,559.38","21,772,374.64","22,100,407.35","24,217,687.64","7,864,079.19","270,533.42","9,938,722.30","27,430,460.25","4,790,941.43","2,304,947.09","4,307,320.31","6,992,574.06","10,352,839.03","1,559,155.96","2,662,212.52","4,295,602.21","7,811,711.10","4,363,231.30","4,616,543.20","6,454,909.80","29,283,448.03","545,209.07","784,734.97"
投资活动现金流出小计,"3,279,962.00","46,137,876.15","13,461,596.19","43,303,167.16","54,648,468.07","6,689,979.99","7,952,296.72","49,686,937.96","618,475,399.98","14,500,111.25","24,699,349.82","61,586,556.58","84,755,540.14","13,964,565.06","87,032,700.24","253,604,449.77","274,371,488.59","2,709,258.17","82,083,200.80","114,621,010.08","109,526,791.06","12,816,278.47","52,477,228.93","55,518,707.26","64,317,854.63","38,522,998.64","94,944,229.19","123,523,839.37","360,935,522.61","17,387,295.68","36,445,210.78","151,108,223.63","149,509,599.27","73,039,050.07","181,374,490.14"
经营活动现金流入小计,"184,890,653.63","204,642,223.12","238,453,973.89","90,845,248.83","233,038,911.00","44,468,899.62","110,913,128.31","137,804,097.43","271,768,522.92","61,450,650.91","114,638,944.41","171,147,839.42","358,237,723.67","111,681,877.00","160,832,290.36","223,177,322.89","279,342,776.08","109,984,412.07","178,502,243.57","239,164,399.10","316,848,106.33","267,929,039.30","428,609,885.19","593,644,773.54","643,245,322.22","109,530,457.72","225,433,092.36","305,329,416.17","398,937,468.97","106,438,267.69","204,432,818.66","369,183,645.41","801,847,871.27","310,845,299.05","633,878,503.31"
投资活动产生的现金流量净额,"-3,172,662.00","-46,131,376.15","-13,419,026.19","-43,303,167.16","-49,060,241.97","-6,689,979.99","-7,952,296.72","-49,686,937.96","-618,375,399.98","-14,400,111.25","-24,432,329.82","-61,319,262.58","-19,191,504.08","-13,464,565.06","-16,532,723.56","-183,104,473.09","-49,601,005.64","-2,679,258.17","-82,053,200.80","-99,645,367.29","12,295,444.67","-12,666,910.24","157,770,507.83","54,858,117.28","157,455,243.18","-35,188,256.39","-30,725,295.70","-57,659,331.97","-274,871,715.94","2,927,176.90","-10,825,839.69","-99,693,235.98","-114,519,883.99","27,339,539.53","-79,813,717.45"
购买商品、接受劳务支付的现金,"89,968,280.59","98,264,772.62","142,756,353.62","80,409,437.76","108,575,816.08","69,910,963.03","88,695,657.27","126,061,569.96","159,600,865.26","28,803,637.68","110,799,983.75","133,618,666.47","185,525,750.23","66,458,239.39","101,930,865.57","187,672,970.24","211,514,426.67","39,718,965.12","71,216,796.31","141,007,902.90","189,227,527.67","104,005,421.14","165,017,153.69","231,666,258.82","249,979,576.77","41,570,093.61","103,536,008.73","173,498,139.35","256,955,330.95","96,738,973.42","161,425,331.44","262,801,284.15","542,880,013.94","155,110,853.05","307,447,235.76"
吸收投资收到的现金,"6,321,399.00",,"81,000,000.00",,,"803,891,000.00","803,891,000.00","803,891,000.00","803,891,000.00",,,,,,,,,,"4,900,000.00","4,900,000.00","6,860,000.00",,,,,,,"37,150,000.00","37,150,000.00",,"43,267,000.00","43,267,000.00","43,267,000.00",,"7,160,000.00"
