科目,2009年度,2010年度,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月
销售商品、提供劳务收到的现金,"79,282,788.51","102,893,097.72","122,372,111.15","9,820,604.30","43,067,997.66","63,925,311.26","132,841,543.94","14,408,575.50","61,248,863.78","76,517,169.40","151,372,821.25","20,841,814.06","63,391,000.86","74,331,848.46","164,898,566.48","33,492,138.00","60,823,435.92","79,112,983.36","185,920,379.77","3,088,147.80","19,812,217.14","44,726,556.54","135,256,236.14","2,374,478.67","12,610,662.47","29,061,436.45","139,839,879.78","36,644,464.19","88,294,188.39"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
收到的税费返还,"8,680,074.35","4,258,001.83","4,773,817.62",,,"3,000,000.00","6,503,364.12",,,"3,357,042.54","6,263,521.14",,,,"84,767.46",,,,,,,,,,,,,,
支付其他与投资活动有关的现金,,,,,,,,,,"800,000.00",,,,,,,,,,,,,,,,,,,
收到其他与经营活动有关的现金,"3,727,275.23","13,941,461.03","10,433,531.23","6,425,233.18","6,278,657.76","14,138,572.28","16,128,877.41","3,089,945.65","3,586,373.55","11,328,052.51","16,057,491.76","8,528,994.29","10,652,151.98","13,850,877.52","10,653,120.53","38,885,650.55","13,784,904.70","14,019,734.47","47,598,519.60","53,691,025.27","17,898,059.85","18,124,680.71","8,337,651.51","5,414,649.40","20,123,640.89","21,726,536.83","47,923,538.70","6,745,613.87","19,310,818.37"
投资活动现金流出小计,"4,326,044.34","1,932,228.13","3,611,079.56","194,969.00","5,474,864.14","19,935,004.14","30,994,240.22","650,583.40","21,242,773.33","22,738,127.13","30,328,870.17","1,470,650.90","22,145,659.32","22,884,385.32","33,970,904.83","28,549.00","23,896,238.43","27,291,945.83","29,488,515.89","47,338.00","12,204,877.00","12,343,873.00","27,170,613.68","3,150.00","8,855,127.88","106,392.00","11,938,436.28","22,042,000.00","22,346,519.00"
经营活动现金流入小计,"91,690,138.09","121,092,560.58","137,579,460.00","16,245,837.48","49,346,655.42","81,063,883.54","155,473,785.47","17,498,521.15","64,835,237.33","91,202,264.45","173,693,834.15","29,370,808.35","74,043,152.84","88,182,725.98","175,636,454.47","72,377,788.55","74,608,340.62","93,132,717.83","233,518,899.37","56,779,173.07","37,710,276.99","62,851,237.25","143,593,887.65","7,789,128.07","32,734,303.36","50,787,973.28","187,763,418.48","43,390,078.06","107,605,006.76"
投资活动产生的现金流量净额,"-4,326,044.34","-1,932,228.13","-3,610,699.56","-194,969.00","-5,474,864.14","-19,935,004.14","-30,994,240.22","-650,583.40","-21,242,773.33","-22,738,127.13","-30,328,870.17","-1,470,650.90","-22,145,659.32","-22,876,685.32","-33,963,204.83","-28,549.00","-23,896,238.43","-27,291,945.83","3,454,680.84","-47,338.00","-12,204,877.00","-12,343,873.00","35,639,931.82","-3,150.00","-8,855,127.88","-106,392.00","-8,161,436.28","-22,042,000.00","-22,301,719.00"
购买商品、接受劳务支付的现金,"44,926,926.89","54,765,954.69","68,169,016.22","60,158,387.95","123,857,559.56","157,987,515.62","214,281,308.02","305,984,100.81","553,749,997.56","565,783,003.11","635,611,417.52","16,754,236.80","120,995,191.62","146,731,896.05","118,236,246.86","121,580,571.66","179,568,933.37","195,727,981.01","226,537,810.01","22,572,814.13","19,785,309.19","51,653,119.69","97,500,459.14","36,219,716.20","27,610,703.22","38,112,579.51","63,473,895.59","7,523,263.23","9,958,444.71"
吸收投资收到的现金,"229,000.00",,,,"385,940,400.00","385,940,000.00","385,940,400.00",,,,,,,,,,,,,,,,,,,,,,
支付给职工以及为职工支付的现金,"6,875,376.87","14,096,546.74","14,192,080.48","4,306,947.19","9,157,153.04","12,305,168.57","18,756,112.84","7,093,496.14","11,500,673.55","15,013,540.37","22,321,359.49","7,345,180.67","11,988,794.43","16,044,537.03","22,054,102.96","8,377,059.06","12,801,565.03","18,273,610.76","25,404,629.34","10,761,908.81","13,472,643.00","21,281,865.35","26,663,299.46","11,400,807.12","15,744,344.15","20,263,994.25","25,615,424.05","10,535,893.55","15,676,388.82"
取得借款收到的现金,"56,000,000.00","34,000,000.00",,,"15,000,000.00","30,000,000.00","209,200,000.00","34,500,000.00","270,000,000.00","270,000,000.00","311,170,000.00","9,830,000.00","129,830,000.00","129,830,000.00","129,830,000.00","198,000,000.00","373,000,000.00","373,000,000.00","487,500,000.00","70,000,000.00","130,000,000.00","140,000,000.00","240,000,000.00","20,000,000.00","75,000,000.00","99,000,000.00","199,000,000.00",,"100,000,000.00"
支付的各项税费,"10,941,904.53","9,724,846.48","8,768,226.86","1,801,734.90","5,242,617.16","5,242,617.16","9,841,462.62","552,470.15","4,641,743.86","7,049,117.76","14,905,615.53","1,914,818.14","2,878,364.97","3,295,750.30","4,497,528.99","666,302.08","11,930,181.20","14,275,547.02","2,696,971.82","796,001.20","1,362,910.67","1,447,173.00","1,271,570.14","461,865.78","890,490.43","1,375,259.12","785,593.46","5,068,899.90","5,212,999.74"
收到其他与筹资活动有关的现金,,"4,300,000.00",,,,,,,,,,,,,,,,,,,,,,,,,,,
支付其他与经营活动有关的现金,"10,474,779.00","21,233,340.11","27,977,458.26","24,872,129.19","24,662,613.01","25,758,455.28","46,318,841.92","24,611,396.98","27,361,319.29","27,330,916.17","35,435,958.04","21,872,229.85","17,456,493.85","5,271,603.66","33,711,428.23","28,231,712.04","17,511,301.45","6,843,766.06","35,079,144.88","19,874,824.70","8,476,738.99","8,678,998.05","32,407,411.42","22,728,410.27","9,341,862.62","10,360,776.80","21,088,435.91","23,404,959.94","11,900,450.25"
筹资活动现金流入小计,"56,229,000.00","38,300,000.00",,,"400,940,400.00","415,940,000.00","595,140,400.00","34,500,000.00","270,000,000.00","270,000,000.00","311,170,000.00","9,830,000.00","129,830,000.00","129,830,000.00","129,830,000.00","198,000,000.00","373,000,000.00","373,000,000.00","487,500,000.00","70,000,000.00","130,000,000.00","140,000,000.00","240,000,000.00","20,000,000.00","75,000,000.00","99,000,000.00","199,000,000.00",,"100,000,000.00"
经营活动现金流出小计,"73,218,987.29","99,820,688.02","119,106,781.82","91,139,199.23","162,919,942.77","201,293,756.63","289,197,725.40","338,241,464.08","597,253,734.26","615,176,577.41","708,274,350.58","47,886,465.46","153,318,844.87","171,343,787.04","178,499,307.04","158,855,644.84","221,811,981.05","235,120,904.85","289,718,556.05","54,005,548.84","43,097,601.85","83,061,156.09","157,842,740.16","70,810,799.37","53,587,400.42","70,112,609.68","110,963,349.01","46,533,016.62","42,748,283.52"
偿还债务支付的现金,"29,603,769.13","21,599,710.40","9,063,534.39",,"3,000,000.00","34,908,495.74","69,284,226.28",,"4,126,652.71","8,030,947.78","18,618,560.85",,"25,686,420.00","29,087,498.00","81,840,675.03","108,830,000.00","143,209,435.87","152,709,435.87","268,306,316.16","43,830,000.00","107,411,630.33","118,911,630.33","182,680,732.40","22,000,000.00","87,584,165.76","144,190,689.77","241,440,832.84","20,000,000.00","151,082,849.60"
经营活动产生的现金流量净额,"18,471,150.80","21,271,872.56","18,472,678.18","-74,893,361.75","-113,573,287.35","-120,229,873.09","-133,723,939.93","-320,742,942.93","-532,418,496.93","-523,974,312.96","-534,580,516.43","-18,515,657.11","-79,275,692.03","-83,161,061.06","-2,862,852.57","-86,477,856.29","-147,203,640.43","-141,988,187.02","-56,199,656.68","2,773,624.23","-5,387,324.86","-20,209,918.84","-14,248,852.51","-63,021,671.30","-20,853,097.06","-19,324,636.40","76,800,069.47","-3,142,938.56","64,856,723.24"
分配股利、利润或偿还利息支付的现金,"5,361,820.31","7,646,762.58","8,088,569.04","2,070,000.00","4,046,946.92","6,007,981.58","8,346,051.58","4,006,401.39","25,596,453.60","34,589,643.82","43,512,712.64","9,349,401.93","22,579,163.35","40,018,878.52","57,060,747.30","11,439,142.11","32,031,680.84","45,408,598.66","63,763,993.19","12,458,592.46","35,500,458.61","46,289,691.98","59,472,865.51","11,775,856.65","22,948,098.25","44,558,982.55","55,649,655.89","10,524,222.81","20,020,906.62"
收回投资收到的现金,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
支付其他与筹资活动有关的现金,,,,"-1,677.00",,,"12,863,449.78",,,,,,,,,,,,"3,000,000.00",,,,"720,000.00",,,,,,
取得投资收益收到的现金,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
筹资活动现金流出小计,"34,965,589.44","29,246,472.98","17,152,103.43","2,068,323.00","7,046,946.92","40,916,477.32","90,493,727.64","4,006,401.39","29,723,106.31","42,620,591.60","62,131,273.49","9,349,401.93","48,265,583.35","69,106,376.52","138,901,422.33","120,269,142.11","175,241,116.71","198,118,034.53","335,070,309.35","56,288,592.46","142,912,088.94","165,201,322.31","242,873,597.91","33,775,856.65","110,532,264.01","188,749,672.32","297,090,488.73","30,524,222.81","171,103,756.22"
处置固定资产、无形资产和其他长期资产收回的现金净额,,,380.00,,,,,,,,,,,"7,700.00","7,700.00",,,,"24,320,596.73",,,,"62,810,545.50",,,,"277,000.00",,"44,800.00"
筹资活动产生的现金流量净额,"21,263,410.56","9,053,527.02","-17,152,103.43","-2,068,323.00","393,893,453.08","375,023,522.68","504,646,672.36","30,493,598.61","240,276,893.69","227,379,408.40","249,038,726.51","480,598.07","81,564,416.65","60,723,623.48","-9,071,422.33","77,730,857.89","197,758,883.29","174,881,965.47","152,429,690.65","13,711,407.54","-12,912,088.94","-25,201,322.31","-2,873,597.91","-13,775,856.65","-35,532,264.01","-89,749,672.32","-98,090,488.73","-30,524,222.81","-71,103,756.22"
处置子公司及其他营业单位收到的现金净额,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
四、汇率变动对现金的影响,"-641,529.37","78,532.78","714,927.97",,,,"5,310.61",,,,,,,,,,,,,,,,,,,,,,
收到其他与投资活动有关的现金,,,,,,,,,,,,,,,,,,,"8,622,600.00",,,,,,,,"3,500,000.00",,
四(2)、其他原因对现金的影响,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
投资活动现金流入小计,,,380.00,,,,,,,,,,,"7,700.00","7,700.00",,,,"32,943,196.73",,,,"62,810,545.50",,,,"3,777,000.00",,"44,800.00"
五、现金及现金等价物净增加额,"34,766,987.65","28,471,704.23","-1,575,196.84","-77,156,653.75","274,845,301.59","234,858,645.45","339,933,802.82","-290,899,927.72","-313,384,376.57","-319,333,031.69","-315,870,660.09","-19,505,709.94","-19,856,934.70","-45,314,122.90","-45,897,479.73","-8,775,547.40","26,659,004.43","5,601,832.62","99,684,714.81","16,437,693.77","-30,504,290.80","-57,755,114.15","18,517,481.40","-76,800,677.95","-65,240,488.95","-109,180,700.72","-29,451,855.54","-55,709,161.37","-28,548,751.98"
购建固定资产、无形资产和其他长期资产支付的现金,"1,326,044.20","1,929,228.13","3,611,079.56","194,969.00","5,474,864.14","19,935,004.14","30,994,240.22","650,583.40","1,242,773.33","1,938,127.13","10,328,870.17","1,470,650.90","22,145,659.32","22,884,385.32","33,970,904.83","28,549.00","15,896,238.43","19,291,945.83","21,488,515.89","47,338.00","204,877.00","343,873.00","15,170,613.68","3,150.00","8,855,127.88","106,392.00","11,938,436.28","4,042,000.00","4,346,519.00"
期初现金及现金等价物余额,"18,020,137.60","52,787,125.25","81,258,829.48","79,683,632.64","79,683,632.64","79,683,632.64","79,683,632.64","419,617,435.46","419,617,435.46","419,617,435.46","419,617,435.46","103,746,775.37","103,746,775.37","103,746,775.37","103,746,775.37","57,849,295.64","57,849,295.64","57,849,295.64","57,849,295.64","157,534,010.45","157,534,010.45","157,534,010.45","157,534,010.45","176,051,491.85","176,051,491.85","176,051,491.85","176,051,491.85","146,599,636.31","146,599,636.31"
投资支付的现金,"3,000,000.14","3,000.00",,,,,,,"20,000,000.00","20,000,000.00","20,000,000.00",,,,,,"8,000,000.00","8,000,000.00","8,000,000.00",,"12,000,000.00","12,000,000.00","12,000,000.00",,,,,"18,000,000.00","18,000,000.00"
期末现金及现金等价物余额,"52,787,125.25","81,258,829.48","79,683,632.64","2,526,978.89","354,528,934.23","314,542,278.09","419,617,435.46","128,717,507.74","106,233,058.89","100,284,403.77","103,746,775.37","84,241,065.43","83,889,840.67","58,432,652.47","57,849,295.64","49,073,748.24","84,508,300.07","63,451,128.26","157,534,010.45","173,971,704.22","127,029,719.65","99,778,896.30","176,051,491.85","99,250,813.90","110,811,002.90","66,870,791.13","146,599,636.31","90,890,474.94","118,050,884.33"
