科目,2013-12-31,2014-12-31,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30
货币资金,"90,405,772.25","70,608,059.74","92,118,130.23","65,951,206.12","212,606,099.29","50,315,799.06","213,150,206.14","181,946,158.79","181,268,127.27","169,175,425.65","218,828,987.62","154,990,352.69","176,155,517.12"
短期借款,"64,000,000.00","55,000,000.00","53,600,000.00","37,600,000.00","50,600,000.00","25,346,791.00","24,996,359.00","43,368,749.00","46,368,749.00","43,861,958.00","52,512,390.00","54,329,500.00","101,329,500.00"
交易性金融资产,,,,,,,,,,,,,
交易性金融负债,,,,,,,,,,,,,
应收票据,"14,795,583.50","15,715,800.00","19,209,227.78","4,069,674.45","8,791,428.95","7,700,174.00","14,562,234.10","8,567,893.40","8,953,349.76","16,050,307.98","108,404,784.88","94,104,388.92","59,551,756.48"
应付票据,"35,327,749.55","10,439,613.57","14,389,516.00","14,906,516.00","7,905,365.00","15,458,260.00","21,788,781.00","10,305,816.00","36,235,590.00","53,001,036.13","36,737,118.30","28,642,080.00","28,005,195.60"
应收账款,"241,157,494.33","264,951,609.93","261,480,609.73","227,570,294.55","265,634,608.88","275,675,461.97","356,683,387.34","283,152,083.35","339,451,442.19","306,443,039.05","341,188,418.48","318,221,504.97","839,019,316.00"
应付账款,"75,421,931.95","63,771,992.00","60,891,672.33","51,402,676.18","38,287,357.51","42,579,493.34","85,670,384.48","39,508,484.58","58,118,245.10","58,497,262.23","91,073,200.12","67,605,020.39","171,331,899.83"
预付款项,"9,514,488.59","3,779,663.74","6,086,764.37","17,407,183.24","16,158,567.91","39,629,062.92","11,765,063.54","21,902,769.62","38,419,347.60","46,053,823.54","17,277,922.69","21,985,888.81","61,103,693.85"
预收款项,"37,523,528.56","16,991,333.73","8,788,736.03","11,372,496.93","13,531,179.13","13,919,401.72","4,974,538.43","1,522,459.56","15,076,345.95","45,157,693.03","31,138,612.91","42,302,585.43","83,492,391.62"
其他应收款,"6,023,368.04","5,261,023.34","6,091,122.96","8,251,293.34","10,030,046.47","6,180,705.93","7,108,933.53","9,756,326.38","11,753,359.29","11,827,179.58","10,935,775.18","14,126,347.51","37,410,236.03"
应付职工薪酬,"12,707,693.58","10,302,626.89","7,372,316.73","7,265,125.36","1,299,021.19","1,544,782.55","6,061,753.02","6,183,623.24","6,091,514.50","1,088,648.81","7,548,606.69","6,554,836.35","26,619,192.78"
应收关联公司款,,,,,,,,,,,,,
应交税费,"18,271,976.66","19,366,432.62","12,338,800.93","-955,344.00","1,641,164.57","1,232,971.27","16,476,555.72","3,910,186.30","1,385,307.97","1,348,414.66","11,266,158.42","1,575,401.82","27,473,687.09"
应收利息,,,,,,,,,,,,,
应付利息,,,"60,000.00","120,000.00","180,000.00","240,000.00",,,,,"101,204.11","156,499.99","217,449.99"
应收股利,,,,,,,,,,,,,
应付股利,,,,,,,,,"9,139,200.00",,,,
存货,"97,554,398.25","63,226,017.54","56,974,192.54","79,461,057.30","87,079,976.32","102,572,044.16","70,936,774.38","104,538,708.75","143,289,690.61","193,591,702.46","121,671,439.72","177,417,854.26","305,176,465.53"
其他应付款,"2,408,860.75","1,431,518.28","1,699,678.09","732,584.76","1,140,810.94","1,297,104.25","7,213,164.19","6,319,853.73","9,765,298.35","4,347,918.39","12,275,859.87","7,653,592.72","217,914,738.50"
其中:消耗性生物资产,,,,,,,,,,,,,
应付关联公司款,,,,,,,,,,,,,
一年内到期的非流动资产,,,,,,,,,,,,,
一年内到期的非流动负债,,,,,,,,,,,,,
其他流动资产,,,,,"3,282,022.47","100,896,953.98","39,239,686.19","50,310,700.25","12,631,389.50","7,728,643.41","1,331,488.52","3,137,773.67","8,648,877.01"
其他流动负债,,,,,,,"3,279,091.41","3,279,091.41","1,282,727.19",,"7,402,886.43","427,136.57","348,400.87"
流动资产合计,"459,451,104.96","423,542,174.29","441,960,047.61","402,710,709.00","603,582,750.29","582,970,202.02","713,446,285.22","660,174,640.54","735,766,706.22","750,870,121.67","819,638,817.09","783,984,110.83","1,487,065,862.02"
流动负债合计,"245,661,741.05","177,303,517.09","159,140,720.11","122,444,055.23","114,584,898.34","101,618,804.13","170,460,627.25","114,398,263.82","183,462,978.06","207,302,931.25","250,056,036.85","209,246,653.27","656,732,456.28"
可供出售金融资产,,,,,,,,,,,,,
长期借款,,,,,,,,,,,,,
持有至到期投资,,,,,,,,,,,,,
应付债券,,,,,,,,,,,,,
长期应收款,,,,,,,,,,,,,
长期应付款,,,,,,,,,,,,,
长期股权投资,,,"2,073,296.77","2,063,016.65","2,271,645.90","2,158,557.42","2,098,405.83","2,058,025.33","2,128,562.45","2,104,149.07","2,321,567.88","2,173,739.29","2,078,779.15"
专项应付款,,,,,,,,,,,,,
投资性房地产,,,,,"4,017,469.05","3,924,544.98","3,831,533.25","3,738,521.52","3,645,509.79","3,552,498.06","3,459,486.33","3,366,474.60","3,273,462.87"
预计负债,,,,,,,,,,,,,
固定资产,"9,858,092.18","8,865,300.36","9,055,506.66","8,547,026.14","4,491,843.76","4,375,536.91","15,413,921.96","14,958,150.14","16,385,726.33","17,225,274.96","30,638,074.23","29,975,379.15","113,140,249.94"
递延所得税负债,,,,,,,,,,,,,"8,804,640.13"
在建工程,,,,,,,"1,289,042.21","1,289,042.21",,,,,"2,349,587.45"
其他非流动负债,,,,,,,,,,,,,
工程物资,,,,,,,,,,,,,
非流动负债合计,,,,,,,,,,,"4,609,925.46","4,568,518.95","13,331,752.57"
固定资产清理,,,,,,,,,,,,,
负债合计,"245,661,741.05","177,303,517.09","159,140,720.11","122,444,055.23","114,584,898.34","101,618,804.13","170,460,627.25","114,398,263.82","183,462,978.06","207,302,931.25","254,665,962.31","213,815,172.22","670,064,208.85"
生产性生物资产,,,,,,,,,,,,,
实收资本(或股本),"57,100,000.00","57,100,000.00","57,100,000.00","57,100,000.00","76,160,000.00","76,160,000.00","76,160,000.00","76,160,000.00","76,160,000.00","121,856,000.00","121,856,000.00","121,856,000.00","169,754,778.00"
油气资产,,,,,,,,,,,,,
资本公积,"92,568,286.61","92,568,286.61","92,568,286.61","92,568,286.61","269,959,006.61","269,959,006.61","269,127,886.06","269,127,886.06","269,127,886.06","223,431,886.06","223,213,566.10","223,213,566.10","1,751,184,584.30"
无形资产,"3,921,402.59","4,563,446.48","3,212,086.08","2,976,558.69","2,738,387.25","4,727,279.40","5,712,983.40","5,291,076.30","8,265,059.26","7,668,536.77","7,442,419.33","6,829,519.96","48,466,622.61"
盈余公积,"9,161,059.72","12,465,317.48","15,777,125.35","15,777,125.35","15,777,125.35","15,777,125.35","19,157,506.13","19,157,506.13","19,157,506.13","19,157,506.13","22,565,951.04","22,565,951.04","22,565,951.04"
开发支出,,,,,,,,,,,,,
减:库存股,,,,,,,,,,,,,
商誉,,,,,,,,,,,,,"1,192,347,624.14"
未分配利润,"74,616,733.32","105,799,725.17","141,425,239.10","139,268,803.35","150,528,384.55","145,163,215.21","177,589,058.27","177,719,356.31","178,154,049.66","174,151,178.40","202,076,871.32","203,396,096.80","245,754,419.95"
长期待摊费用,,,"1,589,048.60","1,879,352.63","2,333,912.32","2,074,588.72","2,788,695.05","2,780,169.95","2,701,940.73","1,963,104.12","1,543,217.72","1,098,106.10","652,994.48"
少数股东权益,"151,584.33","-519,392.17","24,793.16","239,081.03","62,922.20","-734,450.94","41,394,286.58","44,523,953.24","51,175,157.95","52,911,718.47","59,455,018.33","62,220,353.11","63,790,674.89"
