科目,2008年度,2009年度,2010年度,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月
销售商品、提供劳务收到的现金,"93,806,425.28","133,365,971.51","158,930,227.05","66,056,559.14","78,912,530.77","169,226,219.45","18,922,478.66","55,352,152.56","90,490,131.65","157,698,372.42","29,084,195.20","85,850,036.68","131,378,611.69","202,262,748.73","19,271,451.05","38,659,322.78","74,681,332.42","145,678,920.29","25,228,251.52","64,106,901.16","105,397,332.50","155,835,171.80","43,041,561.55","87,312,861.09","114,184,629.08","181,762,103.10","30,223,578.95","76,450,801.86","117,773,621.69","191,824,838.43","18,744,194.45"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,"7,000,000.00","23,563,579.84",,,,"2,500,000.00",,,,,,,,,,,,"19,879,239.37",,"10,000,000.00","10,000,000.00","10,000,000.00",
收到的税费返还,"1,940,362.13","2,898,239.85","3,136,663.47","2,533,167.78","2,589,380.63","2,605,607.73","973,984.73","3,870,609.00","3,964,168.66","4,033,252.66","617,118.47","1,819,154.03","6,015,724.54","11,986,567.33","756,356.21","2,704,041.11","3,903,372.23","7,101,946.58","4,033,814.75","4,461,393.58","5,459,887.77","7,727,461.92","2,045,002.63","2,256,683.26","3,565,994.10","4,500,169.59","233,139.78","5,743,998.61","7,412,683.96","9,651,128.10","530,349.53"
支付其他与投资活动有关的现金,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
收到其他与经营活动有关的现金,"12,385,108.82","6,597,557.27","6,276,714.30","4,955,487.50","10,455,166.63","18,129,767.53","915,914.10","4,180,750.86","13,839,432.96","22,510,897.90","2,832,829.80","5,007,328.93","11,797,141.99","17,233,407.13","1,253,518.70","7,436,388.03","11,320,704.39","16,425,398.41","4,097,611.75","7,285,933.63","23,358,982.05","25,962,848.15","2,570,425.41","9,110,255.74","16,098,390.76","30,752,611.96","3,242,692.76","9,241,287.95","17,891,502.44","32,704,358.95","4,014,470.47"
投资活动现金流出小计,"3,677,212.50","12,835,004.84","16,716,791.12","2,531,622.49","3,914,899.15","9,469,842.67","1,179,254.26","9,592,889.20","17,703,827.94","36,768,515.78","4,066,768.09","5,591,033.52","12,184,887.32","20,625,953.75","2,573,975.65","13,331,417.31","21,728,857.74","33,191,672.93","60,698,175.58","208,644,504.73","246,420,878.00","289,055,890.55","143,366,684.93","360,243,736.44","505,690,098.38","730,494,658.99","73,214,448.82","108,495,447.97","179,767,710.68","201,353,531.99","22,602,517.71"
经营活动现金流入小计,"108,131,896.23","142,861,768.63","168,343,604.82","73,545,214.42","91,957,078.03","189,961,594.71","20,812,377.49","63,403,512.42","108,293,733.27","184,242,522.98","32,534,143.47","92,676,519.64","149,191,478.22","231,482,723.19","21,281,325.96","48,799,751.92","89,905,409.04","169,206,265.28","33,359,678.02","75,854,228.37","134,216,202.32","189,525,481.87","47,656,989.59","98,679,800.09","133,849,013.94","217,014,884.65","33,699,411.49","91,436,088.42","143,077,808.09","234,180,325.48","23,289,014.45"
投资活动产生的现金流量净额,"-3,675,752.50","-10,589,534.84","-13,119,081.12","-2,531,622.49","-3,914,244.15","-9,406,497.67","-1,178,353.26","-9,588,538.20","-3,398,276.94","-22,461,404.78","-4,066,768.09","-5,573,033.52","-12,137,367.32","-20,577,873.75","-2,573,475.65","-13,314,917.31","-21,633,357.74","-33,096,172.93","-60,694,731.80","-183,530,874.71","-131,032,446.63","-132,156,986.15","-66,819,441.22","-109,592,457.11","-95,683,171.71","-205,337,838.59","92,724,671.13","117,513,991.94","101,301,713.33","142,726,507.21","7,204,969.80"
购买商品、接受劳务支付的现金,"63,195,833.91","79,443,504.45","93,274,907.20","48,882,590.43","74,858,492.82","123,454,173.99","36,461,138.20","61,064,791.91","118,145,388.95","144,643,793.00","50,461,022.21","65,427,677.18","81,721,329.49","97,619,487.47","18,334,800.63","37,751,800.36","64,107,849.51","90,524,375.38","28,085,282.77","54,546,257.86","77,130,051.52","102,833,471.93","34,920,181.53","55,342,800.54","91,710,817.86","85,448,297.46","41,705,685.68","131,231,992.26","172,878,991.93","203,158,067.66","45,222,241.45"
吸收投资收到的现金,,,"33,157,800.00",,"400,650,000.00","400,650,000.00",,,,,,,,,,"2,000,000.00","19,600,000.00","19,600,000.00",,,"980,000.00","980,000.00",,,,,"3,000,000.00","3,000,000.00","3,000,000.00","3,000,000.00",
支付给职工以及为职工支付的现金,"14,834,026.90","15,489,222.89","17,706,497.06","10,184,043.15","15,620,507.78","21,214,697.24","6,737,994.78","12,125,848.60","19,397,860.43","25,453,216.77","9,091,737.06","18,259,334.28","26,053,711.18","31,410,730.28","9,817,942.17","14,775,917.57","22,627,898.01","28,464,513.86","11,583,875.35","19,685,217.96","28,510,897.90","38,044,713.75","13,361,340.05","22,266,378.43","32,248,709.34","43,870,696.97","15,813,561.29","29,087,307.42","41,701,109.22","53,856,960.30","20,760,727.45"
取得借款收到的现金,"30,000,000.00","20,000,000.00",,,,,,,"16,496,104.52","16,496,104.52",,,,,,,,,,,,,,,"3,000,000.00","13,000,000.00",,"58,725,688.47","58,725,688.47","58,725,688.47",
支付的各项税费,"6,499,240.91","14,832,279.12","9,579,273.21","10,429,392.91","14,808,958.73","22,145,981.69","5,642,200.54","6,096,977.03","10,832,367.58","11,756,350.74","2,634,566.65","5,346,757.82","8,394,111.58","9,791,946.60","821,046.98","2,197,729.28","2,615,681.58","7,480,550.32","4,374,958.48","6,228,244.59","8,096,537.31","12,418,442.20","4,266,029.33","5,514,986.46","8,566,947.44","8,995,386.08","8,764,672.76","12,214,488.90","13,868,975.49","15,839,527.63","2,434,762.19"
收到其他与筹资活动有关的现金,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
支付其他与经营活动有关的现金,"12,416,814.29","17,285,176.30","20,271,569.18","9,555,503.03","15,413,749.26","20,931,281.40","6,708,121.98","13,876,199.79","21,965,613.12","29,485,389.52","8,932,247.25","17,762,060.86","24,702,778.59","32,081,606.53","8,058,977.32","14,826,566.89","27,454,506.98","31,450,754.51","11,890,482.56","20,017,893.98","28,990,445.62","37,524,745.27","9,285,464.21","27,356,403.71","42,579,266.11","56,326,707.94","18,308,663.47","31,986,326.94","57,326,807.17","69,793,684.38","11,244,756.99"
筹资活动现金流入小计,"30,000,000.00","20,000,000.00","33,157,800.00",,"400,650,000.00","400,650,000.00",,,"16,496,104.52","16,496,104.52",,,,,,"2,000,000.00","19,600,000.00","19,600,000.00",,,"980,000.00","980,000.00",,,"3,000,000.00","13,000,000.00","3,000,000.00","61,725,688.47","61,725,688.47","61,725,688.47",
经营活动现金流出小计,"96,945,916.01","127,050,182.76","140,832,246.65","79,051,529.52","120,701,708.59","187,746,134.32","55,549,455.50","93,163,817.33","170,341,230.08","211,338,750.03","71,119,573.17","106,795,830.14","140,871,930.84","170,903,770.88","37,032,767.10","69,552,014.10","116,805,936.08","157,920,194.07","55,934,599.16","100,477,614.39","142,727,932.35","190,821,373.15","61,833,015.12","110,480,569.14","175,105,740.75","194,641,088.45","84,592,583.20","204,520,115.52","285,775,883.81","342,648,239.97","79,662,488.08"
偿还债务支付的现金,"9,995,000.00","35,000,000.00","10,000,000.00",,,,,,,"16,496,104.52",,,,,,,,,,,,,,,,,,,"8,000,000.00","13,000,000.00",
经营活动产生的现金流量净额,"11,185,980.22","15,811,585.87","27,511,358.17","-5,506,315.10","-28,744,630.56","2,215,460.39","-34,737,078.01","-29,760,304.91","-62,047,496.81","-27,096,227.05","-38,585,429.70","-14,119,310.50","8,319,547.38","60,578,952.31","-15,751,441.14","-20,752,262.18","-26,900,527.04","11,286,071.21","-22,574,921.14","-24,623,386.02","-8,511,730.03","-1,295,891.28","-14,176,025.53","-11,800,769.05","-41,256,726.81","22,373,796.20","-50,893,171.71","-113,084,027.10","-142,698,075.72","-108,467,914.49","-56,373,473.63"
分配股利、利润或偿还利息支付的现金,"11,889,426.86","19,771,131.20","11,073,191.52","16,722,199.09","16,722,199.09","16,722,199.09",,"9,333,871.00","10,228,226.67","10,276,981.82","28,383.82","28,191.00","28,124.39","28,008.69",,"15,300,000.00","15,300,000.00","15,300,000.00",,"17,479,311.82","18,360,000.00","18,360,000.00",,,,"104,164.39","148,443.78","8,861,080.60","9,765,932.96","10,524,170.97","733,593.19"
收回投资收到的现金,,"2,146,500.00","3,577,500.00",,,,,,,,,,,,,,,,,"25,000,000.00","113,900,000.00","154,171,042.98","73,000,000.00","246,000,000.00","404,000,000.00","518,000,000.00","161,240,000.00","220,240,000.00","274,420,097.22","336,648,154.67","29,127,500.00"
支付其他与筹资活动有关的现金,,,,,"2,064,031.56","5,311,383.76",,,,"1,000,000.00",,,,,,"104,041.04","104,041.04","104,041.04",,"37,529.94","37,529.94","37,529.94",,,,,,"17,474.86","17,474.86","17,474.86",
取得投资收益收到的现金,,,,,,,,,,,,,,,,,,,,"110,186.24","1,484,987.59","2,724,417.64","3,526,202.71","4,630,238.33","5,985,885.67","7,135,779.40","4,699,119.95","5,769,439.91","6,617,326.79","7,399,884.53","419,186.17"
筹资活动现金流出小计,"21,884,426.86","54,771,131.20","21,073,191.52","16,722,199.09","18,786,230.65","22,033,582.85",,"9,333,871.00","10,228,226.67","27,773,086.34","28,383.82","28,191.00","28,124.39","28,008.69",,"15,404,041.04","15,404,041.04","15,404,041.04",,"17,516,841.76","18,397,529.94","18,397,529.94",,,,"104,164.39","148,443.78","8,878,555.46","17,783,407.82","23,541,645.83","733,593.19"
处置固定资产、无形资产和其他长期资产收回的现金净额,"1,460.00","98,970.00","20,210.00",,655.00,"63,345.00",901.00,"4,351.00","5,551.00","7,111.00",,"18,000.00","47,520.00","48,080.00",500.00,"16,500.00","95,500.00","95,500.00","3,443.78","3,443.78","3,443.78","3,443.78","21,041.00","21,041.00","21,041.00","21,041.00",,,"32,000.00","32,000.00","260,801.34"
