科目,2007年度,2008年度,2009年度,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月
一、营业收入,"181,514,745.60","243,610,105.03","276,031,899.76","219,067,158.19","356,646,352.07","476,416,385.56","159,873,029.00","361,057,748.46","574,143,195.81","783,168,738.13","235,088,094.39","475,791,867.46","806,074,794.09","1,221,890,011.02","338,919,073.24","762,233,986.94","1,206,129,646.10","1,725,720,986.09","407,004,438.39","918,697,908.45","1,483,487,731.15","2,320,366,458.97","834,376,290.20","1,792,245,690.46","2,743,308,538.74","3,888,800,543.56","1,212,658,750.74","2,699,338,312.59","4,166,155,470.17","6,119,450,934.39","1,882,524,265.50","3,697,188,675.41","5,954,933,391.49"
二、营业利润,"40,401,399.27","51,528,318.75","61,272,687.05","52,063,697.44","76,637,056.65","103,303,551.06","35,328,755.58","78,267,656.75","137,341,550.58","177,836,090.64","49,110,191.62","93,827,845.21","154,988,526.21","212,364,498.21","51,704,537.10","106,199,688.60","170,124,245.15","255,019,286.11","67,090,332.07","142,602,727.72","228,611,499.48","327,189,592.46","109,301,704.43","264,866,719.34","391,814,227.29","495,635,268.38","156,033,120.40","362,227,784.30","535,891,332.45","736,383,242.34","229,374,268.38","415,888,220.20","606,737,976.35"
减:营业成本,"119,761,467.35","152,094,986.94","171,938,066.06","137,402,383.88","229,427,410.51","298,630,244.84","101,316,563.77","229,298,307.72","359,657,021.36","490,812,681.30","156,829,304.16","314,343,562.73","537,148,017.76","827,888,421.83","229,538,156.95","516,373,844.31","825,562,127.69","1,169,845,420.25","267,349,863.37","605,474,037.01","971,127,684.53","1,570,874,356.79","596,966,819.92","1,262,790,441.60","1,960,905,297.16","2,791,251,364.31","874,603,446.49","1,911,133,204.32","2,954,004,068.07","4,408,468,166.22","1,378,398,652.56","2,717,121,829.62","4,464,644,673.50"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"493,206.32","871,463.90","630,444.07","601,602.68","949,565.29","1,234,133.75","1,252,552.99","2,835,791.31","4,658,377.74","5,990,682.49","2,416,061.19","4,058,664.29","6,007,718.13","9,278,650.44","4,452,156.64","8,690,822.84","11,130,748.30","14,970,152.65","3,371,084.54","7,314,005.77","10,455,022.66","14,563,741.28","4,924,907.09","9,486,955.32","13,892,562.77","20,571,884.18","6,344,793.56","11,320,266.37","17,851,803.84","35,472,856.86","17,981,927.00","33,276,255.23","49,298,945.96"
营业外收入,"297,800.00","1,715,938.76","1,998,839.26","171,200.00","175,600.00","1,338,270.19","2,231.41","1,156,412.61","2,158,058.26","5,519,491.66","1,261.15","1,963,626.80","9,640,644.91","9,626,098.58","495,789.18","3,495,854.58","8,100,306.15","9,336,818.58","4,446,163.42","9,072,730.06","13,859,904.48","20,123,378.35","4,270,161.27","5,893,679.13","7,225,799.85","19,234,807.46","2,367,005.06","12,036,954.42","26,740,887.96","61,542,590.93","17,952,257.94","3,047,590.75","4,436,084.99"
销售费用,"1,266,990.49","1,114,882.86","2,023,634.15","1,313,298.93","2,419,180.80","3,721,575.97","932,974.73","2,032,944.76","3,292,150.52","4,777,800.40","1,334,194.86","3,175,325.33","6,202,069.57","13,853,450.56","4,076,731.17","9,552,221.64","13,923,320.09","21,454,197.92","4,529,794.69","12,789,475.10","20,669,211.08","32,151,300.36","10,019,299.81","18,053,925.18","27,824,413.84","39,583,730.52","12,932,029.05","28,184,456.53","47,002,204.59","70,555,635.88","23,287,170.86","46,606,771.28","67,915,116.12"
减:营业外支出,,"61,044.71",,"24,763.02","54,763.02","54,763.02","167,403.87","170,467.05","170,467.05","174,467.05","6,485.00","9,130.00","47,782.13","132,177.41","71,737.65","399,767.49","582,160.33","1,082,260.87","24,198.62","61,853.45","748,536.82","1,035,905.54","25,976.46","105,522.77","798,770.70","1,330,996.19","311,517.07","705,640.23","1,610,047.15","3,074,315.58","1,702,869.25","4,353,990.39","6,739,693.30"
管理费用,"16,728,192.72","36,911,067.65","38,641,657.04","23,339,756.14","39,795,663.41","60,851,558.08","22,018,911.43","47,081,412.00","75,194,986.81","111,306,754.78","26,971,688.29","60,514,406.19","98,251,323.05","148,239,958.60","47,692,424.40","109,197,365.14","163,725,276.95","237,112,748.04","64,183,650.76","139,773,538.80","224,068,972.53","321,164,346.63","91,288,036.76","193,134,550.55","297,048,720.31","455,099,446.53","143,339,767.19","337,382,882.03","543,554,871.84","802,011,941.40","218,183,465.65","451,610,825.41","733,954,482.19"
其中:非流动资产处置净损失,,,,,,,,,,,,,,"84,353.20","-70,737.65","398,098.57","437,870.19","967,492.17","4,825.10","5,076.55","560,045.42","841,211.47","15,968.78","21,477.28","566,092.39","1,086,730.90",,"84,766.55","732,437.43","2,091,661.46","1,555,052.41","3,610,967.47","4,674,592.82"
