科目,2009-12-31,2010-12-31,2011-12-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30
未分配利润,"123,434,280.25","124,056,056.11","240,209,213.37","341,668,633.73","371,665,955.53","394,897,417.15","438,738,217.03","444,317,180.21","465,708,951.02","474,269,895.56","519,742,105.30","548,979,825.33","561,081,807.60","584,384,007.20","632,215,460.46","684,371,418.43","525,833,148.99","532,245,305.70","580,273,676.62","634,407,524.47","666,927,238.13","659,248,034.43","698,505,182.81","731,930,569.09","769,105,967.12"
长期待摊费用,"8,796,949.42","5,095,019.95","18,869,465.99","22,453,686.19","24,757,155.89","27,296,890.34","27,142,432.21","27,959,693.57","32,812,251.48","31,039,592.64","31,768,753.93","31,091,861.56","32,046,118.72","32,173,597.39","30,760,672.75","42,576,865.94","46,469,660.48","50,357,090.09","62,376,595.47","71,009,700.06","79,412,756.95","83,657,127.58","83,682,176.63","76,235,109.28","62,437,973.58"
少数股东权益,,,,,,,,,,,,,,"866,469.81","754,863.45","614,704.60",,,,,,,,,
递延所得税资产,"222,047.94","34,230.16","768,952.28","379,276.88","79,363.60","300,140.36","300,140.36","305,879.69","298,190.36","188,878.76","188,878.76","567,214.10","567,214.10","1,815,855.08","1,815,855.08","2,530,928.74","2,530,928.74","2,571,052.29","2,571,052.29","764,553.94","764,553.94","1,437,606.51","1,437,606.51","1,437,606.51","1,437,606.51"
外币报表折算价差,,,,,,,,,,,,,,,,,,,,,,,,,
其他非流动资产,,,,,,,,,,,,"66,714,008.00","65,431,958.00","65,431,958.00","105,431,958.00","65,431,958.00","35,459,708.00","113,741,243.61","57,836,853.66","78,956,904.31","55,129,220.33","34,296,742.04","27,949,068.00","5,084,868.28","5,734,498.77"
非正常经营项目收益调整,,,,,,,,,,,,,,,,,,,,,,,,,
非流动资产合计,"303,634,244.57","412,573,448.68","533,067,561.10","566,401,318.18","603,051,926.72","646,765,064.38","757,921,417.97","860,286,843.66","870,989,095.59","1,524,086,472.75","1,544,260,117.65","1,590,473,651.64","1,739,544,940.69","783,602,239.69","814,007,555.78","1,014,262,144.62","1,011,222,769.87","1,630,088,844.91","1,657,193,881.53","1,682,578,968.16","1,701,762,158.95","2,158,620,341.95","2,144,975,406.13","2,110,389,738.24","2,058,118,972.08"
所有者权益(或股东权益)合计,"156,171,536.60","492,442,252.48","624,055,454.30","725,514,874.66","1,644,578,196.46","1,686,611,820.34","1,730,452,620.22","1,746,298,416.44","1,757,423,354.21","1,781,636,295.33","1,827,108,505.07","1,867,063,528.62","1,879,165,510.89","1,910,371,275.55","1,958,091,122.45","2,014,895,047.88","2,010,953,947.53","2,035,638,110.53","2,083,666,481.45","2,137,800,329.30","2,170,320,042.96","2,179,704,859.61","2,218,962,007.99","2,252,387,394.27","2,289,562,792.30"
资产总计,"808,969,073.93","1,163,939,782.75","1,545,199,751.48","1,559,192,614.42","2,588,091,861.51","2,651,427,045.37","2,682,169,132.90","2,738,390,863.50","2,832,496,998.63","2,861,347,501.34","2,914,253,732.85","2,907,601,287.25","2,995,513,448.21","3,088,549,799.71","3,221,856,100.71","3,488,121,519.03","3,616,291,075.50","3,641,954,529.87","3,681,194,175.63","3,666,203,202.29","3,855,736,892.85","3,987,183,403.62","4,129,565,475.04","4,098,946,726.86","4,204,584,599.07"
负债和所有者(或股东权益)合计,"808,969,073.93","1,163,939,782.75","1,545,199,751.48","1,559,192,614.42","2,588,091,861.51","2,651,427,045.37","2,682,169,132.90","2,738,390,863.50","2,832,496,998.63","2,861,347,501.34","2,914,253,732.85","2,907,601,287.25","2,995,513,448.21","3,088,549,799.71","3,221,856,100.71","3,488,121,519.03","3,616,291,075.50","3,641,954,529.87","3,681,194,175.63","3,666,203,202.29","3,855,736,892.85","3,987,183,403.62","4,129,565,475.04","4,098,946,726.86","4,204,584,599.07"
