科目,2009年度,2010年度,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度
一、营业收入,"79,532,832.60","165,755,930.25","249,984,683.14","59,773,833.19","147,689,442.96","256,887,899.89","364,713,483.39","82,871,850.04","193,169,828.59","325,055,213.74","505,005,556.04","137,070,731.16","336,136,908.39","592,982,488.96","830,006,170.35","167,176,857.56","323,523,344.10","530,137,550.65","770,585,381.15","399,988,679.03","804,691,770.37","1,291,039,571.10","1,725,391,575.53","314,785,522.77","804,807,619.85","1,471,495,267.86","2,067,644,363.18"
二、营业利润,"12,693,278.70","30,921,887.48","41,680,716.50","9,766,783.43","19,704,746.01","29,545,352.49","40,700,939.01","4,305,295.23","12,115,433.28","23,717,480.20","43,482,023.40","5,773,864.70","22,450,347.95","37,007,418.88","50,387,916.27","-12,977,341.26","-40,812,230.23","-60,601,571.34","-128,570,700.63","9,490,573.03","33,419,737.68","43,651,373.57","13,458,556.05","-10,396,085.63","-12,861,105.95","8,954,394.52","25,956,275.33"
减:营业成本,"50,907,704.28","102,895,364.34","159,422,325.43","35,233,434.18","96,953,618.19","179,838,380.62","257,182,299.70","65,572,136.77","150,553,237.45","251,213,004.92","387,654,666.66","107,046,482.63","253,857,447.99","453,978,385.09","634,717,325.07","124,656,215.41","248,579,220.48","420,870,666.67","640,913,508.66","323,056,911.59","653,478,427.99","1,039,481,505.51","1,395,057,375.92","240,088,051.51","631,781,600.47","1,170,952,866.96","1,663,802,225.76"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"36,004.51","542,052.96","2,092,656.27","509,624.96","1,078,968.17","1,417,340.96","1,715,167.85","52,431.63","86,926.42","508,474.37","1,245,164.70","486,675.19","2,222,844.36","3,364,340.90","5,155,969.86","810,209.11","1,991,936.08","2,328,957.00","2,771,851.43","2,016,735.34","3,602,771.69","4,954,363.28","10,749,571.78","1,764,340.92","4,967,651.77","7,601,354.58","11,485,449.30"
营业外收入,992.01,"1,756,638.46","1,867,186.32","17,763.29","380,444.60","6,267,944.58","7,200,016.77","617,499.98","734,999.96","1,367,388.47","2,308,532.40","1,787,130.21","2,398,498.29","4,543,574.18","4,747,019.24","611,997.29","2,185,628.80","4,259,170.98","8,892,333.17","4,469,271.05","8,474,269.39","11,555,948.07","24,707,506.33","3,410,089.44","43,511.18","273,554.87","1,227,046.81"
销售费用,"2,149,081.68","4,499,281.87","7,723,173.20","2,442,229.75","4,738,173.47","7,152,008.11","9,640,274.07","2,024,913.80","4,481,905.28","6,988,811.96","10,602,737.33","2,567,723.62","5,095,566.49","8,114,467.23","11,832,068.13","3,371,474.93","7,958,032.62","12,943,985.54","20,442,403.06","7,763,086.14","17,708,058.90","27,374,506.24","44,488,045.76","9,547,924.27","20,206,534.62","32,067,106.21","45,787,654.77"
减:营业外支出,300.00,"68,181.70","67,998.85",,"4,301.38","5,181.80","109,208.96",,"75,289.41","388,351.44","518,171.17","83,638.84","139,534.24","282,146.29","357,774.03",,"242,053.51","314,005.98","620,815.98",,"36,198.44","889,600.97","3,890,504.40","1,055,800.75","1,030,337.76","1,208,925.03","602,780.62"
管理费用,"12,422,423.06","24,594,331.11","33,257,830.32","10,363,999.12","22,127,478.31","34,277,677.01","50,404,164.34","12,298,478.11","27,226,225.28","42,475,478.14","60,876,806.57","21,912,720.70","50,018,900.23","84,377,891.58","127,601,464.85","51,650,465.69","103,739,416.69","148,373,760.38","207,668,581.02","57,152,696.84","118,220,869.18","186,512,788.94","253,923,784.55","65,832,161.13","141,886,967.35","220,786,177.27","285,825,090.44"
其中:非流动资产处置净损失,,"23,251.70",,,,,"109,208.96",,"75,289.41",,"465,071.17",,"139,534.24","282,146.29","356,884.03",,"241,753.51","311,048.61","311,858.61",,,"889,421.87","3,196,456.58","582,394.10","555,115.83","633,703.10",
堪探费用,,,,,,,,,,,,,,,,,,,,,,,,,,,
加:影响利润总额的其他科目,,,,,,,,,,,,,,,,,,,,,,,,,,,
财务费用,"407,007.68","2,035,941.71","4,555,026.02","1,457,761.75","2,870,479.90","3,402,853.92","1,291,590.02","-823,537.34","-1,999,596.58","-841,576.15","-1,617,291.20","433,978.58","1,190,320.80","2,140,920.90","3,672,012.85","1,722,853.36","4,370,586.80","6,796,051.80","11,344,667.84","9,553,221.74","17,492,580.45","26,453,055.16","35,669,831.17","10,825,643.97","24,845,002.86","39,687,355.23","50,285,060.76"
三、利润总额,"12,693,970.71","32,610,344.24","43,479,903.97","9,784,546.72","20,080,889.23","35,808,115.27","47,791,746.82","4,922,795.21","12,775,143.83","24,696,517.23","45,272,384.63","7,477,356.07","24,709,312.00","41,268,846.77","54,777,161.48","-12,365,343.97","-38,868,654.94","-56,656,406.34","-120,299,183.44","13,959,844.08","41,857,808.63","54,317,720.67","34,275,557.98","-8,041,796.94","-13,847,932.53","8,019,024.36","26,580,541.52"
资产减值损失,"917,332.69","340,980.36","1,252,955.40",,"215,978.91","1,344,340.27","3,779,048.40","-557,868.16","705,697.46","993,540.30","2,761,448.58","-1,150,714.26","1,301,480.57","3,999,064.38","4,776,599.99","-2,057,019.68","-2,303,618.34","-574,299.40","16,106,322.56","1,035,069.71","2,102,119.67","3,944,773.59","13,226,176.34","-2,876,513.40","2,210,421.71","8,179,691.99","38,825,658.96"
减:所得税,"1,853,107.95","8,937,940.17","6,768,384.18","1,467,682.00","2,403,909.00","4,593,738.70","5,311,749.82","738,419.28","1,951,521.57","3,757,352.58","7,569,263.77","1,493,144.14","5,048,245.50","2,821,349.82","5,574,688.88","-2,298,288.01","-9,127,810.26","-13,181,589.80","1,163,534.17","12,524.80","-454,269.29","3,161,376.13","11,930,333.97","2,847,837.13","4,848,265.94","7,440,190.70","-268,462.94"
加:公允价值变动净收益,,,,,,,,,,,,,,,,,,,,,,,"125,800.00",,"-125,800.00","-125,800.00","-125,800.00"
加:影响净利润的其他科目,,,,,,,,,,,,,,,,,,,,,,,,,,,
投资收益,,"73,909.58",,,,,,,,,,,,,,,,,"91,252.79","10,079,615.36","41,332,795.19","41,332,795.19","41,055,966.04",,,"5,456,666.84","33,998,791.56"
四、净利润,"10,840,862.76","23,672,404.07","36,711,519.79","8,316,864.72","17,676,980.23","31,214,376.57","42,479,997.00","4,184,375.93","10,823,622.26","20,939,164.65","37,703,120.86","5,984,211.93","19,661,066.50","38,447,496.95","49,202,472.60","-10,067,055.96","-29,740,844.68","-43,474,816.54","-121,462,717.61","13,947,319.28","42,312,077.92","51,156,344.54","22,345,224.01","-10,889,634.07","-18,696,198.47","578,833.66","26,849,004.46"
其中:对联营企业和合营企业的投资权益,,,,,,,,,,,,,,,,,,,,,,,"-276,829.16",,,,
归属于母公司所有者的净利润,"10,840,862.76","23,672,404.07","36,711,519.79","8,316,864.72","17,676,980.23","31,214,376.57","42,479,997.00","4,184,375.93","10,823,622.26","20,939,164.65","38,112,264.21","7,156,349.48","24,681,399.09","43,776,546.01","54,531,868.71","-8,864,401.72","-26,865,241.45","-36,465,106.81","-103,705,652.09","16,126,522.80","50,738,610.26","67,464,113.17","67,156,469.92","3,028,082.18","7,893,050.15","28,607,667.98","57,779,750.19"
影响营业利润的其他科目,,,,,,,,,,,,,,,,,,,,,,,,,,,
少数股东损益,,,,,,,,,,,"-409,143.35","-1,172,137.55","-5,020,332.59","-5,329,049.06","-5,329,396.11","-1,202,654.24","-2,875,603.23","-7,009,709.73","-17,757,065.52","-2,179,203.52","-8,426,532.34","-16,307,768.63","-44,811,245.91","-13,917,716.25","-26,589,248.62","-28,028,834.32","-30,930,745.73"
