科目,2008-12-31,2009-12-31,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31
货币资金,"24,457,489.50","51,199,419.36","68,135,673.77","59,500,254.13","42,957,985.50","357,284,160.05","388,862,020.66","327,882,959.63","318,124,077.69","276,638,774.11","367,331,032.45","332,072,263.08","353,259,182.86","312,048,136.72","418,179,606.61","372,832,640.22","401,164,066.53","394,429,979.89","474,166,158.40","425,619,788.72","397,735,096.31","415,579,318.77","396,557,162.20","330,034,458.65","310,817,832.55","301,112,340.69","321,447,754.59","261,548,369.14","219,852,118.15","230,399,912.26","917,682,726.17"
短期借款,"7,500,000.00","9,900,000.00","10,000,000.00","10,000,000.00",,,,,,,,,,,,"2,050,000.00","4,050,000.00","2,050,000.00","2,050,000.00",,"1,500,000.00","1,500,000.00","5,000,000.00","5,000,000.00",,,"9,500,000.00",,,,
交易性金融资产,,,,,,,,,,,,,,"40,418,602.74",,,,,,,,,,,,,,,,,
交易性金融负债,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应收票据,,"100,000.00","658,684.00","500,000.00","539,800.00","5,169,324.70","3,586,715.00","3,730,815.00","80,000.00","80,000.00","80,000.00","154,760.00","650,000.00","562,500.00","270,000.00","1,160,000.00","3,187,500.00","1,485,000.00","1,463,000.00","1,479,200.00","598,000.00","480,000.00","1,142,200.00","1,318,545.00","1,198,684.40","1,071,589.40","1,319,024.00","939,424.00",,"136,788.00","1,673,648.70"
应付票据,,,"1,855,400.00",,"1,224,153.00",,,,,,,,,,,"252,375.65","102,117.65",,,,,,,,,,"2,018,832.00","403,884.17",,,
应收账款,"21,993,310.03","26,069,594.27","32,830,920.87","34,205,714.68","49,379,469.16","55,618,045.87","54,293,533.78","59,751,782.18","86,418,692.94","121,428,304.01","96,841,450.66","96,760,664.00","107,084,237.43","118,703,261.63","121,429,950.71","151,064,416.14","156,470,407.57","157,000,101.45","145,906,218.68","168,785,357.68","198,572,759.86","185,276,925.12","154,455,687.06","185,041,020.05","197,617,579.97","233,275,836.21","167,272,640.42","177,775,134.21","195,246,940.14","205,014,245.74","144,256,749.65"
应付账款,"2,055,401.50","4,052,212.00","2,388,555.42","4,984,448.07","3,346,162.81","2,321,459.18","14,532,195.98","10,561,491.56","10,631,443.30","19,393,006.58","27,279,533.26","14,483,145.44","20,805,493.99","14,121,266.44","25,745,104.94","22,023,249.94","41,929,461.24","26,670,906.18","20,325,228.82","12,701,096.64","16,391,191.41","24,234,503.50","23,573,189.67","12,447,921.52","49,443,261.68","59,760,954.66","84,577,494.24","58,471,744.87","63,464,281.73","62,244,496.34","70,834,794.89"
预付款项,"328,355.67","7,153,576.73","18,788,171.22","18,594,440.45","20,853,612.91","17,420,959.54","12,531,665.53","28,835,765.86","46,075,611.13","41,832,570.66","34,703,119.94","34,813,431.68","31,901,469.27","28,540,093.69","472,160.89","1,723,865.71","1,852,976.61","1,994,167.87","897,429.36","2,945,169.59","2,444,554.46","1,946,063.79","4,704,980.70","8,072,266.87","10,010,709.38","11,158,840.83","6,560,086.94","12,123,197.21","8,747,781.80","9,394,403.95","4,794,376.35"
预收款项,"7,817,889.16","17,842,425.83","26,507,666.04","22,412,128.62","17,782,184.31","25,285,956.22","28,804,744.20","37,350,794.84","36,342,894.37","34,162,138.78","44,259,155.61","31,071,904.98","25,197,238.01","20,416,401.56","19,893,409.53","13,589,160.38","14,699,209.41","14,943,722.25","21,523,910.11","15,480,820.79","19,718,211.83","13,171,662.68","20,427,221.88","14,174,158.98","10,566,736.92","13,783,415.62","17,280,039.37","17,237,505.14","15,321,314.26","19,914,815.11","12,375,192.43"
其他应收款,"10,922,635.15","10,062,564.71","2,195,740.65","2,511,121.82","2,961,187.69","3,662,511.89","8,024,608.66","12,518,324.16","6,346,318.35","7,247,578.24","6,463,488.94","4,908,682.39","4,640,509.70","6,905,700.46","5,110,016.06","5,675,687.78","10,200,046.34","19,478,761.98","7,030,436.39","5,891,988.68","13,847,381.62","15,927,701.77","18,017,915.28","19,475,394.52","21,373,022.66","15,286,935.12","9,207,684.98","6,435,740.95","39,556,490.71","8,816,126.68","10,563,766.28"
应付职工薪酬,"4,376,664.78","7,998,124.42","13,234,966.67","5,261,288.40","7,397,854.47","5,000,039.12","8,633,681.17","6,209,319.79","6,706,841.81","3,946,541.40","19,146,323.37","13,082,061.65","16,716,019.43","12,747,357.38","24,369,896.08","16,323,843.09","17,385,616.66","8,975,267.92","26,743,062.98","16,505,475.13","15,651,229.89","10,907,398.42","34,847,489.63","16,373,041.66","17,396,522.74","7,370,093.84","21,209,166.93","21,471,525.31","11,719,245.53","13,319,776.78","17,519,335.68"
应收关联公司款,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应交税费,"7,323,311.27","18,669,097.77","12,959,223.82","11,630,756.87","12,615,857.34","10,238,321.91","19,297,155.64","7,518,747.50","5,213,095.67","7,461,000.10","10,317,608.09","5,273,957.83","8,565,670.50","8,343,261.50","15,024,065.70","13,521,606.48","15,683,059.46","14,219,143.63","18,816,021.54","18,420,606.51","14,772,841.75","13,557,020.79","11,370,399.49","10,150,821.30","19,454,478.30","19,546,507.96","14,108,904.15","10,523,856.44","8,851,973.55","8,390,431.95","10,098,019.97"
应收利息,,,,,,"1,085,861.11","3,511,594.60","5,359,520.17","991,704.11","2,945,479.45","3,795,205.48","5,746,583.56","1,638,753.42","3,234,744.44","3,382,023.98","6,152,398.98","2,881,910.23","4,370,773.84","3,798,619.15","6,613,061.11","5,715,723.98","5,802,066.94","679,533.66","1,406,469.91","811,500.01","677,289.46","392,932.24","272,529.95","390,630.83","1,991,629.31","599,551.17"
应付利息,,,,,,,,,,,,,,,,,,,"4,134.17",,,,"9,165.14","9,165.14",,,"12,627.08",,,,
应收股利,,,,,,,,,,,,,,,,,,,,,,,,,"9,179,645.78","9,179,645.78","9,179,645.78","9,179,645.78","9,189,367.24","9,179,645.78",
应付股利,,,,,,,,,"13,400,000.00",,,,"13,400,000.00",,,,"539,500.00","390,730.00","383,650.00","377,650.00","934,520.00","528,440.00","6,648,203.85","6,648,203.85",,,,,,,
存货,"11,959,434.89","14,270,639.75","17,244,651.69","22,530,497.01","22,692,963.32","22,777,821.60","28,946,180.38","33,851,972.71","27,015,341.29","29,576,043.64","23,869,065.91","29,230,246.37","26,037,219.25","25,731,140.87","21,302,894.64","21,963,201.99","29,226,008.68","34,523,938.14","31,257,779.22","27,936,221.81","29,005,854.06","31,039,699.13","32,194,840.47","41,918,822.02","31,440,291.86","24,271,055.31","45,906,009.17","40,675,223.48","37,338,186.28","48,189,694.55","32,614,557.28"
其他应付款,"1,533,082.86","1,374,311.89","2,094,960.20","1,933,003.35","2,400,091.46","5,341,114.63","3,699,085.01","6,020,462.36","12,976,580.24","11,026,927.20","11,019,055.36","9,993,995.55","9,791,977.89","5,977,885.60","9,035,052.87","7,593,150.02","19,022,889.21","7,371,492.63","1,188,389.65","1,699,700.27","2,099,133.77","10,276,446.72","14,431,771.94","20,828,356.60","736,384.72","917,772.86","79,198,356.80","67,289,128.22","46,422,140.64","33,298,161.05","33,690,196.04"
其中:消耗性生物资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应付关联公司款,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
一年内到期的非流动资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
一年内到期的非流动负债,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
其他流动资产,,,,,,,,,,,,,,,,,,,,,,,,,,,"11,918,051.13","9,077,407.74","7,267,714.23","7,398,419.61","6,763,843.34"
其他流动负债,,,,,,,,,,,,,,,,,,,,,,,,,,,"10,179,800.52","9,617,355.20","5,443,610.87","4,789,083.25","7,163,550.56"
流动资产合计,"69,661,225.24","108,855,794.82","139,853,842.20","137,842,028.09","139,385,018.58","463,018,684.76","499,756,318.61","471,931,139.71","485,051,745.51","479,748,750.11","533,083,363.38","503,686,631.08","525,211,371.93","536,144,180.55","570,146,652.89","560,572,210.82","604,982,915.96","613,282,723.17","664,519,641.20","639,270,787.59","647,919,370.29","656,051,775.52","607,752,319.37","587,266,977.02","582,449,266.61","596,033,532.80","573,203,829.25","518,026,672.46","517,589,229.38","520,520,865.88","1,118,949,218.94"
流动负债合计,"30,606,349.57","59,836,171.91","69,040,772.15","56,221,625.31","44,766,303.39","48,186,891.06","74,966,862.00","67,660,816.05","85,270,855.39","75,989,614.06","112,021,675.69","73,905,065.45","94,476,399.82","61,606,172.48","94,067,529.12","75,353,385.56","113,411,853.63","74,621,262.61","91,034,397.27","65,185,349.34","71,067,128.65","74,175,472.11","116,307,441.60","85,631,669.05","97,597,384.36","101,378,744.94","238,085,221.09","185,014,999.35","151,222,566.58","141,956,764.48","151,681,089.57"
可供出售金融资产,,,,,,,,,,,,,,,,,,,,"4,000,000.00","4,000,000.00","10,000,000.00","10,000,000.00","10,000,000.00","16,000,000.00","16,000,000.00","16,000,000.00","20,000,000.00","19,839,589.00","19,839,589.00","19,839,589.00"
长期借款,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
持有至到期投资,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应付债券,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
长期应收款,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
长期应付款,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
长期股权投资,,,,,,,,"27,840,000.00",,,,,,,,,,,,,,,"10,000,000.00","10,000,000.00","29,470,643.49","29,403,892.85","20,972,333.33","20,618,594.58","13,107,251.50","13,579,321.20","17,858,527.93"
专项应付款,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
投资性房地产,,,,,,,,,,,,,,,,,,,,,,,"13,022,703.32","12,829,385.32","12,636,067.33","12,442,749.34","18,745,071.94","18,518,170.81","18,291,269.68","18,064,368.55","17,837,467.35"
预计负债,,,,,,,,,,,,,,,,,,,,,,,"158,684.37","158,684.37",,,"1,046,408.25","1,219,940.25","1,269,276.90","1,219,940.25","1,300,206.67"
固定资产,"18,726,696.31","22,509,032.69","44,143,012.86","45,395,810.37","45,495,801.36","55,349,598.62","59,352,293.70","58,489,199.50","72,467,233.26","73,764,749.50","72,977,857.79","71,526,421.96","70,983,510.48","70,135,652.99","97,256,153.35","95,549,124.70","94,101,174.50","92,575,117.21","92,558,085.80","95,876,723.80","94,677,260.78","93,163,096.26","78,107,182.52","77,661,188.85","77,191,010.22","76,922,696.03","261,059,676.01","263,607,914.07","260,361,385.60","257,091,048.71","324,210,509.52"
递延所得税负债,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
在建工程,,,,,,,,,,,"1,216,716.84","1,330,492.84","1,330,492.84",,,,,,,,,,,,,,,,,,
其他非流动负债,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
工程物资,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
非流动负债合计,,,,,,,,,,,,,,,,,,,"4,930,000.00","4,930,000.00","4,930,000.00","3,330,000.00","4,008,684.37","4,008,684.37","3,350,000.00","3,470,000.00","2,516,408.25","2,689,940.25","2,739,276.90","3,570,810.25","2,650,206.67"
固定资产清理,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
负债合计,"30,606,349.57","59,836,171.91","69,040,772.15","56,221,625.31","44,766,303.39","48,186,891.06","74,966,862.00","67,660,816.05","85,270,855.39","75,989,614.06","112,021,675.69","73,905,065.45","94,476,399.82","61,606,172.48","94,067,529.12","75,353,385.56","113,411,853.63","74,621,262.61","95,964,397.27","70,115,349.34","75,997,128.65","77,505,472.11","120,316,125.97","89,640,353.42","100,947,384.36","104,848,744.94","240,601,629.34","187,704,939.60","153,961,843.48","145,527,574.73","154,331,296.24"
生产性生物资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
实收资本(或股本),"15,000,000.00","50,000,000.00","50,000,000.00","50,000,000.00","50,000,000.00","67,000,000.00","67,000,000.00","67,000,000.00","67,000,000.00","134,000,000.00","134,000,000.00","134,000,000.00","134,000,000.00","139,330,000.00","139,530,000.00","139,530,000.00","181,213,500.00","182,058,500.00","181,966,460.00","181,966,460.00","272,749,815.00","272,749,815.00","272,680,395.00","272,216,295.00","275,090,795.00","275,260,795.00","275,185,795.00","274,171,795.00","271,627,395.00","270,960,795.00","316,472,493.00"
油气资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
资本公积,,"756,347.05","756,347.05","756,347.05","756,347.05","299,775,347.05","299,775,347.05","299,775,347.05","299,775,347.05","232,775,347.05","232,775,347.05","232,775,347.05","232,775,347.05","254,297,207.05","256,846,939.47","258,523,889.46","217,867,989.45","228,605,012.78","229,489,114.05","230,933,131.23","140,673,393.43","141,562,087.54","136,555,406.70","135,841,635.33","199,999,660.61","204,328,660.61","202,278,360.25","192,141,076.18","168,700,863.04","162,782,846.26","709,274,029.69"
无形资产,,,,,,,,,,"8,985,878.55","8,925,367.58","8,879,984.36","8,834,601.14","8,789,217.92","8,743,834.70","8,698,451.48","8,717,340.83","30,237.41","27,402.65","24,567.89","21,733.13","18,898.37","16,063.61","13,228.85","153,443.88","23,259,498.72","22,059,928.85","20,549,566.79","34,136,119.68","31,628,537.41","13,748,724.46"
盈余公积,"8,650,725.20","2,822,630.19","6,879,176.27","6,879,176.27","6,879,176.27","6,879,176.27","12,513,774.60","12,513,774.60","12,513,774.60","12,513,774.60","16,923,389.92","16,923,389.92","16,923,389.92","16,923,389.92","22,993,921.70","22,993,921.70","22,993,921.70","22,993,921.70","29,564,455.56","29,564,455.56","29,564,455.56","29,564,455.56","35,711,719.80","35,711,719.80","35,711,719.80","35,711,719.80","43,551,684.98","43,551,684.98","43,551,684.98","43,551,684.98","48,141,400.06"
开发支出,,,,,,,,,,,,,,,,,,,,,,,,,"6,880,013.99","11,114,016.87","13,715,115.61","15,890,160.47","1,323,672.84","4,057,714.69","8,091,967.17"
减:库存股,,,,,,,,,,,,,,,,,,,,,,,"12,577,560.00","12,577,560.00",,,"78,499,268.21","66,509,828.21","39,729,059.21","32,489,783.21","32,739,840.00"
商誉,"392,619.88","216,030.80","216,030.80","216,030.80","216,030.80","216,030.80","216,030.80","216,030.80","24,584,703.89","24,584,703.89","24,302,015.94","24,302,015.94","24,302,015.94","24,302,015.94","24,302,015.94","24,302,015.94","24,302,015.94","24,302,015.94","24,302,015.94","24,302,015.94","24,302,015.94","24,302,015.94","24,302,015.94","24,302,015.94",,,,,,,
未分配利润,"34,977,150.19","18,308,654.98","57,913,329.88","69,973,460.12","83,358,720.26","97,116,695.26","105,743,509.37","112,251,984.90","111,374,024.47","125,696,662.03","136,141,389.56","143,661,889.63","144,549,315.96","160,043,458.33","177,513,586.83","184,445,949.16","187,762,046.13","205,087,358.07","229,350,926.01","237,458,782.78","237,486,527.50","247,017,263.08","250,322,437.14","260,063,290.44","280,047,579.68","290,859,646.02","290,999,513.74","297,244,709.34","320,424,146.38","329,369,423.84","327,966,828.33"
长期待摊费用,"268,241.00",,,,,,,,"860,427.45","813,111.42","765,795.39","718,479.36","671,163.33","1,954,340.14","1,796,149.71","1,729,109.04","1,612,568.37","1,496,027.70","4,296,976.62","4,002,992.87","3,736,925.12","3,603,079.59","3,325,344.68","3,061,925.90","2,801,874.90","2,613,060.14","2,348,370.08","2,083,680.02","1,818,989.76","1,587,300.09","2,795,707.25"
