科目,2009年度,2010年度,2011年度,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月
销售商品、提供劳务收到的现金,"92,526,943.00","123,135,546.00","135,861,390.09","21,576,259.00","41,067,859.00","129,624,126.50","8,423,200.00","27,314,712.50","68,074,346.80","158,481,327.30","10,930,780.00","44,995,413.00","104,782,370.00","213,159,478.00","25,664,166.50","81,561,923.91","160,592,288.54","352,273,581.74","41,323,182.13","137,803,797.20","223,004,922.33","597,949,732.32","59,591,563.66","214,306,910.56","391,664,396.70","745,352,847.05","105,050,533.73","254,760,785.86"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,,,,,,,,"91,605,259.76","32,763,336.65","35,591,596.81","35,591,596.81","69,455,440.26",,"34,020,962.52","29,359,285.84","19,150,307.16",,
收到的税费返还,,,,,,,,,,,,,,,,,,,,,"282,393.16","1,746,053.74","2,057.84","234,150.94","250,619.63","410,330.74","530,000.00","796,679.03"
支付其他与投资活动有关的现金,,,,,,,,,,,,,,"291,650,000.00","553,746.40","6,800,000.00","8,183,005.69",,"410,627.35","997,851.42","998,879.34",,,,909.93,,53.43,
收到其他与经营活动有关的现金,"1,010,159.54","5,736,637.15","4,024,932.11","1,904,106.72","4,122,871.74","4,855,612.37","1,174,144.31","2,859,889.77","12,922,632.59","6,379,895.81","2,077,187.92","4,398,488.15","7,121,074.97","7,648,790.57","636,768.75","3,020,027.00","7,887,639.05","10,650,793.09","15,484,001.70","15,839,797.79","16,325,630.66","22,614,268.36","15,842,530.67","19,031,641.71","25,769,912.79","24,567,602.49","23,720,106.14","17,852,437.32"
投资活动现金流出小计,"422,409.06","47,744.80","671,874.70","366,973.00","1,082,628.20","2,094,527.20","67,504,190.00","67,551,483.00","67,619,635.00","72,275,543.67","375,468.00","9,749,679.06","16,175,510.90","367,144,223.65","68,408,164.66","154,618,849.76","228,872,345.14","302,868,182.36","34,843,434.54","61,673,821.57","67,697,171.65","112,783,357.38","5,947,552.05","39,166,647.78","85,173,048.49","136,796,086.76","5,989,742.60","19,210,173.47"
经营活动现金流入小计,"93,537,102.54","128,872,183.15","139,886,322.20","23,480,365.72","45,190,730.74","134,479,738.87","9,597,344.31","30,174,602.27","80,996,979.39","164,861,223.11","13,007,967.92","49,393,901.15","111,903,444.97","220,808,268.57","26,300,935.25","84,581,950.91","168,479,927.59","362,924,374.83","56,807,183.83","153,643,594.99","239,612,946.15","622,310,054.42","75,436,152.17","233,572,703.21","417,684,929.12","770,330,780.28","129,300,639.87","273,409,902.21"
投资活动产生的现金流量净额,"24,663,522.27","-42,614.54","-671,463.70","-66,973.00","-782,628.20","-1,794,527.20","-51,464,488.77","302,056.37","233,904.37","-4,422,004.30","-375,468.00","-9,749,679.06","-16,175,510.90","-361,087,245.46","30,289,985.34","137,945,729.17","-228,758,764.58","-8,223,158.66","-34,822,074.54","-61,644,046.57","45,184,358.35","17,580,896.92","28,105,428.29","5,016,229.77","-40,990,170.94","-92,579,918.68","-5,987,970.26","-19,208,401.13"
购买商品、接受劳务支付的现金,"26,440,536.45","45,090,004.60","30,084,642.38","13,649,127.04","21,404,710.70","25,538,357.99","14,354,447.60","20,101,591.78","36,270,611.95","49,777,614.06","9,847,723.00","12,340,220.61","26,037,734.42","46,107,030.30","11,580,454.75","25,013,921.34","41,870,715.09","93,347,126.19","14,669,859.58","30,012,385.76","59,874,484.77","181,014,423.55","20,641,504.41","45,311,095.46","73,767,430.80","105,677,286.13","31,047,356.98","65,993,161.50"
吸收投资收到的现金,,"29,107,772.00",,,"230,110,779.00","236,484,000.00",,,,,,,"71,877,695.00","71,877,695.00",,"14,741,925.00","14,741,925.00","127,020,613.49","20,000.00","20,000.00","309,630.71","250,002.50","175,408,582.02","175,408,582.02","175,408,582.02","175,408,582.02",,"222,892,127.00"
支付给职工以及为职工支付的现金,"27,793,000.19","28,986,619.30","45,037,124.90","32,580,339.43","48,507,252.80","65,524,602.39","21,678,123.99","43,136,026.29","65,990,170.59","87,672,524.49","26,445,381.28","61,770,873.05","87,203,479.29","126,478,544.96","34,275,766.69","100,067,184.07","137,144,127.25","207,413,649.45","79,885,205.04","171,967,190.97","260,441,952.31","368,976,884.87","87,936,002.74","242,381,989.82","362,525,102.24","527,412,924.46","126,301,208.11","311,217,270.32"
取得借款收到的现金,"40,000,000.00","5,000,000.00",,,,,,,,,,,,,,,"74,750,000.00","114,850,000.00","10,560,440.00","70,905,966.67","70,986,606.67","71,086,720.00","74,750,000.00","74,750,000.00","173,550,000.00","174,750,000.00",,"150,000,000.00"
支付的各项税费,"2,254,748.91","5,669,820.63","7,388,810.14","3,458,474.83","6,773,174.28","8,491,396.93","859,901.52","2,289,734.23","2,941,480.69","3,761,798.37","696,569.30","744,764.06","844,914.54","543,307.66","4,027,709.07","5,316,631.24","5,501,950.20","6,658,951.61","7,822,125.10","14,802,529.16","16,707,242.86","22,265,329.41","11,389,161.41","19,921,802.37","28,377,341.93","37,605,363.54","15,886,505.24","26,638,398.81"
收到其他与筹资活动有关的现金,,,,,,"85,932.88",,,,"7,100,804.53","562,331.46","719,729.95","6,003,514.27","1,300,000.00","446,439.62",,"1,477,123.92","54,430,000.00","23,208.73","243,484.20","422,079.67",,"-22,973,021.21","280,008.77","772,040.24","1,500,000.00","240,826.47","488,297.24"
支付其他与经营活动有关的现金,"17,779,498.97","17,856,176.82","20,832,038.48","14,698,183.50","27,858,379.70","32,261,715.21","11,382,218.81","20,118,155.22","29,727,363.04","33,835,716.92","8,896,268.84","21,873,496.96","32,036,431.74","38,498,657.56","13,173,567.51","21,648,951.98","48,825,053.38","52,106,070.34","41,289,062.46","98,030,761.82","120,512,041.81","71,788,893.48","54,982,081.75","85,506,756.59","137,342,555.66","108,035,269.41","71,507,671.41","82,546,224.75"
筹资活动现金流入小计,"40,000,000.00","34,107,772.00",,,"230,110,779.00","236,569,932.88",,,,"7,100,804.53","562,331.46","719,729.95","77,881,209.27","73,177,695.00","446,439.62","14,741,925.00","90,969,048.92","296,300,613.49","10,603,648.73","71,169,450.87","71,718,317.05","71,336,722.50","227,185,560.81","250,438,590.79","349,730,622.26","351,658,582.02","240,826.47","373,380,424.24"
经营活动现金流出小计,"74,267,784.52","97,602,621.35","103,342,615.90","64,386,124.80","104,543,517.48","131,816,072.52","48,274,691.92","85,645,507.52","134,929,626.27","175,047,653.84","45,885,942.42","96,729,354.68","146,122,559.99","211,627,540.48","63,057,498.02","152,046,688.63","233,341,845.92","359,525,797.59","143,666,252.18","314,812,867.71","457,535,721.75","644,045,531.31","174,948,750.31","393,121,644.24","602,012,430.63","778,730,843.54","244,742,741.74","486,395,055.38"
偿还债务支付的现金,"35,000,000.00","25,000,000.00",,,,,,,,,,,,,,,,,"3,312,570.82","1,303,990.00","9,503,990.00","37,950,000.00","114,513,712.00","119,199,376.00","118,887,824.00","121,586,320.00","4,937,500.00","106,137,500.00"
经营活动产生的现金流量净额,"19,269,318.02","31,269,561.80","36,543,706.30","-40,905,759.08","-59,352,786.74","2,663,666.35","-38,677,347.61","-55,470,905.25","-53,932,646.88","-10,186,430.73","-32,877,974.50","-47,335,453.53","-34,219,115.02","9,180,728.09","-36,756,562.77","-67,464,737.72","-64,861,918.33","3,398,577.24","-86,859,068.35","-161,169,272.72","-217,922,775.60","-21,735,476.89","-99,512,598.14","-159,548,941.03","-184,327,501.51","-8,400,063.26","-115,442,101.87","-212,985,153.17"
分配股利、利润或偿还利息支付的现金,"780,250.00","13,548,559.72",,,,,,"15,305,841.35","15,500,420.82","15,510,000.00","1,388.10","4,738,797.99","5,157,335.75","5,170,000.00","-2,322.67","7,789,578.75","6,525,987.98","9,229,089.37","1,678,308.96","14,198,963.23","16,143,745.47","19,419,932.81","1,989,053.74","12,893,854.13","27,646,221.35","33,537,792.58","2,642,380.06","23,860,128.63"
收回投资收到的现金,"25,000,000.00",,,,,,"16,000,000.00","67,500,000.00","67,500,000.00","67,500,000.00",,,,,,,,,,,"112,851,755.00","128,331,755.00","34,009,974.27","44,009,974.27","44,009,974.27","34,046,670.34",,
支付其他与筹资活动有关的现金,,,,,,"6,373,221.00","550,000.00","1,050,000.00","1,050,000.00","2,350,000.00",,,,,,,"7,675.00","45,270,200.00","53,000.00","1,059,012.17","1,059,012.17","12,088,496.00","-23,015,411.62",,,"219,632.00","1,155,884.94",
取得投资收益收到的现金,"16,751.33",,,"300,000.00","300,000.00","300,000.00","37,071.23","350,909.37","350,909.37","350,909.37",,,,,,,"107,430.56","500,000.00",,,,,"36,696.07",,,,,
筹资活动现金流出小计,"35,780,250.00","38,548,559.72",,,,"6,373,221.00","550,000.00","16,355,841.35","16,550,420.82","17,860,000.00","1,388.10","4,738,797.99","5,157,335.75","5,170,000.00","-2,322.67","7,789,578.75","6,533,662.98","54,499,289.37","5,043,879.78","16,561,965.40","26,706,747.64","69,458,428.81","93,487,354.12","132,093,230.13","146,534,045.35","155,343,744.58","8,735,765.00","129,997,628.63"
处置固定资产、无形资产和其他长期资产收回的现金净额,"69,180.00","5,130.26",411.00,,,,"2,630.00","2,630.00","2,630.00","2,630.00",,,,,"6,150.00","6,150.00","6,150.00","6,150.00","1,360.00","9,775.00","9,775.00","13,195.00","6,310.00","6,310.00","6,310.00","39,600.53","1,772.34","1,772.34"
筹资活动产生的现金流量净额,"4,219,750.00","-4,440,787.72",,,"230,110,779.00","230,196,711.88","-550,000.00","-16,355,841.35","-16,550,420.82","-10,759,195.47","560,943.36","-4,019,068.04","72,723,873.52","68,007,695.00","448,762.29","6,952,346.25","84,435,385.94","241,801,324.12","5,559,768.95","54,607,485.47","45,011,569.41","1,878,293.69","133,698,206.69","118,345,360.66","203,196,576.91","196,314,837.44","-8,494,938.53","243,382,795.61"
处置子公司及其他营业单位收到的现金净额,,,,,,,,,,,,,,,,,,,,,,"2,019,304.30",,"166,593.28","166,593.28","10,129,897.21",,
四、汇率变动对现金的影响,,,,,,,,,,,,,,,,,,,"-379,905.79","115,586.17","-66,004.20","213,769.06","623,667.47","-601,392.52","-2,157,539.91","-2,012,456.74","-1,333,259.69","5,871.47"
收到其他与投资活动有关的现金,,,,,,,,,,,,,,"6,056,978.19","98,692,000.00","292,558,428.93",,"294,138,873.70","20,000.00","20,000.00","20,000.00",,,,,,,
四(2)、其他原因对现金的影响,,,,,,,,,,,,,,,,,,,,,,,,,,,,
投资活动现金流入小计,"25,085,931.33","5,130.26",411.00,"300,000.00","300,000.00","300,000.00","16,039,701.23","67,853,539.37","67,853,539.37","67,853,539.37",,,,"6,056,978.19","98,698,150.00","292,564,578.93","113,580.56","294,645,023.70","21,360.00","29,775.00","112,881,530.00","130,364,254.30","34,052,980.34","44,182,877.55","44,182,877.55","44,216,168.08","1,772.34","1,772.34"
五、现金及现金等价物净增加额,"48,152,590.29","26,786,159.54","35,872,242.60","-40,972,732.08","169,975,364.06","231,065,851.03","-90,691,836.38","-71,524,690.23","-70,249,163.33","-25,367,630.50","-32,692,499.14","-61,104,200.63","22,329,247.60","-283,898,822.37","-6,017,815.14","77,433,337.70","-209,185,296.97","236,976,742.70","-116,501,279.73","-168,090,247.65","-127,792,852.04","-2,062,517.22","62,914,704.31","-36,788,743.12","-24,278,635.45","93,322,398.76","-131,258,270.35","11,195,112.78"
购建固定资产、无形资产和其他长期资产支付的现金,"422,409.06","47,744.80","671,874.70","366,973.00","1,082,628.20","2,094,527.20","4,190.00","51,483.00","119,635.00","4,775,543.67","375,468.00","9,749,679.06","16,175,510.90","10,879,223.65","3,239,418.26","83,203,849.76","156,074,339.45","211,262,922.60","1,669,470.54","14,334,492.95","20,356,815.11","43,327,917.12","5,947,552.05","5,145,685.26","32,772,817.26","81,831,792.39","2,598,469.35","12,952,247.35"
期初现金及现金等价物余额,"20,635,510.91","68,788,101.20","95,574,260.74","131,446,503.34","131,446,503.34","131,446,503.34","362,512,354.37","362,512,354.37","362,512,354.37","362,512,354.37","337,144,723.87","337,144,723.87","337,144,723.87","337,144,723.87","53,245,901.50","53,245,901.50","344,895,901.50","53,245,901.50","293,262,644.20","290,222,644.20","290,222,644.20","290,222,644.20","288,160,126.98","288,160,126.98","288,160,126.98","288,160,126.98","384,597,025.74","381,482,525.74"
投资支付的现金,,,,,,,"67,500,000.00","67,500,000.00","67,500,000.00","67,500,000.00",,,,"64,615,000.00","64,615,000.00","64,615,000.00","64,615,000.00",,,"10,749,880.39","10,749,880.39",,,,"23,040,035.46","35,813,987.21","3,391,219.82","6,257,926.12"
期末现金及现金等价物余额,"68,788,101.20","95,574,260.74","131,446,503.34","90,473,771.26","301,421,867.40","362,512,354.37","271,820,517.99","290,987,664.14","292,263,191.04","337,144,723.87","304,452,224.73","276,040,523.24","359,473,971.47","53,245,901.50","47,228,086.36","130,679,239.20","135,710,604.53","290,222,644.20","176,761,364.47","122,132,396.55","162,429,792.16","288,160,126.98","351,074,831.29","251,371,383.86","263,881,491.53","381,482,525.74","253,338,755.39","392,677,638.52"
