科目,2007年1-3月,2007年1-6月,2007年度,2008年1-3月,2008年1-6月,2008年1-9月,2008年度,2009年1-3月,2009年1-6月,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月
一、营业收入,"29,017,524.85","70,169,483.02","144,903,332.54","30,970,796.44","89,894,765.69","154,643,678.15","243,579,021.81","47,701,337.68","126,182,971.70","190,900,583.02","260,102,605.76","53,226,798.70","135,048,833.06","214,752,286.99","324,168,896.59","59,627,683.57","297,644,177.24","721,640,639.66","1,213,892,013.41","277,907,644.07","796,811,734.11","1,223,398,701.81","1,773,741,885.33","273,159,219.48","801,285,571.18","1,379,399,953.21","1,935,838,907.81","356,631,732.40","850,467,559.23","1,285,909,303.31","1,792,550,896.71","259,581,202.38","633,618,699.33","974,878,668.91","1,358,086,522.31","232,399,702.99","617,107,023.92","962,704,142.60","1,352,030,376.06","261,848,415.17","677,629,195.41","1,091,709,551.02","1,653,959,683.38","481,439,248.52"
二、营业利润,"4,764,900.87","15,352,262.74","32,140,227.38","3,856,460.01","14,897,730.12","21,017,728.89","39,880,632.23","15,594,136.49","43,229,076.77","71,990,321.44","90,749,394.17","10,746,035.94","36,987,272.11","63,118,197.35","90,811,690.64","8,835,748.08","71,013,471.40","169,468,458.21","270,909,060.59","32,393,257.26","159,525,494.44","278,799,384.65","401,930,850.45","28,750,183.67","192,144,338.40","331,112,471.76","436,551,665.82","44,333,362.57","162,038,909.81","256,158,112.61","290,692,902.98","29,414,515.81","85,583,544.02","100,413,565.36","102,496,937.61","2,654,150.06","63,247,955.75","108,261,370.77","116,638,894.25","15,155,512.17","96,106,885.18","156,788,039.20","167,832,598.45","20,810,637.68"
减:营业成本,"20,647,389.76","47,148,287.07","97,530,256.61","20,212,625.11","60,004,015.35","109,527,588.93","167,507,484.06","23,843,507.03","61,356,261.03","91,261,723.55","125,508,091.04","27,861,726.84","68,308,139.42","107,954,869.06","174,519,903.56","36,337,242.97","174,167,859.14","409,088,984.25","701,610,092.36","163,094,319.72","443,617,717.67","655,392,378.62","927,844,157.33","151,618,388.71","409,021,224.18","711,848,352.47","979,871,984.59","186,089,682.66","431,703,732.89","640,709,881.22","919,592,378.99","132,743,762.02","325,094,818.35","500,599,195.00","709,266,974.72","125,169,070.37","324,899,762.12","500,933,336.12","717,886,338.85","145,885,844.37","361,646,731.48","595,769,163.38","972,569,960.05","293,086,493.09"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"159,761.55","378,689.18","767,487.67","89,510.40","507,045.72","692,272.73","1,285,872.11","334,559.16","1,026,555.71","1,645,066.93","2,329,207.57","325,341.64","1,161,423.90","1,913,135.84","3,316,054.08","426,643.60","3,080,415.95","7,294,670.41","13,611,635.76","2,786,634.56","9,093,159.75","15,093,094.85","22,335,671.40","3,215,328.85","10,452,206.64","22,000,059.98","30,655,018.35","4,095,828.01","11,400,584.76","17,906,293.51","25,765,642.81","4,099,740.54","9,933,496.81","15,944,431.04","19,235,759.86","3,265,697.45","8,229,599.18","11,377,435.45","21,072,930.28","2,762,306.24","8,481,060.64","13,175,170.75","21,321,067.46","7,376,156.67"
营业外收入,"28,271.24","23,298.80","23,298.80","41,258.00","368,210.35","406,528.35","861,512.31","21,766.00","469,171.91","833,849.91","1,098,362.31","502,710.35","533,881.69","558,523.09","978,173.22","210,268.43","752,164.94","4,555,324.72","7,626,160.08","3,887,367.33","7,556,832.67","8,446,594.52","14,862,426.19","6,473,755.23","13,976,525.03","16,752,767.71","30,188,552.23","3,552,314.84","15,853,014.76","26,104,531.06","23,244,020.83","4,050,178.87","6,146,001.71","10,101,363.12","11,406,507.52","4,316,460.66","7,889,389.49","10,715,635.98","13,542,248.88","1,932,621.73","9,897,362.56","854,208.82","2,691,837.49","1,241,427.54"
销售费用,"1,748,058.86","3,464,183.14","8,005,376.01","2,412,602.90","5,309,982.09","8,046,518.82","14,561,774.54","4,328,511.69","9,172,170.20","10,900,185.03","17,514,545.57","5,929,637.79","11,293,953.56","17,737,405.23","22,994,595.04","4,213,668.47","22,166,816.85","62,715,531.35","92,052,384.39","29,375,964.45","58,732,439.56","87,684,967.19","154,246,455.66","27,260,383.07","58,128,333.78","92,090,226.03","151,144,503.61","32,316,679.90","70,566,610.25","111,096,797.84","159,674,041.66","23,646,138.06","53,180,837.02","82,244,630.72","120,871,572.44","22,173,738.51","51,648,127.92","81,398,751.63","116,718,644.33","24,181,609.76","57,287,849.83","91,740,984.14","125,715,911.26","26,557,754.77"
减:营业外支出,"26,500.00","160,141.00","260,652.10","34,000.00","570,729.00","606,016.04","1,479,185.45","56,984.00","71,880.27","294,545.26","635,239.70","70,438.09","222,421.68","421,384.14","494,580.86","49,986.30","216,830.13","944,010.21","5,972,541.27","1,036,547.41","1,706,209.94","2,166,197.10","5,139,412.68","647,391.68","6,149,545.43","7,571,719.46","12,372,263.88","1,781,518.80","4,542,573.41","8,843,005.25","15,033,594.12","1,063,851.25","1,440,893.46","2,252,930.99","6,199,830.56","449,698.05","3,045,475.20","4,336,178.34","10,681,910.90","228,242.92","1,812,073.34","2,150,231.85","7,908,005.94","1,529,504.69"
管理费用,"1,351,914.90","3,403,693.48","5,554,283.40","4,289,096.10","8,147,531.55","14,480,484.70","18,227,434.34","5,171,902.00","13,176,298.52","17,790,372.86","27,969,950.38","8,706,924.81","17,685,202.52","25,608,365.00","34,391,955.05","11,600,831.58","29,249,908.21","73,686,915.55","144,785,518.18","50,590,737.86","123,455,947.51","181,001,550.46","262,807,255.51","57,375,215.05","133,291,070.43","211,896,184.18","312,118,987.36","79,079,046.22","157,665,874.36","236,472,153.21","344,692,122.11","77,145,775.48","160,501,493.13","242,448,798.40","356,680,116.11","71,011,966.03","158,062,222.05","243,708,510.91","349,194,885.07","73,373,573.73","152,518,777.40","235,123,706.01","340,573,442.50","80,233,555.20"
其中:非流动资产处置净损失,,,,,,,,,,,,,,,,,,,"818,597.45",,"1,177,202.23",,"1,635,451.80",,"3,078,165.83",,"6,066,722.88","-1,246,642.89","1,601,735.25",,"9,834,101.56","-379,899.85","655,767.71","764,270.10","3,228,924.52","144,167.19","2,020,538.52","2,907,680.36","6,784,743.69","15,705.29","527,669.79","634,208.54",,
