科目,2011-12-31,2012-12-31,2013-12-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31
货币资金,"130,405,881.30","176,327,978.00","215,599,746.68","183,795,533.60","118,600,894.60","284,234,553.43","475,953,026.86","379,827,004.12","416,550,141.54","846,774,398.19","562,414,128.45","762,144,003.35","553,939,193.18","870,871,196.18","368,094,914.82","505,084,904.14","387,403,199.34","1,584,322,317.75","1,094,855,435.56","861,487,087.76","805,225,069.98","976,671,773.10","734,118,686.84"
短期借款,"71,600,000.00","58,500,000.00","58,000,000.00","123,000,000.00","166,750,880.00","102,500,000.00",,,,,,,,,,,,,,,,,"19,000,000.00"
交易性金融资产,,,,,,,,,,,,,,,,,,,,,,,
交易性金融负债,,,,,,,,,,,,,,,,,,,,,,,
应收票据,,,,,"1,264,061.00","1,415,557.67",,"2,422,735.98","1,440,000.00","9,540,882.54","770,000.00","329,500.00","2,227,550.00","27,445,006.84","1,108,566.00","21,947,930.13","19,319,855.13","46,643,214.28","7,242,500.00","28,441,476.72","26,819,363.68","53,633,427.74","23,132,170.00"
应付票据,"65,695,240.39","123,591,508.80","122,497,564.00","215,135,645.60","236,435,326.00","238,575,979.00","259,605,163.00","255,927,197.00","427,302,980.00","418,077,616.84","397,760,176.84","483,167,706.70","553,862,461.09","561,708,557.44","634,448,568.24","627,668,290.40","681,350,830.00","786,295,178.60","802,846,813.50","681,975,028.00",,"792,873,182.59",
应收账款,"111,554,812.16","208,281,694.07","328,715,642.48","475,056,704.95","642,083,433.20","449,896,401.15","595,916,486.35","756,860,425.71","867,028,367.45","548,408,480.45","742,328,819.16","790,377,440.12","987,626,877.77","686,859,170.63","983,598,564.69","1,140,330,697.27","1,353,723,852.44","1,138,353,981.52","1,450,746,953.06","1,694,273,516.08","1,845,364,241.07","1,718,159,215.46","1,892,410,299.96"
应付账款,"72,735,484.86","91,611,089.25","175,961,001.79","169,944,742.93","151,973,161.87","195,105,176.31","165,406,784.72","192,561,937.49","213,255,954.52","218,207,522.50","244,654,545.08","313,771,747.22","335,388,298.33","415,315,824.53","362,225,194.61","449,880,579.53","466,656,589.98","471,727,108.12","368,815,845.53","505,540,246.40",,"549,512,248.54",
预付款项,"10,185,441.97","8,881,465.98","3,892,174.20","5,432,438.02","5,059,111.75","4,777,615.35","12,482,314.75","1,093,882.64","14,236,126.48","2,105,731.11","4,490,912.87","8,399,046.25","5,173,213.30","6,874,512.19","15,810,348.85","6,423,467.03","5,750,701.67","7,717,918.08","11,097,347.68","14,092,648.58","21,766,695.91","15,087,175.82","14,897,973.94"
预收款项,"18,332,624.09","17,823,719.33","15,195,451.55","6,516,067.35","12,551,939.60","20,049,639.66","26,155,079.53","9,779,641.87","9,279,194.46","79,465,896.51","51,349,772.61","42,175,692.10","24,278,863.91","130,205,257.96","9,407,267.42","11,895,882.05","32,092,685.09","38,118,936.19","7,004,811.81","32,494,139.51","24,098,370.52","45,016,621.25","41,574,126.74"
其他应收款,"9,274,871.03","13,409,811.53","13,565,129.83","18,898,671.80","29,170,037.31","21,989,233.40","40,677,355.87","41,941,977.69","57,087,560.79","35,880,667.89","54,644,234.96","49,176,020.33","56,597,773.56","41,856,632.27","59,379,309.33","59,933,920.70","139,334,467.08","56,372,273.75","84,405,755.94","100,010,065.29","105,554,967.36","95,235,344.74","105,917,137.57"
