科目,2011年度,2012年度,2013年度,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月,2018年1-9月,2018年度,2019年1-3月
一、营业收入,"192,704,012.61","308,609,030.82","379,623,408.82","285,219,951.32","432,770,454.10","80,016,493.84","185,980,786.30","303,542,666.20","462,464,028.35","88,150,627.74","133,366,418.62","217,325,297.92","337,164,042.51","114,903,797.62","204,989,385.12","306,914,256.46","485,579,894.77","101,445,896.00","256,769,980.47","411,708,495.20","594,732,319.59","135,813,372.53"
二、营业利润,"42,210,912.76","60,114,680.79","76,965,310.77","63,164,812.30","90,302,367.80","18,485,681.16","35,942,957.46","55,178,937.01","97,318,256.07","20,605,249.18","33,680,895.43","55,563,194.45","65,370,788.44","17,742,405.70","24,653,484.43","40,287,606.01","49,117,913.60","22,138,774.53","40,923,144.36","62,389,967.75","68,572,366.43","19,799,916.78"
减:营业成本,"115,372,712.82","192,277,339.44","245,926,284.54","177,826,808.20","270,330,633.55","47,209,432.30","121,367,845.88","206,037,124.63","300,297,518.52","54,629,585.06","85,751,064.78","134,436,076.51","229,437,172.45","84,430,890.18","152,503,895.36","225,054,404.40","355,037,764.01","70,733,070.41","184,855,738.29","302,189,780.68","443,502,383.91","111,019,483.31"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"1,784,585.81","1,980,258.29","3,622,274.46","1,924,176.46","3,074,915.08","736,179.58","1,218,646.17","2,105,083.12","4,229,305.89","1,117,661.80","1,471,272.29","1,728,103.53","3,914,394.15","1,332,415.77","2,680,883.86","4,058,314.00","7,558,864.18","1,125,210.32","1,908,301.78","3,306,164.65","3,497,522.48","1,026,828.70"
营业外收入,"447,802.72","2,911,362.32","975,206.44","1,881,096.20","4,531,779.14","42,755.02","4,189,314.73","8,692,446.68","11,490,829.96","368,769.26","643,179.38","1,049,327.53","1,858,922.57","758,150.59","21,054,147.62","21,621,679.58","21,883,440.27","1,950,622.61","3,158,046.41","3,495,434.70","3,613,746.47","389,584.83"
销售费用,"5,004,117.67","7,250,058.31","7,459,452.21","7,584,471.88","9,822,156.25","1,441,776.21","3,624,267.27","4,816,165.63","8,493,292.37","2,977,939.29","5,116,087.42","7,265,917.22","11,880,583.81","1,661,469.99","3,407,861.88","6,267,093.67","10,245,240.02","1,878,073.61","4,340,285.98","8,447,339.75","11,939,024.79","2,961,945.01"
减:营业外支出,"259,269.68","322,052.27","416,570.93","399,624.71","943,150.00","88,026.58","212,013.70","337,468.74","647,969.55","104,164.30","140,383.65","202,249.89","751,188.07","33,651.00","5,303,500.74","5,303,500.74","207,809.40","53,711.92","177,621.24","177,621.24","140,060.86","147,133.06"
管理费用,"18,972,511.98","31,183,762.57","32,817,477.63","23,955,498.19","37,408,733.23","9,264,131.67","20,479,376.98","29,284,225.97","41,891,524.67","9,539,184.45","19,588,996.23","31,767,502.45","42,178,444.61","8,448,280.01","18,832,845.59","27,871,086.25","48,463,879.64","11,966,397.41","37,100,272.61","38,493,087.57","61,104,935.04","6,876,451.22"
其中:非流动资产处置净损失,"44,757.10",,,,,,,,,,,,,,,,,,,,,
堪探费用,,,,,,,,,,,,,,,,,,,,,,
加:影响利润总额的其他科目,,,,,,,,,,,,,,,,,,,,,,
财务费用,"8,975,204.13","6,739,169.90","6,262,207.96","4,160,191.38","4,557,574.88","823,995.26","633,347.24","145,282.89","-894,620.55","53,399.68","-421,159.24","-301,987.43","-74,934.65","487,375.60","892,087.82","1,993,258.97","1,772,182.85","2,102,650.33","2,339,765.72","3,709,260.85","6,159,027.62","1,989,968.25"
