科目,2013-12-31,2014-12-31,2015-12-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31
货币资金,"1,218,966,790.05","2,081,171,226.10","1,851,338,925.93","1,966,345,733.25","1,953,477,454.41","3,806,623,353.00","2,254,530,712.91","2,819,348,740.37","1,795,307,848.76","2,165,108,142.21","1,890,292,599.79"
短期借款,"870,000,000.00","1,633,100,000.00","701,000,000.00","763,000,000.00","573,490,000.00","6,000,000.00","1,650,000,000.00","1,700,000,000.00","1,700,000,000.00","1,800,000,000.00","1,585,000,000.00"
交易性金融资产,,,,,,,,,,,
交易性金融负债,,,,,,,,,,,
应收票据,"525,120,143.77","550,010,204.69","868,992,061.22","38,431,460.83","31,559,195.72","1,110,925,808.21","393,115,901.59","31,723,046.99","129,595,492.77","1,355,036,086.14","965,652,051.62"
应付票据,,"6,000,000.00",,,,,,,,"2,600,000.00","5,100,000.00"
应收账款,"764,079,813.73","1,040,201,306.82","1,176,021,353.42","1,071,333,699.62","2,059,179,435.06","1,147,772,051.60","969,003,062.19","995,892,443.73","1,386,499,730.52","1,466,934,981.10","1,297,477,036.50"
应付账款,"287,780,102.32","290,156,050.62","435,699,011.44","406,401,041.19","498,275,262.98","592,512,627.11","442,443,811.21","443,194,037.10","648,560,422.82","744,546,834.10","607,016,579.48"
预付款项,"96,526,847.69","273,984,668.31","316,793,414.79","332,262,403.83","339,930,093.42","201,027,924.19","195,626,867.70","224,756,920.46","240,664,219.46","230,230,835.34","269,666,928.28"
预收款项,"143,001,222.61","150,326,873.00","189,403,675.33","174,166,523.77","83,979,180.85","238,309,604.90","224,154,337.56","213,951,207.02","174,753,291.55","305,686,717.06","130,132,087.80"
其他应收款,"1,065,025,465.39","1,038,428,817.20","775,054,342.04","969,406,180.38","849,810,944.91","812,036,887.40","978,229,508.94","867,863,418.86","955,695,375.00","701,056,087.12","897,353,700.09"
应付职工薪酬,"27,467,531.59","40,600,293.75","53,568,009.60","80,555,639.82","65,661,879.71","83,811,187.28","63,864,977.07","72,142,998.68","65,133,432.49","71,128,956.66","77,823,673.72"
应收关联公司款,,,,,,,,,,,
应交税费,"183,127,796.32","334,847,473.94","407,885,475.22","181,930,314.29","441,341,656.27","283,131,215.67","193,820,527.44","198,667,371.84","309,519,214.92","469,144,803.00","207,773,184.61"
应收利息,,,"6,778,706.94","12,606,245.83","15,552,034.67","18,497,823.54","21,379,573.53","24,293,342.96","27,310,815.17",,
应付利息,"985,666.66","2,682,281.76","2,561,680.54","2,467,083.31","2,176,645.84","8,555.02",,"1,601,645.84","1,441,481.25","1,884,639.12","1,407,187.49"
应收股利,,,,,,,,,,,
应付股利,,,,,,,,"1,101,686,774.29","4,186,255.47",,
存货,"843,515,051.19","842,857,216.59","984,050,485.50","942,231,875.41","899,516,846.98","1,188,366,408.18","1,272,684,374.82","1,231,103,920.86","1,360,436,066.02","1,456,807,965.64","1,490,034,552.29"
其他应付款,"1,111,999,721.31","2,107,949,863.24","5,180,609,293.54","4,262,432,200.00","4,593,843,127.73","4,449,485,306.72","1,313,551,113.15","1,227,485,059.93","1,507,843,381.44","2,161,849,168.12","2,164,232,559.88"
其中:消耗性生物资产,,,,,,,,,,,
应付关联公司款,,,,,,,,,,,
一年内到期的非流动资产,,,,,,,,,,,
一年内到期的非流动负债,,,,,,,,,,,
其他流动资产,,"1,572,586.00","17,653,208.61","22,178,989.77","23,759,530.21","133,579,721.04","837,347,936.17","656,805,909.29","46,634,974.66","69,075,237.01","72,493,974.82"
其他流动负债,"1,282,326.67","1,921,232.95","1,824,010.75","3,783,927.45","3,783,927.43","3,665,975.09","2,626,761.76","3,657,975.13","3,662,170.96","7,330,754.27","5,668,053.10"
流动资产合计,"4,513,234,111.82","5,828,226,025.71","5,996,682,498.45","5,354,796,588.92","6,172,785,535.38","8,418,829,977.16","6,921,917,937.85","6,851,787,743.52","5,942,144,522.36","7,444,249,334.56","6,882,970,843.39"
流动负债合计,"2,625,644,367.48","4,567,584,069.26","6,972,551,156.42","5,874,736,729.83","6,262,551,680.81","5,656,924,471.79","3,890,461,528.19","4,962,387,069.83","4,415,099,650.90","5,564,171,872.33","4,784,153,326.08"
可供出售金融资产,"225,955.24",,,,,"258,700,000.00","258,700,000.00","318,700,000.00","451,700,000.00","451,700,000.00","451,700,000.00"
长期借款,,"15,000,000.00","1,261,000,000.00","1,350,000,000.00","1,200,000,000.00",,,,,,
持有至到期投资,,,,,,,,,,,
应付债券,,,,,,,,,,,
长期应收款,,,,,,,,,,,
长期应付款,,,,,,,,,,,
长期股权投资,"800,400,850.07","1,285,352,772.11","910,093,402.55","866,331,868.50","858,068,545.28","711,780,364.65","708,253,058.61","742,702,739.71","832,942,989.76","772,518,667.22","782,083,624.21"
专项应付款,,,,,,,,,,,
投资性房地产,"31,790,695.18","29,926,323.58","28,061,951.98","27,129,766.18","26,663,673.28","26,197,580.38","25,731,487.48","25,265,394.58","24,799,301.68","24,333,208.78","23,867,115.88"
预计负债,"4,009,334.40",,,,,,,,,,
固定资产,"825,911,120.09","955,870,604.01","1,241,862,821.62","1,234,529,960.58","1,286,875,084.44","1,286,885,472.65","1,273,210,815.05","1,272,749,124.65","1,261,334,894.82","1,787,534,814.72","1,755,452,716.04"
递延所得税负债,,"21,195,021.65","176,921,261.64","167,292,994.91","162,478,861.55","157,664,728.18","152,850,594.81","148,036,461.45","143,222,328.09","162,856,381.22","156,515,657.82"
在建工程,"172,151,825.91","238,241,600.37","309,159,941.80","474,898,699.58","443,248,229.71","521,267,880.33","527,616,104.60","575,687,623.96","702,541,141.68","738,681,532.88","686,945,354.02"
其他非流动负债,,,,,,,,,,,
工程物资,,,,,,,,,,,
非流动负债合计,"29,939,886.58","86,619,067.09","1,530,741,296.04","1,602,302,289.67","1,508,492,841.45","303,231,193.65","300,383,806.88","302,851,993.37","306,944,843.62","413,833,854.26","404,832,440.09"
固定资产清理,,,,,,,,,,,
负债合计,"2,655,584,254.06","4,654,203,136.35","8,503,292,452.46","7,477,039,019.50","7,771,044,522.26","5,960,155,665.44","4,190,845,335.07","5,265,239,063.20","4,722,044,494.52","5,978,005,726.59","5,188,985,766.17"
生产性生物资产,,,,,,,,,,,
实收资本(或股本),"612,000,000.00","612,000,000.00","612,000,000.00","612,000,000.00","612,000,000.00","681,800,000.00","681,800,000.00","681,800,000.00","681,800,000.00","681,800,000.00","681,800,000.00"
油气资产,,,,,,,,,,,
资本公积,"1,036,456,026.00","1,014,267,979.12","229,410,324.70","229,410,324.70","229,410,324.70","3,844,007,749.40","3,844,007,749.40","3,844,007,749.40","3,842,579,529.55","3,842,579,529.56","3,844,392,467.10"
无形资产,"285,519,691.29","429,566,081.70","1,603,263,996.40","1,523,648,858.87","1,611,295,261.54","1,571,634,447.97","1,530,958,241.25","1,542,789,478.07","1,528,205,374.84","1,613,056,956.89","1,574,228,649.62"
盈余公积,"259,896,708.04","306,000,000.00","306,000,000.00","306,000,000.00","306,000,000.00","331,449,321.27","331,449,321.27","331,449,321.27","331,449,321.27","340,900,000.00","340,900,000.00"
开发支出,"283,506,562.46","251,341,352.51","319,405,375.87","325,004,678.43","343,537,959.67","346,482,932.05","357,082,400.86","367,326,173.60","373,852,877.38","410,091,244.17","430,481,192.87"
减:库存股,,,,,,,,,,,
商誉,"4,258,450.70","12,271,427.66","5,009,826,897.86","5,009,826,897.86","5,009,826,897.86","5,009,826,897.86","5,009,826,897.86","5,009,826,897.86","5,009,826,897.86","5,009,826,897.86","5,009,826,897.86"
未分配利润,"2,190,491,534.96","2,468,015,543.43","6,004,779,908.25","6,610,007,373.77","7,263,277,971.04","7,748,695,233.36","7,971,077,696.07","7,326,335,255.53","7,778,353,397.81","8,276,771,672.60","8,483,011,429.52"
长期待摊费用,,"5,579,472.20","6,111,888.82","4,736,222.14","7,385,767.44","9,479,597.70","9,229,362.36","7,883,149.28","6,866,800.06","6,532,417.79","5,609,053.80"
少数股东权益,"185,091,920.59","48,352,628.01","108,237,184.02","107,690,802.69","107,696,534.10","108,783,486.25","106,982,587.00","106,974,129.17","57,038,080.93","76,439,241.62","88,120,061.17"
递延所得税资产,"22,521,180.83","67,151,226.55","107,253,826.91","86,914,147.91","95,324,004.98","79,459,172.93","69,292,385.39","72,925,523.35","89,293,853.95","138,111,442.81","127,747,008.97"
外币报表折算价差,,,,,,,,,,,
其他非流动资产,,,"232,000,000.00","434,410,743.00","434,410,743.00","434,410,743.00","434,410,743.00","768,238,401.00","1,189,800,059.00","800,066,059.00","896,575,206.41"
非正常经营项目收益调整,,,,,,,,,,,
非流动资产合计,"2,426,286,331.77","3,275,300,860.69","9,767,040,103.81","9,987,431,843.05","10,116,636,167.20","10,256,125,089.52","10,204,311,496.46","10,704,094,506.06","11,471,164,191.03","11,752,453,242.12","11,744,516,819.68"
所有者权益(或股东权益)合计,"4,283,936,189.53","4,449,323,750.05","7,260,430,149.80","7,865,189,412.47","8,518,377,180.32","12,714,799,401.24","12,935,384,099.24","12,290,643,186.38","12,691,264,218.87","13,218,696,850.09","13,438,501,896.90"
资产总计,"6,939,520,443.59","9,103,526,886.40","15,763,722,602.26","15,342,228,431.97","16,289,421,702.58","18,674,955,066.68","17,126,229,434.31","17,555,882,249.58","17,413,308,713.39","19,196,702,576.68","18,627,487,663.07"
负债和所有者(或股东权益)合计,"6,939,520,443.59","9,103,526,886.40","15,763,722,602.26","15,342,228,431.97","16,289,421,702.58","18,674,955,066.68","17,126,229,434.31","17,555,882,249.58","17,413,308,713.39","19,196,702,576.68","18,627,487,663.07"
