科目,2007年度,2008年度,2009年1-3月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月
一、营业收入,"164,113,010.33","275,610,229.11","56,385,332.61","429,928,954.28","75,589,611.19","236,145,222.90","373,714,580.93","575,448,365.66","92,515,434.60","254,966,833.88","374,477,462.20","546,364,548.22","126,631,366.65","333,124,341.47","461,913,999.03","711,030,303.42","208,359,093.85","617,848,109.57","950,221,089.13","1,307,886,246.04","305,251,333.90","906,599,728.62","1,371,851,676.94","1,905,823,991.92","527,590,963.41","1,264,605,382.06","1,927,552,868.07","2,681,225,307.68","616,400,742.31","1,356,495,544.29","2,090,856,772.65","2,983,728,136.49","599,929,471.10","1,265,167,109.58","1,989,201,845.68","3,041,883,453.67","1,199,503,012.72","2,537,094,408.10"
二、营业利润,"77,282,596.00","108,725,626.38","13,436,360.78","151,736,188.26","17,046,436.24","72,990,563.26","114,141,259.74","181,210,071.05","19,162,750.17","76,308,713.26","92,539,346.44","138,630,565.96","23,156,251.82","94,434,390.49","120,934,785.45","197,524,822.00","26,590,373.79","81,959,859.79","130,583,770.27","201,395,070.24","74,713,042.78","235,709,472.78","336,158,534.58","491,154,517.37","147,798,107.87","396,683,553.75","594,285,167.06","762,308,189.88","174,153,038.97","398,211,316.14","623,816,857.87","778,340,809.15","145,792,509.25","258,885,767.13","339,763,346.66","341,951,470.58","111,819,675.35","284,980,728.18"
减:营业成本,"56,358,175.95","99,712,343.05","23,815,824.76","187,321,431.22","34,430,701.74","108,368,584.67","178,109,245.01","269,232,468.32","47,726,039.31","124,786,075.12","192,745,549.07","280,642,618.27","54,759,325.91","130,976,786.86","181,363,924.26","258,553,526.97","68,908,421.81","141,236,059.48","206,160,811.37","298,925,402.64","112,595,904.93","348,354,707.79","515,173,340.16","705,887,579.33","194,494,115.35","458,319,833.02","699,588,980.68","986,780,509.61","243,455,958.16","561,870,124.26","857,264,585.45","1,233,754,967.94","249,379,096.58","506,239,913.32","690,628,725.32","895,139,120.84","328,453,272.19","676,604,436.95"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"521,032.79","777,237.38","92,450.12","1,945,568.22","27,288.14","250,350.16","598,662.58","2,244,164.54","965,524.00","2,882,974.97","3,695,250.27","4,316,109.08","1,098,359.77","4,266,651.16","8,323,437.19","9,520,404.84","3,002,512.01","10,017,295.82","14,836,716.35","20,684,598.69","3,921,933.47","13,243,365.50","17,740,197.85","25,619,348.92","7,011,396.27","17,651,409.11","25,951,004.42","38,497,215.23","5,037,277.38","16,595,622.77","26,053,025.13","53,623,639.96","8,765,570.74","24,175,198.43","37,411,951.88","56,310,175.60","19,062,445.24","42,766,738.50"
营业外收入,"64,375.76","1,417,670.00","275,225.64","1,201,220.10","1,000,000.00","1,006,000.00","1,402,000.00","1,902,000.00",,"43,170.00","186,929.92","218,822.92","5,961.02","27,326.02","47,708.00","1,987,240.00",810.00,"29,358,827.52","32,041,824.09","69,432,892.73","5,436,055.77","17,159,988.86","36,465,516.66","61,049,102.87","12,164,177.90","13,748,678.78","31,529,278.16","65,856,686.33","16,874,791.62","23,170,841.72","56,686,364.34","95,797,763.68","1,436,412.90","1,207,799.95","2,208,364.24","36,706,309.93","428,270.42","1,831,531.74"
销售费用,"16,228,229.13","38,154,910.97","11,273,501.62","50,184,171.40","14,071,388.85","30,170,638.62","41,932,519.49","55,810,930.61","12,505,841.50","22,292,345.17","33,929,193.60","51,710,627.12","31,848,477.78","64,133,927.29","88,879,136.71","161,969,910.86","85,659,631.05","346,797,712.08","526,691,676.78","634,917,200.52","80,835,839.08","211,326,628.73","311,850,965.14","406,405,482.19","80,244,635.06","172,818,485.60","258,382,631.54","359,481,168.19","52,036,098.49","100,334,360.24","162,482,911.07","260,566,048.29","61,424,959.82","192,867,383.20","497,176,822.30","1,065,489,354.44","596,150,534.30","1,247,654,778.96"
减:营业外支出,"130,621.14","782,019.67",,"20,000.00",,"1,000.00","1,000.00","50,755.38","100,000.00","108,798.84","2,342,266.67","2,343,766.67","4,635.83","104,635.83","109,924.91","348,884.88","29,300.34","177,859.59","592,248.95","1,354,518.44","38,009.77","3,615,844.77","3,816,309.72","4,624,086.35","89,893.39","162,536.07","424,565.39","2,305,083.28","116,840.27","3,377,892.24","4,649,247.02","15,835,361.66","1,794,909.84","6,452,992.94","7,293,087.55","7,445,133.48","1,591,564.95","523,026.28"
管理费用,"18,345,136.78","24,633,582.34","7,042,072.27","32,796,382.37","8,469,947.11","22,538,499.51","37,409,909.69","65,408,889.81","13,034,555.87","31,622,827.79","56,091,149.16","98,104,874.34","21,484,532.61","55,650,119.89","87,588,228.03","122,405,024.62","29,339,587.52","48,445,980.40","84,589,345.86","172,516,008.95","34,029,014.00","91,937,533.80","178,611,331.10","260,135,766.93","85,948,677.53","184,530,954.38","292,604,197.69","435,931,583.30","119,079,384.73","230,634,892.31","352,785,068.57","505,376,278.73","101,243,302.10","207,437,686.00","304,149,197.50","488,286,262.79","115,321,914.18","232,324,320.84"
其中:非流动资产处置净损失,"9,933.77",,,,,,,,,,,,"3,935.83","3,935.83","9,224.91","166,184.88",,810.00,"128,213.46","236,684.17","27,302.59","16,992.13","223,022.52","607,582.44","44,893.39","109,527.54","70,765.26","1,142,905.35",,"2,117,954.88","2,973,305.93","4,589,080.82","164,173.96","2,047,428.49","2,188,900.74",,,
