科目,2007-06-30,2007-09-30,2007-12-31,2008-03-31,2008-06-30,2008-09-30,2008-12-31,2009-03-31,2009-06-30,2009-09-30,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31
货币资金,"85,546,906.36","120,479,469.44","88,556,192.85","103,076,412.60","108,144,159.30","120,308,229.47","73,920,659.53","96,448,774.14","82,681,748.00","100,568,449.50","78,577,036.41","162,349,789.07","180,936,695.03","158,868,776.75","246,610,536.46","247,469,292.04","175,049,158.70","201,097,325.53","142,057,898.78","147,135,198.79","144,129,150.58","134,222,962.60","139,747,684.67","425,015,021.13","319,709,060.75","450,853,110.54","413,701,484.46","405,577,157.02","363,510,518.70","332,172,627.98","254,077,223.17","87,758,029.66","95,329,569.94","97,894,765.55","51,245,590.96","91,979,480.17","87,267,988.36","82,923,630.61","193,819,915.28","99,424,760.89","85,494,939.03","51,968,135.96","91,819,640.59","60,153,579.48","71,599,940.54","74,862,801.06","89,684,715.29","86,072,136.41"
短期借款,"148,068,793.00","64,969,513.74","78,755,967.43","88,000,000.00","91,988,082.20","113,697,921.19","67,667,714.20","88,162,825.18","85,098,480.10","87,810,156.73","44,938,942.00","84,608,547.21","61,861,351.40","11,872,983.20","18,893,488.00","63,227,836.42","30,310,433.61","53,729,324.72","55,256,986.32","45,927,769.48","48,324,716.36","20,000,000.00",,,"670,722.00","2,208,267.00","7,933,883.04","8,491,827.50","4,100,000.00","1,651,638.63","2,578,852.55","2,588,630.19","935,380.80","973,278.90",,"158,200,000.00","164,200,000.00","149,000,000.00","85,000,000.00","80,000,000.00","55,000,000.00","10,100,000.00",,"10,000,000.00","4,962,450.00",,,
交易性金融资产,,"1,000,000.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
交易性金融负债,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应收票据,"2,280,000.00","3,500,000.00","3,353,797.44","3,500,000.00","5,233,666.30","2,610,000.00","6,008,000.00","248,225.00","5,420,000.00","5,280,898.00","6,130,000.00","3,130,000.00","5,692,392.01","3,870,000.00","11,407,129.00","11,670,000.00","6,910,222.46","16,095,788.52","20,301,272.92","21,050,000.00","18,723,456.83","11,844,664.60","21,515,019.57","21,088,640.25","7,134,354.61","15,856,846.29","23,438,230.49","42,470,186.95","38,819,743.70","27,600,053.31","26,863,040.21","33,254,148.01","26,640,232.91","46,537,544.48","39,793,099.75","14,219,180.14","29,872,971.75","34,798,395.92","31,282,058.63","48,798,904.17","81,647,036.83","59,921,436.83","29,960,440.53","58,941,463.13","60,492,708.55","38,035,690.43","35,554,698.50","37,972,862.56"
应付票据,"23,990,000.00","19,506,000.00","2,750,000.00","12,956,558.00","8,000,000.00","23,844,646.36","12,311,955.00","21,243,863.15","23,724,340.00","21,388,936.00","32,775,002.26","27,914,441.70","45,303,427.52","43,757,228.05","50,754,225.79","40,019,730.59","41,531,699.04","35,532,208.53","34,929,736.02","31,790,324.63","30,391,488.36","36,015,379.00","24,245,177.32","32,349,548.57","30,182,502.49","42,181,287.92","29,682,951.00","26,848,267.82","28,080,000.00","29,345,000.00","41,536,609.66","33,224,308.39","45,285,000.00","30,975,000.00","20,300,000.00","22,152,000.00","24,934,514.70","31,382,114.70","34,865,600.00","38,616,549.41","61,904,501.91","58,600,459.31","41,685,418.11","50,085,792.07","53,923,132.42",,"60,639,927.13",
应收账款,"49,105,151.77","44,518,975.14","43,045,845.39","53,270,490.07","46,210,695.56","36,557,668.25","25,079,050.29","43,480,530.43","51,917,074.46","46,473,764.39","38,854,730.49","42,115,741.83","56,743,983.04","51,821,184.37","47,816,179.88","62,018,844.72","104,496,026.66","79,307,569.13","78,704,458.27","81,046,961.79","94,928,421.90","100,715,964.75","125,688,982.66","134,166,313.73","150,717,895.55","138,769,733.19","114,036,196.07","90,379,533.57","97,677,815.93","102,859,393.28","102,477,568.81","109,744,695.40","146,278,069.03","121,530,117.22","134,603,035.18","121,614,914.80","142,648,819.59","128,169,659.73","133,995,590.79","132,931,325.16","117,058,003.16","132,559,816.57","171,454,459.03","153,108,596.01","143,480,927.52","119,522,069.82","140,008,278.94","110,124,648.62"
应付账款,"49,252,390.11","42,159,447.63","46,402,121.46","50,474,167.13","54,104,739.23","44,648,006.45","43,037,578.82","41,075,952.55","54,825,534.98","50,310,225.72","45,505,700.84","42,449,242.22","56,860,620.34","78,023,197.54","74,310,817.89","79,475,039.86","69,891,493.59","51,679,938.50","60,869,707.43","74,969,815.41","68,938,748.23","54,270,833.62","80,219,541.79","80,906,715.15","90,813,290.89","88,160,686.16","82,941,168.31","65,262,995.83","62,403,904.01","68,993,536.33","69,797,816.42","91,952,134.08","113,674,750.77","100,113,972.11","109,935,532.38","89,203,874.89","114,760,481.60","110,918,923.67","131,060,938.71","125,121,977.45","118,143,671.68","150,454,223.93","165,177,518.52","147,893,457.06","127,806,014.52",,"119,633,942.58",
预付款项,"10,588,595.54","11,410,476.45","15,184,275.32","13,811,635.08","12,102,915.71","12,892,486.60","7,499,121.69","11,983,657.73","13,482,540.88","11,835,674.39","2,760,560.03","15,839,859.05","26,857,601.44","52,840,909.73","21,100,455.11","120,105,965.56","115,431,479.67","86,170,000.33","86,945,470.67","48,617,581.98","37,838,138.17","36,863,401.63","19,794,657.44","32,288,886.61","33,931,516.31","34,470,858.90","13,167,598.87","15,229,896.27","14,148,527.40","19,790,084.70","9,002,280.15","16,094,564.19","12,970,528.72","9,836,348.42","10,440,496.84","15,945,056.40","6,608,692.80","5,558,159.08","4,717,781.72","11,458,984.21","10,832,023.32","22,355,283.11","26,772,925.03","45,968,948.63","10,198,364.29","27,847,861.92","17,859,931.98","11,283,928.95"
预收款项,"4,117,279.91","5,232,500.43","10,036,521.37","8,965,728.58","9,883,385.91","6,226,202.73","16,837,029.21","18,295,808.36","13,198,678.00","16,807,808.74","7,518,051.79","17,239,177.38","31,466,558.31","74,374,852.39","100,223,609.02","182,366,958.66","155,507,849.62","106,917,883.39","69,336,156.67","33,738,181.37","39,654,085.17","37,647,633.01","25,840,833.54","23,891,742.38","32,855,299.41","32,456,774.80","20,294,368.99","21,289,818.51","25,195,428.58","16,244,306.16","14,305,589.90","10,610,254.15","15,418,873.76","14,364,617.29","16,297,062.95","15,565,723.54","8,077,175.88","6,102,871.52","6,761,960.99","8,326,303.71","9,608,314.64","15,119,263.65","40,999,360.19","44,501,419.58","33,991,284.07","33,039,911.53","25,576,938.32","24,588,307.08"
