科目,2007年度,2008年度,2009年1-3月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月
一、营业收入,"1,987,996,566.23","2,240,170,592.16","536,421,441.83","2,161,147,114.06","608,241,849.38","1,127,372,419.35","1,759,073,637.48","2,317,690,287.37","643,921,345.82","1,431,670,155.55","2,356,030,764.39","3,066,280,123.34","831,524,093.65","1,820,508,436.64","2,659,693,266.49","3,547,094,061.74","945,322,410.59","2,157,679,599.81","3,355,393,965.99","4,801,481,663.24","1,438,610,852.23","2,911,240,371.55","3,943,635,740.54","5,345,222,106.42","1,327,535,817.34","2,435,855,502.73","3,403,569,752.36","4,521,827,516.35","909,977,069.01","2,094,933,096.46","3,053,260,531.78","4,352,970,581.00","1,453,037,353.25","2,931,158,272.70","4,495,348,566.33","6,056,983,531.58","1,595,086,553.78","3,409,867,976.91"
二、营业利润,"260,447,927.31","304,913,782.39","53,981,477.12","341,343,154.65","86,307,976.77","197,882,554.51","313,855,408.96","453,847,409.70","120,066,206.23","268,508,541.53","436,742,120.24","566,320,111.12","100,079,305.24","197,105,744.27","297,539,201.94","410,613,972.75","138,239,124.22","350,227,674.83","666,116,057.23","1,137,937,821.81","448,506,916.02","893,391,895.95","1,149,960,482.04","1,643,497,129.74","405,234,152.50","727,860,448.85","791,933,781.25","822,611,052.67","62,899,492.30","318,075,663.89","536,618,801.88","809,395,482.74","208,738,604.32","493,918,641.94","802,740,540.01","1,139,202,706.61","380,573,734.33","856,444,842.82"
减:营业成本,"1,536,542,382.78","1,668,740,028.64","448,530,382.79","1,596,607,889.29","455,141,900.19","802,727,773.61","1,269,644,358.89","1,638,841,127.28","447,190,340.32","1,021,007,210.13","1,694,252,073.57","2,142,735,552.14","625,672,346.12","1,379,788,320.75","2,007,566,557.40","2,686,197,101.56","695,743,526.12","1,522,950,785.71","2,270,910,549.34","3,118,455,342.45","852,394,195.41","1,618,016,518.24","2,275,825,596.88","3,020,961,871.97","767,642,489.88","1,390,076,639.03","2,174,585,644.55","3,059,469,826.24","708,571,065.18","1,504,955,023.57","2,088,154,504.50","2,965,189,282.49","1,071,430,618.67","2,048,976,462.55","3,087,416,611.78","4,102,801,361.83","984,003,826.75","2,064,551,804.78"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"5,512,978.26","6,541,178.30","1,965,921.76","6,118,970.69","1,134,066.85","3,653,120.36","4,730,164.77","5,954,592.08","3,280,070.13","6,535,339.61","10,322,568.86","14,243,572.73","3,195,511.45","8,479,425.76","12,452,082.32","15,999,034.12","3,805,265.02","10,910,118.82","17,501,604.69","28,853,554.73","9,109,429.32","20,150,477.26","28,559,183.32","35,198,106.19","6,646,460.75","9,405,543.78","15,071,674.17","21,858,090.13","5,135,056.47","9,702,855.62","12,501,624.30","36,345,681.47","10,742,554.91","22,494,353.86","35,129,132.73","61,469,584.95","13,395,400.97","36,675,097.78"
营业外收入,"7,044,089.40","5,047,489.22","775,230.78","5,021,228.63","4,046,577.70","5,329,040.69","9,158,514.61","6,756,008.51","1,633,577.11","3,134,185.60","4,553,348.17","16,007,521.64","5,289,742.76","8,474,278.13","12,628,255.28","8,241,115.01","613,090.40","10,966,558.57","15,908,793.61","19,974,116.17","2,555,761.96","4,342,538.00","47,961,906.49","65,334,399.72","9,444,906.52","12,979,453.27","61,190,007.71","71,707,445.45","7,094,589.49","12,898,508.55","19,070,334.30","12,128,054.59","4,355,173.70","7,089,216.20","11,663,574.99","12,482,537.94","2,809,545.05","16,743,573.50"
销售费用,"54,065,157.72","70,855,111.56","16,925,426.84","68,923,872.06","24,176,198.03","39,682,889.46","48,901,946.01","68,967,554.59","24,125,322.90","38,401,318.52","51,522,380.07","79,594,138.58","28,102,381.95","62,595,827.84","87,760,516.82","114,599,046.00","36,157,894.07","70,648,943.10","126,192,874.85","136,512,757.24","33,989,588.20","48,369,437.46","72,487,741.37","118,070,457.24","32,315,489.85","60,345,095.49","77,738,298.21","115,199,692.23","33,147,423.71","63,663,613.92","90,071,022.68","119,337,630.36","45,897,829.40","87,915,078.95","119,658,361.08","167,024,243.95","43,803,729.01","85,723,171.46"
减:营业外支出,"12,186,858.15","6,587,834.21","2,480,314.92","6,073,813.69","2,434,037.56","3,946,536.86","5,105,145.77","6,942,345.18","2,736,684.83","4,725,853.49","5,984,289.08","7,523,126.50","4,135,342.03","5,108,661.98","6,561,933.52","10,981,945.38","1,637,382.91","10,093,603.25","11,951,456.44","19,590,579.42","2,357,318.01","14,867,789.44","17,932,133.58","28,315,100.36","4,050,570.23","6,139,828.07","8,113,363.31","15,742,557.90","2,409,482.33","7,058,348.36","9,508,007.89","16,515,326.60","3,936,075.06","4,817,275.80","9,881,921.26","9,845,854.08","6,521,021.76","7,351,978.42"
管理费用,"77,038,890.24","90,936,108.84","21,501,348.97","119,558,654.35","36,778,386.68","67,449,013.26","104,754,026.84","152,609,949.91","45,181,192.10","92,526,134.76","163,384,032.56","251,516,326.93","68,361,259.05","150,237,463.51","228,617,455.80","327,967,285.08","71,074,472.39","187,371,941.20","262,964,891.46","370,682,404.57","86,835,566.23","296,276,803.01","368,081,081.19","508,370,315.14","107,792,468.03","227,740,511.53","322,846,720.47","450,518,326.67","90,912,696.59","209,542,164.69","328,718,739.72","461,622,260.69","108,453,728.63","247,810,656.37","401,761,462.18","540,034,077.08","149,251,595.03","334,671,169.07"
其中:非流动资产处置净损失,"1,011,169.52",,,"675,250.01",,,"1,923.08","1,923.08",,,,"3,430.64",,,,"990,255.28","144,361.41","4,254,670.17",,"5,987,024.21",,"128,594.12","128,594.12","1,390,993.11",,,,"211,037.67",,"3,439,846.08",,"7,723,904.04",,"656,808.01","680,022.78",,,
