科目,2012-12-31,2013-12-31,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31
实收资本(或股本),"60,000,000.00","60,000,000.00","60,000,000.00","60,000,000.00","60,000,000.00","60,000,000.00","80,000,000.00","80,000,000.00","80,000,000.00","80,000,000.00","81,030,000.00","81,030,000.00","145,854,000.00","145,854,000.00","145,773,000.00"
油气资产,,,,,,,,,,,,,,,
资本公积,"39,038,735.88","39,038,735.88","39,038,735.88","39,038,735.88","39,038,735.88","39,038,735.88","198,612,935.88","198,612,935.88","198,612,935.88","198,612,935.88","243,186,035.88","245,558,760.88","183,107,485.88","185,480,210.88","182,984,151.05"
无形资产,"20,562,652.81","20,212,375.75","19,748,905.31","19,579,604.48","19,540,303.63","19,367,669.44","19,213,570.78","19,417,188.81","19,253,551.35","19,255,604.73","19,173,663.25","20,547,256.15","20,223,902.47","19,941,926.59","16,936,377.89"
盈余公积,"2,010,905.88","5,647,145.72","9,372,243.56","9,372,243.56","9,372,243.56","9,372,243.56","13,645,942.00","13,645,942.00","13,645,942.00","13,645,942.00","17,746,994.73","17,746,994.73","17,746,994.73","17,746,994.73","18,818,216.18"
开发支出,,,,,,,,,,"588,670.41","1,696,946.57","511,799.59","2,074,793.01","2,569,661.89","2,678,712.31"
减:库存股,,,,,,,,,,,"43,775,000.00","43,775,000.00","43,569,000.00","43,569,000.00","26,099,100.00"
商誉,,,,,,,,,,,,,,,
未分配利润,"13,598,152.88","46,324,311.46","72,350,192.05","68,790,849.24","81,201,290.66","91,100,654.27","103,313,477.97","109,680,006.84","98,075,006.28","106,445,844.04","116,250,393.89","114,470,855.59","93,755,346.09","95,658,162.57","109,699,717.66"
长期待摊费用,,,,,,,,,,,,,,,
少数股东权益,,,,,,,,,,,,,,,
递延所得税资产,"63,017.75","133,071.14","209,117.37","193,920.82","284,802.99","342,366.36","301,139.76","268,972.51","316,320.43","315,388.43","796,953.30","866,524.06","876,088.45","952,622.91","989,834.40"
外币报表折算价差,,,,,,,,,,,,,,,
其他非流动资产,,,,,,,,,,,,,,,
非正常经营项目收益调整,,,,,,,,,,,,,,,
非流动资产合计,"32,042,835.50","54,972,362.88","92,361,250.44","108,901,091.89","123,689,383.07","128,315,846.64","134,224,190.38","174,454,905.56","185,558,836.25","190,893,331.87","195,490,312.70","197,973,798.80","198,305,414.90","201,375,937.75","200,110,400.93"
所有者权益(或股东权益)合计,"114,647,794.64","151,010,193.06","180,761,171.49","177,201,828.68","189,612,270.10","199,511,633.71","395,572,355.85","401,938,884.72","390,333,884.16","398,704,721.92","414,438,424.50","415,031,611.20","396,894,826.70","401,170,368.18","431,175,984.89"
资产总计,"153,823,545.91","204,810,505.31","250,707,448.91","236,704,689.05","260,550,998.94","296,237,827.49","526,293,001.81","506,157,564.23","495,750,510.59","490,819,913.73","565,463,153.44","549,615,317.45","544,562,026.82","563,266,105.60","602,287,369.98"
负债和所有者(或股东权益)合计,"153,823,545.91","204,810,505.31","250,707,448.91","236,704,689.05","260,550,998.94","296,237,827.49","526,293,001.81","506,157,564.23","495,750,510.59","490,819,913.73","565,463,153.44","549,615,317.45","544,562,026.82","563,266,105.60","602,287,369.98"
