科目,2008年度,2009年度,2010年度,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月
销售商品、提供劳务收到的现金,"52,684,266.48","199,336,752.45","583,003,104.52","303,201,221.17","289,805,698.73","526,285,681.79","111,204,400.74","207,817,027.75","309,621,228.98","579,001,975.61","139,245,183.28","249,499,855.47","375,429,512.72","847,510,346.31","174,514,123.69","290,533,577.15","408,552,651.55","830,119,567.37","182,048,429.50","469,999,743.43","613,485,859.39","787,699,270.00","141,800,721.95","339,267,178.39","516,710,379.45","749,793,927.35","209,544,687.17","446,984,875.58","702,310,433.60","979,664,785.87","122,435,571.20","394,405,239.42"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,,,,,,,,,,,,,,,,"-51,234,329.88",,,"1,000,000.00",-157.66,,
收到的税费返还,,"83,602.25",,,"445,785.77",,,,"3,849,605.99","5,374,617.99","551,546.80","1,977,192.31","10,351,885.18","25,005,293.51","11,635,321.21","14,799,739.24","18,899,712.99","20,039,723.92","5,946,424.05","9,065,313.02","11,233,960.41","19,278,329.84","5,526,677.15","8,331,443.27","18,885,469.98","31,537,100.24","2,036,700.26","3,387,246.06","10,262,919.72","15,128,065.82","1,985,234.67","8,763,420.93"
支付其他与投资活动有关的现金,,,,,,,,"13,088,195.83","13,088,195.83",,,,,,,,,,,,,,,,,,"47,000,000.00",,"1,399.01",,,
收到其他与经营活动有关的现金,"13,548,052.91","7,866,747.02","1,580,477.38","13,034,596.01","4,964,765.59","12,209,348.35","15,883,940.47","6,206,251.05","59,088,427.04","27,486,166.54","6,970,721.03","4,617,831.56","10,774,301.16","27,035,545.68","5,692,037.12","14,817,512.31","12,275,822.06","25,109,109.83","13,469,141.50","29,286,265.00","34,520,342.10","20,246,238.18","4,200,641.27","20,611,414.10","26,494,241.08","37,280,774.93","18,825,636.41","69,750,898.59","30,563,345.01","83,734,589.71","4,127,791.61","33,002,547.14"
投资活动现金流出小计,"48,853,447.70","38,030,140.22","139,097,519.82","92,582,802.74","147,764,138.61","209,065,192.30","37,553,383.23","161,914,615.50","173,916,431.16","464,650,172.78","30,000,037.34","120,257,193.84","153,267,339.97","260,732,129.18","48,490,589.06","238,560,036.37","296,846,740.12","489,741,045.94","79,896,175.27","171,000,554.46","450,116,296.57","437,201,021.05","67,244,357.35","237,381,621.54","251,491,539.49","777,525,334.79","119,036,948.80","463,970,028.54","406,792,429.56","693,770,603.16","64,113,677.84","245,096,461.95"
经营活动现金流入小计,"66,232,319.39","207,287,101.72","584,583,581.90","316,235,817.18","295,216,250.09","538,495,030.14","127,088,341.21","214,023,278.80","372,559,262.01","611,862,760.14","146,767,451.11","256,094,879.34","396,555,699.06","899,551,185.50","191,841,482.02","320,150,828.70","439,728,186.60","875,268,401.12","201,463,995.05","508,351,321.45","659,240,161.90","827,223,838.02","151,528,040.37","368,210,035.76","562,090,090.51","818,611,802.52","230,407,023.84","520,123,020.23","743,136,698.33","1,078,527,441.40","128,548,597.48","436,171,207.49"
投资活动产生的现金流量净额,"-48,853,447.70","-38,030,140.22","-139,084,019.82","-92,582,802.74","-147,764,138.61","-207,145,192.30","-37,553,383.23","-161,914,615.50","-173,916,431.16","-463,045,467.65","-30,000,037.34","-112,058,459.89","-123,459,082.11","-96,315,462.52","-49,890,150.53","-232,875,946.37","-287,712,650.12","-475,271,591.96","71,432,324.73","-19,672,054.46","-294,407,796.57","-282,583,668.49","-67,009,358.35","-224,286,203.87","-236,104,640.49","-765,553,548.32","-71,694,151.43","-463,970,028.54","-403,658,019.71","-525,670,565.50","-64,113,677.84","-213,659,521.60"
购买商品、接受劳务支付的现金,"35,331,393.74","106,079,065.15","247,104,941.00","153,528,152.20","78,480,644.61","214,450,478.50","27,160,311.54","57,344,553.15","115,885,623.23","427,908,872.05","6,163,050.63","57,460,973.41","129,751,008.38","642,822,461.75","54,496,011.64","114,502,847.94","231,061,912.72","576,149,617.63","183,947,193.78","371,914,507.74","481,289,701.29","574,462,267.56","109,949,561.09","364,279,843.58","539,054,794.99","342,171,993.66","160,440,264.11","221,027,801.31","346,087,461.05","633,152,304.11","266,919,158.67","231,102,221.35"
吸收投资收到的现金,,,,,"1,474,400,000.00","1,468,680,000.00",,,,,,,,,,"-208,392.50",,,,,,,,,,,,,,,,
