科目,2007年1-3月,2007年1-6月,2007年1-9月,2007年度,2008年1-3月,2008年1-6月,2008年1-9月,2008年度,2009年1-3月,2009年1-6月,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2015年度
销售商品、提供劳务收到的现金,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
收到的税费返还,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
支付其他与投资活动有关的现金,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
收到其他与经营活动有关的现金,"214,590.29","662,002.93","930,002.93","1,075,009.72","190,717.66","412,238.70","605,238.70","741,341.16","147,685.00","292,370.25","467,058.91","689,638.91","79,801.35","225,089.35","385,473.82","407,194.02","212,481.00","394,065.00","520,167.98","338,583.98","198,837.30","334,939.99","334,939.99","816,868.52","201,835.00","201,839.64","201,839.64","207,901.47","210,472.00","123,582.67"
投资活动现金流出小计,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
经营活动现金流入小计,"214,590.29","662,002.93","930,002.93","1,075,009.72","190,717.66","412,238.70","605,238.70","741,341.16","147,685.00","292,370.25","467,058.91","689,638.91","79,801.35","225,089.35","385,473.82","407,194.02","212,481.00","394,065.00","520,167.98","338,583.98","198,837.30","334,939.99","334,939.99","816,868.52","201,835.00","201,839.64","201,839.64","207,901.47","210,472.00","123,582.67"
投资活动产生的现金流量净额,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
购买商品、接受劳务支付的现金,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
吸收投资收到的现金,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
支付给职工以及为职工支付的现金,"67,168.72","158,924.30","244,057.79","292,411.63","80,509.64","136,224.46","228,917.27","300,792.92","77,366.17","148,314.46","217,839.95","307,933.23","48,216.62","125,271.65","216,320.22","227,015.60","117,460.82","212,987.02","287,737.21","193,555.95","130,580.56","203,389.72","207,972.40","282,452.40","122,238.46","125,653.58","129,115.58","136,894.63","111,997.22","17,633.70"
取得借款收到的现金,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
