科目,2009年度,2010年度,2011年度,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月
一、营业收入,"868,476,075.80","1,251,366,882.15","1,418,920,672.04","606,180,220.48","936,383,094.38","1,230,485,104.43","285,511,226.13","592,263,573.92","907,017,836.54","1,207,385,292.37","271,899,014.62","583,361,110.09","916,143,192.25","1,216,256,762.64","255,080,891.00","485,933,734.84","714,117,419.18","950,913,681.04","206,249,432.02","434,303,040.20","664,447,946.07","909,889,780.26","250,928,813.24","517,653,449.04","817,085,068.63","1,237,094,651.51","373,499,165.74"
二、营业利润,"57,762,845.93","63,179,321.90","45,046,508.41","25,203,610.37","39,701,691.53","50,858,651.22","18,809,083.55","36,774,155.60","56,645,856.32","74,859,628.56","18,630,034.33","36,059,077.51","55,514,845.49","68,154,762.08","19,927,756.35","34,465,479.88","45,384,171.77","64,306,369.94","9,950,349.25","19,650,045.05","21,106,082.02","28,239,020.46","8,977,483.95","16,142,351.83","38,474,366.44","91,252,052.34","23,925,550.40"
减:营业成本,"768,262,166.50","1,134,304,240.16","1,320,226,201.68","553,399,298.80","854,769,687.14","1,121,827,354.83","256,526,801.64","532,768,517.46","815,222,674.99","1,085,856,225.75","244,053,918.07","526,107,068.95","825,764,822.86","1,102,791,865.37","223,276,619.26","425,739,820.24","631,682,066.02","834,090,453.25","182,756,412.12","385,535,377.78","590,556,940.63","804,881,646.47","221,468,385.12","460,646,018.92","714,183,726.88","1,052,300,169.88","323,731,167.57"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"16,397.98","316,169.11","3,023,269.88","681,327.96","1,417,094.62","2,146,381.55","163,673.08","888,734.01","1,530,303.34","2,158,411.03","219,919.02","1,173,361.67","1,700,021.73","2,304,863.49","559,532.75","1,850,714.59","2,460,977.95","3,500,258.23","588,563.65","1,187,771.95","1,519,664.71","3,349,682.82","544,471.45","1,368,532.69","2,823,534.51","4,740,010.27","381,269.02"
营业外收入,"4,684,759.87","5,534,376.56","2,699,593.63","563,755.87","2,587,624.87","3,611,943.39","88,976.00","525,655.45","584,355.45","2,933,681.44",,"1,700,500.00","2,750,500.00","3,072,500.00","29,900.00","36,800.00","1,057,075.00","5,395,175.00",,"160,260.97","1,366,823.50","1,773,729.50","2,432,600.00","4,430,841.68","5,043,555.18","269,655.18","46,500.00"
销售费用,"24,798,821.84","26,892,230.13","29,604,943.62","14,143,566.05","22,271,618.19","30,592,601.05","7,258,161.98","14,931,216.31","22,994,551.86","28,230,949.75","6,704,304.30","14,364,218.64","23,412,478.79","29,510,821.31","5,697,562.93","12,379,354.27","19,298,767.64","25,667,167.99","6,560,155.82","14,404,377.75","21,306,545.85","30,727,994.50","8,464,810.63","16,395,845.34","25,354,645.13","38,117,604.45","7,841,124.13"
减:营业外支出,"308,118.40","3,930.18","54,558.72","15,653.02","401,643.55","532,082.47","15,569.87","15,569.87","15,569.87","33,661.64","2,000.00",,"10,000.00","22,000.00","22,169.04","252,169.04","540,238.16","540,238.16","47,590.10","47,590.10","47,590.10","47,590.10",,135.04,135.04,"499,697.04","126,930.00"
管理费用,"19,145,113.65","28,059,516.19","24,755,215.24","12,233,483.29","21,531,374.02","31,651,974.67","10,206,752.39","21,113,924.76","30,865,180.46","41,404,952.82","8,345,065.98","18,254,780.41","27,947,174.37","37,738,490.00","9,448,070.30","19,390,615.67","25,066,962.07","37,220,680.72","10,671,207.87","21,277,010.34","41,191,975.56","59,601,914.42","13,046,416.00","26,890,543.62","41,304,338.31","62,274,189.94","16,596,083.15"
其中:非流动资产处置净损失,"287,784.45","1,130.00","14,558.72","15,653.02","15,653.02","15,653.02",,,,,,,,,"22,169.04","22,169.04","310,081.04","310,081.04","47,590.10","47,590.10","47,590.10","47,590.10",,,135.04,,
堪探费用,,,,,,,,,,,,,,,,,,,,,,,,,,,
加:影响利润总额的其他科目,,,,,,,,,,,,,,,,,,,,,,,,,,,
财务费用,"-637,693.92","-2,358,578.64","-3,997,169.69","-410,391.11","-3,205,056.51","-8,936,431.71","-5,292,086.19","-12,106,986.42","-17,903,835.60","-9,073,461.39","144,647.06","-70,747.64","-252,254.57","-1,019,302.77","70,801.51","-1,745,531.27","-2,265,363.64","-6,710,206.34","-4,242,659.47","-8,091,358.64","-11,587,813.96","-14,925,363.77","-1,925,897.14","-3,594,102.95","-4,706,341.68","-5,040,637.16","174,230.19"
三、利润总额,"62,139,487.40","68,709,768.28","47,691,543.32","25,751,713.22","41,887,672.85","53,938,512.14","18,882,489.68","37,284,241.18","57,214,641.90","77,759,648.36","18,628,034.33","37,759,577.51","58,255,345.49","71,205,262.08","19,935,487.31","34,250,110.84","45,901,008.61","69,161,306.78","9,902,759.15","19,762,715.92","22,425,315.42","29,965,159.86","11,410,083.95","20,573,058.47","43,517,786.58","91,022,010.48","23,845,120.40"
