科目,2007-12-31,2008-12-31,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31
货币资金,"48,923,464.55","39,956,531.73","59,617,395.35","64,180,688.90","617,395,674.44","551,706,067.56","538,894,357.90","292,490,257.59","217,612,052.56","308,519,778.70","532,387,224.94","500,354,018.33","571,309,763.61","353,238,923.92","524,804,150.17","409,760,573.39","194,803,020.86","512,291,059.61","463,384,407.17","582,477,225.25","849,476,550.96","881,667,564.48","962,731,026.48","499,249,559.88","998,919,967.40","878,401,977.57","3,896,214,904.32","2,108,705,787.57","1,707,311,167.67","1,395,398,605.87","2,089,370,082.84","2,680,929,216.64","1,868,147,477.49","1,364,687,433.41","1,542,753,854.15","832,054,491.13","355,463,408.75","361,306,792.14","96,128,677.52","85,866,270.90"
短期借款,"16,500,000.00","50,400,000.00","118,900,000.00","156,600,000.00","236,100,000.00","271,000,000.00","348,900,000.00","273,900,000.00","272,000,000.00","225,300,000.00","288,150,000.00","313,610,000.00","468,180,000.00","505,980,000.00","852,552,168.19","841,952,168.19","602,500,000.00","940,345,560.00","892,345,560.00","912,170,000.00","1,002,170,000.00","1,064,350,000.00","767,500,000.00","897,330,000.00","1,239,900,000.00","1,234,000,000.00","1,581,790,000.00","1,487,690,000.00","1,300,360,000.00","1,929,160,000.00","1,199,775,000.00","1,660,765,000.00","1,432,425,000.00","1,338,425,000.00","1,555,430,000.00","2,217,715,681.39","1,777,478,545.44","1,759,730,180.06","1,254,694,628.78","1,254,694,628.78"
交易性金融资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
交易性金融负债,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应收票据,,,"6,235,822.00","340,000.00","8,534,815.00","13,521,815.00","10,265,015.00","21,735,492.10","22,627,629.04","32,874,477.09","50,436,317.52","48,157,836.64","3,912,596.36","47,609,695.25","9,685,929.40","25,473,283.79","30,743,343.41","11,730,862.70","46,913,945.80","20,091,600.00","16,067,525.00","9,895,090.00","11,898,249.50","6,670,000.00","16,550,568.90","14,056,953.00","22,334,861.70","76,952,898.36","64,079,983.93","71,451,418.80","50,817,849.05","48,432,493.15","78,254,570.91","50,596,639.93","10,874,025.42","12,423,075.40","790,000.00","1,535,000.00","9,037,358.18","5,382,200.78"
应付票据,"30,323,100.40","39,226,475.35","32,841,880.20","41,995,193.59","53,013,048.34","50,026,684.43","52,407,679.48","54,391,666.31","34,967,476.72","238,429,604.30","413,172,504.30","316,270,000.00","390,670,000.00","381,985,000.00","76,315,000.00","155,000,000.00","84,559,382.00","272,738,482.00","176,464,090.10","306,784,990.10","476,800,630.00","429,377,905.00","369,603,066.00","420,229,696.00","636,094,090.00","618,733,624.00","463,415,865.20","471,788,206.20","316,249,305.40","306,093,268.80","309,453,096.80","296,168,427.00","350,362,589.60","296,407,259.60","289,127,200.00","319,427,896.30","242,630,467.80",,,
应收账款,"57,660,239.82","81,391,255.07","115,862,748.59","128,526,196.48","166,580,751.50","179,433,062.01","175,204,283.47","225,107,691.18","267,887,259.50","267,753,210.06","296,781,815.48","295,433,615.04","305,857,638.88","335,132,341.57","381,796,627.26","479,674,556.10","508,916,289.01","833,745,114.48","890,599,753.69","919,576,378.29","1,004,947,175.39","910,478,174.36","890,300,103.91","995,164,160.40","1,028,295,600.87","944,056,744.12","1,038,365,164.22","987,644,937.24","1,060,211,579.25","1,083,621,931.73","996,397,749.08","992,443,544.03","976,879,043.86","942,153,850.14","1,339,279,128.60","1,145,316,650.56","1,172,959,517.79","1,372,660,020.58","1,038,295,684.94","1,111,122,800.88"
应付账款,"15,601,451.80","40,447,723.27","43,456,891.44","50,602,739.56","44,915,361.06","47,940,448.24","68,297,317.10","105,623,989.92","110,485,757.27","11,869,219.75","136,421,230.40","159,167,299.63","132,687,954.79","206,446,523.66","201,318,878.74","209,140,172.35","129,796,481.65","334,869,697.19","283,040,988.46","250,874,350.64","340,917,916.78","408,136,886.97","346,489,791.07","357,066,445.98","378,658,814.77","292,442,681.46","316,225,036.58","84,278,159.23","263,992,206.60","332,557,780.22","291,922,540.98","335,487,926.83","216,087,499.07","250,425,484.50","504,925,953.63","454,968,933.83","550,950,475.37",,"537,624,306.99",
预付款项,"26,375,984.77","81,076,507.57","38,776,115.57","49,437,417.58","40,819,934.60","50,084,409.64","46,292,797.04","61,417,581.25","63,248,573.20","67,149,209.23","76,619,934.17","87,273,775.45","75,202,276.23","111,072,172.12","124,968,881.55","125,623,607.48","109,259,729.66","268,778,549.84","149,400,061.09","245,392,376.25","331,431,910.56","181,474,835.10","265,559,576.26","258,717,701.08","119,184,357.00","273,628,142.11","145,169,100.13","658,719,746.41","303,050,866.78","733,008,178.46","147,542,700.97","140,152,880.47","201,464,572.58","311,761,092.16","213,353,403.22","290,694,677.91","434,021,564.47","434,021,564.47","146,485,101.04","163,869,894.56"
预收款项,"51,403,193.81","32,251,715.10","45,577,800.59","46,729,167.69","40,429,994.59","42,690,462.54","63,973,640.19","53,688,537.95","52,869,757.20","45,339,823.03","92,964,671.14","117,546,538.93","89,842,402.24","96,644,539.07","39,118,850.43","48,554,251.43","34,511,890.59","83,384,844.34","58,241,044.94","66,554,756.41","75,583,485.48","95,879,644.35","84,489,903.25","71,349,018.60","92,956,840.02","66,733,627.51","49,536,592.75","88,924,898.65","27,392,840.98","18,021,578.26","52,883,271.85","48,594,302.64","33,595,848.93","33,191,772.19","79,629,073.51","42,136,934.70","67,074,466.15","86,522,633.26","229,491,723.76","262,424,850.27"
