科目,2007年度,2008年度,2009年1-6月,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月
一、营业收入,"590,236,990.59","680,763,750.53","323,155,042.14","522,453,685.53","791,785,397.63","253,170,727.09","453,223,021.43","698,071,299.28","1,067,301,429.12","332,888,930.77","607,588,062.33","944,792,894.37","1,453,420,015.48","404,312,414.00","758,478,132.33","1,192,443,012.94","1,776,970,381.24","439,128,345.20","820,683,087.59","1,255,433,504.79","1,863,895,419.51","452,252,432.14","853,989,106.69","1,299,438,859.97","1,969,766,903.82","462,472,843.77","862,619,894.12","1,298,349,056.04","2,092,608,347.29","431,129,453.88","881,149,327.19","1,347,750,467.00","2,311,575,474.59","431,372,254.86","961,289,995.45","1,538,538,792.47","2,616,208,430.02","552,332,735.11"
二、营业利润,"63,097,712.41","80,593,109.25","41,426,767.54","59,692,240.78","101,091,544.09","46,308,195.48","61,463,378.36","89,006,257.23","161,485,731.48","77,172,329.79","111,618,869.93","166,489,642.10","267,321,947.29","102,073,607.86","143,131,911.80","214,166,578.14","349,754,660.58","116,491,711.75","179,537,448.29","261,889,292.13","411,194,918.41","131,522,804.82","203,204,826.44","315,951,684.44","485,223,409.66","129,752,294.33","230,715,969.67","310,775,948.61","480,880,822.74","112,167,759.42","209,927,036.54","302,140,673.26","536,634,814.87","100,731,276.18","192,491,210.95","296,895,431.10","585,629,149.56","115,343,414.72"
减:营业成本,"369,113,439.10","374,453,565.64","184,462,048.92","299,938,501.99","451,407,014.27","135,032,498.55","242,880,521.10","378,433,980.73","575,141,161.90","167,922,259.99","313,039,939.77","493,964,080.82","769,766,859.11","203,424,582.31","404,692,572.98","628,905,491.99","916,028,982.90","210,348,888.36","394,895,420.14","615,070,206.82","906,310,286.91","213,115,587.27","409,625,571.42","630,604,450.87","958,861,199.09","225,173,357.06","413,716,380.67","632,417,690.95","1,024,309,455.52","211,828,510.17","429,896,966.41","663,671,186.95","1,150,345,166.79","214,613,391.94","478,577,159.86","776,346,533.23","1,319,117,997.23","271,018,096.26"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"2,084,069.41","1,719,118.97","1,466,128.77","2,289,413.95","3,304,954.88","1,056,150.07","1,605,209.89","2,322,781.28","3,688,998.49","3,615,504.33","6,294,704.73","9,153,135.79","12,991,253.61","4,382,780.85","7,466,106.87","12,722,992.02","19,667,899.76","3,729,155.70","6,679,147.66","11,744,559.66","18,195,491.25","5,423,434.33","9,938,723.77","14,699,028.92","22,426,295.60","4,155,859.83","7,217,936.29","12,180,329.45","23,120,160.40","4,118,994.37","9,016,859.15","12,050,446.67","20,735,441.37","4,513,846.19","11,347,896.02","19,050,964.63","33,667,441.37","6,696,597.76"
营业外收入,"396,664.40","1,128,046.01","1,946,541.69","4,758,810.36","8,272,138.22","210,059.76","1,001,505.75","1,445,626.22","2,221,330.57","344,026.57","1,333,653.25","2,469,008.82","6,249,088.49","658,872.21","3,118,160.27","3,741,749.08","4,111,302.03","537,237.84","1,755,012.76","19,075,853.26","12,007,156.50","1,674,411.42","3,837,072.80","4,216,173.04","6,988,516.88","580,961.70","3,521,147.14","9,835,662.69","10,985,113.36","1,469,477.36","7,372,286.53","9,604,665.70","23,511,269.73","1,617,985.55","11,199,900.99","11,993,209.51","17,393,695.78","2,353,738.40"
销售费用,"120,843,376.58","171,925,727.18","79,110,212.66","132,282,338.70","188,788,629.54","57,242,289.61","117,079,673.52","181,510,605.61","268,082,494.10","74,504,371.73","150,712,282.50","233,425,011.93","340,169,012.06","78,539,793.73","170,618,393.31","283,123,524.36","413,803,577.66","85,078,338.65","195,111,798.64","301,442,808.35","439,227,146.56","88,016,176.33","195,834,542.71","284,599,632.86","442,693,447.53","96,178,218.68","194,756,674.35","312,344,719.72","491,041,931.38","97,758,947.70","213,710,690.20","335,317,136.74","536,781,289.70","112,944,965.21","255,118,134.43","393,266,623.56","581,949,650.57","143,830,008.46"
减:营业外支出,"402,749.50","2,531,488.64","304,511.99","690,559.06","866,701.53","208,272.58","1,212,373.36","2,242,411.84","2,486,887.35","182,100.56","798,207.09","847,798.64","1,334,617.55","151,421.28","419,360.91","636,941.53","1,016,449.40","27,986.38","71,429.77","148,509.92","695,051.09","16,261.76","78,699.49","643,968.64","1,640,531.62","143,984.23","335,555.93","468,660.45","586,935.01","64,462.79","2,035,442.07","2,502,530.23","3,193,141.88","752,019.38","1,193,599.65","1,270,702.56","2,064,317.66","25,667.64"
管理费用,"28,827,438.10","44,352,647.75","14,667,022.72","25,751,927.52","44,445,569.06","13,448,068.67","30,587,505.18","46,381,059.09","66,102,719.81","10,264,823.18","28,603,162.87","47,665,010.13","67,153,285.50","15,883,026.97","34,971,674.07","55,783,278.27","82,408,828.53","23,641,232.19","49,133,728.54","73,499,285.28","102,620,474.59","15,198,942.51","41,594,882.10","65,338,429.77","79,730,769.57","16,334,024.81","39,330,804.80","63,348,789.40","94,899,743.44","17,943,622.51","37,061,621.44","59,431,122.41","80,658,096.33","19,947,799.87","43,270,541.90","82,016,754.30","126,559,110.14","29,321,470.00"
其中:非流动资产处置净损失,"7,853.85",,,,"51,398.20",,,,"195,899.70",,,,"147,641.50",,,"-50,843.41","213,608.53",,,,"287,296.02",,,"490,715.19","633,351.88","133,092.88","133,092.88","167,173.09","55,295.54","24,693.59","84,351.17","89,275.86","305,878.72",,,,,
