科目,2009年度,2010年度,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月,2018年1-9月,2018年度,2019年1-3月
销售商品、提供劳务收到的现金,"380,088,714.86","479,955,140.66","673,501,724.04","129,107,670.22","265,407,159.10","420,465,841.08","666,795,905.87","162,106,530.55","328,610,341.70","484,605,291.08","750,220,060.37","112,831,855.11","270,555,205.98","414,963,955.61","753,783,691.94","162,173,824.94","211,593,026.86","380,548,473.78","741,434,646.45","133,468,457.64","279,196,938.41","476,317,423.83","753,316,101.70","133,878,743.93","289,684,468.72","480,138,107.17","828,631,040.32","153,008,355.24","349,039,198.85","607,153,822.67","1,078,072,768.29","202,883,618.80"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,,,,,"36,027,806.05",,,"4,000,000.00",,,,,,,,,,,,,,
收到的税费返还,,,,,,,"663,948.46",,,,"2,459,087.76","2,233,840.60","2,233,840.60","2,233,840.60","1,286,387.00",,,,,,,,,,,,,,,,"129,011.36",
支付其他与投资活动有关的现金,"2,800,000.00","2,725,000.00","2,045,000.00","4,395,000.00","1,940,000.00","1,685,000.00",,,,,,,,,,,,,,,,,,,,,"75,409,387.75","1,054,067.40","1,076,146.20","2,171,266.20","1,095,120.00","477,355.85"
收到其他与经营活动有关的现金,"16,778,704.03","12,875,562.02","19,249,296.74","11,435,773.41","41,211,132.75","17,297,317.36","11,893,466.43","11,319,454.33","13,559,695.26","16,250,511.47","18,503,160.82","5,660,236.26","13,465,005.32","15,271,447.24","22,145,835.49","6,344,339.65","11,127,668.02","21,613,301.73","23,495,994.71","3,315,231.98","9,227,309.59","11,065,411.78","27,446,459.82","13,820,605.57","21,013,080.05","23,078,697.88","26,418,554.87","15,205,346.45","14,492,952.51","21,776,498.05","24,495,429.20","9,381,239.23"
投资活动现金流出小计,"14,603,538.67","53,064,527.68","106,382,640.22","31,231,882.46","56,899,502.42","76,587,361.60","188,366,272.37","85,859,413.00","90,327,686.22","102,404,109.82","118,673,476.94","3,895,151.65","11,896,445.99","25,652,433.95","88,014,511.40","8,961,736.87","19,268,424.05","25,347,779.90","68,884,150.56","39,957,628.03","46,499,309.55","55,682,485.68","75,486,693.23","13,635,466.49","41,919,608.72","58,782,908.10","218,955,747.65","29,183,445.93","31,863,925.63","101,874,053.79","126,630,996.61","32,032,314.51"
经营活动现金流入小计,"396,867,418.89","492,830,702.68","692,751,020.78","140,543,443.63","306,618,291.85","437,763,158.44","679,353,320.76","173,425,984.88","342,170,036.96","500,855,802.55","771,182,308.95","120,725,931.97","286,254,051.90","432,469,243.45","777,215,914.43","168,518,164.59","222,720,694.88","402,161,775.51","764,930,641.16","136,783,689.62","288,424,248.00","487,382,835.61","780,762,561.52","147,699,349.50","310,697,548.77","503,216,805.05","855,049,595.19","168,213,701.69","363,532,151.36","628,930,320.72","1,102,697,208.85","212,264,858.03"
投资活动产生的现金流量净额,"-11,898,538.67","-49,838,527.68","-103,064,851.19","-29,179,882.46","-50,931,233.12","-70,563,294.82","-184,247,086.61","-85,845,665.10","-90,284,265.50","-102,360,689.10","-118,624,141.69","-3,895,151.65","-11,287,792.19","-24,870,935.48","-84,070,391.00","1,036,235.78","-9,266,623.20","-15,344,005.89","-27,182,433.85","-29,922,580.23","-35,737,230.29","-44,578,726.96","-43,055,582.64","-3,909,341.53","-7,163,478.69","-18,683,885.04","-80,479,709.61","40,769,066.13","50,449,018.96","41,961,633.60","31,464,022.15","-16,786,604.82"
购买商品、接受劳务支付的现金,"199,087,123.14","204,588,602.59","298,955,793.36","81,321,611.99","152,457,338.83","211,392,393.37","274,518,271.50","68,991,869.67","138,310,342.23","194,870,399.83","258,692,843.70","71,316,582.12","142,873,847.93","235,736,598.11","316,691,202.01","115,159,539.90","119,067,751.58","226,892,983.68","275,542,136.34","83,092,394.95","188,640,309.91","242,171,934.82","244,852,194.26","84,750,502.77","164,561,617.45","245,783,102.26","277,549,972.97","113,101,692.14","257,582,811.90","370,286,812.02","459,655,880.30","143,981,675.29"
吸收投资收到的现金,"120,556,800.00",,,,,"542,067,898.00","534,286,828.00",,,,,,,,"490,000.00",,"7,960,000.00","9,260,000.00","33,000,000.00","550,000.00","10,425,000.00","7,125,000.00","14,190,000.00",,,"3,700,000.00","3,700,000.00",,,,,
