科目,2012-12-31,2013-12-31,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31
货币资金,"500,538,426.41","418,830,707.84","774,718,188.26",,"1,834,767,440.55","1,667,758,642.23","1,286,790,596.46","1,521,113,619.60","4,021,620,189.33","2,376,397,290.79","1,688,804,237.44","2,362,550,169.31","2,499,600,225.76","2,717,135,982.19","2,102,966,964.94","2,151,683,653.54","1,044,185,011.07","3,266,980,959.56","1,824,575,345.69","2,497,784,768.18"
短期借款,"929,477,330.06","462,768,725.80","1,433,177,732.19",,"2,348,568,580.31","2,678,072,875.55","3,185,838,108.38","3,776,325,796.92","3,619,599,633.12","2,335,056,209.45","2,761,817,422.99","3,304,743,544.23","3,465,102,620.87","3,247,267,354.10","2,490,075,405.63","2,588,111,189.79","2,705,899,573.01","3,802,970,037.40","4,586,475,636.69","5,067,463,660.00"
交易性金融资产,,,,,,,,,,,,,,,,,,,"35,360,259.90","179,879,199.08"
交易性金融负债,,,,,,,,,,,,,,,,,,,,
应收票据,,,"2,900,000.00",,,,,,,,,,,,,,,,"7,771,260.21","7,771,260.21"
应付票据,"21,271,708.39",,"50,840,981.66",,"13,264,481.53","41,108,697.17","64,649,400.27","51,703,468.21","32,144,149.83","49,380,864.92","109,625,137.72","104,313,946.29","66,172,084.33","75,508,868.68","60,581,983.10","12,969,643.47","31,684,295.56",,"107,441,135.15",
应收账款,"101,362,149.21","164,159,337.87","126,710,750.48",,"191,273,641.08","148,864,654.34","223,517,639.30","187,124,927.90","210,729,643.09","155,950,262.21","223,856,833.90","195,911,260.05","253,255,728.78","227,837,933.00","258,418,619.57","266,449,763.61","338,601,144.09","304,223,716.69","368,287,055.08","327,587,645.35"
应付账款,"303,152,949.53","481,767,474.14","490,267,603.69",,"567,516,537.87","611,701,184.96","506,345,060.95","573,554,256.21","755,250,167.74","836,916,921.85","791,542,819.94","859,211,886.83","934,914,946.62","979,481,503.83","945,992,956.24","966,133,919.68","1,051,768,738.17",,"1,083,128,011.82",
预付款项,"45,087,613.25","40,807,333.89","75,330,141.34",,"78,011,033.14","105,767,652.77","93,834,355.41","124,124,121.82","427,916,847.86","250,471,600.20","223,878,031.96","325,452,079.78","317,923,823.73","364,423,216.48","247,318,932.08","365,590,392.70","509,642,306.07","644,850,007.38","524,936,135.84","537,423,754.31"
预收款项,"199,399,808.39","352,035,681.85","361,142,065.37",,"342,820,018.75","397,758,039.74","638,420,833.29","404,125,220.50","483,026,266.92","462,515,025.79","687,451,527.79","436,361,931.18","630,969,942.92","608,530,742.10","601,522,101.98","466,842,308.89","643,071,772.41","592,453,387.75","756,122,843.99","444,810,741.29"
其他应收款,"657,096,398.23","584,729,855.01","837,280,391.72",,"886,977,296.87","943,572,347.89","1,066,856,303.60","865,698,457.46","1,458,190,082.44","1,188,545,751.17","1,095,795,180.35","1,493,068,762.36","1,280,818,105.80","1,669,710,727.02","1,055,901,787.30","1,244,547,070.03","1,072,902,937.67","2,407,081,005.72","2,029,732,021.09","1,600,646,814.26"
应付职工薪酬,"48,564,522.73","64,893,704.75","106,770,763.35",,"61,545,633.71","75,651,812.53","132,355,826.52","78,465,067.15","77,643,656.10","98,293,083.05","180,845,288.67","98,987,859.82","107,472,621.75","119,886,268.15","225,211,783.62","125,794,183.89","136,865,948.11","157,279,201.48","252,066,622.96","153,741,784.35"
应收关联公司款,,,,,,,,,,,,,,,,,,,,
应交税费,"125,043,648.71","123,091,476.26","189,460,733.87",,"307,101,460.66","239,123,277.35","302,595,953.96","367,375,283.38","186,875,296.15","289,109,002.98","352,668,400.52","458,866,904.05","322,087,993.73","532,357,309.72","529,059,403.94","705,066,607.03","291,292,268.03","500,875,044.44","452,383,858.16","356,297,332.09"
应收利息,,,,,,,"738,888.89","1,388,191.93",,"861,242.15","770,483.01","739,036.49","665,132.85","1,435,510.91","120,018.11","109,482.39",,,,
应付利息,"14,438,113.08","9,250,022.13","7,775,422.52",,"7,158,350.17","16,470,579.97","21,824,748.87","16,546,844.22","16,538,883.84","15,786,326.21","11,069,111.63","16,248,710.60","12,626,145.05","15,161,211.99","14,748,041.03","13,084,392.84","13,924,513.05","22,308,395.97","25,877,013.60","33,633,398.19"
应收股利,,,,,,,,,,,,,,,,,,,,
应付股利,,,,,,,,,,"320,895,263.75",,,,,,,,,"3,128,654.69",
存货,"26,318,910.28","32,461,859.23","36,481,933.85",,"37,434,525.03","45,492,645.98","44,316,133.39","49,929,335.35","61,317,802.50","68,585,270.37","67,662,818.01","70,016,237.64","72,857,413.12","85,335,991.77","89,753,755.14","99,631,405.02","106,353,230.85","136,165,790.90","144,213,406.83","148,155,027.21"
其他应付款,"60,507,995.94","73,658,586.62","113,315,482.44",,"120,386,551.39","148,937,171.74","201,071,347.29","180,997,654.67","230,019,357.73","208,920,022.45","159,942,245.47","165,470,238.76","173,179,293.55","197,383,443.76","234,147,738.92","241,525,317.96","285,403,950.00","272,946,097.17","315,902,290.77","378,509,673.28"
其中:消耗性生物资产,,,,,,,,,,,,,,,,,,,,
应付关联公司款,,,,,,,,,,,,,,,,,,,,
一年内到期的非流动资产,"28,309.34","28,430.28","1,222,731.94",,"1,222,731.94","1,222,731.94","11,222,731.94","1,087,651.44","146,087,651.44","216,087,651.45","371,087,651.44","270,028,430.28","270,028,430.28","270,028,430.28","4,186,620.28","4,186,620.28","28,430.28","28,430.28","28,430.28","28,430.28"
一年内到期的非流动负债,"70,883,418.48","21,446,281.87","137,013,558.67",,"274,185,151.85","645,370,537.81","1,223,092,137.10","1,452,160,224.05","1,832,639,576.00","1,214,746,545.10","1,025,981,212.13","459,762,820.42","509,816,372.61","502,540,614.42","581,105,332.28","693,263,744.75","772,967,250.47","863,785,376.62","1,041,320,969.31","970,158,977.03"
其他流动资产,"97,208,702.15","88,964,524.00","71,653,543.74",,"26,008,400.95","47,339,160.64","54,128,944.44","100,634,960.83","88,041,214.90","57,724,568.67","101,237,784.08","112,739,568.47","92,063,290.32","195,530,991.53","214,266,955.88","120,466,461.08","205,147,321.63","164,530,246.63","382,999,506.28","442,624,058.50"
其他流动负债,,,,,,,,,,,,,,,,,,,,
流动资产合计,"1,427,640,508.87","1,329,982,048.12","1,926,297,681.33",,"3,055,695,069.56","2,960,017,835.79","2,781,405,593.43","2,851,101,266.33","6,413,903,431.56","4,314,623,637.01","3,773,093,020.19","4,830,505,544.38","4,787,212,150.64","5,531,438,783.18","3,972,933,653.30","4,252,664,848.65","7,821,833,610.42","6,923,860,157.16","5,317,903,421.20","5,741,900,957.38"
流动负债合计,"1,772,739,495.31","1,588,911,953.42","2,889,764,343.76",,"4,042,546,766.24","4,854,194,176.82","6,276,193,416.63","6,901,253,815.31","7,233,736,987.43","5,831,619,265.55","6,080,943,166.86","5,903,967,842.18","6,222,342,021.43","6,278,117,316.75","5,682,444,746.74","5,812,791,308.30","9,442,606,847.48","7,393,742,514.97","8,594,841,368.85","8,535,969,346.43"
可供出售金融资产,,,,,,,,"90,000,000.00","90,000,000.00","90,000,000.00","92,544,000.00","93,267,067.20","93,235,608.72","99,900,663.15","146,875,316.40","144,805,500.00","143,722,332.00","140,579,526.00","135,842,784.00",
长期借款,"2,000,896,338.09","2,321,840,079.64","2,255,292,929.95",,"3,045,376,054.26","2,534,069,294.34","2,981,280,892.65","2,886,571,260.47","3,265,128,329.16","3,051,438,799.47","2,918,518,634.55","4,147,877,286.83","5,327,968,357.55","5,741,343,473.12","4,996,469,051.64","5,158,456,819.81","1,479,303,971.80","1,472,690,438.42","2,022,883,932.61","3,600,905,877.08"
持有至到期投资,,,,,,,,,,,,,,,,,,,,
应付债券,,,,,,,,,,,,,,,,,,,,
长期应收款,,,,,,,"9,485,239.82","8,405,621.30","7,193,427.21","2,667,684.08","4,584,599.34","4,516,889.25","4,999,590.49","21,641,346.83","18,111,673.49","17,552,454.73","6,453,053.83","7,377,297.64","8,200,531.11","8,423,800.87"
长期应付款,"1,010,407,425.24","721,511,707.15","655,796,925.65",,"622,153,162.13","755,330,937.94","679,144,125.83","762,962,952.72","783,541,713.21","853,394,052.48","614,990,472.79","670,583,913.72","824,063,763.53","842,706,829.39","767,594,044.43","639,816,675.02","737,572,274.00","1,147,094,998.20","1,114,230,326.08","1,086,367,105.40"
长期股权投资,,,,,,,,,,,,,,,,,,,,
专项应付款,,,,,,,,,,,,,,,,,,,,
投资性房地产,,,,,,,,,,,,,,,,,,,,
预计负债,,,"5,000,000.00",,,,,,,,,,,,,,,,,
固定资产,"3,840,384,736.66","4,337,058,271.53","4,063,506,619.48",,"4,296,837,779.82","4,234,700,048.81","5,392,347,754.55","5,639,564,534.31","6,970,173,017.19","7,889,948,242.77","7,842,910,493.19","10,510,018,197.94","10,651,533,337.41","11,451,149,004.56","11,238,607,916.00","11,096,732,174.83","7,216,564,924.66","7,199,352,312.18","9,835,221,995.33","10,728,594,595.58"
递延所得税负债,,,,,,,,,,,,,,,,,,,,"2,872,974.90"
在建工程,"494,606,940.55","139,608,578.47","1,439,902,559.08",,"3,159,145,836.91","4,179,975,753.30","4,369,194,914.30","5,019,438,752.40","4,565,761,798.13","4,395,186,983.23","4,975,676,763.14","2,790,977,660.57","4,157,900,169.80","3,710,565,853.43","4,023,377,619.50","4,463,778,309.28","4,632,162,349.60","4,690,986,025.10","5,063,748,230.16","5,744,704,788.34"
其他非流动负债,"30,284,096.00","24,440,359.00","7,208,980.00",,,,,"5,108,026.00",,,,"14,559,681.50",,"19,676,926.32",,,,"58,126,410.06","111,146,948.55","140,887,157.37"
工程物资,,,,,,,,,,,,,,,,,,,,
非流动负债合计,"3,041,587,859.33","3,067,792,145.79","2,923,298,835.60",,"3,673,620,321.39","3,295,857,585.28","3,665,168,750.36","3,654,642,239.19","4,054,633,397.37","3,910,854,401.95","3,541,428,718.34","4,837,800,755.05","6,155,952,493.08","6,608,733,671.83","5,770,989,374.07","5,807,728,538.83","2,229,470,388.80","2,693,184,131.05","3,259,820,933.54","4,839,632,832.65"
固定资产清理,,,,,,,,,,,,,,,,,,,,
负债合计,"4,814,327,354.64","4,656,704,099.21","5,813,063,179.36",,"7,716,167,087.63","8,150,051,762.10","9,941,362,166.99","10,555,896,054.50","11,288,370,384.80","9,742,473,667.50","9,622,371,885.20","10,741,768,597.23","12,378,294,514.51","12,886,850,988.58","11,453,434,120.81","11,620,519,847.13","11,672,077,236.28","10,086,926,646.02","11,854,662,302.39","13,375,602,179.08"
生产性生物资产,,,,,,,,,,,,,,,,,,,,
