科目,2007年1-3月,2007年1-6月,2007年1-9月,2007年度,2008年1-3月,2008年1-6月,2008年1-9月,2008年度,2009年1-3月,2009年1-6月,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月
销售商品、提供劳务收到的现金,"111,358,276.65","227,788,449.61","333,592,195.06","527,359,154.28","154,520,119.05","350,118,428.48","571,607,404.76","799,868,473.18","178,088,079.49","485,174,394.56","714,115,714.12","1,015,707,758.53","301,809,911.53","604,274,462.46","899,816,000.00","1,236,748,572.41","221,342,885.01","626,200,719.75","962,805,647.72","1,350,433,860.41","283,560,451.88","629,664,394.32","938,791,748.28","1,334,456,139.33","260,321,263.14","593,600,264.27","1,049,030,171.31","1,535,252,741.90","399,775,467.10","741,238,298.69","1,172,680,766.86","1,210,915,237.36","223,529,817.39","529,176,318.16","810,318,080.72","1,054,576,349.21","208,025,057.37","365,624,530.49","599,462,290.65","777,207,273.23","248,634,484.27","430,500,666.22","540,727,365.54","719,692,095.54","104,873,396.10","153,519,984.80"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,,"-3,580,678.41",,,,,,,,,,,,,,,,,,,,"227,705,788.89",,,,"212,850,000.00","2,100,000.00",,,,,,,,,
收到的税费返还,"3,060,217.89","6,567,619.39","13,257,123.03","17,411,853.54","5,186,346.82","10,078,378.98","13,585,814.18","17,787,117.87","3,524,108.70","6,824,386.96","11,297,396.30","14,431,258.28","3,518,336.50","7,611,582.18","13,564,955.43","21,164,898.14","8,381,206.25","22,364,446.87","32,809,652.51","45,082,225.77","4,192,550.02","17,018,964.84","29,622,590.45","43,741,060.84","4,131,249.21","8,796,216.63","17,412,536.46","27,779,041.88","6,664,098.15","10,065,449.48","15,631,796.58","21,987,243.81","8,408,298.93","15,201,626.01","20,677,812.35","24,082,839.95","146,518.11","712,230.83","1,016,492.08","2,940,478.78","1,522,574.43","5,653,566.00","8,507,972.18","7,862,905.05","657,809.65","1,139,338.91"
支付其他与投资活动有关的现金,,"25,000,000.00","65,000,000.00","50,000,000.00","35,100,000.00","90,900,000.00","90,900,000.00","90,900,000.00",,,,"343,750.00",,,,,,,,,,,"40,000,000.00","40,000,000.00","289,666.47",,,,,,,,,,,,,"12,037,238.20",,"18,647,238.20",,,,,,
收到其他与经营活动有关的现金,"6,534,001.41","3,318,688.91","6,905,991.96","7,982,321.40","873,639.92","12,230,224.44","18,191,784.26","65,638,172.04","1,824,219.79","3,346,482.11","10,796,514.89","17,587,144.83","9,715,273.08","10,647,801.62","14,055,467.14","15,685,707.78","12,131,648.73","13,522,484.95","16,101,652.14","18,881,079.18","1,581,939.50","2,625,427.40","7,496,115.25","5,396,149.71","4,306,483.56","8,480,499.65","10,719,533.75","19,823,258.05","66,669,392.91","31,980,730.52","35,400,513.99","39,062,049.31","4,182,794.92","13,182,268.91","15,606,806.17","19,953,487.66","494,960.15","6,367,748.45","7,455,383.41","11,141,086.58","382,369.44","3,475,089.21","5,312,685.45","5,312,685.45","203,980.27","4,202,858.51"
投资活动现金流出小计,"93,101,535.66","131,661,207.17","210,373,548.03","292,547,436.81","105,332,390.80","170,158,233.17","206,058,641.97","240,649,936.27","19,285,889.23","30,752,619.80","59,493,814.61","57,928,419.50","22,643,922.76","44,110,774.16","63,783,606.08","65,333,842.38","8,046,039.08","12,752,020.60","21,652,611.29","34,753,371.36","39,431,568.01","44,111,440.97","90,299,075.97","106,696,829.31","10,560,925.84","14,160,019.36","16,095,284.63","58,444,614.42","4,423,720.95","12,279,408.31","243,861,052.22","249,397,435.56","127,233,467.45","154,783,001.24","162,288,313.18","220,545,277.72","3,296,072.07","24,581,198.10","25,943,136.24","44,004,526.72","5,117,298.11","6,444,732.20","10,509,671.64","15,337,312.09","709,171.15","2,443,708.26"
经营活动现金流入小计,"120,952,495.95","237,674,757.91","353,755,310.05","552,753,329.22","160,580,105.79","372,427,031.90","603,385,003.20","883,293,763.09","183,436,407.98","495,345,263.63","736,209,625.31","1,047,726,161.64","315,043,521.11","622,533,846.26","927,436,422.57","1,273,599,178.33","241,855,739.99","662,087,651.57","1,011,716,952.37","1,414,397,165.36","289,334,941.40","649,308,786.56","975,910,453.98","1,383,593,349.88","268,758,995.91","610,876,980.55","1,077,162,241.52","1,582,855,041.83","473,108,958.16","783,284,478.69","1,223,713,077.43","1,271,964,530.48","236,120,911.24","557,560,213.08","846,602,699.24","1,098,612,676.82","208,666,535.63","372,704,509.77","607,934,166.14","791,288,838.59","250,539,428.14","439,629,321.43","554,548,023.17","732,867,686.04","105,735,186.02","158,862,182.22"
投资活动产生的现金流量净额,"-92,258,535.66","-129,033,718.75","-207,746,059.61","-284,419,948.39","-100,332,390.80","-165,158,233.17","-184,658,641.97","-162,999,936.27","32,414,110.77","62,451,254.64","51,830,059.83","54,698,210.94","-22,643,922.76","-44,110,774.16","-62,992,899.08","-64,383,135.38","-7,886,039.08","-12,500,770.60","-21,401,361.29","-34,502,121.36","-39,431,568.01","-44,109,440.97","-90,255,236.77","-66,084,210.11","-10,390,583.45","4,197,793.34","2,435,718.07","-20,821,801.72","-4,408,720.95","-12,244,408.31","-243,824,052.22","-236,020,408.00","-127,221,467.45","-154,709,401.24","-162,193,213.18","-220,414,177.72","-3,296,072.07","-24,581,198.10","-25,943,136.24","-43,725,394.53","-5,108,298.11","-4,978,545.42","-8,877,286.67","-12,510,138.28","-709,171.15","-2,443,708.26"
购买商品、接受劳务支付的现金,"97,984,453.47","209,281,863.35","335,530,264.24","409,221,140.33","125,159,759.29","276,727,150.92","455,030,622.13","639,157,069.05","142,143,856.52","385,903,781.52","589,683,106.00","862,070,770.77","268,660,213.92","533,036,486.38","786,533,386.70","1,065,358,179.67","249,680,053.17","507,649,816.88","824,864,677.63","1,105,313,079.37","230,035,204.19","516,917,546.82","780,119,619.07","1,070,678,547.40","190,999,893.62","485,551,146.99","906,775,256.73","1,265,605,576.11","301,256,676.34","537,118,923.69","927,515,137.57","925,027,446.25","257,065,065.35","482,404,774.61","706,973,381.60","873,657,281.13","160,922,639.20","203,402,777.69","331,603,666.33","405,220,583.47","165,338,407.90","285,019,370.39","348,944,442.81","472,987,574.83","69,272,091.87","83,555,378.96"
吸收投资收到的现金,,,,,,,,,,,,,,"418,517,000.00","418,517,000.00","418,517,000.00",,,,,,"1,800,000.00","1,800,000.00","1,800,000.00",,"606,000.00","606,000.00","606,000.00",,,,,,,,,,,,,,,,,,
