科目,2009-12-31,2010-12-31,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31
货币资金,"281,794,922.88","312,967,354.32","512,424,512.21","362,422,457.84","523,730,781.34","583,682,468.95","376,530,562.14","334,527,789.68","330,544,340.23","488,677,036.02","475,222,301.56","382,241,807.87","393,720,920.55","473,220,397.18","538,162,807.94","505,830,593.32","547,602,335.88","845,090,983.96","795,679,770.43","903,799,383.89","954,045,147.93","1,385,081,986.14","1,580,771,513.57","3,931,685,372.82","1,809,530,102.79","1,967,937,120.31","1,384,748,469.47","1,890,355,329.94"
短期借款,"132,073,446.47","174,178,084.40","190,270,461.70","220,825,216.21","205,978,078.01","77,849,767.43","34,542,411.52","35,801,498.26","30,302,249.22","20,227,809.10","130,962,774.31","30,595,999.00","40,635,648.97","30,892,896.09","20,948,622.64","79,110,100.05","101,875,428.63","77,293,924.37","285,733,479.58","269,354,634.25","264,421,727.61","258,454,655.55","464,562,067.16","681,407,598.02","1,174,882,216.29","1,978,295,744.91","2,113,500,000.00","2,206,500,000.00"
交易性金融资产,"5,291,982.29","27,813,763.51","5,391,576.94","2,103,593.68",,"1,020,104.41","7,754,364.58","15,811,401.49","9,871,534.04","16,100,958.23","11,504,611.37",,,"12,813,143.46","13,966,758.08","3,394,975.40","10,893,206.58","-10,076,814.08",,,,,"5,491,219.73","4,197,152.77",,,"18,054,888.94","39,085,263.30"
交易性金融负债,,,,,"378,148.62",,,,,,,"7,549,632.19","7,290,692.71",,,,,,"18,142,518.05","3,692,816.12","5,642,205.33","3,651,307.30",,,"2,120,601.66","5,712,760.00",,
应收票据,"22,627,222.61","35,080,392.86","45,057,709.67","56,973,052.20","77,990,195.94","84,755,566.97","74,150,442.88","235,309,376.36","257,933,270.24","120,910,278.54","107,395,100.93","198,678,602.60","286,144,218.93","217,437,265.34","116,740,846.37","178,856,277.32","77,700,560.36","158,823,337.25","182,727,826.04","112,167,211.82","99,133,823.17","86,997,762.19","121,423,934.48","75,078,809.13","81,774,711.98","45,181,164.56","54,506,211.55","90,268,329.57"
应付票据,"178,687,788.62","353,874,594.98","660,073,917.74","459,269,214.20","535,252,861.32","638,004,794.87","569,274,380.08","582,629,820.86","446,333,005.38","514,428,096.06","656,784,048.60","600,968,398.97","542,063,552.02","657,386,795.60","864,027,812.20","897,119,004.69","829,108,420.99","974,733,978.92","1,032,044,725.96","771,299,859.22","635,741,106.36","808,047,634.38","862,562,503.24","753,381,974.46","1,112,564,440.96","1,411,948,623.22","1,479,561,845.04","1,199,546,360.87"
应收账款,"236,242,047.66","216,746,661.50","314,982,113.32","354,639,478.72","679,955,512.41","561,422,786.05","615,159,660.03","555,602,421.53","632,182,673.64","617,851,427.23","587,037,906.62","632,154,197.29","766,017,135.52","675,034,818.92","458,725,443.52","380,192,939.04","973,676,671.12","595,675,379.11","551,428,890.93","640,421,145.25","903,090,379.41","811,883,981.75","663,447,641.36","986,405,759.70","1,871,421,734.82","2,632,564,231.90","2,388,546,867.43","2,107,383,603.82"
应付账款,"294,796,204.21","348,430,344.42","322,363,979.23","351,138,385.41","459,879,044.82","330,438,854.97","419,951,557.56","531,648,557.57","725,503,252.45","605,661,120.55","563,041,530.19","494,794,019.30","675,687,134.45","579,149,052.06","547,873,059.83","481,900,203.00","817,421,271.43","441,380,864.31","498,388,471.28","512,342,190.69","800,895,794.69","605,185,694.45","755,733,074.61","987,650,271.51","1,037,209,752.29","804,103,652.36","914,475,826.96","829,697,209.61"
预付款项,"157,524,433.81","148,234,610.59","157,540,197.06","111,644,116.56","226,427,082.78","185,290,308.65","166,471,220.06","208,687,844.56","163,573,527.13","193,782,864.78","204,745,426.51","200,141,791.78","190,319,170.85","209,317,103.87","133,352,655.65","298,255,010.41","275,962,657.79","191,653,427.42","43,714,436.26","58,504,209.03","78,998,863.26","111,137,758.20","73,937,992.09","330,895,352.92","154,717,976.56","124,236,587.48","169,543,967.19","162,091,389.79"
预收款项,"30,442,070.00","36,502,219.68","39,083,385.89","47,071,540.93","57,766,610.01","50,715,451.03","34,969,221.65","111,686,855.94","61,228,816.20","43,296,300.71","41,253,153.42","126,422,038.34","59,620,081.42","68,432,084.50","114,357,060.75","171,195,414.48","107,009,814.37","58,080,719.53","58,427,111.53","107,344,602.82","145,310,336.07","138,997,795.98","157,294,543.41","274,297,682.04","118,486,045.39","188,401,660.26","68,608,105.65","100,853,123.79"
其他应收款,"22,688,294.47","18,375,225.82","2,458,145.10","1,948,241.78","1,755,773.66","3,328,240.65","5,503,440.24","6,635,586.85","50,678,006.58","80,930,164.90","73,248,256.78","67,502,493.82","50,289,462.87","30,462,420.17","116,165,517.03","82,334,457.59","75,730,159.34","69,882,280.39","12,221,398.49","41,288,344.22","54,272,750.19","33,986,421.47","38,124,513.94","51,088,511.37","25,913,263.90","61,642,342.11","353,160,165.56","489,974,278.61"
应付职工薪酬,,,,,,,"10,652,368.21","13,938,862.62","27,941,700.81","31,185,268.65","23,619,536.68","27,710,545.62","45,532,710.92","30,663,558.20","39,425,073.38","57,736,917.96","50,367,918.33","62,148,438.11","69,831,000.48","56,687,674.52","56,461,029.83","57,820,894.19","71,639,110.56","62,565,792.85","59,627,138.44","64,729,581.37","77,576,861.32","80,069,735.54"
应收关联公司款,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应交税费,"-16,867,086.66","-32,578,993.32","-18,708,450.99","3,795,998.49","1,262,491.02","7,001,316.01","15,064,614.56","15,808,714.46","26,370,726.95","26,871,330.70","23,874,687.65","24,849,891.00","28,581,957.04","35,344,326.01","28,495,574.05","29,481,375.84","39,774,645.48","43,432,472.88","50,014,401.85","45,009,441.63","70,548,867.05","86,776,192.92","49,099,770.34","47,930,159.79","57,958,552.58","48,836,062.26","58,158,123.61","39,968,479.32"
应收利息,,,,,,,,,,,,,,,,,,,,,,,,,"32,775,241.33","40,025,221.05","44,971,358.66","62,556,708.75"
应付利息,,,,,,,,,,,,,,,,,,,,,,,,"2,750,000.00","16,499,999.99","30,249,999.98","47,096,952.07","6,315,777.32"
应收股利,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应付股利,,,,,,,,,,,,,,,,,,,,,"26,786,700.00",,,,"376,409.70",,,
