科目,2007年度,2008年度,2009年1-6月,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月
销售商品、提供劳务收到的现金,"312,724,222.36","561,259,418.09","290,688,365.34","391,282,427.38","652,349,916.91","113,121,146.50","291,458,998.65","496,119,683.54","867,604,634.25","232,300,672.13","534,023,156.93","894,043,065.39","1,318,599,657.12","323,637,350.99","622,483,416.04","1,114,765,711.62","2,165,700,582.43","553,324,773.44","1,730,048,774.52","2,662,046,954.48","3,927,920,253.25","781,931,979.10","2,415,813,680.71","3,142,039,498.16","3,993,257,757.55","925,027,629.14","1,856,760,552.84","2,442,920,645.17","3,194,229,347.26","615,902,607.69","1,309,147,198.77","2,101,520,275.70","2,835,263,496.08","573,823,830.14","1,384,275,498.40","2,158,151,694.16","2,981,563,259.75","909,944,712.13"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,,,,,,,,,,"4,415,924.61","4,415,924.61",,,,"32,269,920.04",,,,,"3,332,102.32","17,292,323.75","17,292,323.75","17,892,323.75",,,"248,540.00","92,781,438.06",
收到的税费返还,"2,883,055.23","5,879,118.50","6,635,980.77","11,819,741.58","13,203,319.33","2,015,167.08","3,970,090.63","13,926,844.28","15,832,980.17","7,358,139.04","9,965,377.78","19,705,210.70","37,951,192.29","8,822,284.80","14,166,120.43","27,023,251.87","39,010,659.59","15,187,417.63","29,528,895.88","57,686,161.08","62,335,536.37","16,679,911.39","29,773,817.09","45,886,185.26","56,687,843.88","23,388,755.01","29,211,935.61","42,402,361.94","49,411,661.94","7,873,431.44","18,935,194.04","24,924,944.52","33,420,162.49","7,737,212.22","17,700,327.40","31,552,555.18","59,266,267.50","10,515,084.29"
支付其他与投资活动有关的现金,,,,,,,,,,,,,"9,600,000.00",,,,"182,500,000.00",,"50,000,000.00","50,000,000.00","237,600,000.00",,,,"1,039,397,500.00",,"1,449,469,594.53","1,594,794,294.53","1,018,207,578.60","32,226,229.84","621,325,854.84","881,125,854.84","1,757,427,583.84","406,840,000.00","411,830,377.00","191,330,377.00","1,893,450,000.00","1,219,089,359.53"
收到其他与经营活动有关的现金,"3,027,481.12","7,435,177.00","7,274,630.71","7,921,054.44","9,587,599.87","1,842,287.97","10,179,190.83","13,998,419.89","23,068,316.14","29,351,095.90","33,819,257.71","47,591,257.03","65,212,301.31","30,700,576.25","50,940,197.80","70,815,593.49","114,503,589.11","19,771,110.38","43,936,299.59","54,240,431.32","77,405,187.74","44,222,952.93","102,048,772.28","163,242,242.33","154,506,082.53","34,150,174.95","51,468,612.92","88,102,576.85","153,158,351.55","27,750,433.34","65,469,870.78","82,974,488.13","101,567,087.79","33,125,598.49","61,414,145.62","133,223,202.22","146,274,670.96","57,332,292.65"
投资活动现金流出小计,"20,820,851.62","31,862,299.22","17,636,851.99","20,679,672.01","32,570,955.00","9,101,502.92","17,605,705.95","25,079,168.97","64,635,578.77","16,534,596.10","322,650,608.17","433,999,218.52","448,933,474.33","71,801,963.88","265,799,031.52","441,621,592.57","706,338,199.45","74,867,981.33","181,944,330.02","335,906,767.40","683,421,090.24","208,947,622.40","312,138,104.86","531,783,620.68","1,767,367,654.10","155,991,844.54","1,730,047,304.14","2,052,558,070.54","1,615,345,215.67","94,571,128.68","711,907,584.56","965,890,969.83","1,920,947,186.57","463,199,875.50","527,852,519.64","318,652,671.98","2,124,151,496.43","1,332,104,573.47"
经营活动现金流入小计,"318,634,758.71","574,573,713.59","304,598,976.82","411,023,223.40","675,140,836.11","116,978,601.55","305,608,280.11","524,044,947.71","906,505,930.56","269,009,907.07","577,807,792.42","961,339,533.12","1,421,763,150.72","363,160,212.04","687,589,734.27","1,212,604,556.98","2,319,214,831.13","588,283,301.45","1,803,513,969.99","2,773,973,546.88","4,067,660,977.36","842,834,843.42","2,547,636,270.08","3,351,167,925.75","4,204,451,683.96","982,566,559.10","1,937,441,101.37","2,573,425,583.96","3,396,799,360.75","651,526,472.47","1,393,552,263.59","2,209,419,708.35","2,970,250,746.36","614,686,640.85","1,463,389,971.42","2,322,927,451.56","3,187,104,198.21","977,792,089.07"
投资活动产生的现金流量净额,"-20,318,651.62","-31,848,968.52","-17,633,251.99","-20,676,022.01","-32,292,675.00","-9,101,502.92","-15,046,500.64","-22,519,963.66","-62,076,373.46","-16,527,596.10","-322,613,608.17","-433,878,443.72","-448,690,537.70","-63,710,773.87","-251,832,449.31","-427,544,962.95","-681,595,676.04","38,667,576.30","13,101,764.38","-143,956,908.09","-437,273,249.61","-21,183,613.87","-124,366,833.69","-343,962,738.43","-1,501,678,337.77","233,877,419.75","-655,608,983.87","-961,127,667.38","-496,545,202.31","271,412,180.16","-568,584,022.36","-899,641,168.59","-759,609,364.20","83,061,688.11","-60,436,835.52","-98,282,785.49","-277,195,645.85","135,757,815.44"
购买商品、接受劳务支付的现金,"253,234,206.77","386,070,479.11","204,044,818.51","306,772,683.11","395,127,980.21","148,864,253.42","324,980,290.63","543,709,005.15","758,334,155.46","320,518,224.83","551,145,777.07","814,978,468.00","1,232,213,388.18","356,013,703.31","590,436,337.47","1,101,853,535.91","1,669,813,982.92","568,439,856.51","1,305,775,692.91","2,203,605,672.45","2,729,715,239.06","566,741,587.39","1,115,372,359.28","1,955,436,784.39","2,599,000,499.95","822,556,082.54","1,302,035,372.76","1,915,957,990.23","2,310,144,110.41","373,851,068.02","696,138,924.67","1,258,917,679.07","1,651,153,856.37","362,172,246.36","748,640,446.81","1,242,327,911.58","1,697,256,445.76","563,506,809.10"
吸收投资收到的现金,"6,967,600.00","2,013,500.00","1,750,000.00","2,150,000.00","2,150,000.00","1,701,467,500.00","1,701,467,500.00","1,701,467,500.00","1,701,467,500.00",,"1,500,000.00","3,900,000.00","4,440,000.00",,,"1,249,220.00","5,497,449.20",,,"6,100,020.00","7,273,800.00","2,957,319,910.45","2,957,319,910.45","2,957,319,910.45","2,967,119,910.45",,,,,"190,000,000.00",,,,,,,,"13,000,000.00"
