科目,2007-12-31,2008-12-31,2009-12-31,2010-06-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31
货币资金,"1,758,917,684.15","2,031,728,613.47","6,262,605,943.41","4,050,691,998.91","5,281,929,493.06","4,430,285,141.91","5,983,869,932.32","5,361,148,836.20","7,918,479,363.14","7,120,935,080.21","6,998,480,616.73","7,484,058,593.56","5,906,094,546.45","6,619,660,240.85","8,084,364,849.02","8,320,449,908.07","8,595,510,330.36","9,558,370,753.91","7,125,781,915.22","7,601,470,287.85","10,980,171,602.68","7,882,143,664.51","8,210,654,264.74","11,694,060,085.89","18,369,880,691.10","21,245,191,006.06","17,204,382,213.00","22,079,583,183.08","28,010,211,147.53","21,829,043,560.11","22,781,754,849.60","19,877,940,302.41","17,903,847,144.72","16,831,737,828.34"
短期借款,"2,763,030,000.00","3,958,200,000.00","1,544,600,000.00","6,529,870,812.17","7,067,892,024.01","8,017,158,724.01","10,366,525,400.85","10,881,724,599.55","11,286,861,222.71","13,097,740,000.00","12,405,590,000.00","11,776,900,000.00","11,388,286,880.00","10,588,308,880.00","11,250,500,000.00","13,343,522,000.00","13,516,500,000.00","12,291,034,375.00","11,021,200,000.00","11,258,206,424.80","11,635,636,481.02","12,872,586,499.51","14,644,489,810.68","16,759,644,758.49","16,805,996,379.53","15,103,581,504.59","16,964,173,130.73","14,618,990,000.00","32,027,734,141.83","33,046,092,979.48","36,188,435,740.00","37,054,902,332.04","34,375,200,000.00","35,931,542,805.29"
交易性金融资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,"687,426,813.39","615,807,328.90","1,070,547,625.85","468,323,047.37","386,219,174.65","46,226,108.99","44,413,212.17"
交易性金融负债,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应收票据,"117,805,470.76","182,348,132.34","405,677,022.87","521,623,165.89","627,001,317.45","760,845,840.99","785,937,073.54","1,358,102,347.28","1,347,905,318.65","947,699,474.72","762,174,804.79","898,898,810.36","1,028,662,688.14","826,031,292.11","822,734,787.54","1,051,780,101.53","1,373,660,444.38","811,764,303.79","1,290,660,797.16","1,370,825,127.90","2,651,027,709.78","2,455,223,854.27","2,027,447,550.03","1,862,851,947.08","2,197,924,429.70","2,155,207,305.14","2,160,594,347.01","2,058,758,127.04","3,857,028,994.07","3,490,044,146.92","5,924,154,845.84","7,221,228,515.58","8,181,663,835.79","6,495,100,049.51"
应付票据,"137,910,222.26","134,379,685.92","175,606,870.51","214,208,299.23","325,083,156.39","311,034,747.47","180,476,391.00","312,083,892.81","361,817,226.63","296,486,275.00","418,176,519.92","526,403,743.58","430,004,020.52","668,294,419.64","331,763,985.87","453,505,933.24","506,106,696.49","538,361,870.87","297,259,776.81","573,786,560.28","237,215,529.94","468,791,256.42","326,891,000.00","400,169,704.07","436,477,804.74","499,164,831.46","367,714,927.78","379,787,369.38","2,313,321,400.81","735,769,829.54","950,253,015.59","1,307,540,495.50","1,457,987,393.20","1,324,348,270.75"
应收账款,"1,185,277,597.96","960,571,448.26","1,373,736,524.43","2,070,695,343.38","2,654,027,822.73","2,962,628,933.58","4,051,000,882.79","4,042,911,135.50","3,490,937,470.40","3,834,430,549.83","4,701,088,408.43","5,028,519,563.19","3,991,796,374.16","4,349,597,477.89","5,146,180,829.44","5,792,245,735.95","5,005,865,494.62","5,213,124,889.47","5,673,956,619.08","6,263,366,775.44","5,404,832,534.14","5,240,022,020.75","6,293,431,481.03","6,187,018,323.15","6,882,068,508.58","6,545,517,044.30","6,435,953,517.16","6,835,517,787.05","8,889,912,604.49","9,103,341,381.54","9,278,021,405.06","9,762,814,750.16","7,686,182,058.93","7,321,112,635.14"
应付账款,"1,406,639,135.39","1,836,318,688.01","2,299,703,368.81","2,545,885,774.92","4,198,600,602.51","4,376,356,582.89","4,503,406,832.29","4,520,453,096.52","5,124,354,120.51","4,936,008,893.04","5,654,922,351.15","6,219,574,133.73","6,569,201,907.77","6,419,235,752.74","7,015,425,497.00","7,584,164,321.95","8,516,698,306.54","7,693,871,851.82","8,324,812,080.79","7,615,795,358.63","9,297,548,205.02","8,533,820,449.13","8,792,444,870.56","7,949,007,047.07","8,625,713,523.10","7,190,671,512.43","8,426,237,255.63","8,025,517,595.92","12,311,643,681.22","10,825,815,882.07","13,416,798,219.15","13,452,326,574.62","15,747,091,122.08","12,931,903,771.90"
预付款项,"407,716,246.44","351,658,698.27","1,044,011,186.02","1,133,301,753.80","989,305,811.63","1,147,296,924.61","1,283,256,751.39","1,368,693,887.93","1,397,237,511.97","1,343,597,348.57","1,230,147,867.26","1,394,253,115.67","909,415,140.77","1,253,460,194.39","1,163,683,585.68","1,231,528,828.08","3,640,625,094.32","3,655,789,527.74","3,442,706,473.39","3,871,614,560.53","3,526,981,050.00","4,042,482,370.56","3,266,730,236.77","3,970,146,755.78","3,615,007,054.08","3,867,673,301.64","3,722,850,459.78","4,712,056,242.50","4,968,682,354.70","5,226,722,686.04","1,841,200,046.31","2,261,201,930.98","1,792,354,290.47","2,467,967,882.09"
预收款项,"2,068,662,103.26","2,380,562,602.49","5,362,510,946.87","5,655,978,464.58","7,235,467,099.54","8,025,294,619.28","7,997,084,988.55","12,166,508,537.25","11,621,778,319.64","12,079,205,672.50","10,700,511,821.68","12,480,726,393.04","14,206,950,304.93","15,029,052,621.40","15,244,996,344.08","16,993,100,724.63","15,567,949,491.14","14,341,173,163.82","12,803,218,303.72","16,536,248,998.57","16,529,668,285.63","16,166,487,136.23","16,194,860,365.20","19,453,541,045.53","19,034,031,504.51","20,093,607,526.86","16,979,530,457.16","21,361,921,267.99","23,462,497,764.75","23,129,642,517.67","25,672,582,599.24","27,235,091,715.29","27,340,492,780.84","30,287,623,790.02"
