科目,2009-12-31,2010-12-31,2011-12-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30
货币资金,"660,270,284.02","1,014,668,605.01","1,128,000,267.29","1,013,005,943.86","1,648,369,463.23","1,665,278,922.48","1,768,502,334.88","1,944,112,033.70","2,006,422,835.33","1,807,159,966.10","1,575,160,038.73","1,498,330,131.66","1,429,988,562.48","1,312,218,476.12","1,042,218,930.91","1,265,319,746.81","1,347,898,200.60","1,738,609,242.92","1,756,166,467.89","1,887,292,166.48","1,891,627,154.00","2,026,595,343.15","2,702,455,571.03","2,389,014,216.56","1,420,668,476.19"
短期借款,"1,388,000,000.00",,,,,,,,,,,,,,,,,"56,750,000.00","60,502,347.00","57,300,000.00","19,669,011.38","255,919.80","41,718,601.22","83,701,566.61","41,441,890.17"
交易性金融资产,"2,507,200.00",,"13,799,000.00","764,000.00","916,000.00","203,368,500.00","933,000.00","14,832,000.00","13,662,000.00","108,697,410.96","205,825,000.00","205,385,794.51","301,417,534.24","782,761.57","1,549,716.00","593,712.00",,,,,,,,,
交易性金融负债,,,,"4,138,000.00","3,574,500.00","23,600.00",,,,,,"11,109,000.00","485,500.00","1,643,054.01",,,,,,,,,,,
应收票据,"212,841,419.72","429,522,558.86","489,706,697.26","275,524,598.80","240,504,942.19","464,500,368.86","315,200,936.26","304,921,907.83","391,853,141.73","516,763,520.36","433,312,680.29","375,902,997.56","403,407,538.75","501,257,829.32","350,006,687.47","299,990,017.80","313,552,953.79","398,910,182.74","328,418,178.21","341,002,929.18","345,809,400.76","433,188,497.95","378,726,915.42","323,958,689.90","286,836,742.19"
应付票据,"26,790,000.00","237,706,446.00","210,033,083.30","127,996,842.00","112,300,000.00","292,579,903.00","332,034,912.46","348,189,900.00","303,522,142.39","263,159,940.00","227,635,942.50","277,161,002.50","308,090,000.00","257,685,000.00","227,995,000.00","220,338,920.00","259,983,368.54","579,149,945.23","634,857,591.10","640,659,633.46","558,012,433.27","827,344,964.30","859,040,379.95","699,064,918.20","779,194,947.92"
应收账款,"365,585,556.36","309,425,796.21","582,656,609.90","734,179,044.68","792,702,100.83","688,267,418.82","716,158,929.61","656,783,547.79","650,245,190.26","563,333,072.40","768,913,070.84","1,024,777,856.75","819,248,205.26","717,266,672.82","854,867,914.80","911,882,137.92","996,144,370.32","933,086,547.87","1,060,216,376.70","1,018,935,434.14","1,236,917,750.43","1,130,601,670.99","1,434,416,790.84","1,682,872,625.76","1,749,951,838.65"
应付账款,"833,847,482.92","691,478,056.78","1,147,595,025.96","895,692,152.54","854,696,120.45","1,034,269,263.00","801,851,082.46","913,966,124.50","939,967,263.73","839,301,928.31","838,374,265.58","1,018,172,287.33","870,054,102.02","920,787,003.22","760,436,955.75","963,245,728.74","936,910,569.71","1,181,897,777.19","901,839,563.68","944,607,116.99","1,204,801,467.66","1,306,937,227.88","1,312,658,310.52","1,462,280,326.63","1,470,005,740.04"
预付款项,"33,187,180.75","188,216,063.43","145,688,741.32","128,746,648.76","132,499,359.81","123,252,799.88","227,540,684.19","195,440,628.04","198,408,747.20","97,236,556.86","97,292,412.72","93,673,629.37","167,962,547.68","168,177,562.63","112,849,060.31","115,621,165.48","116,372,941.22","255,036,161.15","203,453,532.16","232,510,673.93","238,196,548.41","122,380,886.27","223,374,637.29","144,998,698.00","158,168,099.90"
预收款项,"129,521,900.18","80,642,064.71","62,549,411.70","89,368,547.82","79,271,835.49","73,877,537.39","98,193,192.16","84,586,737.09","59,143,446.55","65,735,042.40","92,942,854.44","44,180,187.45","49,918,168.38","56,732,425.86","49,394,627.58","52,095,041.44","84,990,566.13","136,431,211.22","197,277,606.08","184,715,998.91","195,610,177.91","238,364,753.45","313,037,386.91","168,797,114.28","196,703,108.60"
