科目,2007-06-30,2007-09-30,2007-12-31,2008-03-31,2008-06-30,2008-09-30,2008-12-31,2009-03-31,2009-06-30,2009-09-30,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31
货币资金,"67,614,640.52","78,501,931.01","80,783,474.19","168,668,250.37","124,202,331.26","95,859,361.87","105,349,696.95","90,415,679.80","80,810,440.14","127,795,447.65","278,162,013.75","271,113,309.95","199,142,150.33","144,620,914.89","191,022,939.88","171,500,355.28","214,468,183.77","168,355,601.57","155,312,780.17","182,732,680.95","121,565,975.75","138,575,075.10","162,694,600.43","130,955,382.43","159,749,354.85","243,104,600.25","183,298,285.46","154,740,753.03","169,684,656.37","135,319,909.36","117,710,271.78","174,799,020.22","162,804,459.21","218,324,732.97","254,291,459.42","266,552,977.01","244,709,406.78","248,179,806.47","227,534,327.80","220,346,621.78","203,398,113.79","195,732,248.18","234,018,593.30","234,723,684.17","177,692,101.67","164,101,784.81","232,746,058.71","205,347,876.09"
短期借款,"58,000,000.00","66,000,000.00","71,000,000.00","66,000,000.00","51,000,000.00","46,500,000.00","61,500,000.00","46,500,000.00","65,000,000.00","90,000,000.00","90,000,000.00","90,000,000.00","30,000,000.00","30,000,000.00","53,000,000.00","30,000,000.00","43,500,000.00","30,000,000.00","40,500,000.00","40,500,000.00","45,000,000.00","45,000,000.00","95,000,000.00","90,000,000.00","120,000,000.00","218,000,000.00","203,000,000.00","218,000,000.00","218,000,000.00","223,000,000.00","173,000,000.00","173,000,000.00","173,000,000.00","173,000,000.00","140,000,000.00","240,000,000.00","231,989,360.00","237,003,340.00","277,081,100.00","255,000,000.00","255,000,000.00","250,000,000.00","210,000,000.00","220,000,000.00","220,000,000.00","202,000,000.00","202,000,000.00","224,442,000.00"
交易性金融资产,"41,189.00","36,239.00","36,239.00","36,239.00","27,293.98","27,293.98","27,293.98","27,293.98","21,211.36","21,211.36","21,211.36",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
交易性金融负债,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应收票据,"945,164.84",,"1,753,040.00","3,762,145.00","1,859,105.00","309,500.00","6,020,000.00","9,971,184.00","10,128,229.95","3,494,000.00","4,861,300.00","4,597,900.00","9,117,282.17","28,558,758.00","23,001,333.70","13,552,199.89","17,173,799.89","12,575,920.00","11,370,000.00","28,144,074.12","25,607,250.00","18,890,000.00","29,530,236.00","12,796,586.00","19,214,500.00","31,628,280.00","58,246,927.00","37,765,597.00","32,247,007.00","46,729,003.35","22,117,691.09","39,393,411.50","31,070,950.00","9,546,846.00","16,552,500.00","22,904,000.00","9,114,000.00","10,660,000.00","23,520,000.00","33,224,401.00","31,566,710.00","24,173,265.00","10,388,738.80","5,420,500.00","5,346,323.95","19,862,111.05","10,195,748.42","3,012,941.91"
应付票据,"38,538,181.50","54,673,714.37","47,388,774.07","43,694,116.13","48,899,346.19","40,555,090.21","46,464,063.74","47,781,512.50","49,147,779.33","44,362,174.16","47,447,751.83","53,729,305.74","46,578,458.03","54,158,501.67","74,761,509.84","69,311,430.40","46,987,679.08","68,987,654.25","84,866,569.09","77,779,332.78","79,993,500.13","94,243,534.61","114,995,306.97","157,356,243.27","179,397,948.77","191,642,063.00","190,119,438.71","117,269,528.44","152,329,947.61","120,642,183.97","113,189,120.24","93,896,731.62","78,194,120.25","104,266,275.20","130,909,550.26","89,410,000.31","68,900,000.00","115,000,000.00","104,000,000.00","87,490,000.00","100,556,065.36","88,262,000.00","125,351,580.76","122,605,520.25","80,148,396.39",,"102,135,627.85",
应收账款,"112,405,838.00","105,145,656.85","100,612,124.45","101,233,647.43","131,003,054.19","143,235,324.91","127,494,594.74","142,339,494.44","152,475,489.67","167,153,293.34","143,133,246.78","145,475,899.06","158,876,550.85","174,179,485.13","188,454,808.45","207,494,779.62","177,405,629.22","209,116,460.77","191,526,513.90","232,363,981.13","271,569,210.30","286,204,370.39","254,458,368.97","312,784,714.31","285,341,722.92","292,985,168.10","324,017,137.87","345,550,040.42","322,527,367.77","318,979,996.40","362,631,634.11","421,722,664.24","390,149,936.73","365,572,498.14","364,902,050.23","390,443,731.91","405,929,336.23","410,869,058.11","403,339,886.08","376,454,650.30","395,309,844.17","419,735,575.37","443,801,071.52","450,962,940.38","411,492,441.24","425,021,812.50","424,462,145.72","437,182,005.64"
应付账款,"134,604,739.03","100,983,623.44","116,299,577.12","155,344,674.06","165,225,185.79","148,533,944.45","148,533,922.32","148,577,664.20","162,679,381.31","159,062,571.17","126,162,774.13","137,752,298.68","174,665,047.43","184,008,938.70","217,571,435.52","230,678,751.19","237,264,181.98","231,226,054.02","226,109,026.32","291,351,042.31","278,223,784.02","275,524,608.70","242,256,748.14","245,678,577.40","235,728,365.97","213,735,210.37","254,970,912.17","334,240,111.77","290,267,139.24","270,263,688.23","263,691,015.78","297,537,717.66","273,801,255.50","281,143,728.31","296,654,815.85","279,001,862.73","279,931,546.19","281,732,371.64","276,227,633.37","276,156,991.54","293,517,140.03","303,597,146.46","302,467,852.75","269,681,870.15","273,727,824.42",,"292,377,524.17",
预付款项,"23,868,522.98","27,389,935.09","24,750,709.17","22,450,223.61","29,959,050.51","38,941,457.20","25,737,916.13","30,716,339.27","18,853,750.37","18,188,576.57","17,815,709.24","20,990,772.17","18,815,417.62","17,043,204.99","14,247,365.88","14,076,111.04","21,772,537.50","18,302,108.19","26,805,745.25","15,725,445.84","16,272,200.94","23,196,864.37","20,979,742.08","31,467,950.12","35,458,664.16","46,317,634.73","22,059,118.11","33,638,534.85","30,068,430.62","19,497,600.65","24,521,330.18","20,419,339.93","25,611,204.72","31,967,493.51","33,764,803.28","18,341,958.74","24,197,228.75","37,416,975.56","37,771,711.76","48,489,309.06","37,014,186.29","36,311,195.20","40,845,008.98","46,028,996.27","29,738,741.49","28,821,575.58","16,695,495.84","31,523,848.04"
预收款项,"78,367,837.29","108,502,274.63","96,493,955.54","72,156,937.31","71,782,749.49","106,530,454.92","103,633,451.62","116,153,118.35","82,449,128.13","73,543,290.83","82,441,727.45","100,537,105.61","117,211,912.37","100,194,950.52","104,544,796.46","141,380,069.43","136,608,564.45","97,910,650.79","89,637,254.34","132,136,200.46","117,607,147.69","150,544,339.97","155,810,584.98","190,927,584.82","200,325,200.32","307,664,561.80","286,637,994.48","299,357,260.30","246,199,599.47","227,229,813.19","175,822,329.13","227,203,364.76","239,392,372.96","256,258,956.04","271,442,358.52","198,542,099.13","234,290,360.75","259,519,484.86","272,027,208.82","277,385,042.59","287,159,520.16","278,154,011.58","307,662,409.72","290,790,932.88","181,547,800.99","190,035,332.15","141,014,845.25","142,735,371.60"
