科目,2007年度,2008年度,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月,2018年1-9月,2018年度,2019年1-3月
一、营业收入,"342,668,523.45","415,431,739.08","429,667,249.00","115,028,835.51","211,104,727.55","307,833,007.82","435,223,960.67","120,124,994.00","215,843,227.93","310,201,946.18","420,339,304.28","97,939,756.80","161,194,199.25","236,939,217.01","316,044,644.25","72,560,625.11","149,871,845.76","214,091,438.68","313,637,218.04","97,787,029.92","194,886,991.85","276,821,387.51","375,601,838.81","93,918,692.78","199,602,412.77","298,586,642.83","463,145,519.03","206,103,648.72","427,145,293.63","593,043,297.49","862,874,547.46","246,492,170.82","494,646,766.92","824,479,011.89","1,082,951,050.52","319,164,772.95","662,249,365.61","958,708,104.41","1,309,709,237.78","366,129,207.79"
二、营业利润,"50,301,248.10","46,139,398.72","57,082,204.01","17,036,599.21","24,192,905.99","37,335,040.86","47,987,587.08","19,535,587.80","28,505,388.92","38,678,218.32","45,077,384.72","5,281,429.48","-8,587,616.52","-15,379,457.87","-28,639,373.63","-6,124,541.69","-11,285,359.16","-7,996,267.97","5,814,963.57","14,458,162.11","23,943,010.77","30,532,658.26","45,617,622.63","17,242,185.06","36,882,215.77","50,655,766.31","62,969,227.49","29,306,073.97","71,493,074.16","92,356,524.09","135,242,123.42","56,003,546.04","113,578,796.32","171,357,911.12","237,157,418.52","78,750,870.79","159,402,838.13","203,361,376.33","241,398,801.32","71,379,842.53"
减:营业成本,"249,923,459.15","301,790,394.96","300,750,697.63","80,107,738.63","150,328,132.88","218,892,382.10","307,757,456.76","85,063,188.11","148,901,810.61","212,355,836.27","290,116,497.37","73,153,314.55","121,419,480.30","182,822,050.39","247,770,845.93","59,178,376.55","113,838,069.42","155,206,931.27","216,627,754.22","62,943,070.72","126,596,167.63","175,637,829.19","231,617,603.39","54,056,661.06","108,080,252.86","164,346,748.96","272,791,977.51","128,140,834.29","262,225,113.91","358,309,743.39","523,085,596.98","151,522,746.21","291,662,332.70","479,716,651.27","600,454,424.67","162,785,672.82","349,190,771.31","515,329,228.72","734,472,967.13","225,130,312.57"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"1,990,923.63","2,234,736.60","2,132,324.71","658,130.16","1,069,636.11","1,462,429.93","1,527,078.49","175,574.18","628,816.28","1,302,487.83","1,901,507.82","701,238.59","777,479.23","783,334.59","1,060,307.52","510,656.23","645,002.89","1,098,000.72","1,959,080.98","807,100.56","1,594,699.01","2,065,379.81","2,441,134.50","550,714.97","1,422,092.89","1,878,591.95","2,706,356.22","2,822,680.69","3,212,234.06","4,057,633.93","8,328,041.43","1,843,072.86","4,237,918.44","7,520,010.35","10,001,048.59","2,951,034.80","5,449,091.45","7,966,544.08","10,924,435.82","2,797,310.07"
营业外收入,"290,750.00","3,038,174.33","381,570.00",,"165,968.00","293,298.00","735,906.40","2,350.00","2,593,470.00","5,447,970.00","5,894,170.32","148,485.80","2,085,085.80","2,742,697.78","3,218,747.78","993,642.80","2,382,613.90","3,590,708.90","3,607,627.39","2,709,162.12","3,048,997.22","3,048,997.22","3,425,494.89","23,106.01","69,065.09","84,497.59","3,570,436.98","218,142.50","3,097,520.40","4,546,821.90","8,931,442.78","34,180.16","5,882,941.84","6,556,378.37","180,187.84","62,609.10","32,673.19","33,216.19","28,000.00","3,466.97"
销售费用,"20,764,781.79","27,435,817.93","30,578,103.74","7,577,245.60","15,791,490.42","22,028,525.56","30,249,280.69","8,797,686.32","21,134,631.93","31,813,055.27","45,648,559.98","13,557,748.06","27,429,887.99","40,466,105.52","51,233,647.69","9,421,987.21","26,080,708.74","35,815,946.71","44,765,081.76","11,298,779.78","23,787,737.52","36,451,273.11","45,532,134.43","9,839,612.78","27,592,453.53","44,020,813.74","58,263,927.57","13,055,253.24","29,325,053.12","43,632,880.56","66,416,586.77","16,938,116.92","39,982,189.90","85,020,307.05","128,082,304.60","41,221,377.11","78,360,324.16","118,107,558.97","156,805,883.25","22,226,149.23"
减:营业外支出,"527,129.12","567,191.74","429,667.89","114,556.14","210,632.03","306,245.33","435,223.96","113,908.87","307,653.60","410,996.30","529,233.66","97,939.76","161,194.20","1,307,601.91","5,910,108.33","72,543.01","149,871.85","214,091.45","3,623,099.00","417,798.06","194,898.01","556,258.11","655,038.23","93,918.69","209,987.66","442,600.47","553,792.98","113,923.84","194,257.63","278,006.50","281,499.02","68,585.46","107,810.18","133,843.88","184,912.78",,,,,
管理费用,"19,435,056.91","28,529,302.43","31,389,029.52","7,384,099.20","17,484,743.44","26,165,042.60","45,753,286.85","8,620,928.78","18,341,535.09","26,516,888.01","40,100,335.09","7,644,973.07","21,440,046.33","31,227,293.13","46,391,815.39","10,726,647.84","22,950,887.36","33,250,505.56","45,712,695.80","10,129,179.58","21,719,106.93","35,338,026.49","49,448,377.00","12,512,843.94","27,258,508.03","40,595,095.62","66,536,664.53","20,944,454.17","40,897,483.14","67,409,444.84","93,610,665.23","21,872,945.88","47,444,374.52","83,033,714.17","116,526,426.32","29,508,030.65","58,991,679.76","66,470,053.04","93,962,005.34","28,703,242.00"
其中:非流动资产处置净损失,"39,501.35",,,,,,,,"60,592.75","60,592.75","60,592.75",,,,,,,,,,,,"7,433.84",,,,"133,864.05",87.95,"13,766.82",,"13,766.82","68,585.46","107,810.18","133,843.88",,,,,,
