科目,2007年度,2008年度,2009年度,2010年1-6月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月,2018年1-9月,2018年度,2019年1-3月
一、营业收入,"1,570,135,672.95","1,586,511,938.21","1,682,863,588.62","903,611,350.42","3,336,950,665.77","746,591,528.66","1,714,544,622.36","2,700,301,574.60","3,955,394,389.80","1,063,875,875.68","2,048,221,533.54","2,997,328,242.48","4,644,558,994.83","1,331,634,912.45","3,341,276,785.15","5,244,882,169.15","6,981,980,217.92","1,482,913,539.51","3,297,872,554.47","5,535,311,829.72","7,942,456,228.81","2,063,899,972.71","4,097,541,481.48","6,506,147,128.70","8,886,167,093.15","2,333,042,289.73","6,480,216,397.27","9,809,588,400.10","12,814,483,861.14","2,450,728,496.24","4,318,003,378.42","6,188,284,891.11","9,031,643,350.22","2,032,943,718.82","3,651,188,686.81","5,363,962,198.97","6,754,444,902.38","1,598,057,725.68"
二、营业利润,"665,811,164.00","532,634,613.97","598,836,597.93","364,609,432.51","994,512,396.98","193,665,737.81","445,453,496.13","685,400,976.51","821,351,061.11","222,884,870.51","404,327,945.01","560,542,064.74","698,206,213.16","194,684,337.85","451,732,732.25","640,672,841.40","668,919,589.38","149,747,374.07","295,774,183.72","438,563,669.57","459,660,164.53","123,642,563.34","278,146,716.86","360,932,715.06","461,118,249.05","138,093,016.70","267,799,461.39","420,252,916.38","598,042,885.81","139,372,105.63","298,854,264.72","493,084,298.95","711,284,314.21","-51,485,369.91","331,177,074.91","724,135,746.69","859,395,678.83","137,610,786.18"
减:营业成本,"832,553,113.62","861,401,816.74","874,512,184.14","452,848,415.15","1,888,274,585.53","477,469,861.72","1,061,501,293.83","1,642,024,469.36","2,487,752,090.60","616,526,595.79","1,229,700,556.79","1,813,859,971.93","3,056,689,429.56","908,882,994.03","2,439,535,143.28","3,969,710,051.18","5,394,402,786.13","1,147,151,064.68","2,578,957,372.44","4,449,652,353.34","6,567,561,921.15","1,727,630,606.52","3,382,516,694.71","5,423,808,067.27","7,431,655,456.89","1,977,662,011.45","5,768,556,814.06","8,748,159,756.84","11,427,061,819.61","2,143,713,747.08","3,676,178,953.94","5,189,981,229.96","7,568,202,507.68","1,701,541,970.86","2,883,562,165.72","4,157,164,931.61","5,141,735,182.50","1,180,666,213.86"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"83,717,261.55","80,276,824.15","105,788,570.53","38,755,435.48","159,860,847.82","29,934,906.65","71,290,731.34","111,214,384.98","160,171,314.14","52,818,516.83","93,503,982.15","133,231,259.31","190,580,607.81","48,710,560.12","106,076,391.23","126,870,930.11","140,271,071.12","7,155,228.23","17,578,344.00","27,947,912.67","41,876,466.45","9,175,874.87","18,812,455.14","27,982,857.59","41,221,065.09","9,178,620.15","14,150,603.39","19,247,247.49","44,221,171.59","11,276,188.65","24,720,606.43","31,208,595.33","45,412,616.54","11,299,115.93","24,898,081.87","38,441,015.42","55,163,579.61","13,827,190.79"
营业外收入,"63,932,955.14","434,851,619.00","59,104,530.94","52,047,656.46","104,200,009.75","12,790,075.33","29,073,775.07","68,822,097.16","177,469,445.54","31,220,100.06","57,708,788.33","92,795,522.40","218,272,779.68","70,632,195.37","121,533,706.50","189,700,334.32","369,276,391.87","38,935,967.54","145,571,150.73","210,834,491.93","355,153,011.23","46,077,397.39","125,418,244.68","184,815,875.28","274,916,120.86","28,973,135.96","63,906,343.40","96,561,310.85","183,589,513.59","62,342,285.67","26,890,110.83","28,227,620.83","22,260,846.11","9,515,971.82","8,873,255.08","10,053,201.87","21,494,785.64","947,294.05"
销售费用,"274,883.50",,,,,,,,,,,,"79,250.00","45,477.00","199,960.29","475,801.01","347,363.56","27,980.00","47,980.00","3,663,632.91","3,741,535.20","270,631.47","525,075.34","1,032,325.22","1,457,374.14","608,211.39","722,609.09","803,036.38","895,738.53","66,136.31","285,811.00","343,580.17","412,560.91","268,847.28","490,579.80","601,854.19","677,390.25","74,155.58"
减:营业外支出,"10,012,262.95","2,593,997.55","15,236,092.42","13,988,484.78","20,412,597.78","253,272.17","907,731.90","1,251,134.75","3,767,998.44","145,922.85","2,285,408.59","2,700,117.29","9,997,363.18","775,078.78","1,038,907.35","1,517,587.83","12,307,021.12","370,111.78","6,384,726.25","11,826,223.61","18,931,046.30","281,607.11","528,915.27","876,738.15","6,289,477.91","52,547.26","98,097.32","192,927.54","3,619,448.44","366,905.49","887,893.83","1,214,573.27","6,386,975.66","1,420,335.34","2,396,119.75","3,011,159.66","5,410,743.16","279,364.60"
管理费用,"109,779,458.09","150,864,355.99","169,868,097.63","73,456,836.34","367,797,503.78","72,174,282.99","175,073,153.23","275,736,383.38","449,107,581.54","107,438,377.98","218,314,012.06","325,713,061.47","491,396,037.19","115,266,995.15","239,033,197.64","369,646,282.77","558,363,509.67","112,801,240.15","247,461,042.33","389,385,423.81","582,535,854.60","124,982,969.04","276,858,410.87","424,567,113.76","622,366,106.34","131,962,526.98","299,623,883.73","443,442,467.53","663,365,001.90","153,778,189.77","298,075,478.70","436,858,983.36","662,345,386.50","171,803,060.29","331,847,950.61","478,329,188.14","690,284,666.90","159,311,728.75"
其中:非流动资产处置净损失,"9,844,135.94","168,706.47","14,910,306.91","13,986,484.78","14,211,288.93",,"635,290.37","777,939.65","1,804,943.04","45,687.59","2,134,958.23","2,539,251.65","8,316,946.61",,"65,056.52","89,366.91","10,299,842.98","322,189.66","5,589,872.83","10,910,473.83","13,741,880.27","14,321.12","252,167.18","381,037.62","2,223,447.08","31,184.48","31,747.48","73,461.45","2,951,100.33","8,747.71","136,229.45","214,042.93",,,,,,
堪探费用,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5,430,797.87",,,
加:影响利润总额的其他科目,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
财务费用,"44,126,901.69","80,556,808.51","68,282,541.35","34,992,853.61","65,283,800.80","15,782,542.97","37,278,671.78","86,674,745.02","178,102,358.69","90,685,369.57","174,871,289.16","277,041,512.84","377,311,719.61","108,782,437.89","202,422,195.93","297,279,588.80","401,762,646.10","116,784,170.56","236,242,751.54","347,987,326.02","462,169,532.38","129,480,133.74","266,159,428.87","411,041,906.41","520,637,995.03","116,261,957.96","202,873,286.85","297,507,475.85","256,884,038.08","114,380,668.31","277,267,676.02","460,224,153.20","639,853,262.11","241,953,506.17","177,390,450.15","176,895,669.07","288,306,943.32","202,099,602.51"
三、利润总额,"719,731,856.19","964,892,235.42","642,705,036.45","402,668,604.19","1,078,299,808.95","206,202,540.97","473,619,539.30","752,971,938.92","995,052,508.21","253,959,047.72","459,751,324.75","650,637,469.85","906,481,629.66","264,541,454.44","572,227,531.40","828,855,587.89","1,025,888,960.13","188,313,229.83","434,960,608.20","637,571,937.89","795,882,129.46","169,438,353.62","403,036,046.27","544,871,852.19","729,744,892.00","167,013,605.40","331,607,707.47","516,621,299.69","778,012,950.96","201,347,485.81","324,856,481.72","520,097,346.51","727,158,184.66","-43,389,733.43","337,654,210.24","731,177,788.90","875,479,721.31","138,278,715.63"
资产减值损失,"-1,405,230.74","52,840,771.48","-365,609.20",,"-324,338.86",,,,"-10,000.00",,,"460,000.00","1,169,487.21","-730,013.87","-1,148,013.87","-1,148,013.87","344,918.29",,,,"1,629,504.33",,,,"-10,000.00",,,"155,498.39","5,944,350.81","-10,000.00","-10,000.00","-10,000.00","59,917,712.73",,"12,222,786.44",,,
减:所得税,"114,454,424.68","192,563,710.77","63,871,752.49","92,663,429.07","231,482,037.30","46,347,917.97","101,627,058.55","168,640,663.07","237,587,965.27","59,810,297.30","114,113,783.59","163,519,615.49","221,718,576.73","58,449,006.84","127,095,434.35","182,373,023.53","243,915,328.93","51,017,675.11","109,219,126.31","157,588,601.94","190,209,981.95","37,930,545.76","84,300,137.04","118,705,075.32","160,606,843.64","30,372,132.91","78,480,730.47","122,694,640.64","165,330,007.50","25,175,697.65","49,052,758.87","77,958,020.19","152,866,274.32","-4,699,836.88","89,230,642.16","171,484,111.13","193,498,370.29","34,106,259.58"
加:公允价值变动净收益,"-2,910,880.21","-6,123,223.93","9,005,159.40","28,944.74","28,944.74",,"1,530,201.65","6,105,763.34",,,"531,483.20",,,,"54,712.20","123,219.83","-6,621,030.01","430,346.41","165,619.90","1,244,908.00","1,238,604.61","2,498,600.71","4,224,613.40","2,415,982.58","2,950,982.93","-3,380,400.00","17,862,135.09","18,364,015.02","769,834.97","-1,414,426.00","-1,695,366.00","-1,103,692.84","-5,946,927.00","133,711.00","5,770,988.00","5,001,260.50","4,435,068.00","1,269,275.00"
加:影响净利润的其他科目,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
投资收益,"167,632,758.97","178,186,476.56","125,053,634.36","61,022,677.93","138,425,185.54","42,435,803.48","74,522,522.30","94,643,621.31","141,080,016.28","26,477,855.00","71,964,768.43","113,519,627.81","170,873,749.71","44,007,875.72","96,520,109.40","158,502,092.42","189,052,696.34","50,323,171.77","78,023,499.66","120,643,580.60","175,480,145.22","48,784,205.56","121,252,686.91","140,801,874.03","189,328,170.46","44,104,454.90","55,648,126.15","101,615,983.74","181,161,310.22","113,262,965.51","170,592,661.04","269,322,263.57","542,552,490.64","33,122,138.03","91,004,995.48","191,680,566.27","280,500,274.39","84,261,004.38"
