科目,2011年度,2012年度,2013年1-3月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月
一、营业收入,"223,180,306.72","225,272,826.80","59,792,224.30","255,385,121.46","58,312,246.52","121,966,072.53","178,329,694.15","243,428,659.11","58,465,584.36","109,929,179.95","148,666,637.75","191,250,584.99","61,833,849.83","113,176,119.08","171,880,595.38","234,866,048.11","67,944,476.01","287,334,368.99","501,218,581.77","744,154,806.61","152,344,096.43"
二、营业利润,"31,793,783.44","31,868,587.15","6,075,555.78","32,595,009.37","3,192,375.13","11,118,694.76","14,653,131.47","18,577,999.98","-920,920.35","1,585,867.77","-7,806,219.89","-11,372,779.79","-3,330,411.63","-10,143,452.90","-11,848,608.98","-16,548,359.86","-3,228,144.19","35,315,346.58","57,282,121.81","69,323,591.01","13,951,003.37"
减:营业成本,"138,224,482.41","135,617,724.19","37,352,582.86","156,916,271.81","35,615,304.26","76,444,581.02","113,392,226.46","154,034,504.91","39,441,940.96","73,994,970.93","100,259,604.60","127,186,891.95","42,666,951.01","77,887,459.49","116,737,903.63","158,406,159.74","44,763,665.21","199,221,490.76","350,662,520.74","522,876,375.04","101,431,151.09"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"1,900,746.30","2,394,197.01","669,829.14","2,159,466.25","657,353.35","1,033,882.78","1,378,618.45","1,900,749.47","514,895.69","680,135.56","737,341.63","884,416.92","715,422.49","766,560.64","996,767.08","3,234,221.34","929,350.87","2,596,386.84","3,960,802.62","7,168,810.60","1,578,027.98"
营业外收入,"11,309,775.14","8,090,134.56","1,252,693.49","6,647,500.91","1,489,943.09","5,857,168.09","7,241,952.61","12,567,021.44","3,513,912.40","6,546,369.45","8,181,688.02","12,413,202.68","3,772,112.38","11,354,940.01","13,851,735.45","16,821,672.30","4,132,854.04","207,811.77","285,849.21","320,813.34","28,959.25"
销售费用,"16,600,810.65","15,490,456.51","3,493,147.29","16,839,108.19","3,863,438.55","6,357,991.89","9,002,624.00","16,640,797.65","5,932,732.93","8,759,200.80","14,429,078.40","18,618,972.88","3,745,282.25","8,715,557.04","12,867,466.25","20,596,794.64","6,451,833.39","16,624,534.62","26,518,566.91","47,123,054.33","11,124,736.13"
减:营业外支出,"668,671.10","180,827.50","1,000.00","251,000.00","12,784.66","14,784.66","44,784.66","45,184.66",792.73,"255,586.17","255,586.17","257,156.78","221,519.85","597,014.16","648,358.18","987,908.56","53,658.77","150,674.72","159,021.06","154,739.40","4,067.94"
管理费用,"23,618,146.91","27,372,027.62","8,075,677.53","32,199,496.66","8,320,636.25","14,474,066.23","22,758,122.50","32,107,865.29","9,900,077.21","18,344,988.58","31,048,406.67","45,250,350.01","14,063,060.23","28,022,774.30","41,798,873.87","55,255,052.09","14,878,578.74","38,183,701.13","63,486,488.08","95,780,524.96","24,881,316.75"
其中:非流动资产处置净损失,,,,,"12,784.66","12,784.66","12,784.66","12,784.66",792.73,"253,586.17","253,586.17","255,156.78","221,519.82","595,014.13","626,162.50","761,763.14","2,170.00","79,985.95","22,443.24",,
