科目,2008年度,2009年度,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月
一、营业收入,"157,054,806.68","178,054,246.41","227,779,717.41","32,962,364.56","92,062,552.08","142,578,468.77","252,560,328.44","49,259,288.52","128,584,367.19","184,625,485.18","306,143,130.54","52,699,548.25","149,371,898.50","261,547,438.04","399,052,885.89","76,427,565.00","214,161,900.43","357,608,205.73","575,912,681.35","108,140,864.50","262,083,706.52","503,014,431.11","821,348,094.19","142,155,361.41","404,774,521.09","788,882,657.58","1,416,397,943.56","269,568,792.85","578,897,069.78","1,010,613,383.90","1,557,325,157.02","189,619,722.93","646,307,355.46"
二、营业利润,"26,542,678.01","32,301,475.66","39,562,503.29","310,203.88","4,868,204.95","6,030,152.35","24,963,633.87","1,364,397.58","6,735,603.50","6,790,374.93","24,958,421.34","-9,152,143.57","-9,239,973.99","-2,075,082.93","1,732,614.42","-6,122,677.45","-8,595,001.54","-5,876,908.41","5,122,593.30","-5,767,867.89","-14,085,484.61","4,039,604.80","23,420,477.18","-9,236,937.08","560,551.86","33,556,371.15","101,406,852.53","4,405,133.47","30,203,841.46","81,427,028.94","172,276,733.69","-20,965,122.10","24,199,324.79"
减:营业成本,"104,309,943.49","116,937,428.25","148,012,795.51","21,536,375.35","62,349,519.91","97,632,115.26","170,377,268.26","33,558,032.79","88,610,848.87","129,203,680.60","212,473,057.86","38,583,059.67","107,741,977.94","187,129,266.44","279,931,471.03","53,752,803.77","164,036,038.33","269,494,097.78","425,138,188.84","81,155,616.02","200,831,123.97","385,031,543.07","600,192,403.79","100,752,193.70","279,366,794.45","549,397,010.52","990,315,213.64","206,724,279.94","423,802,455.56","725,964,933.04","1,079,922,374.11","144,969,323.43","489,195,240.77"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"326,019.88","273,142.36","905,869.95","154,378.32","173,022.15","489,441.33","1,394,457.69","26,518.05","320,424.42","469,570.48","1,363,895.58","63,566.68","210,275.09","686,176.41","3,143,566.79","48,858.45","816,358.59","1,475,885.51","3,177,647.82","537,613.75","1,781,310.98","2,306,668.47","5,778,110.82","754,556.00","1,783,917.20","2,530,031.52","9,949,211.65","5,063,922.18","5,649,818.42","7,362,348.97","13,654,982.39","2,100,901.07","6,868,887.61"
营业外收入,"2,298,053.00","4,489,164.09","6,133,386.42","42,903.42","2,222,678.11","2,953,390.63","4,200,663.95","459,498.34","5,324,427.68","6,240,200.84","3,942,851.48","640,186.16","1,125,201.98","1,893,905.50","2,592,532.06","9,510,788.35","10,136,825.39","10,811,230.85","11,398,994.88","790,037.02","1,444,356.44","3,318,396.06","4,161,045.43","1,578,024.68","4,799,302.51","5,633,619.40","6,757,187.03","564,414.19","5,813,922.00","12,488,766.73","4,362,635.37","1,544,189.07","1,605,627.10"
销售费用,"10,252,974.43","10,977,553.64","14,481,563.75","5,123,761.14","10,460,882.16","17,843,824.42","25,305,085.22","7,145,079.55","13,177,477.01","18,768,527.33","26,649,874.94","8,836,720.62","16,786,683.71","23,471,465.91","33,805,795.23","9,357,296.79","17,379,748.94","26,979,538.07","39,525,126.45","11,187,097.33","24,943,462.70","32,912,372.88","46,433,979.87","12,920,881.70","31,586,504.24","52,179,642.12","82,663,611.36","16,576,845.05","33,656,166.14","58,248,797.70","90,450,520.45","23,018,233.17","42,056,832.86"
减:营业外支出,"50,000.00","1,682.22","2,352.16","6,258.26","7,219.62","37,219.62","37,219.62",111.06,"613,316.25","620,752.42","620,759.23",,"111,049.05","111,049.05","13,985.55","5,676.60","81,475.61","116,514.49","160,057.56","37,606.91","125,090.55","127,536.55","182,035.52","64,917.67","1,723,530.57","1,749,661.03","5,122,038.20","25,700.91","28,548.15","2,641,792.03","191,047.79","80,077.77","452,851.62"
管理费用,"14,469,288.37","14,745,097.68","21,363,716.94","5,491,131.86","13,071,176.32","20,300,160.83","30,989,583.23","8,028,002.16","20,728,997.37","30,207,423.28","40,129,410.36","13,790,364.20","30,498,196.60","46,235,007.62","70,258,630.01","15,792,498.86","33,199,730.09","54,511,555.34","90,934,406.07","19,052,758.17","41,439,379.28","67,270,502.21","127,397,127.55","32,010,769.57","73,054,471.92","116,347,969.48","181,850,955.33","34,145,107.20","66,964,072.20","103,734,867.42","168,845,842.87","36,037,330.66","70,237,666.36"
其中:非流动资产处置净损失,,,,,,,,,,,"3,570.04",,,,"13,411.00",,"74,259.15","109,298.03","136,121.13",,"33,877.38",,"83,002.64",,"44,660.00",,"91,322.34",,"19,268.91",,,,
