科目,2007年度,2008年度,2009年度,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月
一、营业收入,"161,108,315.90","144,338,862.93","183,620,779.24","174,384,199.68","253,275,354.03","37,034,355.35","128,689,210.93","232,718,969.01","322,148,342.67","40,902,349.66","140,783,647.32","257,136,564.53","39,214,612.47","145,474,052.82","271,109,225.03","408,092,604.38","54,414,766.55","196,574,813.65","370,238,907.99","516,076,557.76","54,409,551.43","217,134,284.92","357,887,561.62","458,299,699.26","58,034,995.50","1,049,997,440.16","1,668,608,593.58","2,323,564,259.56","748,222,876.00","1,402,915,371.29","2,048,938,611.11","2,906,694,476.65","1,069,768,310.43"
二、营业利润,"28,272,903.51","18,539,022.29","25,738,586.01","25,388,418.27","41,054,762.32","-12,231,253.18","4,778,610.28","28,337,181.27","46,928,824.85","-12,635,829.44","4,774,269.86","27,615,274.59","-14,865,342.29","-393,120.87","2,786,901.75","-44,305.09","-22,078,565.04","-1,818,935.56","3,177,017.61","6,699,986.90","-23,373,481.28","-4,687,504.23","-32,715,513.56","-44,845,095.19","-17,935,204.11","468,524,467.02","747,445,594.41","977,321,435.04","340,041,937.30","803,063,626.04","1,132,915,042.88","1,359,482,363.58","433,583,359.22"
减:营业成本,"112,271,618.54","105,103,086.76","133,712,047.67","128,470,799.98","183,522,329.34","39,784,368.01","106,696,791.85","179,986,138.96","243,454,946.48","48,889,853.86","125,165,830.08","212,935,148.44","46,080,563.28","128,750,700.75","245,126,978.99","345,129,200.65","66,951,062.69","177,319,996.93","333,506,379.98","429,793,892.09","62,885,313.89","179,023,640.54","312,940,775.75","404,345,654.42","61,670,287.52","173,819,337.60","275,849,250.30","412,722,258.87","136,424,200.29","254,390,411.87","359,604,931.66","696,484,465.14","271,899,818.68"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"3,773,898.98","3,457,595.01","4,265,570.21","3,957,387.69","5,804,270.72","721,535.44","3,011,723.94","5,491,858.54","7,589,799.67","161,499.80","931,624.38","1,734,756.92","86,531.59","1,262,901.79","2,411,296.55","4,330,261.84","238,187.48","1,830,054.68","3,335,926.86","5,787,207.52","208,442.66","2,806,584.42","4,294,787.17","5,322,254.49","495,273.72","17,250,750.60","26,060,775.94","38,257,603.10","9,759,852.64","18,324,973.70","25,614,684.94","34,890,106.91","9,742,669.47"
营业外收入,"3,532,069.50","6,569,911.47","1,574,067.16","3,413,744.91","3,408,593.75","22,949.93","3,522,216.04","3,534,581.70","3,971,607.77","2,732,236.86","5,802,776.36","5,828,627.52","44,495.30","2,559,600.35","2,615,385.83","5,842,406.72","153,730.02","4,422,678.46","4,683,102.81","11,144,320.60","735,085.59","6,041,166.18","9,760,820.83","13,844,716.45","731,103.34","123,036,179.94","174,529,140.93","228,065,721.55","48,536,142.99","1,961,004.48","2,721,702.15","2,707,172.29","153,717.06"
销售费用,"4,438,736.31","3,579,532.61","4,707,656.18","5,270,318.56","7,280,584.15","1,923,891.30","4,242,895.23","6,348,061.34","8,817,051.14","1,726,807.27","4,295,473.64","6,541,931.73","2,316,518.93","5,368,599.42","6,920,459.99","21,789,691.01","1,774,780.53","4,742,241.94","10,372,964.62","34,420,204.78","3,341,967.31","19,809,812.41","27,742,843.71","36,386,252.75","4,562,949.41","101,693,915.60","153,106,118.01","298,215,193.39","97,886,952.09","167,477,061.50","293,300,900.85","356,064,257.50","84,014,485.33"
减:营业外支出,"151,950.99","63,255.85","56,427.36","79,713.69","80,203.69",,"1,000.00","168,653.28","30,953.28","6,512.99","20,208.86","30,369.19",,"4,900.00","4,804.00","8,472.80","401,575.77","514,726.18","530,245.79","567,313.37",32.10,"281,934.50","362,285.72","2,124,151.16","23,366.59","1,973,841.36","2,207,678.93","3,842,589.59","1,356,726.33","21,450,714.10","23,375,462.70","22,961,288.54","1,441,021.07"
管理费用,"7,586,362.23","8,929,275.36","10,419,764.36","9,296,166.90","12,489,593.86","6,041,898.25","10,375,209.79","14,361,843.65","18,874,669.33","4,261,241.03","8,722,503.33","12,591,918.15","5,977,637.92","11,020,402.09","13,227,390.33","34,965,836.29","6,918,040.58","13,615,077.72","18,328,346.13","37,491,196.74","11,404,811.36","20,280,283.67","29,877,351.17","39,390,092.87","9,293,087.79","291,629,660.21","487,420,527.90","638,491,177.12","188,286,541.33","372,517,745.82","567,080,465.10","851,663,666.52","373,082,447.20"
其中:非流动资产处置净损失,"43,766.66",655.85,,,,,,,,,,,,,,,,,,,,,,"1,710,150.01",,"1,923,010.23","2,156,831.75","3,791,742.20","1,356,717.41","1,424,290.09","3,349,038.60",,
堪探费用,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
加:影响利润总额的其他科目,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
