科目,2008年度,2009年度,2010年度,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月
资产减值损失,"1,713,194.35","2,700,290.58","1,241,691.06","4,251,619.31","5,974,470.52","7,638,068.79","107,187.54","1,956,825.17","2,558,597.93","10,546,284.02","679,375.95","1,264,964.21","62,497.97","9,296,278.44","510,600.29","12,371,429.29","13,796,350.33","20,904,482.98","-1,400,376.38","-2,662,608.62","4,971,274.47","22,891,715.53","113,306.69","11,463,004.52","26,731,033.06","100,180,891.78","38,660,372.07","28,301,238.40","68,015,029.84","137,165,103.58","-3,750,594.17"
减:所得税,"7,467,417.86","6,698,858.99","9,101,715.30","6,224,279.36","8,566,818.96","9,607,709.22","2,016,225.38","3,383,529.33","4,620,749.96","2,344,392.27","687,479.46","510,210.17","1,899,479.52","818,399.50","-52,004.55","4,120,717.29","4,120,717.29","74,748,986.43","-4,149,404.32","13,443,458.08","30,045,543.75","85,673,589.44","1,055,526.62","39,393,954.95","81,385,866.46","222,832,574.73","15,411,050.34","15,229,629.81","6,015,383.90","188,942,354.38","28,609,677.05"
加:公允价值变动净收益,,,,,,"-355,724.48",,"-374,965.92","808,884.04","355,724.48",,,,,,,,,,,,,,,,,,,,,
加:影响净利润的其他科目,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
投资收益,"31,000.00","55,500.00","309,000.00","928,579.64","928,579.64","928,579.64",,"2,029,534.24","2,029,534.24","2,029,534.24",,"903,300.00","903,300.00","903,300.00","2,820,000.00","2,973,300.00","2,973,300.00","1,042,571.05","15,616.44","5,324,571.52","11,344,639.37","25,391,752.72","1,124,722.69","76,529,651.81","142,665,090.55","192,403,572.62","56,770,543.01","142,286,361.94","180,562,377.04","183,180,793.99","21,237,371.43"
四、净利润,"24,989,586.06","35,455,185.77","50,634,360.44","35,821,396.17","49,333,207.94","54,171,061.39","10,909,261.34","19,897,600.01","27,678,089.35","29,641,783.27","5,286,292.06","10,358,680.69","15,423,731.30","16,700,775.95","3,029,613.12","-16,531,975.77","-26,943,765.05","213,159,856.43","-12,735,914.99","42,410,724.41","87,890,669.46","299,112,062.11","13,373,776.40","351,854,269.89","665,290,779.66","1,133,147,743.46","317,636,853.39","651,693,496.17","1,035,624,840.03","1,459,910,930.96","391,339,927.15"
其中:对联营企业和合营企业的投资权益,,,,,,,,,,,,,,,,,,,,,,,,"75,331,085.69","117,317,087.37","159,956,908.51","20,122,082.71","100,066,644.80","133,760,086.03","68,166,589.92","8,297,710.45"
归属于母公司所有者的净利润,"24,989,586.06","35,455,185.77","50,634,360.44","35,821,396.17","49,333,207.94","54,171,061.39","10,909,261.34","19,897,600.01","27,678,089.35","29,641,783.27","5,286,292.06","10,358,680.69","15,423,731.30","16,700,775.95","3,029,613.12","-16,531,975.77","-26,943,765.05","190,190,830.06","-13,928,507.64","39,661,885.39","81,327,065.37","288,447,303.69","20,166,548.82","382,234,889.42","717,415,532.08","1,166,313,135.54","325,454,783.13","671,352,885.75","1,078,235,519.23","1,504,708,688.78","360,129,626.89"
影响营业利润的其他科目,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
少数股东损益,,,,,,,,,,,,,,,,,,"22,969,026.37","1,192,592.65","2,748,839.02","6,563,604.09","10,664,758.42","-6,792,772.42","-30,380,619.53","-52,124,752.42","-33,165,392.08","-7,817,929.74","-19,659,389.58","-42,610,679.20","-44,797,757.82","31,210,300.26"
