科目,2007年度,2008年度,2009年1-6月,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月,2018年1-9月,2018年度,2019年1-3月
销售商品、提供劳务收到的现金,"190,388,275.90","305,923,381.29","146,256,630.44","194,702,765.97","355,847,842.79","87,305,770.19","215,492,491.00","360,061,092.92","498,401,087.59","139,469,830.33","323,734,037.58","550,074,042.57","822,810,313.77","169,257,510.73","405,440,271.13","682,483,554.71","793,915,923.27","246,000,443.87","489,348,319.57","674,786,138.82","1,066,346,731.30","269,288,987.69","599,321,302.46","851,392,184.08","1,188,754,743.12","248,222,734.39","572,421,845.93","777,146,238.58","1,110,240,222.56","249,477,626.58","491,022,662.33","753,249,672.85","1,583,541,087.02","333,803,393.49","875,406,060.85","1,288,413,278.69","1,988,977,040.69","497,518,569.02","985,112,996.58","1,725,489,070.76","2,645,889,221.03","657,088,470.99"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,,,,,,,"21,169,577.67",,,,"136,108,425.60",,,,,,,,"4,023,940.01",,,"366,978,542.78","525,288,720.21","72,000,000.00","144,464,571.49","130,779,453.73","121,017,453.73",,"298,373,904.79","298,373,904.79","298,373,904.79","6,891,353.34"
收到的税费返还,,,"3,855.12","3,855.12","15,007.08",,,,"37,171.60",,,,"3,560,687.57","1,142,423.33",,,"3,558,960.77","119,347.22","879,205.58","1,005,924.26","2,262,390.50","341,296.93","468,500.54","886,171.45","1,046,769.35","187,463.43","428,879.23","2,934,827.16","2,396,758.22","541,301.58","1,418,451.20","6,367,883.13","4,699,333.07","1,521,421.31","2,627,985.77","3,358,784.02","18,387,313.13","9,467,620.81","12,810,303.63","21,478,105.93","31,964,697.75","2,743,373.02"
支付其他与投资活动有关的现金,,,,"11,388,963.00",,,,,,,,,,,,"1,104,366.24",,"785,000.00",,"117,771.00","361,558.00",,,,"1,119,609.80",,,,,,"28,957,448.81","33,172,168.48","4,641,030.10","387,643.00","565,999.15","565,999.15",,,,"1,027,460.38","6,007,112.08",
收到其他与经营活动有关的现金,"1,063,600.00","1,533,647.00","1,412,200.00","1,853,000.00","1,745,841.00","4,287,421.15","212,975.00","212,975.00","3,794,068.65","112,100.00","218,100.00","218,100.00","5,525,396.34","315,632.87","2,561,880.00","2,590,500.00","4,663,072.75","118,155.00","533,004.83","1,603,637.00","7,849,790.28","2,201,089.49","3,668,772.85","7,381,368.70","26,055,124.27","1,788,889.20","3,225,201.75","5,400,158.50","12,661,420.97","874,552.57","5,705,014.93","7,976,701.68","171,547,956.79","1,396,672.23","21,030,421.49","30,298,233.72","100,439,044.37","22,780,001.03","33,531,425.38","33,724,982.41","336,022,270.49","269,910,932.82"
投资活动现金流出小计,"28,177,869.96","81,012,347.39","19,688,025.91","45,439,424.07","42,575,229.12","41,509,088.35","62,336,537.69","111,487,159.22","234,944,558.85","58,525,324.91","141,157,475.47","223,730,203.31","200,129,107.18","81,230,603.06","116,565,622.82","267,045,082.52","207,848,345.66","91,050,184.30","301,437,623.98","515,929,010.05","469,501,459.13","164,586,960.55","254,891,390.61","349,114,417.29","613,521,572.34","221,861,091.14","248,617,681.60","342,829,737.08","375,744,458.50","52,893,330.58","281,931,136.88","716,016,752.08","845,092,354.00","250,598,428.70","267,438,580.02","400,541,223.33","580,816,825.18","295,881,735.30","1,003,793,802.96","1,098,692,933.15","1,725,161,079.06","112,672,567.45"
经营活动现金流入小计,"191,451,875.90","307,457,028.29","147,672,685.56","196,559,621.09","357,608,690.87","91,593,191.34","215,705,466.00","360,274,067.92","502,232,327.84","139,581,930.33","323,952,137.58","550,292,142.57","831,896,397.68","170,715,566.93","408,002,151.13","685,074,054.71","802,137,956.79","246,237,946.09","490,760,529.98","677,395,700.08","1,076,458,912.08","271,831,374.11","603,458,575.85","859,659,724.23","1,215,856,636.74","250,199,087.02","576,075,926.91","785,481,224.24","1,125,298,401.75","250,893,480.73","498,146,128.46","767,594,257.66","1,759,788,376.88","336,721,487.03","899,064,468.11","1,322,070,296.43","2,107,803,398.19","529,766,190.86","1,031,454,725.59","1,780,692,159.10","3,013,876,189.27","929,742,776.83"
投资活动产生的现金流量净额,"-28,177,869.96","-81,012,347.39","-19,688,025.91","-45,439,424.07","-42,575,229.12","-41,509,088.35","-62,336,537.69","-111,487,159.22","-234,944,558.85","-58,509,324.91","-141,141,475.47","-223,714,203.31","-200,023,379.55","-81,230,603.06","-116,565,622.82","-267,045,082.52","-186,443,194.66","-91,050,184.30","-283,707,173.98","-498,198,560.05","-434,770,429.13","-164,527,960.55","-254,829,309.84","-342,205,417.29","-474,246,157.08","-220,861,091.14","-242,467,681.60","-324,316,737.08","-347,623,860.62","-38,800,530.58","-197,343,316.03","-627,798,931.23","-782,587,106.86","-242,494,458.70","-244,051,238.54","-365,263,749.45","-528,520,591.72","-292,714,443.53","-892,488,995.16","-1,028,768,285.64","-1,131,398,522.54","-85,450,002.33"
购买商品、接受劳务支付的现金,"127,438,183.90","227,283,255.32","111,670,866.57","143,721,392.29","270,031,196.08","93,711,918.94","186,577,520.23","301,844,880.86","380,690,331.41","164,562,174.32","296,717,226.70","467,202,444.31","780,704,854.05","122,246,281.23","352,540,715.74","537,728,085.58","647,026,418.09","199,207,724.79","396,642,073.13","551,560,496.47","846,855,353.80","195,744,831.31","400,948,567.15","538,807,474.52","746,023,468.13","185,975,419.70","325,884,183.30","473,189,756.97","640,974,879.73","206,965,832.83","320,005,988.67","506,995,626.85","1,236,018,198.15","338,823,922.93","666,996,827.44","1,087,343,952.34","1,497,688,011.12","358,153,418.04","750,371,670.08","1,521,223,865.65","1,842,145,230.26","575,039,266.61"
吸收投资收到的现金,"29,089,461.32",,,,,"437,000,000.00","437,000,000.00","437,000,000.00","441,900,000.00",,"4,900,000.00","9,800,000.00","9,800,000.00",,,"40,000,000.00","7,593,750.00","699,955,200.00","677,956,185.60","677,956,185.60","679,556,185.60",,"24,000,000.00","24,300,000.00","24,300,000.00","102,320.00","102,320.00","4,022,320.00","4,022,320.00","310,000,000.00","4,000,000.00","4,260,000.00","1,758,593,895.33",,,,,,"400,322,555.45","406,770,524.45","406,770,524.45","7,041,309.00"
