科目,2013年度,2014年度,2015年度,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月,2018年1-9月,2018年度,2019年1-3月
销售商品、提供劳务收到的现金,"621,907,706.03","848,886,326.13","1,049,525,098.91","813,279,358.11","1,135,550,102.92","388,239,509.21","747,370,522.76","1,124,291,291.91","1,436,157,192.85","467,829,053.90","793,832,682.36","1,126,230,867.21","1,431,127,531.46","261,080,275.41"
取得子公司及其他营业单位支付的现金净额,"71,650,000.00",,"46,703.93",,,,,,,,,,,
收到的税费返还,"26,761,649.52","25,412,245.28","13,794,885.79","5,175,681.43","6,907,985.21","752,831.76","1,130,325.05","1,892,939.41","2,287,710.83","282,528.08","552,474.84","6,327,118.73","986,505.98","122,408.38"
支付其他与投资活动有关的现金,,,,,,,,"940,652.75",,"2,058.00","7,300,000.00","7,300,000.00",,
收到其他与经营活动有关的现金,"8,010,288.68","10,860,369.89","5,390,121.56","5,508,837.37","7,804,930.07","8,879,595.38","10,417,558.12","17,760,996.31","26,146,666.08","3,141,914.32","6,555,047.40","7,247,453.86","34,517,112.10","9,904,305.41"
投资活动现金流出小计,"163,291,097.84","176,386,283.97","240,442,486.67","157,151,365.86","225,161,150.04","43,589,925.64","225,589,924.65","408,900,401.18","704,522,867.93","78,016,623.94","173,306,162.23","242,401,633.12","508,655,641.39","73,397,420.65"
经营活动现金流入小计,"656,679,644.23","885,158,941.30","1,068,710,106.26","823,963,876.91","1,150,263,018.20","397,871,936.35","758,918,405.93","1,143,945,227.63","1,464,591,569.76","471,253,496.30","800,940,204.60","1,139,805,439.80","1,466,631,149.54","271,106,989.20"
投资活动产生的现金流量净额,"-155,738,685.36","-168,533,562.90","-224,699,793.65","-148,189,759.05","-210,357,459.18","-43,589,925.64","-223,994,836.74","-352,617,376.29","-422,123,786.79","10,806,924.85","-67,310,881.14","-135,802,986.56","-229,359,579.25","27,507,303.93"
购买商品、接受劳务支付的现金,"401,342,206.37","528,726,648.83","659,852,547.28","467,598,549.28","635,691,091.17","253,400,856.58","494,654,386.66","741,690,381.91","888,273,356.48","249,426,678.14","490,685,883.28","704,439,350.93","851,539,403.53","186,867,261.49"
吸收投资收到的现金,"9,568,958.23","14,000,000.00","2,733,917.22",,,"354,663,000.00","354,663,000.00","354,663,000.00","369,381,726.14",,,"-564,810.00",,"-2,413,600.00"
