科目,2009年度,2010年度,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月
一、营业收入,"764,965,668.46","1,652,257,990.97","2,017,989,180.45","473,394,507.46","798,432,829.56","1,211,764,236.66","1,708,325,052.74","459,488,661.93","971,899,523.94","1,557,388,428.56","2,280,460,646.74","694,849,219.29","1,456,586,953.64","2,449,827,950.42","3,680,168,521.04","820,785,864.51","1,679,391,934.32","2,801,880,546.28","5,947,032,616.88","2,208,841,233.33","6,423,785,732.14","8,524,978,775.66","11,530,533,460.78","2,687,122,744.74","6,276,209,889.07","10,846,372,006.78","16,362,284,494.30","3,470,021,012.78","10,001,972,858.94"
二、营业利润,"98,734,897.31","486,943,830.31","294,212,805.58","4,177,595.72","14,060,449.86","-16,492,056.21","-110,720,307.61","-13,252,144.83","26,312,211.41","42,919,551.93","72,867,351.34","47,492,453.55","109,319,730.86","189,548,375.81","292,602,945.60","102,873,659.06","126,964,287.16","267,899,977.47","568,630,127.92","305,783,128.84","1,000,552,642.24","1,249,740,446.68","1,766,344,520.55","530,495,606.85","1,524,201,624.15","2,679,660,754.05","3,995,614,176.04","585,872,301.15","1,456,546,219.68"
减:营业成本,"584,975,038.66","1,079,075,625.19","1,539,329,444.38","395,472,462.86","659,307,672.70","1,007,506,624.82","1,485,080,608.82","412,331,632.97","848,342,447.66","1,354,158,563.67","2,000,842,976.93","579,756,220.84","1,215,955,885.88","2,037,334,426.52","3,054,336,785.00","644,277,113.96","1,328,876,644.65","2,172,813,295.33","4,735,741,149.13","1,675,149,440.31","4,760,885,010.25","6,291,316,533.22","8,361,433,163.43","1,845,290,638.97","4,072,446,037.51","7,050,709,408.30","11,081,826,922.22","2,709,584,631.60","7,739,454,562.91"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"948,652.07","3,019,668.34","5,301,648.55","221,908.34","1,056,931.92","1,385,957.18","1,695,124.91","170,478.64","380,516.86","1,013,458.54","1,717,086.25","1,223,219.04","2,655,015.38","4,423,470.31","7,342,421.55","1,502,282.18","4,789,735.89","5,739,729.70","9,871,682.40","6,498,285.60","30,679,888.92","43,280,774.58","109,980,540.28","22,276,371.73","57,150,173.93","86,593,764.63","151,646,978.35","22,995,520.30","54,959,627.59"
营业外收入,"5,266,727.03","28,928,122.86","37,183,701.68","10,014,807.99","20,315,940.79","22,065,305.08","35,988,169.16","1,131,373.11","4,721,148.76","10,588,215.96","21,525,249.37","2,871,203.20","7,787,180.58","14,977,561.31","29,688,167.32","1,921,190.04","17,855,378.95","30,534,520.31","64,929,148.83","9,861,028.16","16,272,754.69","38,260,334.67","47,736,427.37","3,332,086.70","12,563,512.08","48,498,733.67","47,427,945.94","2,484,298.57","4,856,869.92"
销售费用,"9,276,491.28","14,453,551.32","16,402,453.55","5,198,889.39","11,928,918.36","17,401,630.72","21,851,167.56","3,841,558.11","9,213,655.31","16,292,671.54","25,145,057.79","9,337,288.05","20,176,881.03","29,432,906.94","38,860,513.99","8,944,407.02","20,493,198.32","61,443,429.71","132,992,379.55","70,296,501.95","195,535,969.46","256,822,161.36","467,825,329.46","120,865,492.20","262,160,386.19","417,576,832.41","664,250,891.42","160,436,813.05","456,864,490.60"
减:营业外支出,"852,790.15","753,293.74","1,548,943.82","116,975.11","240,704.55","395,587.57","449,185.96","7,911.25","449,565.00","888,322.41","1,408,526.61","141,048.13","353,568.13","1,172,494.40","3,060,657.04","1,743,473.35","2,217,147.98","7,151,820.24","40,986,989.05","4,120,843.57","9,303,046.10","10,159,477.48","21,381,570.72","620,944.84","8,500,846.10","12,871,625.80","25,347,195.57","771,401.23","4,944,681.04"
管理费用,"32,217,876.66","55,939,970.31","96,624,878.74","32,864,099.87","60,129,968.02","92,417,070.67","130,610,914.46","22,186,369.15","49,873,628.70","78,933,454.05","119,367,628.62","33,967,942.97","67,359,004.70","106,738,038.20","171,597,707.74","48,536,071.63","106,337,991.35","173,207,642.63","275,229,422.21","87,466,343.70","303,193,746.67","422,594,282.79","441,100,497.62","132,079,797.96","267,541,717.47","441,011,404.11","664,420,033.90","171,001,012.86","351,770,297.76"
其中:非流动资产处置净损失,"543,545.31","575,252.27","1,189,713.13",,"160,269.52","162,978.74","223,410.50","7,911.25","415,318.57","829,715.54","927,655.30","140,172.94","202,692.94","427,428.81","2,354,517.94","1,573,273.35","2,021,307.98","6,952,940.55","40,368,227.40","4,117,228.36","8,789,030.49","9,355,135.90","19,212,438.72","576,641.69","8,312,737.26","11,693,476.82",,,
