科目,2011年度,2012年度,2013年度,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度
销售商品、提供劳务收到的现金,"581,722,563.26","665,339,173.72","866,183,808.09","466,691,525.24","695,453,949.69","967,965,155.47","268,782,690.32","480,816,288.40","659,516,829.36","965,877,695.26","219,986,793.56","414,763,129.40","617,658,685.47","882,820,408.10","379,497,979.08","1,147,928,779.31","1,868,497,613.29","2,801,721,516.99"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,"119,881,165.33","119,881,165.33",,,,,,"4,293,265,688.04","4,413,265,688.04","4,374,996,170.75"
收到的税费返还,,,,,,,,,,"2,202,609.91",,,,,"4,078,613.67","4,102,270.26","4,119,708.06",
支付其他与投资活动有关的现金,,,,,,"20,000,000.00",240.00,240.00,240.00,"350,200.95","556,642.98","773,625.92",,"1,026,789.25",,"394,170.47","689,215.48","692,605.17"
收到其他与经营活动有关的现金,"4,565,218.52","10,042,626.28","10,773,026.90","11,445,209.90","12,683,437.74","17,852,570.33","6,189,252.54","12,015,256.25","28,092,187.16","38,703,709.78","10,884,725.15","14,008,997.96","22,186,372.94","29,895,253.68","39,094,965.37","23,167,559.29","61,096,632.95","39,993,626.99"
投资活动现金流出小计,"25,809,840.30","42,918,288.66","42,120,136.08","26,960,303.29","43,326,100.86","95,082,031.72","157,310,300.40","292,485,177.57","575,311,676.47","754,240,343.93","503,230,144.08","1,000,937,017.57","1,199,039,567.53","1,795,562,704.47","4,920,520,240.72","5,071,056,307.07","6,079,333,131.63","6,970,316,695.72"
经营活动现金流入小计,"586,287,781.78","675,381,800.00","876,956,834.99","478,136,735.14","708,137,387.43","985,817,725.80","274,971,942.86","492,831,544.65","687,609,016.52","1,006,784,014.95","230,871,518.71","428,772,127.36","639,845,058.41","912,715,661.78","422,671,558.12","1,175,198,608.86","1,933,713,954.30","2,841,715,143.98"
投资活动产生的现金流量净额,"-25,781,191.21","-42,857,736.74","-42,105,499.66","-26,930,379.91","-43,295,381.69","-94,909,260.53","-137,226,441.78","-130,517,541.85","-413,329,025.75","-469,148,466.09","-290,706,377.36","-275,284,863.23","-162,054,319.91","-510,769,654.27","-3,693,078,710.34","-3,771,724,786.21","-3,886,766,082.30","-3,829,866,761.69"
购买商品、接受劳务支付的现金,"195,382,011.26","245,250,795.26","214,790,779.62","126,990,756.99","210,684,332.65","286,553,179.96","60,830,575.88","109,095,532.80","170,171,191.61","281,931,252.77","54,746,612.24","114,451,661.62","165,392,090.37","238,547,474.14","164,893,848.70","480,398,536.98","780,704,144.82","977,482,838.58"
吸收投资收到的现金,"112,616,200.00",,,,,"670,409,900.00",,,,,,,,,"458,455,684.00","459,046,534.00","514,016,119.32","515,066,519.32"
