科目,2008年度,2009年度,2010年度,2011年1-6月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月
销售商品、提供劳务收到的现金,"25,446,474.94","44,337,788.07","59,868,003.84","45,266,467.27","103,383,170.84","27,286,112.85","57,469,506.74","93,579,881.46","139,208,551.91","28,507,620.56","62,775,389.80","102,754,064.50","143,695,617.99","23,383,290.88","59,049,716.90","80,988,086.78","140,154,878.89","55,823,741.08","147,054,635.95","228,155,299.87","347,675,564.85","115,897,375.58","220,001,154.89","333,595,145.68","436,826,729.27","364,409,874.79","1,143,023,027.86","2,010,387,973.27","420,191,340.57","121,829,607.04"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,,,"2,999,981.98",,,,"61,486,328.02",,,,"87,968,521.20",,,,"63,447,840.40",,,,"63,447,840.15",
收到的税费返还,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,540,722.59","1,540,722.59",,
支付其他与投资活动有关的现金,,,,,,,,,,,,,,,,,"6,674,647.13",,,,,,,,,,,,,
收到其他与经营活动有关的现金,"414,382.01","503,961.74","12,705,759.73","648,264.39","6,298,555.30","1,891,278.19","7,772,370.08","14,519,695.78","18,641,760.22","10,137,252.28","15,345,870.01","19,969,910.58","34,716,222.30","5,291,507.44","6,902,225.09","26,050,505.66","39,906,828.02","3,032,566.19","9,883,410.29","25,477,278.28","35,279,570.56","1,791,548.05","13,660,558.25","17,955,810.72","39,269,907.54","57,589,453.92","22,106,853.53","35,315,085.47","25,353,524.88","1,245,472.06"
投资活动现金流出小计,"2,960,156.00","1,570,179.30","867,337.00","4,731,936.00","5,906,181.00","354,441.00","5,155,152.31","41,274,860.97","50,422,232.09","8,882,372.55","20,728,816.61","30,084,308.70","36,554,141.02","8,475,784.87","22,216,227.66","49,957,976.98","146,171,471.69","34,866,339.98","178,227,165.51","212,558,679.53","260,229,607.82","94,498,423.18","296,017,364.16","370,714,154.67","435,693,855.17","45,172,576.16","175,457,911.25","210,885,181.31","162,971,572.68","42,073,613.14"
经营活动现金流入小计,"25,860,856.95","44,841,749.81","72,573,763.57","45,914,731.66","109,681,726.14","29,177,391.04","65,241,876.82","108,099,577.24","157,850,312.13","38,644,872.84","78,121,259.81","122,723,975.08","178,411,840.29","28,674,798.32","65,951,941.99","107,038,592.44","180,061,706.91","58,856,307.27","156,938,046.24","253,632,578.15","382,955,135.41","117,688,923.63","233,661,713.14","351,550,956.40","476,096,636.81","421,999,328.71","1,166,670,603.98","2,047,243,781.33","445,544,865.45","123,075,079.10"
投资活动产生的现金流量净额,"-2,960,156.00","-1,570,179.30","-867,337.00","-4,655,985.78","-5,830,230.78","-354,441.00","-5,155,152.31","-41,274,860.97","-50,407,735.97","-8,882,372.55","-20,728,816.61","-30,084,308.70","-36,431,979.31","-8,451,798.57","-22,163,668.92","-49,883,432.48","-124,387,832.72","-3,220,010.59","-103,763,515.40","-109,080,352.77","-106,373,854.31","-74,024,290.96","-110,662,791.54","-145,152,721.23","-205,160,748.42","-21,654,576.54","-151,939,911.63","-180,466,711.69","-162,942,799.34","-42,068,813.14"
购买商品、接受劳务支付的现金,"377,700.00","1,710,949.00","2,218,915.58","408,418.07","1,774,514.32","248,606.70","1,202,789.95","1,484,285.55","3,483,280.03","658,150.55","1,476,408.09","2,099,912.72","4,183,618.21","535,614.54","1,319,771.44","2,322,594.17","3,195,180.15","7,069,084.02","7,894,961.11","11,587,854.98","43,984,853.81","38,149,938.67","63,801,251.05","112,464,967.93","145,459,961.59","290,881,399.52","753,718,540.13","1,566,651,467.45","117,900,403.79","35,052,707.22"
吸收投资收到的现金,,,,,,"275,411,288.79","281,668,160.00","281,668,160.00","281,668,160.00",,,"23,000,000.00","23,000,000.00","4,900,000.00","4,900,000.00","4,900,000.00","5,001,000.00",,"30,000,000.00","30,000,000.00","30,000,000.00",,,,,"5,880,000.00","6,580,000.00","6,580,000.00","6,580,000.00",
支付给职工以及为职工支付的现金,"10,785,683.96","15,110,560.10","17,310,485.55","12,822,399.21","28,502,652.79","10,411,670.48","17,825,507.56","27,462,534.64","37,479,430.06","11,813,202.00","21,927,018.53","32,916,409.97","45,114,411.61","14,218,445.07","27,867,789.67","41,525,770.55","55,453,349.14","23,320,474.51","44,695,739.69","67,445,122.60","92,791,333.22","34,041,976.68","70,885,951.73","104,745,307.25","152,323,879.90","49,144,798.06","93,391,353.98","138,902,585.62","169,155,219.89","47,273,621.65"
取得借款收到的现金,,,,,,,,,,,,,,,,,,,,,,,,,,,"145,000,000.00","235,000,000.00","150,000,000.00","500,000.00"
支付的各项税费,"1,813,799.70","3,791,063.31","5,983,881.55","7,636,252.45","13,843,728.52","5,282,679.09","9,355,300.98","12,479,209.02","19,394,204.00","6,048,929.12","7,360,138.93","8,268,237.38","8,449,998.55","1,375,255.17","3,043,905.90","5,765,333.64","7,475,638.48","9,458,522.29","18,276,591.46","29,131,341.31","42,581,202.28","15,581,463.78","23,789,509.70","31,914,432.42","30,364,846.24","8,960,527.46","36,008,011.84","78,325,867.31","32,053,530.59","3,852,508.97"
