科目,2008年度,2009年度,2010年度,2011年1-6月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月
销售商品、提供劳务收到的现金,"1,022,896,250.13","1,480,159,211.86","1,577,517,173.99","828,344,178.14","1,799,310,058.07","426,707,994.82","923,757,199.99","1,590,607,089.83","2,222,470,424.67","485,663,954.29","1,165,593,833.79","1,956,231,744.89","2,555,795,072.67","588,320,514.07","1,355,531,830.07","2,139,394,608.62","2,804,258,212.23","571,369,410.58","1,258,592,024.25","1,995,102,794.09","2,692,525,371.45","541,375,375.05","1,171,129,259.41","1,841,250,473.20","2,443,696,284.00","621,079,046.86","1,299,180,262.60","1,938,040,580.63"
取得子公司及其他营业单位支付的现金净额,,,,,,,"5,300,000.00","5,300,000.00","2,556,383.04",,,,,,,,,,,,,,,,,,,
收到的税费返还,"12,450,765.64","10,218,903.22","16,859,147.21","7,027,962.50","13,169,020.17","859,633.93","4,058,286.57","5,776,546.77","10,468,604.96","3,217,565.77","4,279,421.63","7,426,792.67","19,753,426.63","1,300,574.70","2,021,145.99","6,144,192.37","7,962,936.66","9,670,490.87","14,094,128.91","17,579,658.93","20,891,782.67","6,089,250.44","8,358,268.27","14,970,691.78","21,309,797.51","7,494,144.57","13,088,225.59","20,628,176.73"
支付其他与投资活动有关的现金,"2,973,071.92",,,"171,400.00","373,627.02","2,650,000.00",,,,,,,,,,,,,,,,,,,,,,
收到其他与经营活动有关的现金,"10,564,075.38","17,894,432.38","8,945,391.23","3,528,975.25","8,949,017.69","633,935.07","22,576,621.29","43,564,344.49","25,070,005.06","24,925,835.28","14,202,224.31","27,598,624.64","29,793,260.24","21,139,706.01","13,842,460.86","49,836,441.08","35,687,042.29","19,819,739.89","10,314,163.59","98,084,465.86","25,885,396.98","21,984,528.26","5,987,762.87","81,250,935.20","16,850,822.68","25,977,872.32","6,756,421.03","67,167,838.23"
投资活动现金流出小计,"34,690,235.48","51,865,359.45","103,318,210.52","39,457,180.15","73,367,839.78","12,007,767.92","23,331,064.93","31,140,314.58","60,929,400.07","4,594,622.16","221,983,797.62","254,967,132.13","789,295,505.75","259,332,914.72","568,130,006.62","765,936,123.60","1,078,096,649.08","342,862,480.16","713,062,793.82","1,218,605,463.71","1,819,682,943.07","310,109,066.80","693,863,208.67","965,712,342.76","1,107,160,423.69","36,434,707.56","328,040,422.63","441,314,617.58"
经营活动现金流入小计,"1,045,911,091.15","1,508,272,547.46","1,603,321,712.43","838,901,115.89","1,821,428,095.93","428,201,563.82","950,392,107.85","1,639,947,981.09","2,258,009,034.69","513,807,355.34","1,184,075,479.73","1,991,257,162.20","2,605,341,759.54","610,760,794.78","1,371,395,436.92","2,195,375,242.07","2,847,908,191.18","600,859,641.34","1,283,000,316.75","2,110,766,918.88","2,739,302,551.10","569,449,153.75","1,185,475,290.55","1,937,472,100.18","2,481,856,904.19","654,551,063.75","1,319,024,909.22","2,025,836,595.59"
投资活动产生的现金流量净额,"-31,292,344.09","-46,760,982.95","-100,966,876.24","-37,275,204.61","-71,283,548.45","-11,900,094.84","-22,842,028.97","-30,651,278.62","-60,021,331.09","-4,563,622.16","-221,667,668.83","-254,444,503.34","-321,001,843.18","152,723,249.66","-135,943,623.06","-171,897,178.39","-209,331,855.07","191,012,184.23","-23,132,937.65","-65,967,848.92","-270,717,394.64","204,678,275.68","-43,415,516.10","-48,053,479.72","8,508,285.31","100,881,648.61","108,158,669.68","142,536,406.79"
购买商品、接受劳务支付的现金,"833,655,473.72","1,013,340,056.70","1,245,888,515.69","572,549,672.87","1,414,376,310.85","399,140,888.68","702,923,865.13","1,137,649,539.86","1,648,504,905.08","446,366,625.12","813,182,370.45","1,413,667,415.03","1,902,183,696.54","387,906,440.59","810,542,509.02","1,511,023,121.53","1,976,319,739.26","498,506,614.55","967,914,424.45","1,447,082,089.35","1,914,984,475.35","477,846,835.35","809,075,451.10","1,402,002,002.33","1,751,255,963.02","548,615,370.35","962,990,035.11","1,536,188,179.26"
吸收投资收到的现金,"790,703.60","349,044.00",,,,"651,140,000.00","651,140,000.00","651,140,000.00","651,140,000.00","33,695,004.31","33,507,000.00","33,507,000.00","33,507,000.00","5,976,000.00","5,976,000.00","5,976,000.00","5,976,000.00","4,850,000.00","4,850,000.00","4,850,000.00","4,850,000.00",,,,,,,
