科目,2007-12-31,2008-12-31,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31
应付职工薪酬,"5,948,071.39","673,282.45","711,680.66","1,573,811.38","4,027,448.80","10,011,297.26","727,997.85","4,156,254.90","5,862,789.77","8,205,148.43","4,451,007.79","1,794,164.42","5,598,412.09","6,475,675.09","2,726,555.73","2,530,741.02","3,477,115.31","5,955,592.50","5,023,142.26","2,936,244.64","5,064,044.87","6,556,844.63","7,770,555.33","7,267,272.83","5,210,357.70","9,642,571.25","7,824,898.99","4,523,838.42","7,612,728.50","10,274,993.54","11,707,735.21","4,604,317.96","6,072,945.70","10,615,351.12","15,676,667.08","4,566,173.26"
应收关联公司款,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应交税费,"14,415,207.78","12,211,166.25","16,033,984.46","3,646,283.93","11,353,902.01","9,672,169.56","9,690,896.82","-5,471,388.47","409,974.79","1,844,138.24","8,454,110.49","4,735,837.95","8,761,779.48","10,490,121.00","5,409,142.09","2,423,925.20","4,525,316.79","3,523,389.85","24,573.92","-950,703.52","7,758,539.31","8,921,461.49","8,483,227.95","2,274,267.47","8,169,184.23","9,226,897.39","5,166,699.85","3,162,327.21","4,627,712.13","14,232,422.06","28,206,883.86","21,766,390.13","21,768,992.84","19,934,904.06","13,181,993.43","15,272,768.51"
应收利息,,,,,,,,,,,,,,,,,,,,,,,"179,554.67","558,893.60","882,162.66","1,774,047.19","1,433,898.92","681,006.00","1,084,732.80","2,175,158.00","2,868,387.70","703,112.16","856,659.72","2,438,664.17","2,599,195.54","854,709.73"
应付利息,"532,080.06","461,851.04","255,108.00","359,026.00","190,000.00",,,"12,942.08",,,,,,,"88,714.40","188,872.63","347,321.40","181,177.37","248,455.13","495,569.38","1,019,622.94","470,954.54","579,471.01","1,629,895.94","748,952.14","784,378.02","502,870.62","476,334.64","540,264.85","796,899.85","615,964.23","861,806.87","348,257.97","954,820.87","1,134,328.58","1,034,240.55"
应收股利,,,,,,,,,,,,"720,000.00",,,,"720,000.00",,,,"720,000.00",,,,"720,000.00",,,,"720,000.00","552,960.00",,,"6,000,000.00","7,276,032.00",,,"2,528,249.68"
应付股利,"9,062,867.48",,,"584,000.00","1,220,000.00","1,220,000.00","2,984,000.00","1,220,000.00","3,445,000.00","75,000.00","10,990,250.00","2,320,241.54","9,096,955.06","11,785,542.40","3,833,107.43","3,833,107.43","441,000.00",,,,"700,000.00","13,504,509.20","13,504,509.20","6,926,869.20","6,804,369.20","5,260,869.20","5,260,869.20","5,260,869.20","3,767,369.20","3,767,369.20","3,767,369.20","806,119.20","1,047,922.47","1,047,922.47","806,119.20",
存货,"119,289,494.89","115,369,625.79","127,150,299.07","109,892,275.96","130,251,042.58","147,225,433.63","173,512,878.47","170,193,517.03","181,730,697.07","185,896,159.49","199,368,029.87","179,297,830.19","194,607,567.30","307,258,001.24","350,540,181.39","356,363,559.49","389,882,559.59","392,661,401.21","481,818,197.19","496,453,887.03","482,154,550.72","367,211,830.02","384,864,746.30","380,178,081.98","365,914,866.78","362,210,024.72","432,712,573.67","403,618,999.07","400,703,868.64","351,329,584.86","405,424,869.40","383,442,553.04","372,507,712.98","358,890,874.71","392,133,955.55","348,939,070.77"
其他应付款,"25,665,953.83","21,937,434.28","11,943,903.42","14,129,645.23","20,564,914.95","18,923,121.34","17,249,181.02","18,113,451.08","20,380,771.31","14,113,357.15","23,468,917.75","14,746,871.62","18,294,993.42","25,588,703.01","17,104,472.79","18,793,362.58","16,770,771.92","16,026,252.24","27,744,862.73","14,422,962.96","33,468,026.98","44,165,906.16","51,690,022.26","71,241,139.97","36,576,047.29","21,113,059.95","23,982,519.72","16,315,089.86","17,660,826.27","19,000,756.21","21,945,411.79","30,523,194.74","25,126,931.51","26,275,663.51","23,732,828.74","25,421,567.00"
其中:消耗性生物资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应付关联公司款,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
一年内到期的非流动资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
一年内到期的非流动负债,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
其他流动资产,,,,,,,,,,,,,,,,,,,,"60,000,000.00","60,000,000.00","30,000,000.00",,"8,690,000.00",,,"223,315,914.00","89,714,914.00","178,410,000.00","400,240,000.00","401,155,110.89","117,872,259.14","227,638,224.17","438,877,011.82","217,953,497.99","662,212,718.47"
其他流动负债,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"20,940,971.44","48,348,516.78","335,743.33",,,,"1,337,450.19",
流动资产合计,"498,442,636.86","492,268,412.91","443,057,502.60","439,142,131.36","1,006,121,598.99","975,593,858.75","946,793,457.43","919,044,259.27","872,719,996.37","875,097,478.05","968,206,904.76","923,711,872.31","940,154,449.12","921,348,566.65","898,443,270.79","904,698,374.24","1,012,241,028.05","959,255,111.54","976,231,898.61","1,019,796,909.91","1,142,792,107.86","984,428,793.35","1,006,362,852.26","1,082,555,822.90","1,114,537,972.31","1,164,365,463.85","1,173,919,075.12","1,124,048,468.46","1,152,484,341.14","1,290,928,283.74","1,421,786,339.09","1,114,977,408.47","1,136,894,890.02","1,418,534,062.67","1,719,316,583.65","1,851,977,075.95"
流动负债合计,"534,653,842.35","532,628,943.99","433,912,701.19","413,419,325.03","264,631,672.09","236,432,205.12","233,221,606.40","229,772,909.00","223,985,240.78","202,725,095.09","250,093,386.95","190,452,476.10","284,969,189.25","270,334,639.70","282,201,226.86","287,981,244.33","404,776,360.01","315,777,563.16","347,559,696.41","381,710,620.05","544,656,279.19","513,052,662.96","581,617,856.64","650,214,667.20","706,660,151.24","722,625,471.71","723,428,709.58","662,302,295.75","707,102,568.62","817,913,370.60","898,682,041.86","554,862,707.08","627,709,702.73","877,763,235.94","1,060,242,005.45","809,657,404.26"
可供出售金融资产,"49,984,000.00","15,168,000.00","29,920,000.00","26,624,000.00","22,116,800.00","21,344,000.00","20,166,400.00","20,939,200.00","20,387,200.00","18,135,040.00","18,135,040.00","19,066,080.00","18,377,920.00","17,244,480.00","19,997,120.00","19,066,080.00","16,475,360.00","17,406,400.00","15,544,320.00","15,301,440.00","15,706,240.00","17,635,920.00","54,196,400.00","52,536,720.00","60,025,520.00","51,870,894.68","40,555,720.00","38,773,960.00","38,343,880.00","39,192,040.00","39,183,560.00","40,125,640.00","39,226,248.00","40,109,960.00","39,884,680.00","39,823,240.00"
长期借款,,,,,,,,,,,,,,,,,"27,000,000.00","27,000,000.00","27,000,000.00","57,000,000.00","54,500,000.00","24,500,000.00","22,000,000.00","22,000,000.00","19,500,000.00","19,500,000.00","17,000,000.00",,,,,,,,,
持有至到期投资,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应付债券,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
长期应收款,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
长期应付款,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
长期股权投资,"12,662,994.24","6,519,954.82","6,517,065.22","6,517,065.22","6,488,246.04","6,345,763.04","6,143,251.35","6,130,831.50","13,566,008.87","13,393,350.58","13,440,275.13","12,860,371.85","20,789,861.88","21,141,553.26","80,669,348.12","81,416,587.10","83,250,063.21","85,107,095.10","115,873,516.68","80,740,981.91","82,515,910.18","105,236,685.25","116,026,513.49","115,298,058.51","115,636,199.92","116,597,432.95","114,994,334.07","114,532,707.66","113,042,400.12","111,942,471.85","95,360,146.85","91,764,181.68","92,877,440.83","94,197,830.76","96,226,576.75","133,701,240.29"
专项应付款,"64,000.00","2,014,000.00","2,120,000.00","4,970,000.00","7,370,000.00","16,202,950.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
