科目,2007-03-31,2007-06-30,2007-09-30,2007-12-31,2008-03-31,2008-06-30,2008-09-30,2008-12-31,2009-03-31,2009-06-30,2009-09-30,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30
其他应收款,"2,004,717.11","1,531,458.29","824,662.95","622,868.87","1,539,323.13","1,172,212.84","1,283,075.65","567,142.41","1,413,552.22","1,234,006.72","769,726.87","609,101.90","535,263.28","613,012.55","626,630.74","525,093.75","450,163.76","435,576.20","19,928,646.88","9,783,604.65","11,694,642.86","19,490,690.00","12,712,938.61","13,314,676.79","11,072,648.32","16,231,395.20","18,273,642.89","40,842,151.53","47,369,844.54","53,639,198.31","64,364,628.96","64,054,553.51","76,950,628.93","93,240,886.68","83,981,422.44","75,947,881.29","86,059,836.39","19,830,761.07","30,655,812.71","26,587,621.45","21,960,933.37","40,254,416.30","58,484,911.67","98,474,707.14","48,419,749.36","35,887,313.67"
应付职工薪酬,"470,911.52","2,193,882.25","1,953,554.73","1,378,968.80","1,370,586.56","1,446,709.71","1,632,570.11","1,569,549.33","1,763,132.40","1,744,598.10","1,728,345.78","1,872,665.05","2,264,024.88","2,138,214.85","2,057,393.12","1,895,738.19","1,744,593.96","1,718,585.47","53,750,192.72","73,797,327.18","42,504,649.42","45,821,760.30","62,325,334.38","85,843,694.16","48,991,052.13","73,277,925.57","99,352,478.25","173,637,498.31","83,602,805.20","100,498,289.42","136,700,200.08","206,344,456.40","109,666,393.51","107,120,802.24","134,662,125.67","218,360,700.87","118,110,641.13","121,024,143.13","143,709,077.67","225,678,611.36","28,223,324.97","29,002,326.67","48,005,966.18","90,727,930.58","43,482,315.65","58,049,442.74"
应收关联公司款,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应交税费,"-3,775,511.82","-4,127,814.82","-1,601,138.75","1,267,152.53","-1,216,864.14","-452,510.40","-1,976,277.82","1,464,466.92","-912,838.03","-46,102.15","-710,334.20","-64,521.15","-1,475,122.66","-370,742.22","456,520.49","-2,325,934.58","-4,060,441.41","-1,328,579.05","-109,908,093.53","-87,070,337.30","-118,598,849.88","-114,740,313.75","-118,913,582.69","11,079,772.18","8,420,201.84","32,363,857.80","29,750,166.56","38,347,369.26","32,894,161.08","17,647,116.57","16,775,277.48","32,134,668.50","44,377,401.03","23,334,657.54","34,881,431.59","62,444,534.63","21,716,170.72","20,836,151.74","14,959,864.60","29,064,744.93","1,986,137.91","7,573,471.96","36,855,777.49","76,934,962.81","57,278,046.77","54,151,136.64"
应收利息,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应付利息,,,,"66,400.00","72,972.50","72,385.00","48,250.00","50,250.00","125,850.00","264,150.00","237,150.00","34,275.00","23,625.00","29,617.50","54,397.50","20,650.00","46,068.76","24,836.89",,,,,,"677,900.00","642,600.00","1,216,250.00","842,550.00","630,375.00","630,375.00","615,000.00","615,000.00","621,918.75","621,918.75","560,625.00","560,625.00","785,775.00","905,400.00","783,168.75","723,068.75","293,625.00",,,,,,
应收股利,,,,,,,,,,,,,,,,,,"6,000.00",,,,,,,,,,,,,,,,,,,,,,,"105,060,000.00",,,,,
应付股利,"2,505,650.14","2,414,110.12","2,209,562.92","2,073,885.17","2,073,885.17","2,048,762.93","1,991,791.73","1,981,495.73","1,981,495.73","1,978,664.33","1,948,205.33","1,948,205.33","1,935,335.33","1,935,335.33","1,935,335.33","1,935,335.33","1,935,335.33","1,935,335.33","11,734,720.73","10,403,466.45","8,003,466.45","8,003,466.45","8,003,466.45","15,045,466.45","10,845,466.45","16,253,466.45","8,003,466.45","11,766,666.45","8,003,466.45","8,003,466.45","8,003,466.45","13,563,466.45","9,963,466.45","8,003,466.45","6,418,535.86","8,378,535.86","232,378,535.86","6,418,535.86","6,418,535.86","144,569,435.86","1,935,335.33","1,935,335.33","3,563,426.69","6,355,335.33","1,935,335.33","1,935,335.33"
存货,"47,689,497.63","56,249,948.73","64,864,461.45","54,465,898.84","63,974,901.11","60,595,303.40","61,125,559.53","33,828,796.77","49,086,863.14","37,333,044.96","36,895,036.64","26,603,880.17","38,242,458.52","33,557,038.24","33,017,990.78","36,929,735.96","54,913,181.01","48,752,502.20","57,470,276.67","54,047,926.71","57,975,298.01","50,448,730.00","43,176,861.64","37,669,806.62","39,142,679.57","41,529,707.32","45,126,601.17","50,620,477.76","55,101,936.12","54,198,989.00","46,825,054.99","53,119,195.17","66,800,180.68","52,690,604.55","51,489,792.26","53,772,833.25","56,727,726.40","56,098,799.76","57,363,169.91","52,692,220.87","4,816,625.87","5,897,773.81","6,152,201.50","4,385,306.47","6,570,387.11","6,893,293.54"
其他应付款,"7,010,003.93","5,862,565.55","9,838,814.51","4,562,686.15","8,565,916.51","9,271,124.23","8,282,813.68","4,647,131.65","2,866,010.49","2,950,239.22","2,768,120.72","3,507,900.63","3,087,031.83","3,349,706.55","2,966,319.07","2,822,660.43","2,416,515.82","4,308,997.03","101,513,512.00","41,977,578.30","31,243,421.66","40,466,324.12","44,128,074.86","41,934,207.76","49,898,183.67","65,398,511.57","89,613,584.99","114,481,506.22","84,052,570.66","179,933,151.50","111,648,858.32","83,213,213.75","91,674,289.11","116,226,509.22","92,012,145.19","96,372,629.16","115,276,149.35","123,702,420.49","156,564,526.56","156,948,762.20","23,650,601.31","33,291,372.81","32,537,992.94","80,835,713.59","15,899,356.29","40,117,966.67"
